Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,9.9,9.9,9.61,9.67,124900,0
2008-01-03,9.65,9.88,9.61,9.65,122300,0
2008-01-04,9.65,9.7,9.21,9.28,271900,0
2008-01-07,9.21,9.43,9.0,9.01,182000,0
2008-01-08,9.01,9.21,8.81,9.03,181400,0
2008-01-09,8.96,9.09,8.41,8.89,303700,0
2008-01-10,8.8,9.4,8.72,9.13,232800,0
2008-01-11,9.02,9.31,9.0,9.0,131200,0
2008-01-14,8.94,9.24,8.94,9.11,79500,0
2008-01-15,8.96,8.96,8.3,8.5,496300,0
2008-01-16,8.41,8.85,8.04,8.55,405800,0
2008-01-17,8.6,8.61,7.83,8.05,359000,0
2008-01-18,8.14,8.22,7.92,7.98,293800,0
2008-01-22,7.34,7.74,7.25,7.55,391500,0
2008-01-23,7.66,7.66,7.07,7.3,493500,0
2008-01-24,7.45,7.93,7.28,7.89,188900,0
2008-01-25,8.02,8.22,7.76,7.81,142600,0
2008-01-28,7.66,8.36,7.66,8.27,208500,0
2008-01-29,8.45,8.5,8.08,8.18,99100,0
2008-01-30,8.1,8.25,7.98,8.0,131500,0
2008-01-31,7.98,8.25,7.93,8.11,162800,0
2008-02-01,8.11,8.28,8.09,8.21,299700,0
2008-02-04,8.29,8.7,8.03,8.49,286500,0
2008-02-05,8.4,8.41,7.74,7.78,166700,0
2008-02-06,7.78,7.95,7.5,7.5,172000,0
2008-02-07,7.5,7.84,7.31,7.66,152400,0
2008-02-08,7.62,7.86,7.58,7.8,120900,0
2008-02-11,7.95,7.95,7.58,7.69,113800,0
2008-02-12,7.82,8.2,7.72,7.96,159400,0
2008-02-13,8.02,8.25,7.78,8.25,113900,0
2008-02-14,8.2,8.41,8.0,8.27,121300,0
2008-02-15,8.15,8.29,8.0,8.23,209700,0
2008-02-19,8.4,8.58,8.21,8.3,108100,0
2008-02-20,8.33,8.46,8.2,8.32,71800,0
2008-02-21,8.28,8.46,8.27,8.35,119800,0
2008-02-22,8.32,8.35,8.0,8.12,85900,0
2008-02-25,8.26,8.53,8.12,8.46,109900,0
2008-02-26,8.44,8.75,8.44,8.57,115500,0
2008-02-27,8.44,8.73,8.44,8.66,80100,0
2008-02-28,8.64,8.73,8.51,8.67,91600,0
2008-02-29,8.61,8.85,8.51,8.72,157700,0
2008-03-03,8.86,9.34,8.78,9.32,348200,0
2008-03-04,9.43,9.69,9.31,9.52,376700,0
2008-03-05,10.05,10.22,9.7,9.83,329700,0
2008-03-06,9.91,9.91,9.43,9.45,205900,0
2008-03-07,9.41,9.58,9.3,9.39,128700,0
2008-03-10,9.45,9.46,8.84,8.85,157400,0
2008-03-11,9.27,9.3,8.86,9.19,130200,0
2008-03-12,9.14,9.41,9.08,9.11,106100,0
2008-03-13,8.9,9.28,8.75,9.12,113000,0
2008-03-14,9.02,9.28,8.73,8.96,106100,0
2008-03-17,8.56,8.85,8.5,8.5,147800,0
2008-03-18,8.65,8.99,8.56,8.93,111000,0
2008-03-19,8.89,9.1,8.35,8.35,127200,0
2008-03-20,8.27,8.45,8.25,8.27,115700,0
2008-03-24,8.25,8.68,8.25,8.65,94700,0
2008-03-25,8.75,8.8,8.5,8.55,84000,0
2008-03-26,8.5,8.5,8.29,8.32,60600,0
2008-03-27,8.4,8.81,8.35,8.55,103900,0
2008-03-28,8.65,8.69,8.47,8.51,89900,0
2008-03-31,8.7,8.7,8.29,8.38,98300,0
2008-04-01,8.33,8.72,8.28,8.64,90500,0
2008-04-02,8.62,8.78,8.51,8.51,111400,0
2008-04-03,8.54,8.92,8.52,8.77,73700,0
2008-04-04,8.72,9.08,8.65,8.94,106400,0
2008-04-07,8.91,9.5,8.91,9.42,164700,0
2008-04-08,9.41,9.49,9.25,9.27,77700,0
2008-04-09,9.22,9.23,8.87,8.95,103200,0
2008-04-10,8.92,9.75,8.87,9.73,144000,0
2008-04-11,9.61,9.71,9.26,9.29,190500,0
2008-04-14,9.18,9.46,9.18,9.23,59600,0
2008-04-15,9.3,9.43,9.07,9.24,64500,0
2008-04-16,9.23,9.68,9.21,9.46,70500,0
2008-04-17,9.36,9.54,9.31,9.45,35900,0
2008-04-18,9.53,9.71,9.36,9.6,99800,0
2008-04-21,9.64,10.0,9.55,9.98,181600,0
2008-04-22,9.99,10.18,9.73,10.09,260500,0
2008-04-23,10.23,10.23,9.81,9.82,104900,0
2008-04-24,9.93,10.0,9.55,9.61,129500,0
2008-04-25,9.68,9.73,9.56,9.67,65700,0
2008-04-28,9.68,9.68,9.08,9.25,206500,0
2008-04-29,9.17,9.5,9.05,9.36,91300,0
2008-04-30,9.96,9.96,9.26,9.41,71900,0
2008-05-01,9.31,9.61,9.25,9.57,45600,0
2008-05-02,9.6,9.6,9.35,9.45,59000,0
2008-05-05,9.44,9.5,9.09,9.18,122500,0
2008-05-06,9.1,9.4,9.06,9.25,142500,0
2008-05-07,9.16,9.39,9.0,9.13,108900,0
2008-05-08,9.2,9.32,9.11,9.2,51400,0
2008-05-09,9.02,9.43,9.02,9.38,75100,0
2008-05-12,9.3,9.66,9.16,9.63,90100,0
