Date,Open,High,Low,Close,Volume,Dividend
2009-04-02,22.0,23.93,20.02,20.02,8945000,0
2009-04-03,19.56,20.55,19.26,19.4,1473000,0
2009-04-06,19.7,21.74,19.0,21.63,1195600,0
2009-04-07,21.8,24.18,21.63,23.84,1719200,0
2009-04-08,24.5,24.94,22.55,23.26,760500,0
2009-04-09,24.0,25.0,23.37,25.0,631400,0
2009-04-13,25.1,29.51,24.48,28.0,1565700,0
2009-04-14,29.3,29.3,26.0,26.96,817000,0
2009-04-15,26.26,29.01,26.26,27.29,605800,0
2009-04-16,28.25,28.48,26.18,27.31,576700,0
2009-04-17,27.6,29.1,26.25,26.92,684700,0
2009-04-20,26.4,26.71,23.89,24.82,738000,0
2009-04-21,24.11,25.73,23.97,24.76,402100,0
2009-04-22,24.67,28.0,24.54,26.18,595300,0
2009-04-23,26.67,26.95,25.33,25.91,275400,0
2009-04-24,26.57,28.0,26.1,26.63,495900,0
2009-04-27,26.01,28.75,25.7,26.8,462400,0
2009-04-28,26.5,30.75,26.3,28.0,1682600,0
2009-04-29,28.84,31.27,28.52,31.05,1227600,0
2009-04-30,31.8,33.48,30.02,30.75,1122400,0
2009-05-01,31.52,32.28,30.14,32.15,825500,0
2009-05-04,37.43,37.71,32.4,32.62,2936400,0
2009-05-05,33.34,33.8,31.88,32.02,660500,0
2009-05-06,31.9,33.48,31.15,32.4,513400,0
2009-05-07,32.6,32.7,29.95,30.96,802400,0
2009-05-08,31.0,31.74,30.0,30.02,491500,0
2009-05-11,29.5,30.44,29.01,29.8,489700,0
2009-05-12,30.94,30.94,29.54,29.54,506100,0
2009-05-13,29.44,29.67,27.05,27.26,663900,0
2009-05-14,27.73,30.25,27.0,29.4,759500,0
2009-05-15,29.98,30.35,28.85,29.69,345200,0
2009-05-18,30.2,30.48,28.65,30.24,345600,0
2009-05-19,30.25,31.75,29.65,30.44,545500,0
2009-05-20,30.84,30.95,29.19,29.42,359000,0
2009-05-21,29.47,29.47,27.1,27.85,464900,0
2009-05-22,28.2,29.2,27.65,29.01,153200,0
2009-05-26,29.95,34.0,29.86,33.65,1404100,0
2009-05-27,33.95,35.1,31.72,31.99,1036000,0
2009-05-28,32.5,32.9,31.82,32.0,631900,0
2009-05-29,32.11,32.9,31.5,32.9,411400,0
2009-06-01,33.9,36.24,33.6,35.77,979700,0
2009-06-02,35.77,38.73,35.2,37.65,991900,0
2009-06-03,37.0,39.77,36.82,38.5,948700,0
2009-06-04,38.5,39.5,36.82,39.34,711700,0
2009-06-05,40.0,40.73,38.5,38.8,708600,0
2009-06-08,37.71,39.32,36.86,38.7,531500,0
2009-06-09,39.11,42.25,38.54,41.87,921600,0
2009-06-10,42.4,44.24,39.9,43.87,1039600,0
2009-06-11,43.7,44.85,42.7,42.85,523700,0
2009-06-12,42.85,43.99,40.79,41.45,771400,0
2009-06-15,40.85,41.85,38.15,38.61,741400,0
2009-06-16,39.27,39.93,35.43,35.59,1195600,0
2009-06-17,35.72,35.99,33.15,35.0,1342000,0
2009-06-18,35.45,37.89,34.71,37.26,855200,0
2009-06-19,37.99,39.1,37.89,38.53,665200,0
2009-06-22,38.27,38.27,35.0,35.38,546600,0
2009-06-23,35.44,36.88,34.0,36.57,590500,0
2009-06-24,37.46,39.2,37.33,39.03,603500,0
2009-06-25,38.89,43.5,37.81,43.06,1134300,0
2009-06-26,43.33,45.95,42.5,45.52,1342400,0
2009-06-29,46.74,46.85,40.81,41.96,1805400,0
2009-06-30,41.8,41.95,38.3,38.38,1705600,0
2009-07-01,38.62,42.09,38.62,40.92,1100000,0
2009-07-02,39.3,40.21,38.2,39.8,804800,0
2009-07-06,39.0,40.89,38.6,39.84,650400,0
2009-07-07,39.92,42.41,38.2,38.44,1268800,0
2009-07-08,38.9,39.49,36.1,37.25,1150200,0
2009-07-09,37.65,39.63,37.17,39.51,748500,0
2009-07-10,38.84,39.77,37.6,38.45,410600,0
2009-07-13,39.33,39.53,37.0,37.61,498400,0
2009-07-14,37.99,39.0,37.3,38.6,425700,0
2009-07-15,39.5,42.89,39.29,42.67,1354500,0
2009-07-16,42.01,43.42,41.3,42.86,723800,0
2009-07-17,42.93,42.93,41.01,41.34,522000,0
2009-07-20,42.0,45.97,41.67,45.29,1517600,0
2009-07-21,46.01,46.15,43.25,44.05,733700,0
2009-07-22,43.76,48.37,43.2,44.74,2022100,0
2009-07-23,44.25,46.09,41.0,41.2,3428500,0
2009-07-24,39.98,42.98,39.61,41.65,1817000,0
2009-07-27,41.33,42.63,37.31,38.17,3558100,0
2009-07-28,37.65,39.5,37.5,38.68,1153900,0
2009-07-29,38.0,38.4,37.06,37.24,952400,0
2009-07-30,37.95,38.27,35.81,36.09,1158700,0
2009-07-31,35.75,37.95,35.5,36.75,835600,0
2009-08-03,37.31,37.94,36.34,36.97,738100,0
2009-08-04,36.97,38.38,36.7,37.79,577600,0
2009-08-05,37.7,40.0,37.6,40.0,1284400,0
2009-08-06,41.0,41.0,38.3,39.3,570900,0
2009-08-07,40.0,40.0,38.57,38.95,429600,0
2009-08-10,38.75,39.4,38.5,39.35,555200,0
2009-08-11,39.29,39.5,38.0,38.11,532100,0
2009-08-12,38.02,38.78,37.5,38.31,689100,0
2009-08-13,38.99,39.83,38.0,39.72,556500,0
2009-08-14,39.65,39.65,37.76,37.8,347800,0
2009-08-17,36.27,38.22,36.01,37.35,541700,0
2009-08-18,37.97,38.0,36.88,37.05,281800,0
2009-08-19,36.5,37.35,36.25,36.67,318200,0
2009-08-20,36.28,38.31,36.25,37.47,479400,0
2009-08-21,38.3,38.75,37.71,38.64,467300,0
2009-08-24,39.04,39.3,37.6,38.08,331100,0
2009-08-25,38.1,38.4,37.01,37.34,255900,0
2009-08-26,37.62,38.39,37.29,38.33,265600,0
2009-08-27,38.15,38.75,37.23,38.55,185900,0
2009-08-28,38.35,38.8,37.6,37.94,172500,0
2009-08-31,37.65,38.08,37.29,37.76,249700,0
2009-09-01,37.78,40.19,37.57,38.6,1029300,0
2009-09-02,38.5,38.74,37.31,37.65,255700,0
2009-09-03,37.97,38.39,37.73,38.13,112500,0
2009-09-04,38.0,39.36,38.0,39.05,393700,0
2009-09-08,39.75,41.74,39.41,41.15,1038200,0
2009-09-09,41.88,42.13,40.0,40.53,473200,0
2009-09-10,41.16,41.84,40.08,41.69,490700,0
2009-09-11,41.85,42.82,39.94,40.54,317100,0
2009-09-14,40.0,41.43,39.11,40.54,244500,0
2009-09-15,41.05,41.62,40.46,41.28,311600,0
2009-09-16,41.29,42.64,40.7,41.03,480000,0
2009-09-17,41.38,41.73,39.37,39.54,653800,0
2009-09-18,40.23,40.31,38.53,38.75,603300,0
2009-09-21,38.51,38.64,37.39,38.29,536700,0
2009-09-22,38.48,38.81,37.86,37.93,331700,0
2009-09-23,37.93,41.0,37.77,39.84,830400,0
2009-09-24,40.06,40.95,37.91,38.3,476300,0
2009-09-25,38.1,38.96,37.17,37.23,527800,0
2009-09-28,37.25,38.29,37.25,37.75,266300,0
2009-09-29,37.7,37.75,36.01,36.23,1299100,0
2009-09-30,36.34,36.78,35.2,35.52,848900,0
2009-10-01,35.52,35.73,32.64,32.95,1404900,0
2009-10-02,32.14,33.41,31.41,32.54,1149400,0
2009-10-05,32.87,34.12,32.58,33.07,591600,0
2009-10-06,33.8,34.1,33.23,33.5,498000,0
2009-10-07,33.73,34.09,33.28,33.77,385400,0
2009-10-08,34.11,34.21,32.54,32.83,416700,0
2009-10-09,32.57,32.6,31.04,31.27,704400,0
2009-10-12,31.26,31.5,29.05,30.86,1603400,0
2009-10-13,30.57,31.78,30.42,30.92,712800,0
2009-10-14,31.68,32.45,31.12,31.9,805700,0
2009-10-15,31.74,32.44,31.38,31.6,524000,0
2009-10-16,31.6,32.11,29.75,29.8,688700,0
2009-10-19,29.95,31.84,29.63,31.72,777300,0
2009-10-20,32.11,32.43,30.56,31.33,643100,0
2009-10-21,32.72,34.2,31.61,31.78,1166500,0
2009-10-22,32.55,33.0,31.09,32.5,630400,0
2009-10-23,33.19,35.1,32.77,34.96,1364600,0
2009-10-26,32.0,32.88,30.71,32.3,2237900,0
2009-10-27,33.6,33.6,31.09,32.03,717600,0
2009-10-28,31.57,32.0,30.8,31.78,619600,0
2009-10-29,31.78,32.61,31.01,31.27,470300,0
2009-10-30,30.94,31.33,29.64,30.13,537800,0
2009-11-02,29.73,30.4,29.0,30.35,514800,0
2009-11-03,29.87,30.77,29.27,30.71,313300,0
2009-11-04,31.53,32.04,30.55,30.68,574000,0
2009-11-05,30.51,31.49,30.5,31.39,172000,0
2009-11-06,30.94,31.42,30.79,31.24,149300,0
2009-11-09,32.06,33.35,32.0,33.14,502500,0
2009-11-10,32.85,33.77,32.75,33.6,381300,0
2009-11-11,33.99,33.99,32.96,33.58,421200,0
2009-11-12,33.5,33.67,32.5,32.76,233300,0
2009-11-13,32.57,33.87,32.48,33.82,191600,0
2009-11-16,34.29,35.13,33.88,34.5,393700,0
2009-11-17,34.15,34.74,33.74,34.41,123000,0
2009-11-18,34.49,34.93,33.5,34.01,139300,0
2009-11-19,33.52,33.72,32.32,33.0,240300,0
2009-11-20,32.58,33.45,32.5,33.38,196300,0
2009-11-23,34.09,34.39,33.77,33.98,204800,0
2009-11-24,33.86,34.49,33.35,33.5,68600,0
2009-11-25,33.59,33.99,33.37,33.57,62500,0
2009-11-27,31.83,32.89,31.0,32.62,151500,0
2009-11-30,32.36,33.11,32.22,32.47,108100,0
2009-12-01,32.79,33.2,32.44,33.03,176400,0
2009-12-02,33.24,33.24,32.33,32.85,89400,0
2009-12-03,32.73,32.73,31.77,32.04,100900,0
2009-12-04,32.2,32.3,31.29,31.8,269200,0
2009-12-07,31.82,31.91,30.55,30.99,225800,0
2009-12-08,30.72,31.18,30.5,30.76,185300,0
2009-12-09,30.7,31.04,30.32,30.73,84500,0
2009-12-10,30.6,30.9,30.39,30.68,148300,0
2009-12-11,30.02,31.07,30.0,30.76,631200,0
2009-12-14,30.46,31.65,30.46,31.47,348000,0
2009-12-15,31.62,33.12,31.25,32.4,345100,0
2009-12-16,32.7,33.76,32.22,33.6,323300,0
2009-12-17,33.95,33.95,32.94,33.09,200000,0
2009-12-18,33.24,33.54,31.94,32.28,217800,0
2009-12-21,32.46,33.17,32.04,32.72,118600,0
2009-12-22,32.75,33.03,31.9,32.02,115100,0
2009-12-23,32.45,32.91,31.9,32.72,77800,0
2009-12-24,32.72,33.82,32.72,33.5,95700,0
2009-12-28,33.45,34.3,33.45,33.57,183000,0
2009-12-29,33.74,33.74,33.01,33.06,68600,0
2009-12-30,33.0,33.36,32.76,33.29,158900,0
2009-12-31,33.47,33.68,33.21,33.21,136800,0
2010-01-04,33.73,35.92,33.6,35.31,416700,0
2010-01-05,35.62,35.66,34.25,35.25,142100,0
2010-01-06,35.37,35.83,34.74,35.52,172400,0
2010-01-07,35.53,35.82,34.31,34.87,151200,0
2010-01-08,34.47,35.4,34.07,35.21,110300,0
2010-01-11,35.3,35.78,34.4,34.63,134800,0
2010-01-12,34.0,34.23,32.58,33.6,218500,0
2010-01-13,34.6,34.6,33.85,34.08,87300,0
2010-01-14,33.75,34.28,33.75,34.02,89200,0
2010-01-15,34.08,34.6,33.7,34.52,235400,0
2010-01-19,34.74,35.78,34.55,35.74,216900,0
2010-01-20,35.43,36.4,34.56,35.32,438700,0
2010-01-21,35.41,35.41,34.63,34.92,285900,0
2010-01-22,34.75,34.76,32.63,32.99,345900,0
2010-01-25,32.64,33.07,31.91,32.76,188800,0
2010-01-26,32.54,33.56,32.27,33.26,307200,0
2010-01-27,33.25,33.86,32.11,32.71,362900,0
2010-01-28,32.81,33.2,31.75,32.65,472100,0
2010-01-29,33.21,34.92,32.67,33.59,430000,0
2010-02-01,31.65,33.27,30.6,32.67,751100,0
2010-02-02,33.09,34.49,32.15,32.96,315100,0
2010-02-03,32.66,34.05,32.66,33.99,260900,0
2010-02-04,33.71,34.1,32.7,32.89,184200,0
2010-02-05,32.63,33.39,32.43,32.97,273900,0
2010-02-08,33.16,34.21,32.61,33.01,88700,0
2010-02-09,33.3,33.85,32.94,33.36,95100,0
2010-02-10,34.0,34.1,33.09,33.15,289000,0
2010-02-11,33.05,33.7,32.71,33.62,79700,0
2010-02-12,33.5,34.11,32.9,33.67,146800,0
2010-02-16,33.78,33.8,33.27,33.5,166100,0
2010-02-17,33.5,33.73,33.16,33.2,118700,0
2010-02-18,33.13,33.41,33.0,33.17,143600,0
2010-02-19,33.0,33.88,32.9,33.78,140300,0
2010-02-22,34.0,34.0,32.72,32.92,193100,0
2010-02-23,32.75,33.39,32.31,32.46,201800,0
2010-02-24,32.44,33.29,31.99,33.17,267800,0
2010-02-25,32.59,32.98,32.23,32.83,111800,0
2010-02-26,32.83,33.41,32.76,33.2,99600,0
2010-03-01,32.76,34.21,32.76,32.96,231600,0
2010-03-02,33.08,33.08,31.8,31.91,282900,0
2010-03-03,32.15,32.15,31.31,31.36,130000,0
2010-03-04,31.61,32.17,31.56,32.03,123100,0
2010-03-05,31.96,32.6,31.72,32.38,101200,0
2010-03-08,32.38,32.76,32.1,32.63,204500,0
2010-03-09,32.04,32.54,31.51,31.92,235100,0
2010-03-10,31.78,32.12,31.5,31.75,155800,0
2010-03-11,31.77,31.92,31.4,31.73,211900,0
2010-03-12,31.97,32.47,31.85,31.97,248600,0
2010-03-15,31.75,32.11,30.66,30.97,235100,0
2010-03-16,31.27,32.28,31.27,32.11,234500,0
2010-03-17,32.16,32.27,31.18,31.73,228600,0
2010-03-18,31.44,32.4,31.31,32.19,201100,0
2010-03-19,31.88,32.29,31.62,31.88,89400,0
2010-03-22,31.8,32.0,31.32,31.54,127300,0
2010-03-23,31.47,31.64,30.81,31.09,293700,0
2010-03-24,30.94,31.07,30.12,30.19,239700,0
2010-03-25,30.23,30.61,30.05,30.22,178000,0
2010-03-26,30.26,30.69,29.8,30.08,108000,0
2010-03-29,30.38,30.56,29.55,29.89,259900,0
2010-03-30,29.82,30.46,29.4,30.12,359900,0
2010-03-31,29.91,31.08,29.76,30.8,274900,0
2010-04-01,31.0,31.43,30.53,30.75,218500,0
2010-04-05,31.02,31.76,30.72,31.58,236600,0
2010-04-06,31.27,32.19,30.8,32.09,183900,0
2010-04-07,32.08,32.27,31.74,32.15,229100,0
2010-04-08,32.0,32.4,31.69,32.23,103600,0
2010-04-09,32.23,32.41,31.8,32.15,145800,0
2010-04-12,32.19,32.19,31.5,31.97,171600,0
2010-04-13,31.85,31.93,31.61,31.71,193300,0
2010-04-14,31.94,33.82,31.91,33.51,314900,0
2010-04-15,33.69,34.95,33.6,34.09,489000,0
2010-04-16,34.0,34.06,32.36,32.87,403700,0
2010-04-19,32.55,32.85,32.14,32.5,209300,0
2010-04-20,32.7,33.02,32.49,32.71,33900,0
2010-04-21,32.73,33.08,32.73,32.94,43800,0
2010-04-22,32.88,34.12,32.85,34.07,143800,0
2010-04-23,33.98,35.98,33.98,35.23,689300,0
2010-04-26,36.0,36.25,34.08,34.15,353200,0
2010-04-27,34.08,34.11,32.45,32.49,412300,0
2010-04-28,32.42,32.7,31.37,31.49,252200,0
2010-04-29,31.82,33.49,31.56,33.44,307500,0
2010-04-30,33.44,33.68,32.65,32.8,142300,0
2010-05-03,32.79,33.03,32.37,32.55,56700,0
2010-05-04,32.41,32.44,31.34,31.34,99700,0
2010-05-05,31.01,31.3,30.5,31.06,194700,0
2010-05-06,30.7,30.94,27.59,29.88,457300,0
2010-05-07,29.67,31.33,28.98,29.36,168200,0
2010-05-10,31.16,31.16,29.86,30.21,119500,0
2010-05-11,30.01,30.49,29.51,30.02,73100,0
2010-05-12,30.29,30.99,30.06,30.91,107800,0
2010-05-13,30.9,31.77,30.87,31.23,115200,0
2010-05-14,30.94,31.3,30.01,30.22,147000,0
2010-05-17,30.0,30.0,28.37,28.89,332400,0
2010-05-18,28.9,29.27,28.5,28.75,111600,0
2010-05-19,28.51,28.98,27.88,28.02,224200,0
2010-05-20,27.75,27.92,26.41,27.29,250800,0
2010-05-21,27.05,28.05,26.71,27.88,264200,0
2010-05-24,27.93,28.09,27.55,27.56,88500,0
2010-05-25,27.07,27.32,26.26,27.26,143400,0
2010-05-26,27.31,27.81,26.94,27.19,85700,0
2010-05-27,27.76,27.97,27.32,27.5,74200,0
2010-05-28,27.38,27.38,26.44,26.56,143400,0
2010-06-01,26.27,27.28,26.25,26.6,199900,0
2010-06-02,26.4,27.3,26.4,27.3,164700,0
2010-06-03,27.64,28.2,27.26,28.0,293600,0
2010-06-04,28.09,28.81,27.23,27.49,248600,0
2010-06-07,27.44,28.08,27.08,27.13,83400,0
2010-06-08,27.58,27.9,26.7,27.26,111700,0
2010-06-09,27.39,28.42,27.22,28.01,132200,0
2010-06-10,28.8,29.59,28.54,29.42,395900,0
2010-06-11,29.31,29.35,28.68,29.33,129100,0
2010-06-14,29.5,29.64,28.94,29.02,134400,0
2010-06-15,29.29,29.32,28.87,29.09,194700,0
2010-06-16,28.81,29.25,28.55,29.0,81300,0
2010-06-17,29.45,29.45,28.82,28.97,116900,0
2010-06-18,28.88,29.1,28.8,28.88,140700,0
2010-06-21,29.11,30.0,28.83,28.97,105700,0
2010-06-22,28.86,28.99,28.4,28.67,88900,0
2010-06-23,28.6,28.87,27.43,27.64,105300,0
2010-06-24,27.4,27.4,26.8,27.09,80100,0
2010-06-25,27.02,27.24,26.73,27.0,145900,0
2010-06-28,26.8,27.25,26.8,26.94,45500,0
2010-06-29,26.73,26.84,26.11,26.34,99500,0
2010-06-30,26.2,26.52,25.76,25.86,82700,0
2010-07-01,25.82,26.46,25.76,26.32,151500,0
2010-07-02,26.41,27.3,26.39,27.17,199500,0
2010-07-06,27.8,27.8,26.62,26.8,133000,0
2010-07-07,26.76,27.14,26.57,26.75,51400,0
2010-07-08,26.94,27.3,26.55,26.73,42300,0
2010-07-09,26.55,26.68,26.18,26.25,81900,0
2010-07-12,26.07,26.07,24.85,25.65,209700,0
2010-07-13,25.99,26.5,25.27,26.46,163900,0
2010-07-14,26.88,27.89,26.73,27.87,295500,0
2010-07-15,28.0,28.0,26.99,27.64,200600,0
2010-07-16,27.4,28.03,26.95,27.5,201800,0
2010-07-19,27.5,27.5,26.41,26.6,101700,0
2010-07-20,26.22,26.43,26.04,26.36,79600,0
2010-07-21,26.45,26.99,25.74,25.91,196500,0
2010-07-22,26.47,26.95,26.25,26.27,234300,0
2010-07-23,26.27,26.81,25.92,26.65,330300,0
2010-07-26,27.5,29.0,27.3,28.26,443800,0
2010-07-27,28.83,28.83,28.08,28.29,185800,0
2010-07-28,28.2,28.84,28.2,28.7,131600,0
2010-07-29,28.82,29.19,28.36,28.96,138900,0
2010-07-30,28.3,28.62,27.91,28.6,88100,0
2010-08-02,28.84,30.1,28.76,29.71,197400,0
2010-08-03,29.71,29.71,29.02,29.46,78400,0
2010-08-04,29.67,29.67,29.11,29.31,63500,0
2010-08-05,29.2,29.64,28.93,29.17,64300,0
2010-08-06,29.0,29.4,28.79,29.04,26900,0
2010-08-09,29.1,29.6,29.09,29.36,27100,0
2010-08-10,28.95,29.17,28.78,28.78,27000,0
2010-08-11,28.41,29.39,27.26,27.56,115200,0
2010-08-12,27.03,27.67,27.03,27.65,59400,0
2010-08-13,28.07,28.07,27.17,27.39,33300,0
2010-08-16,26.52,27.51,26.52,27.26,87200,0
2010-08-17,27.26,27.26,26.8,27.09,38800,0
2010-08-18,27.28,27.83,26.92,27.75,47900,0
2010-08-19,27.93,28.24,27.47,27.64,71700,0
2010-08-20,27.94,28.25,27.15,27.36,74800,0
2010-08-23,27.7,27.7,26.78,26.97,58100,0
2010-08-24,26.32,27.15,25.8,26.29,169300,0
2010-08-25,25.9,26.78,25.49,26.66,254500,0
2010-08-26,26.58,27.24,26.58,26.69,161900,0
2010-08-27,26.82,26.88,26.67,26.73,41400,0
2010-08-30,26.61,26.89,26.6,26.6,64000,0
2010-08-31,26.65,26.76,26.31,26.63,48000,0
2010-09-01,27.43,27.93,26.74,27.04,78900,0
2010-09-02,26.9,27.78,26.67,27.3,308200,0
2010-09-03,27.65,27.93,27.47,27.88,149700,0
2010-09-07,28.07,28.34,26.85,27.0,86800,0
2010-09-08,26.79,26.89,25.93,26.31,198300,0
2010-09-09,26.44,26.73,26.03,26.11,80900,0
2010-09-10,26.18,26.29,25.82,25.93,184800,0
2010-09-13,26.33,26.42,25.77,25.99,290300,0
2010-09-14,26.0,26.58,26.0,26.41,147700,0
2010-09-15,26.23,26.72,26.14,26.72,159600,0
2010-09-16,26.73,27.42,26.57,27.39,100000,0
2010-09-17,27.59,27.7,27.24,27.38,85200,0
2010-09-20,27.65,27.68,27.37,27.46,54300,0
2010-09-21,27.46,28.49,27.35,28.39,146800,0
2010-09-22,28.3,28.4,27.7,27.87,133900,0
2010-09-23,27.53,28.46,27.37,28.05,107300,0
2010-09-24,28.35,29.6,28.13,28.9,140700,0
2010-09-27,29.08,30.34,28.69,29.3,166400,0
2010-09-28,29.2,29.27,28.67,28.68,47300,0
2010-09-29,28.48,28.94,28.03,28.03,51800,0
2010-09-30,28.25,28.25,27.2,27.5,160200,0
2010-10-01,27.48,28.1,27.0,27.62,84000,0
2010-10-04,27.63,27.87,27.45,27.61,63700,0
2010-10-05,28.13,28.44,27.56,28.01,107600,0
2010-10-06,28.0,28.8,28.0,28.7,134200,0
2010-10-07,29.0,29.19,28.52,28.62,168200,0
2010-10-08,28.8,29.04,28.59,28.9,240800,0
2010-10-11,29.0,29.95,29.0,29.87,171500,0
2010-10-12,29.92,29.92,29.47,29.7,98700,0
2010-10-13,30.0,31.19,29.72,30.97,339700,0
