Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,33.09,33.43,32.4,32.66,3757500,0
2008-01-03,32.84,33.12,32.68,32.95,3786800,0
2008-01-04,32.73,32.81,32.12,32.12,5374300,0
2008-01-07,32.38,32.38,30.98,31.31,9183400,0
2008-01-08,31.46,31.46,30.56,30.61,9562400,0
2008-01-09,30.77,31.08,29.98,30.75,6497900,0
2008-01-10,30.48,31.5,30.38,31.3,6699900,0
2008-01-11,31.08,31.38,30.03,30.22,6330900,0
2008-01-14,30.4,30.63,29.87,30.27,6917000,0
2008-01-15,29.95,30.47,29.87,30.26,10969800,0
2008-01-16,30.06,30.64,30.0,30.14,6632900,0
2008-01-17,30.31,30.89,29.19,29.23,8125500,0
2008-01-18,29.48,31.04,28.73,29.18,5761900,0
2008-01-22,27.8,30.71,26.61,28.66,9417100,0
2008-01-23,28.24,29.25,27.34,29.01,14579600,0
2008-01-24,29.36,29.36,28.21,28.43,10673000,0
2008-01-25,28.76,30.29,27.43,28.42,10603700,0
2008-01-28,28.52,28.52,27.99,28.24,7057700,0
2008-01-29,28.37,28.42,27.94,28.23,7055800,0
2008-01-30,28.17,28.7,27.98,28.09,5811200,0
2008-01-31,27.65,28.45,27.58,28.42,7479700,0
2008-02-01,28.28,28.86,28.24,28.78,7249400,0
2008-02-04,28.71,28.72,28.42,28.6,5166700,0
2008-02-05,28.15,28.42,27.68,28.01,6392600,0
2008-02-06,28.26,28.26,27.66,27.72,7517200,0
2008-02-07,28.16,28.36,27.52,27.87,9967600,0
2008-02-08,27.67,28.0,27.53,27.77,3761700,0
2008-02-11,27.77,28.06,27.56,27.86,5840700,0
2008-02-12,28.09,28.19,27.51,27.84,6277600,0
2008-02-13,28.15,28.9,28.05,28.79,6529300,0
2008-02-14,28.81,28.81,28.37,28.39,3628000,0
2008-02-15,28.34,28.51,28.15,28.47,4309100,0
2008-02-19,28.85,28.89,28.32,28.41,3282900,0
2008-02-20,28.19,28.68,28.1,28.62,3284800,0
2008-02-21,28.73,28.77,28.21,28.3,3682600,0
2008-02-22,28.36,28.6,27.8,28.29,6087700,0
2008-02-25,28.34,28.75,28.28,28.69,4241600,0
2008-02-26,28.43,29.14,28.39,29.04,5460600,0
2008-02-27,28.92,29.03,28.23,28.45,7523500,0
2008-02-28,28.31,28.43,27.94,28.24,6508700,0
2008-02-29,27.99,28.21,27.89,28.11,7468400,0
2008-03-03,28.05,28.15,27.76,28.15,9105000,0
2008-03-04,27.95,28.34,27.72,28.23,7566000,0
2008-03-05,27.88,28.55,27.75,28.08,9393300,0
2008-03-06,28.01,28.19,27.67,27.68,6206600,0
2008-03-07,27.41,27.76,27.16,27.32,7453400,0
2008-03-10,27.25,27.29,26.47,26.58,7458900,0
2008-03-11,27.16,27.43,26.72,27.28,7684700,0
2008-03-12,27.37,27.75,27.27,27.36,5356900,0
2008-03-13,26.89,27.66,26.52,27.6,7690500,0
2008-03-14,27.87,27.87,27.08,27.46,9287600,0
2008-03-17,26.79,27.78,25.69,27.43,7217300,0
2008-03-18,27.96,28.81,27.76,28.81,6747700,0
2008-03-19,28.81,30.13,28.41,28.41,5620700,0
2008-03-20,28.6,28.96,28.31,28.96,6897800,0
2008-03-24,29.13,29.6,28.87,29.34,5329800,0
2008-03-25,29.3,29.74,29.01,29.62,4971500,0
2008-03-26,29.53,29.56,28.89,29.27,5317100,0
2008-03-27,29.39,29.4,28.83,28.89,4889000,0
2008-03-28,29.07,29.07,28.35,28.48,6234600,0
2008-03-31,28.59,28.97,28.37,28.82,4608300,0
2008-04-01,29.09,29.95,29.09,29.95,4526200,0
2008-04-02,30.09,30.1,29.59,29.7,5090000,0
2008-04-03,29.67,29.67,29.22,29.51,5260400,0
2008-04-04,29.66,29.98,29.43,29.89,4744100,0
2008-04-07,30.2,30.2,29.52,29.72,3920800,0
2008-04-08,29.57,29.88,29.36,29.84,3523500,0
2008-04-09,29.8,29.84,29.32,29.49,4048000,0
2008-04-10,29.37,29.61,29.24,29.49,4592700,0
2008-04-11,28.95,29.08,28.47,28.57,8102300,0
2008-04-14,28.62,28.62,27.89,28.0,7147300,0
2008-04-15,28.15,28.45,27.96,28.32,8161400,0
2008-04-16,28.44,29.14,28.44,29.14,4764400,0
2008-04-17,28.01,28.39,27.69,28.11,22211900,0
2008-04-18,28.53,28.79,28.16,28.5,8644400,0
2008-04-21,28.34,28.72,28.29,28.62,4952000,0
2008-04-22,28.56,28.81,28.3,28.62,4916700,0
2008-04-23,28.73,28.94,28.32,28.77,5286800,0
2008-04-24,28.87,29.31,28.41,29.1,5177300,0
2008-04-25,29.34,29.53,29.06,29.4,3954000,0
2008-04-28,29.58,29.73,29.34,29.59,3479700,0
2008-04-29,29.61,29.87,29.42,29.52,2887000,0
2008-04-30,29.84,30.12,29.49,29.58,7760400,0
2008-05-01,29.59,30.01,29.56,29.87,5286800,0
2008-05-02,30.22,30.33,29.32,29.57,5703300,0
2008-05-05,29.68,29.68,28.92,29.26,6391800,0
2008-05-06,29.08,29.3,28.86,29.26,2633500,0
2008-05-07,29.33,29.33,28.8,28.85,3884100,0
2008-05-08,28.85,29.44,28.67,29.31,4472200,0
2008-05-09,28.98,29.36,28.87,29.22,3297200,0
2008-05-12,29.42,29.78,29.07,29.72,2673000,0
2008-05-13,29.81,30.16,29.57,29.72,3868000,0
2008-05-14,29.73,30.24,29.7,29.95,2843700,0
2008-05-15,29.91,30.38,29.66,30.35,4709300,0
2008-05-16,30.46,30.68,30.09,30.35,4731200,0
2008-05-19,30.18,30.37,29.76,29.8,6331400,0
2008-05-20,29.59,29.82,29.21,29.64,5680900,0
2008-05-21,29.77,29.89,29.12,29.21,4299900,0
2008-05-22,29.12,29.32,28.84,29.09,6861100,0
2008-05-23,29.09,29.09,28.43,28.75,4668200,0
2008-05-27,28.81,28.94,28.5,28.76,4617800,0
2008-05-28,28.75,29.17,28.75,29.01,4278300,0
2008-05-29,29.07,29.17,28.73,28.99,5886900,0
2008-05-30,29.18,29.81,29.01,29.64,5869500,0
2008-06-02,29.49,29.64,29.16,29.41,5422600,0
2008-06-03,29.49,30.33,29.49,30.16,9150400,0
2008-06-04,29.95,30.36,29.93,30.28,5956300,0
2008-06-05,30.34,31.32,30.27,31.29,8840700,0
2008-06-06,30.99,31.2,30.02,30.02,8800800,0
2008-06-09,30.05,30.26,29.8,30.19,4562600,0
2008-06-10,30.04,30.44,29.83,30.23,4452400,0
2008-06-11,30.25,30.83,29.95,29.99,5909300,0
2008-06-12,30.21,30.6,30.06,30.3,5315000,0
2008-06-13,30.68,31.14,30.61,31.0,5224000,0
2008-06-16,30.71,30.98,30.65,30.82,3003800,0
2008-06-17,30.84,30.99,30.45,30.69,5836000,0
2008-06-18,30.56,30.81,30.37,30.45,3376600,0
2008-06-19,30.37,31.23,30.26,31.08,6499500,0
2008-06-20,30.99,30.99,30.22,30.36,7623800,0
2008-06-23,30.34,30.53,30.23,30.36,3336800,0
2008-06-24,30.36,30.43,29.97,30.13,3421400,0
2008-06-25,30.21,30.38,30.01,30.24,6302700,0
2008-06-26,29.87,29.87,28.8,28.9,8226800,0
2008-06-27,29.29,29.67,28.67,29.14,8977600,0
2008-06-30,29.13,29.46,28.66,29.3,6194000,0
2008-07-01,28.86,29.45,28.71,29.37,5826800,0
2008-07-02,29.19,29.42,28.46,28.5,7263400,0
2008-07-03,28.73,29.17,28.52,28.92,4689300,0
2008-07-07,29.06,29.33,28.72,28.92,5502600,0
2008-07-08,28.81,29.12,28.47,29.12,6457500,0
2008-07-09,28.98,29.16,28.59,28.59,7471800,0
2008-07-10,28.55,28.93,28.48,28.87,6034600,0
2008-07-11,28.49,28.86,28.16,28.46,8310200,0
2008-07-14,28.85,29.21,28.29,28.54,4909300,0
2008-07-15,28.29,28.47,27.63,28.21,10947700,0
2008-07-16,28.12,29.0,27.74,28.89,12147100,0
2008-07-17,29.71,31.05,29.71,30.67,16219200,0
2008-07-18,30.68,31.63,30.38,31.22,9968400,0
2008-07-21,31.29,31.29,30.6,30.83,8385400,0
2008-07-22,30.83,31.45,30.65,31.2,9406300,0
2008-07-23,30.9,31.13,30.35,30.63,8041100,0
2008-07-24,30.7,30.77,30.13,30.19,5337900,0
2008-07-25,30.19,30.82,30.15,30.76,5783500,0
2008-07-28,30.53,30.88,30.39,30.45,5800400,0
2008-07-29,30.45,30.96,30.45,30.69,5251900,0
2008-07-30,30.92,31.03,30.4,30.82,5585400,0
2008-07-31,30.56,30.74,30.16,30.19,6027800,0
2008-08-01,30.29,30.75,30.25,30.56,6379400,0
2008-08-04,30.59,30.83,30.33,30.46,4335000,0
2008-08-05,30.66,31.29,30.63,31.29,6803400,0
2008-08-06,31.09,31.43,30.67,31.21,6264400,0
2008-08-07,30.96,31.62,30.72,31.22,5827600,0
2008-08-08,31.03,31.84,31.03,31.64,5291300,0
2008-08-11,31.65,32.06,31.35,31.59,4807200,0
2008-08-12,31.49,31.61,31.11,31.46,4078800,0
2008-08-13,31.4,31.69,30.97,31.56,3886300,0
2008-08-14,31.31,32.18,31.19,32.03,7878600,0
2008-08-15,32.15,32.22,31.74,31.81,6130900,0
2008-08-18,31.97,32.03,31.46,31.6,4006000,0
2008-08-19,31.37,31.57,30.85,30.98,3959600,0
2008-08-20,30.99,31.12,30.6,31.0,3197200,0
2008-08-21,30.83,31.28,30.63,31.21,3523800,0
2008-08-22,31.32,31.63,31.14,31.22,4591900,0
2008-08-25,30.82,31.34,30.52,30.62,2557200,0
2008-08-26,30.66,30.79,30.38,30.7,3550400,0
2008-08-27,30.8,30.91,30.58,30.73,2468600,0
2008-08-28,30.89,31.21,30.88,31.08,3938000,0
2008-08-29,30.97,31.13,30.87,30.92,3621400,0
2008-09-02,31.18,31.52,30.79,30.89,3658900,0
2008-09-03,30.79,31.14,30.31,30.61,4002600,0
2008-09-04,30.28,30.32,29.2,29.4,5734700,0
2008-09-05,29.19,29.56,29.09,29.47,3845100,0
2008-09-08,30.01,30.33,29.51,29.72,6562800,0
2008-09-09,29.8,29.95,28.87,28.87,4751000,0
2008-09-10,29.01,29.52,28.87,29.26,3837700,0
2008-09-11,28.95,29.65,28.81,29.63,4399300,0
2008-09-12,28.93,29.33,28.69,29.15,7677800,0
2008-09-15,28.43,29.01,28.31,28.36,6886400,0
2008-09-16,27.98,29.19,27.83,28.93,8293600,0
2008-09-17,28.39,28.98,28.06,28.2,8109200,0
2008-09-18,28.45,29.18,27.5,29.04,8626500,0
2008-09-19,30.0,30.05,28.81,29.51,7910800,0
2008-09-22,29.28,29.4,28.29,28.33,2904100,0
2008-09-23,28.22,28.65,26.93,27.02,7215100,0
2008-09-24,27.17,27.29,26.36,27.24,6567300,0
2008-09-25,27.3,27.47,26.77,26.88,5162500,0
2008-09-26,26.54,26.96,25.92,26.91,5460300,0
2008-09-29,26.44,26.76,25.56,25.87,6839500,0
2008-09-30,26.45,26.45,25.72,26.31,6172300,0
2008-10-01,26.35,26.62,25.45,25.98,5773500,0
2008-10-02,25.79,25.9,24.41,24.62,8383300,0
2008-10-03,25.12,25.39,23.53,23.74,10677800,0
2008-10-06,23.22,23.51,22.12,23.31,11973000,0
2008-10-07,23.45,23.95,21.85,21.97,8966000,0
2008-10-08,21.54,22.84,21.35,21.47,11417500,0
2008-10-09,21.76,22.05,20.09,20.17,9061200,0
2008-10-10,18.89,22.41,18.6,21.17,18016700,0
2008-10-13,21.91,23.37,21.42,23.37,9311600,0
2008-10-14,24.33,24.63,22.49,22.83,10085800,0
2008-10-15,22.7,22.7,20.47,20.47,12653600,0
2008-10-16,20.72,22.19,20.0,22.09,13435800,0
2008-10-17,21.23,22.59,21.01,21.38,10749800,0
2008-10-20,21.63,21.75,20.91,21.61,13048800,0
2008-10-21,21.48,22.75,21.31,22.02,11189300,0
2008-10-22,21.51,22.0,20.91,21.55,12162400,0
2008-10-23,21.66,22.09,20.14,21.07,11132600,0
2008-10-24,19.7,21.24,18.96,20.57,9233000,0
2008-10-27,20.36,21.09,19.99,20.0,7672000,0
2008-10-28,20.27,21.61,19.42,21.6,9004800,0
2008-10-29,21.28,22.33,20.96,21.53,7303000,0
2008-10-30,22.2,22.42,21.7,22.12,6861900,0
2008-10-31,21.99,22.74,21.68,22.46,7561800,0
2008-11-03,22.52,22.82,22.36,22.59,5271200,0
2008-11-04,22.97,23.8,22.94,23.61,6543200,0
2008-11-05,23.47,23.9,22.48,22.52,8377700,0
2008-11-06,21.85,22.65,21.16,21.3,7683900,0
2008-11-07,21.47,21.91,21.21,21.65,5154100,0
2008-11-10,21.97,22.3,21.32,21.63,3974400,0
2008-11-11,21.24,21.47,20.8,21.09,5407100,0
2008-11-12,20.72,20.92,20.09,20.24,5873200,0
2008-11-13,20.17,21.56,19.67,21.51,8349500,0
2008-11-14,21.04,21.52,20.44,20.44,6277900,0
2008-11-17,20.21,20.66,19.9,19.99,6661400,0
2008-11-18,19.91,20.63,19.72,20.49,7519600,0
2008-11-19,20.4,20.62,19.44,19.5,7568100,0
2008-11-20,19.31,20.17,18.57,18.75,11445700,0
2008-11-21,18.95,20.1,18.54,20.07,9357200,0
2008-11-24,20.4,21.83,20.28,21.16,10204300,0
2008-11-25,21.54,21.83,20.62,21.09,6603100,0
2008-11-26,20.69,21.02,20.27,20.46,12143200,0
2008-11-28,20.32,21.14,20.32,21.09,4447100,0
2008-12-01,20.48,20.48,19.14,19.16,8707500,0
2008-12-02,19.43,19.48,18.59,18.85,12492200,0
2008-12-03,18.46,19.35,18.1,19.34,12638900,0
2008-12-04,19.07,19.54,18.53,18.81,8727200,0
2008-12-05,18.8,19.23,17.89,19.08,7361000,0
2008-12-08,19.29,20.11,19.16,19.7,8264000,0
2008-12-09,18.79,19.55,18.54,18.87,13197100,0
2008-12-10,19.14,19.57,19.14,19.41,7308500,0
2008-12-11,19.25,19.42,18.63,18.83,8567900,0
2008-12-12,18.46,19.43,18.15,19.24,12016300,0
2008-12-15,19.31,19.43,18.91,19.15,7468700,0
2008-12-16,19.25,20.75,19.08,20.58,10234100,0
2008-12-17,20.37,20.79,20.16,20.45,7508200,0
2008-12-18,20.44,21.04,20.31,20.86,9888200,0
2008-12-19,21.08,21.3,20.72,20.87,6773300,0
2008-12-22,20.92,20.96,20.3,20.65,5318200,0
2008-12-23,20.95,21.05,20.31,20.5,6093700,0
2008-12-24,20.49,20.8,20.39,20.73,1724900,0
2008-12-26,20.75,20.8,20.56,20.75,1746300,0
2008-12-29,20.68,20.82,20.31,20.7,4479800,0
2008-12-30,20.77,21.14,20.69,21.08,4909300,0
2008-12-31,21.08,21.57,21.08,21.46,5155100,0
2009-01-02,21.44,21.98,21.21,21.91,4912700,0
2009-01-05,21.76,21.83,21.35,21.57,5982100,0
2009-01-06,21.63,22.12,21.58,21.89,4985200,0
2009-01-07,21.52,21.67,21.21,21.3,6420300,0
2009-01-08,21.25,21.25,20.69,21.05,5748900,0
2009-01-09,21.18,21.3,20.57,20.71,4229200,0
2009-01-12,20.66,20.77,20.49,20.69,4366600,0
2009-01-13,20.57,20.66,19.83,20.09,8107100,0
2009-01-14,19.85,20.3,19.72,20.06,6670400,0
2009-01-15,20.16,20.64,19.72,20.52,6232000,0
2009-01-16,20.81,20.91,20.13,20.44,6041200,0
2009-01-20,20.31,20.45,19.52,19.55,6864800,0
2009-01-21,19.73,19.84,19.23,19.8,6670100,0
2009-01-22,19.52,19.83,19.15,19.61,5593300,0
2009-01-23,19.29,19.71,18.95,19.47,8240500,0
