Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,30.72,30.94,29.77,29.78,1504200,0
2008-01-03,29.87,30.08,29.63,29.69,1533100,0
2008-01-04,29.47,29.58,28.5,28.5,2272300,0
2008-01-07,28.8,28.82,27.38,27.62,4208000,0
2008-01-08,27.69,27.75,25.77,25.87,3965300,0
2008-01-09,25.67,25.87,25.14,25.69,4453700,0
2008-01-10,25.29,26.55,25.18,26.46,4367200,0
2008-01-11,26.09,26.37,25.2,25.31,2386600,0
2008-01-14,25.45,25.64,25.14,25.37,3168100,0
2008-01-15,25.12,25.19,24.5,24.64,2289900,0
2008-01-16,24.57,25.03,24.47,24.52,2458000,0
2008-01-17,24.55,24.89,23.97,24.0,3598400,0
2008-01-18,25.37,25.53,23.67,23.83,3551900,0
2008-01-22,22.91,24.28,22.48,24.06,3711700,0
2008-01-23,23.39,24.55,22.98,24.55,4237000,0
2008-01-24,24.72,24.72,24.21,24.43,3074300,0
2008-01-25,24.55,25.46,24.55,25.24,3493100,0
2008-01-28,25.27,25.41,24.73,25.05,3604400,0
2008-01-29,25.25,25.82,24.87,25.74,2995000,0
2008-01-30,26.44,28.29,26.28,27.52,6570100,0
2008-01-31,27.14,27.99,26.97,27.01,4160200,0
2008-02-01,27.3,28.62,26.93,28.52,3954400,0
2008-02-04,28.39,28.67,28.27,28.42,1780900,0
2008-02-05,27.8,28.22,27.79,27.81,2405300,0
2008-02-06,27.91,28.29,27.4,27.54,2321300,0
2008-02-07,27.47,27.96,27.34,27.76,1862900,0
2008-02-08,27.43,27.76,27.15,27.45,1900500,0
2008-02-11,27.26,27.9,27.13,27.81,1878200,0
2008-02-12,27.93,28.54,27.87,28.19,2023500,0
2008-02-13,28.35,29.17,28.35,29.13,2382200,0
2008-02-14,29.13,29.13,28.3,28.36,1293300,0
2008-02-15,28.29,28.31,27.92,28.18,1339800,0
2008-02-19,28.52,28.71,28.24,28.52,2213100,0
2008-02-20,28.46,29.14,28.32,29.03,1947000,0
2008-02-21,29.09,29.34,28.5,28.57,2008000,0
2008-02-22,28.64,28.75,27.97,28.6,2566100,0
2008-02-25,28.73,29.07,28.37,29.07,1858700,0
2008-02-26,28.89,29.15,28.66,28.97,2008600,0
2008-02-27,28.73,29.13,28.6,28.8,2457800,0
2008-02-28,28.66,28.76,28.05,28.27,2207300,0
2008-02-29,27.87,28.15,27.64,27.83,2851700,0
2008-03-03,27.75,28.19,27.7,28.19,1908500,0
2008-03-04,27.85,28.0,27.34,27.73,2652000,0
2008-03-05,27.73,28.22,27.64,28.09,2227600,0
2008-03-06,28.01,28.07,27.44,27.48,2393000,0
2008-03-07,27.3,27.68,27.2,27.42,2907300,0
2008-03-10,27.39,27.44,26.61,26.63,2462800,0
2008-03-11,27.17,27.98,27.04,27.98,3217100,0
2008-03-12,28.15,28.38,27.91,27.97,1693200,0
2008-03-13,27.55,27.99,27.12,27.9,2232700,0
2008-03-14,28.05,28.05,26.83,27.17,3150000,0
