Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,34.52,34.8,33.9,34.01,983000,0
2008-01-03,33.92,34.0,33.26,33.53,881600,0
2008-01-04,33.18,33.34,32.02,32.49,1075300,0
2008-01-07,32.48,32.88,31.32,31.36,1275200,0
2008-01-08,31.35,31.85,30.94,30.98,1314200,0
2008-01-09,30.8,31.15,30.34,30.46,1671200,0
2008-01-10,30.98,33.62,30.98,33.36,4037800,0
2008-01-11,32.86,33.45,32.49,33.04,1393500,0
2008-01-14,34.1,34.4,32.91,32.92,1222100,0
2008-01-15,32.84,33.02,32.07,32.99,1026200,0
2008-01-16,33.0,33.48,32.0,32.1,1524400,0
2008-01-17,31.99,32.48,31.44,31.59,1778500,0
2008-01-18,31.74,32.54,31.46,31.68,1267600,0
2008-01-22,30.59,32.04,30.59,30.95,1470700,0
2008-01-23,34.5,34.5,32.01,32.89,4280200,0
2008-01-24,33.21,34.67,32.8,34.05,3336000,0
2008-01-25,34.5,34.5,32.59,32.85,1320800,0
2008-01-28,32.97,33.46,32.66,33.12,1115700,0
2008-01-29,33.36,33.65,32.55,32.93,1213600,0
2008-01-30,32.87,33.35,32.71,32.97,1162800,0
2008-01-31,32.88,33.5,32.71,33.05,1456500,0
2008-02-01,32.97,33.5,32.5,33.41,2116400,0
2008-02-04,33.71,34.05,33.03,33.43,1271600,0
2008-02-05,32.65,32.85,31.57,31.82,1933700,0
2008-02-06,31.84,32.12,31.34,31.39,1404400,0
2008-02-07,31.24,31.98,30.95,31.63,961100,0
2008-02-08,31.33,32.1,31.15,31.44,941700,0
2008-02-11,31.76,31.76,31.25,31.59,612300,0
2008-02-12,31.68,32.14,31.28,31.57,862100,0
2008-02-13,31.88,32.29,31.8,32.27,848300,0
2008-02-14,32.28,32.28,31.73,31.86,463300,0
2008-02-15,31.9,32.15,31.5,31.85,1033900,0
2008-02-19,32.26,32.42,31.6,31.84,577900,0
2008-02-20,31.5,31.9,31.35,31.54,1031400,0
2008-02-21,31.5,31.61,31.16,31.29,1338500,0
2008-02-22,31.19,31.61,30.75,31.19,1362300,0
2008-02-25,31.1,31.48,30.64,30.81,1561200,0
2008-02-26,30.89,31.24,30.65,31.01,2539500,0
2008-02-27,30.78,33.09,30.7,32.19,4141800,0
2008-02-28,31.92,32.32,31.66,31.74,651700,0
2008-02-29,31.63,31.68,30.95,31.0,757000,0
2008-03-03,30.92,31.74,30.79,31.01,800400,0
2008-03-04,30.95,30.95,29.62,29.84,1935500,0
2008-03-05,30.0,30.0,28.73,28.99,3685400,0
2008-03-06,28.81,28.89,28.26,28.33,1460000,0
2008-03-07,28.05,29.0,28.05,28.54,1548800,0
2008-03-10,28.56,28.92,27.85,27.97,805300,0
2008-03-11,28.29,29.9,28.29,29.78,1772300,0
2008-03-12,29.68,30.21,29.31,29.4,1120600,0
2008-03-13,29.07,30.07,28.73,29.85,1149400,0
2008-03-14,30.06,30.06,29.2,29.73,1410400,0
2008-03-17,28.93,29.13,28.26,28.32,940300,0
2008-03-18,29.88,29.88,27.63,28.15,2451900,0
2008-03-19,28.14,28.47,27.42,27.45,1492900,0
2008-03-20,27.18,28.93,27.18,28.9,1336200,0
2008-03-24,28.8,29.75,28.77,29.65,1840000,0
2008-03-25,29.61,30.23,29.53,29.76,1149200,0
2008-03-26,29.54,29.75,28.7,29.0,755400,0
2008-03-27,28.97,28.99,28.19,28.38,1034500,0
2008-03-28,28.49,28.87,28.0,28.32,1313500,0
2008-03-31,28.09,28.7,28.03,28.36,1038800,0
2008-04-01,28.92,29.19,28.59,29.01,1510800,0
2008-04-02,28.96,28.96,28.05,28.29,1846300,0
2008-04-03,28.04,28.83,27.56,28.66,1452100,0
2008-04-04,28.61,28.79,27.8,27.91,1374100,0
2008-04-07,27.93,28.54,27.8,27.95,2490600,0
2008-04-08,27.95,28.88,27.95,28.46,1227300,0
2008-04-09,28.6,28.91,27.9,28.15,1297500,0
2008-04-10,28.21,28.63,28.03,28.3,1634400,0
2008-04-11,27.89,28.19,27.37,27.48,994500,0
2008-04-14,27.53,27.74,27.2,27.5,1872900,0
2008-04-15,27.62,27.68,27.39,27.59,1229700,0
2008-04-16,27.7,28.25,27.5,28.05,2239200,0
2008-04-17,28.06,28.74,27.89,28.19,2725900,0
2008-04-18,30.8,33.04,30.52,32.3,5221400,0
2008-04-21,32.01,32.27,31.3,31.56,1759300,0
2008-04-22,31.18,31.41,30.5,30.61,1934000,0
2008-04-23,30.55,31.52,30.55,31.41,1113900,0
2008-04-24,31.5,32.14,30.97,31.93,863200,0
2008-04-25,31.81,31.93,31.08,31.5,1014400,0
2008-04-28,31.66,31.78,31.48,31.73,994700,0
2008-04-29,31.6,32.07,31.45,31.96,919700,0
2008-04-30,32.02,32.17,31.16,31.38,1183700,0
2008-05-01,31.32,32.35,31.08,32.2,1728500,0
2008-05-02,32.5,32.63,31.47,31.86,1007700,0
2008-05-05,31.74,32.02,31.64,31.74,657900,0
2008-05-06,31.6,32.39,31.58,32.33,808900,0
2008-05-07,32.21,32.33,31.53,31.74,796300,0
2008-05-08,31.67,32.06,31.67,31.94,653700,0
2008-05-09,31.8,32.1,31.45,31.67,420100,0
2008-05-12,31.61,31.98,31.25,31.88,790800,0
2008-05-13,31.77,32.18,31.57,31.89,512700,0
2008-05-14,32.1,32.57,31.94,32.14,752300,0
2008-05-15,32.25,32.49,31.76,32.36,738000,0
2008-05-16,32.45,32.45,31.36,31.75,1369100,0
2008-05-19,31.89,32.13,31.7,31.92,588400,0
2008-05-20,32.01,32.27,31.21,31.73,815700,0
2008-05-21,31.98,32.07,31.32,31.4,447200,0
2008-05-22,31.52,31.99,31.37,31.4,648700,0
2008-05-23,31.46,31.49,30.92,31.09,363600,0
2008-05-27,30.89,31.26,30.85,31.06,810400,0
2008-05-28,31.21,31.25,30.77,31.0,671200,0
2008-05-29,31.27,31.96,31.1,31.85,989700,0
2008-05-30,31.91,32.42,31.54,32.31,1072700,0
2008-06-02,32.03,32.27,31.56,31.74,1032100,0
2008-06-03,31.9,32.5,31.8,32.05,1108900,0
2008-06-04,32.72,33.47,32.53,32.86,1358600,0
2008-06-05,33.25,33.3,32.94,33.3,1316400,0
2008-06-06,33.23,33.23,32.48,32.68,895800,0
2008-06-09,32.79,32.8,32.0,32.45,947300,0
2008-06-10,31.99,32.28,31.42,31.46,1287100,0
2008-06-11,31.59,31.86,31.33,31.33,633600,0
2008-06-12,31.53,32.08,31.53,31.63,622800,0
2008-06-13,31.83,32.11,31.76,31.9,821700,0
2008-06-16,31.6,32.14,31.6,31.97,767000,0
2008-06-17,32.1,32.53,31.71,31.87,591100,0
2008-06-18,31.52,31.97,31.22,31.35,845900,0
2008-06-19,31.31,31.53,30.91,31.1,1164400,0
2008-06-20,30.86,31.61,30.19,30.47,1064400,0
2008-06-23,30.54,30.96,30.3,30.41,575200,0
2008-06-24,30.26,30.39,29.91,30.07,617200,0
2008-06-25,30.06,30.82,30.03,30.29,857100,0
2008-06-26,30.01,30.1,29.23,29.41,747500,0
2008-06-27,29.36,29.82,29.23,29.41,1413900,0
2008-06-30,30.18,30.18,29.12,29.42,809700,0
2008-07-01,29.2,29.93,28.69,29.77,1677100,0
2008-07-02,29.89,29.95,28.95,29.04,794900,0
2008-07-03,29.16,29.29,28.0,28.13,1386800,0
2008-07-07,28.54,28.97,28.3,28.58,2037000,0
2008-07-08,28.53,29.55,28.53,29.49,1049200,0
2008-07-09,29.78,30.18,29.48,29.63,1366300,0
2008-07-10,29.66,29.93,29.42,29.79,894300,0
2008-07-11,29.32,30.03,29.09,29.48,987400,0
2008-07-14,29.44,29.44,28.45,28.65,1693300,0
2008-07-15,28.49,28.86,27.93,28.72,1903400,0
2008-07-16,28.79,29.47,28.56,29.35,692500,0
2008-07-17,29.42,29.88,29.22,29.5,1349500,0
2008-07-18,29.48,29.55,29.01,29.23,623000,0
2008-07-21,29.42,29.99,29.1,29.79,883300,0
2008-07-22,29.52,29.82,29.2,29.25,1241200,0
2008-07-23,29.21,29.84,28.78,28.8,2575600,0
2008-07-24,31.0,31.37,30.02,30.39,4712000,0
2008-07-25,30.38,30.81,29.99,29.99,1673500,0
2008-07-28,30.13,30.63,29.52,29.87,1245000,0
2008-07-29,30.04,30.53,29.81,30.36,1080900,0
2008-07-30,30.56,31.25,30.48,30.62,1349700,0
2008-07-31,30.45,31.2,30.33,30.41,1061400,0
2008-08-01,30.51,30.58,29.64,29.85,1690500,0
2008-08-04,29.7,29.79,29.35,29.47,1957000,0
2008-08-05,29.4,30.37,29.4,30.22,1526000,0
2008-08-06,30.22,30.74,29.89,30.6,713600,0
2008-08-07,30.5,30.78,30.08,30.5,1077300,0
2008-08-08,30.49,30.99,30.19,30.9,749600,0
2008-08-11,30.83,31.01,30.22,30.55,1067100,0
2008-08-12,30.44,30.5,30.01,30.35,968900,0
2008-08-13,30.3,30.39,30.0,30.12,1075700,0
2008-08-14,30.11,30.11,29.61,29.94,1090500,0
2008-08-15,30.0,30.3,29.63,30.25,2165700,0
2008-08-18,30.36,30.59,29.97,30.22,839300,0
2008-08-19,30.01,30.19,29.85,30.09,1253900,0
2008-08-20,29.76,30.26,29.73,30.02,736700,0
2008-08-21,29.9,30.43,29.84,29.89,775300,0
2008-08-22,30.08,30.19,29.88,30.0,444600,0
2008-08-25,30.0,30.0,29.55,29.71,451600,0
2008-08-26,29.61,29.8,29.34,29.57,694600,0
2008-08-27,29.48,30.19,29.48,29.97,963000,0
2008-08-28,29.88,30.18,29.59,30.03,813900,0
2008-08-29,29.9,30.44,29.7,30.19,939300,0
2008-09-02,30.5,30.89,29.99,30.19,1215900,0
2008-09-03,30.12,30.37,29.41,29.79,1435200,0
2008-09-04,29.58,29.98,29.07,29.38,1335900,0
2008-09-05,29.25,29.49,29.15,29.3,1425400,0
2008-09-08,29.76,30.0,29.21,29.41,1611700,0
2008-09-09,29.42,29.53,28.35,28.69,2108900,0
2008-09-10,28.64,29.21,28.57,28.75,1145200,0
2008-09-11,28.46,28.86,27.99,28.84,1557800,0
2008-09-12,28.53,28.81,27.68,28.02,2655200,0
2008-09-15,27.08,28.1,26.81,27.3,1629100,0
2008-09-16,26.91,27.05,25.67,26.68,2233200,0
2008-09-17,26.3,27.08,25.1,25.3,2631700,0
2008-09-18,25.52,27.08,25.31,26.45,2751200,0
2008-09-19,28.45,29.0,27.68,28.0,4062000,0
2008-09-22,27.65,28.37,27.0,27.13,1515500,0
2008-09-23,27.09,27.56,26.25,26.38,1585400,0
2008-09-24,26.31,26.55,26.14,26.39,1707900,0
2008-09-25,26.52,26.99,26.24,26.62,1903400,0
2008-09-26,26.33,26.65,26.22,26.62,1119700,0
2008-09-29,26.3,26.35,24.65,25.23,2570900,0
2008-09-30,25.54,27.57,25.52,27.38,2378200,0
2008-10-01,27.2,27.71,26.87,27.34,1604200,0
2008-10-02,27.07,27.62,25.91,26.0,1971100,0
2008-10-03,26.27,27.52,26.26,27.2,2284000,0
2008-10-06,26.63,27.1,26.14,26.71,3870800,0
2008-10-07,26.83,27.2,26.37,26.62,4731700,0
2008-10-08,26.03,26.68,24.72,25.32,3973500,0
2008-10-09,25.57,26.04,24.6,25.02,3604200,0
2008-10-10,24.19,24.8,21.7,24.44,3490500,0
2008-10-13,25.22,25.99,25.0,25.99,2310400,0
2008-10-14,26.12,26.61,24.36,25.0,1773700,0
2008-10-15,25.02,25.02,23.51,23.52,1606800,0
2008-10-16,23.53,23.98,22.26,23.65,2959800,0
2008-10-17,22.57,24.62,22.57,24.14,1680700,0
2008-10-20,24.06,25.14,24.06,25.04,963000,0
2008-10-21,24.88,25.09,23.75,23.76,1184800,0
2008-10-22,23.36,23.66,22.38,22.94,1198100,0
2008-10-23,23.01,23.1,21.98,22.35,2196800,0
2008-10-24,21.32,22.11,20.64,21.0,2636700,0
2008-10-27,21.1,21.1,20.1,20.17,2022400,0
2008-10-28,20.9,20.9,19.39,20.84,3113200,0
2008-10-29,20.72,21.37,19.9,21.1,2870000,0
2008-10-30,21.5,22.12,20.86,21.89,2375800,0
2008-10-31,21.82,22.56,21.42,22.56,1814100,0
2008-11-03,22.5,23.58,22.2,23.06,1982700,0
2008-11-04,23.43,24.09,22.78,24.06,2187900,0
2008-11-05,23.85,24.6,23.36,23.63,2567400,0
2008-11-06,18.84,20.18,18.16,19.34,8147500,0
2008-11-07,19.34,20.17,19.34,19.94,2386100,0
2008-11-10,19.9,20.48,18.85,19.12,1269300,0
2008-11-11,18.81,18.84,18.15,18.24,1954000,0
2008-11-12,18.05,18.61,17.66,17.71,2926700,0
2008-11-13,17.59,19.04,17.34,18.85,4056700,0
2008-11-14,18.55,19.23,18.05,18.34,1896700,0
2008-11-17,17.86,18.6,17.86,18.25,1893500,0
2008-11-18,18.05,18.75,17.97,18.43,2943600,0
2008-11-19,18.18,18.31,17.72,17.92,2866200,0
2008-11-20,17.69,18.15,16.75,16.78,2608100,0
