Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,20.15,20.25,18.65,19.17,3121600,0
2008-01-03,19.23,20.0,19.18,19.48,1569200,0
2008-01-04,19.35,20.79,18.85,20.45,3484000,0
2008-01-07,20.35,21.5,19.78,21.46,3081200,0
2008-01-08,21.62,21.62,20.63,20.7,2438400,0
2008-01-09,20.51,20.51,19.46,20.41,2702000,0
2008-01-10,20.25,20.88,19.44,20.88,1587200,0
2008-01-11,20.59,20.62,19.75,19.9,1833200,0
2008-01-14,20.07,20.86,19.7,20.23,3434000,0
2008-01-15,19.12,19.25,13.44,15.81,8192800,0
2008-01-16,16.02,17.27,15.57,16.02,11155600,0
2008-01-17,15.9,16.92,14.99,15.04,5325200,0
2008-01-18,15.25,15.53,14.55,14.74,4115200,0
2008-01-22,13.19,14.06,12.25,13.1,8704400,0
2008-01-23,12.56,12.95,11.33,12.75,10568400,0
2008-01-24,12.75,14.5,12.75,14.48,6280800,0
2008-01-25,14.93,15.5,14.03,14.69,5120000,0
2008-01-28,14.52,14.52,13.75,14.11,2378800,0
2008-01-29,14.25,14.5,13.57,13.78,1539600,0
2008-01-30,13.59,13.64,12.67,13.06,4986800,0
2008-01-31,12.4,14.5,12.0,14.18,7404400,0
2008-02-01,14.12,14.87,14.12,14.57,3005200,0
2008-02-04,14.73,15.44,14.73,15.34,4056000,0
2008-02-05,15.02,15.11,13.85,14.01,3330800,0
2008-02-06,14.02,14.71,13.38,13.45,2292000,0
2008-02-07,13.15,13.93,13.0,13.84,2368000,0
2008-02-08,13.56,13.98,13.09,13.54,1758800,0
2008-02-11,13.7,13.95,13.34,13.53,1656800,0
2008-02-12,13.79,13.94,13.23,13.32,3288000,0
2008-02-13,13.5,13.67,13.27,13.55,2480800,0
2008-02-14,13.84,14.89,13.84,14.74,6644800,0
2008-02-15,14.75,14.75,13.86,14.03,2784400,0
2008-02-19,14.36,14.62,13.92,14.18,1786400,0
2008-02-20,14.15,14.62,13.88,14.56,1443600,0
2008-02-21,14.51,14.77,14.09,14.58,1244800,0
2008-02-22,14.72,14.75,13.54,14.6,2732000,0
2008-02-25,14.41,14.51,13.9,14.32,2087600,0
2008-02-26,14.29,15.3,14.08,15.14,3313600,0
2008-02-27,14.78,15.81,14.78,15.52,2125600,0
2008-02-28,15.56,15.96,15.07,15.53,2470000,0
2008-02-29,15.26,15.88,15.12,15.59,1858800,0
2008-03-03,15.68,16.85,15.38,16.02,3638400,0
2008-03-04,16.06,16.06,14.93,15.58,2114000,0
2008-03-05,15.71,16.1,15.23,15.31,2326000,0
2008-03-06,15.27,15.57,14.88,14.94,1717600,0
2008-03-07,14.75,15.09,14.22,14.23,1877600,0
2008-03-10,14.13,14.33,13.88,14.0,2550800,0
2008-03-11,14.25,15.99,14.25,15.9,2351200,0
2008-03-12,16.02,16.02,15.3,15.5,2426000,0
2008-03-13,15.05,15.5,14.5,15.42,2222400,0
2008-03-14,15.38,15.88,15.11,15.54,1792000,0
2008-03-17,15.03,15.27,14.04,15.18,4511200,0
2008-03-18,15.27,16.23,15.27,16.0,2998000,0
2008-03-19,16.03,16.25,15.2,15.31,3136000,0
2008-03-20,15.18,15.57,15.02,15.45,4477600,0
