Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.4,25.88,25.4,25.61,329000,0
2008-01-03,25.73,26.0,25.7,25.88,302400,0
2008-01-04,25.88,25.98,25.59,25.65,205000,0
2008-01-07,25.86,25.86,25.38,25.44,300800,0
2008-01-08,25.5,25.77,25.5,25.58,255800,0
2008-01-09,25.6,25.6,25.42,25.43,299200,0
2008-01-10,25.5,25.7,25.25,25.64,272400,0
2008-01-11,25.58,25.66,25.4,25.55,255200,0
2008-01-14,25.82,25.82,25.3,25.45,434600,0
2008-01-15,25.31,25.69,25.31,25.49,227800,0
2008-01-16,25.34,25.75,25.34,25.53,242000,0
2008-01-17,25.55,25.75,25.39,25.48,547800,0
2008-01-18,25.5,25.56,24.98,24.98,463200,0
2008-01-22,24.5,24.89,23.75,24.7,558800,0
2008-01-23,24.5,24.67,23.77,24.56,679200,0
2008-01-24,24.67,25.14,24.62,24.96,271400,0
2008-01-25,25.09,25.55,25.0,25.25,203800,0
2008-01-28,25.47,25.47,24.9,25.05,283000,0
2008-01-29,25.16,25.36,25.13,25.2,239200,0
2008-01-30,25.17,25.49,25.15,25.35,335000,0
2008-01-31,25.26,25.65,25.13,25.45,338800,0
2008-02-01,25.56,25.82,25.56,25.77,463800,0
2008-02-04,25.51,25.8,25.44,25.73,344000,0
2008-02-05,25.7,25.7,25.27,25.43,425600,0
2008-02-06,25.46,25.66,25.14,25.19,234000,0
2008-02-07,25.05,25.32,25.05,25.13,175200,0
2008-02-08,25.29,25.5,25.06,25.4,218200,0
2008-02-11,25.51,25.7,25.35,25.58,146800,0
2008-02-12,25.72,25.72,25.27,25.38,167200,0
2008-02-13,25.4,25.6,25.1,25.15,234400,0
2008-02-14,25.23,25.5,24.96,25.17,267000,0
2008-02-15,25.0,25.31,24.54,24.85,495800,0
2008-02-19,25.53,25.53,24.88,25.27,379200,0
2008-02-20,25.2,25.5,25.19,25.5,234400,0
2008-02-21,25.5,25.5,25.06,25.25,187800,0
2008-02-22,25.37,25.52,24.8,25.25,293600,0
2008-02-25,25.42,25.59,25.26,25.45,280800,0
2008-02-26,25.67,25.75,25.3,25.37,380600,0
2008-02-27,24.69,24.93,24.5,24.8,6199800,0
2008-02-28,24.65,24.88,24.65,24.88,894400,0
2008-02-29,24.88,25.07,24.8,24.99,1016600,0
2008-03-03,24.84,25.08,24.84,24.97,621400,0
2008-03-04,24.94,24.98,24.68,24.85,635600,0
2008-03-05,24.86,24.94,24.75,24.82,429200,0
2008-03-06,24.82,24.86,24.56,24.61,404600,0
2008-03-07,24.59,24.59,24.26,24.27,560600,0
2008-03-10,24.2,24.32,23.78,23.85,497000,0
2008-03-11,24.03,24.25,23.59,23.92,385200,0
2008-03-12,23.98,24.03,23.61,23.62,329200,0
2008-03-13,23.49,23.58,23.03,23.49,509400,0
2008-03-14,23.38,23.5,22.93,23.04,327000,0
2008-03-17,22.86,22.86,21.76,22.09,840600,0
2008-03-18,22.29,22.95,22.29,22.84,572800,0
2008-03-19,23.0,23.1,22.37,22.37,392800,0
2008-03-20,22.35,22.52,22.24,22.36,382000,0
2008-03-24,22.36,22.8,22.36,22.67,440800,0
2008-03-25,22.82,23.15,22.77,23.08,407800,0
2008-03-26,23.15,23.62,23.08,23.58,342400,0
2008-03-27,23.81,23.85,23.46,23.51,359400,0
2008-03-28,23.61,23.92,23.42,23.65,461600,0
2008-03-31,23.55,23.77,23.5,23.77,364200,0
2008-04-01,25.37,25.37,24.05,24.59,853600,0
2008-04-02,24.54,24.73,24.33,24.52,925800,0
2008-04-03,24.47,24.6,24.39,24.55,338000,0
2008-04-04,24.65,25.0,24.54,24.87,1479400,0
2008-04-07,25.03,25.27,24.83,25.12,906200,0
2008-04-08,24.91,25.34,24.91,25.24,445600,0
2008-04-09,25.2,25.25,25.07,25.14,416800,0
2008-04-10,25.07,25.18,24.63,24.67,579400,0
2008-04-11,24.55,24.73,24.5,24.56,247600,0
2008-04-14,24.72,24.72,24.58,24.72,321000,0
2008-04-15,24.78,24.86,24.58,24.69,206200,0
2008-04-16,24.77,24.85,24.65,24.8,308800,0
2008-04-17,25.02,25.02,24.56,24.77,281200,0
2008-04-18,24.94,24.94,24.53,24.72,330000,0
2008-04-21,24.75,24.75,24.6,24.75,302400,0
2008-04-22,24.75,24.77,24.6,24.63,495000,0
2008-04-23,24.69,24.76,24.58,24.59,252800,0
2008-04-24,24.6,24.6,24.31,24.39,335400,0
2008-04-25,24.66,24.66,24.42,24.58,317200,0
2008-04-28,25.02,25.02,24.64,24.83,266000,0
2008-04-29,25.92,25.92,24.8,25.0,539600,0
2008-04-30,25.12,25.12,24.88,25.06,497200,0
2008-05-01,25.14,25.23,24.99,25.1,368400,0
2008-05-02,25.25,25.25,25.0,25.19,313200,0
2008-05-05,24.88,25.03,24.76,25.03,414000,0
2008-05-06,25.0,25.23,25.0,25.13,399000,0
2008-05-07,25.25,25.25,25.03,25.14,244800,0
2008-05-08,25.14,25.14,25.0,25.03,173200,0
2008-05-09,25.09,25.2,24.92,25.12,148000,0
2008-05-12,25.17,25.19,24.95,25.08,201800,0
2008-05-13,25.18,25.18,24.68,24.91,259400,0
2008-05-14,25.02,25.06,24.77,24.97,230000,0
2008-05-15,25.12,25.12,24.88,25.1,221000,0
2008-05-16,25.21,25.21,24.98,25.0,300000,0
2008-05-19,24.93,25.24,24.92,25.17,255800,0
2008-05-20,25.25,25.55,25.25,25.48,329200,0
2008-05-21,25.39,25.8,25.25,25.63,299800,0
2008-05-22,25.8,25.8,25.37,25.48,202400,0
2008-05-23,25.62,25.62,25.1,25.15,249200,0
2008-05-27,25.18,25.2,25.08,25.08,345000,0
2008-05-28,25.05,25.09,24.86,24.98,340000,0
2008-05-29,24.92,25.22,24.9,25.09,370400,0
2008-05-30,25.17,25.17,25.0,25.15,249400,0
2008-06-02,25.09,25.49,25.01,25.34,396200,0
2008-06-03,25.42,25.56,25.28,25.5,452000,0
2008-06-04,25.6,25.75,25.27,25.69,407000,0
2008-06-05,25.64,25.81,25.52,25.79,234600,0
2008-06-06,25.58,25.78,25.44,25.61,201800,0
2008-06-09,25.68,25.78,25.55,25.66,158400,0
2008-06-10,25.62,25.79,25.24,25.79,341400,0
2008-06-11,25.87,25.94,25.63,25.91,616000,0
2008-06-12,25.85,26.0,25.52,25.91,488200,0
2008-06-13,25.95,26.0,25.72,25.91,407000,0
2008-06-16,25.95,26.28,25.84,26.19,655000,0
2008-06-17,26.25,26.73,26.11,26.49,456800,0
2008-06-18,26.59,26.59,26.1,26.15,305600,0
2008-06-19,26.3,26.3,25.56,25.69,654000,0
2008-06-20,25.66,26.0,25.48,25.49,753200,0
