Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,0.95,1.02,0.91,1.01,635600,0
2008-01-03,1.01,1.04,0.99,1.02,396500,0
2008-01-04,1.0,1.03,0.99,1.02,400000,0
2008-01-07,1.05,1.05,1.0,1.01,158400,0
2008-01-08,1.02,1.05,1.01,1.02,326200,0
2008-01-09,1.02,1.03,0.99,1.01,440500,0
2008-01-10,1.01,1.02,1.0,1.0,197400,0
2008-01-11,1.01,1.02,0.98,0.98,191900,0
2008-01-14,1.0,1.0,0.99,0.99,99300,0
2008-01-15,0.99,1.1,0.99,1.1,796100,0
2008-01-16,1.09,1.1,1.05,1.07,366000,0
2008-01-17,1.09,1.16,1.08,1.14,421400,0
2008-01-18,1.11,1.16,1.05,1.13,471800,0
2008-01-22,1.09,1.1,1.03,1.07,406700,0
2008-01-23,1.01,1.07,1.01,1.07,268200,0
2008-01-24,1.07,1.14,1.07,1.14,282700,0
2008-01-25,1.15,1.2,1.1,1.2,298400,0
2008-01-28,1.17,1.24,1.17,1.21,313300,0
2008-01-29,1.24,1.28,1.22,1.26,435200,0
2008-01-30,1.29,1.29,1.23,1.24,603100,0
2008-01-31,1.3,1.3,1.14,1.19,613100,0
2008-02-01,1.19,1.25,1.16,1.22,246100,0
2008-02-04,1.24,1.24,1.19,1.23,217200,0
2008-02-05,1.23,1.23,1.16,1.17,199400,0
2008-02-06,1.17,1.23,1.15,1.22,216000,0
2008-02-07,1.22,1.22,1.15,1.15,142800,0
2008-02-08,1.18,1.22,1.15,1.15,127700,0
2008-02-11,1.17,1.18,1.16,1.17,111000,0
2008-02-12,1.18,1.18,1.14,1.16,114400,0
2008-02-13,1.16,1.17,1.15,1.17,76900,0
2008-02-14,1.24,1.27,1.17,1.18,320000,0
2008-02-15,1.2,1.2,1.15,1.17,79700,0
2008-02-19,1.16,1.19,1.13,1.15,198500,0
2008-02-20,1.14,1.17,1.09,1.12,153400,0
2008-02-21,1.15,1.15,1.11,1.12,104900,0
2008-02-22,1.09,1.11,1.03,1.04,322100,0
2008-02-25,1.06,1.14,1.05,1.11,265300,0
2008-02-26,1.12,1.13,1.09,1.12,128700,0
2008-02-27,1.1,1.11,1.07,1.09,140900,0
2008-02-28,1.12,1.12,1.05,1.08,156800,0
2008-02-29,1.05,1.08,1.05,1.05,152300,0
2008-03-03,1.02,1.1,1.02,1.07,232100,0
2008-03-04,1.04,1.07,1.02,1.03,104200,0
2008-03-05,1.05,1.08,1.02,1.02,142300,0
2008-03-06,1.03,1.05,1.02,1.02,114200,0
2008-03-07,1.03,1.06,1.01,1.01,192500,0
2008-03-10,1.02,1.02,0.95,0.96,309300,0
2008-03-11,0.95,1.0,0.95,0.99,134900,0
2008-03-12,0.99,1.02,0.97,0.98,90000,0
2008-03-13,1.02,1.02,0.95,0.98,109700,0
