Date,Open,High,Low,Close,Volume,Dividend
2010-06-09,2.88,2.88,2.88,2.88,0,0
2010-06-10,2.88,2.88,2.88,2.88,0,0
2010-06-11,2.88,2.88,2.88,2.88,0,0
2010-06-14,2.88,2.88,2.88,2.88,0,0
2010-06-15,2.88,2.88,2.88,2.88,0,0
2010-06-16,2.88,2.88,2.88,2.88,0,0
2010-06-17,3.23,3.23,3.23,3.23,300,0
2010-06-18,3.23,3.23,3.23,3.23,0,0
2010-06-21,3.23,3.23,3.23,3.23,0,0
2010-06-22,3.23,3.23,3.23,3.23,0,0
2010-06-23,3.23,3.23,3.23,3.23,0,0
2010-06-24,3.23,3.23,3.23,3.23,0,0
2010-06-25,3.23,3.23,3.23,3.23,0,0
2010-06-28,3.23,3.23,3.23,3.23,0,0
2010-06-29,3.23,3.23,3.23,3.23,0,0
2010-06-30,3.23,3.23,3.23,3.23,0,0
2010-07-01,3.23,3.23,3.23,3.23,0,0
2010-07-02,3.23,3.23,3.23,3.23,0,0
2010-07-06,3.23,3.23,3.23,3.23,0,0
2010-07-07,3.23,3.23,3.23,3.23,0,0
2010-07-08,3.23,3.23,3.23,3.23,0,0
2010-07-09,3.23,3.23,3.23,3.23,0,0
2010-07-12,3.23,3.23,3.23,3.23,0,0
2010-07-13,3.23,3.23,3.23,3.23,0,0
2010-07-14,3.23,3.23,3.23,3.23,0,0
2010-07-15,3.23,3.23,3.23,3.23,0,0
2010-07-16,3.23,3.23,3.23,3.23,0,0
2010-07-19,3.23,3.23,3.23,3.23,0,0
2010-07-20,3.23,3.23,3.23,3.23,0,0
2010-07-21,3.23,3.23,3.23,3.23,0,0
2010-07-22,3.23,3.23,3.23,3.23,0,0
2010-07-23,3.23,3.23,3.23,3.23,0,0
2010-07-26,3.23,3.23,3.23,3.23,0,0
2010-07-27,3.23,3.23,3.23,3.23,0,0
2010-07-28,3.23,3.23,3.23,3.23,0,0
2010-07-29,3.23,3.23,3.23,3.23,0,0
2010-07-30,3.23,3.23,3.23,3.23,0,0
2010-08-02,3.23,3.23,3.23,3.23,0,0
2010-08-03,3.23,3.23,3.23,3.23,0,0
2010-08-04,3.23,3.23,3.23,3.23,0,0
2010-08-05,3.23,3.23,3.23,3.23,0,0
2010-08-06,3.23,3.23,3.23,3.23,0,0
2010-08-09,3.75,3.75,3.75,3.75,600,0
2010-08-10,3.75,3.75,3.75,3.75,0,0
2010-08-11,3.75,3.75,3.75,3.75,0,0
2010-08-12,3.75,3.75,3.75,3.75,0,0
2010-08-13,3.75,3.75,3.75,3.75,0,0
2010-08-16,3.75,3.75,3.75,3.75,0,0
2010-08-17,3.59,3.59,3.59,3.59,300,0
2010-08-18,3.58,3.58,3.58,3.58,300,0
2010-08-19,3.58,3.58,3.58,3.58,0,0
2010-08-20,3.58,3.58,3.58,3.58,0,0
2010-08-23,3.58,3.58,3.58,3.58,0,0
2010-08-24,3.58,3.58,3.58,3.58,0,0
2010-08-25,3.58,3.58,3.58,3.58,0,0
2010-08-26,3.58,3.58,3.58,3.58,0,0
2010-08-27,3.43,3.43,3.43,3.43,300,0
2010-08-30,3.43,3.43,3.43,3.43,0,0
2010-08-31,3.43,3.43,3.43,3.43,0,0
2010-09-01,3.43,3.43,3.43,3.43,0,0
2010-09-02,3.43,3.43,3.43,3.43,0,0
2010-09-03,3.43,3.43,3.43,3.43,0,0
2010-09-07,3.43,3.43,3.43,3.43,0,0
2010-09-08,3.43,3.43,3.43,3.43,0,0
2010-09-09,3.43,3.43,3.43,3.43,0,0
2010-09-10,3.43,3.43,3.43,3.43,0,0
2010-09-13,3.43,3.43,3.43,3.43,0,0
2010-09-14,3.43,3.43,3.43,3.43,0,0
2010-09-15,3.43,3.43,3.43,3.43,0,0
2010-09-16,3.43,3.43,3.43,3.43,0,0
2010-09-17,3.43,3.43,3.43,3.43,0,0
2010-09-20,4.03,4.03,4.03,4.03,5100,0
2010-09-21,4.03,4.03,4.03,4.03,0,0
2010-09-22,4.03,4.03,4.03,4.03,0,0
2010-09-23,4.03,4.03,4.03,4.03,0,0
2010-09-24,4.03,4.03,4.03,4.03,0,0
2010-09-27,4.03,4.03,4.03,4.03,0,0
2010-09-28,4.03,4.03,4.03,4.03,0,0
2010-09-29,4.03,4.03,4.03,4.03,0,0
2010-09-30,4.03,4.03,4.03,4.03,0,0
2010-10-01,4.03,4.03,4.03,4.03,0,0
2010-10-04,4.03,4.03,4.03,4.03,0,0
