Date,Open,High,Low,Close,Volume,Dividend
2014-08-01,20.5,21.19,19.73,20.94,4560200,0
2014-08-04,20.82,21.45,20.75,21.0,445600,0
2014-08-05,21.0,21.3,20.8,21.06,741000,0
2014-08-06,21.01,21.75,21.0,21.4,195200,0
2014-08-07,21.35,21.65,21.14,21.25,285200,0
2014-08-08,21.26,21.51,21.25,21.5,106800,0
2014-08-11,21.43,21.5,21.25,21.27,144800,0
2014-08-12,21.25,21.45,21.18,21.35,133600,0
2014-08-13,21.35,21.45,21.25,21.33,183600,0
2014-08-14,21.32,21.5,21.27,21.49,504300,0
2014-08-15,21.49,21.62,21.49,21.6,22900,0
2014-08-18,21.65,21.85,21.6,21.8,110900,0
2014-08-19,21.85,21.97,21.75,21.97,81200,0
2014-08-20,21.98,22.1,21.86,22.0,58900,0
2014-08-21,22.1,22.4,21.93,22.0,173100,0
2014-08-22,22.01,22.15,22.0,22.03,33700,0
2014-08-25,22.06,22.1,22.0,22.03,33000,0
2014-08-26,22.19,22.19,22.0,22.13,72200,0
2014-08-27,22.19,22.91,22.09,22.53,129200,0
2014-08-28,22.32,22.62,22.17,22.52,80500,0
2014-08-29,22.62,22.99,22.5,22.91,39400,0
2014-09-02,22.9,23.0,22.63,22.88,115600,0
2014-09-03,22.84,23.16,22.76,22.9,62800,0
2014-09-04,22.7,23.07,22.42,22.59,76300,0
2014-09-05,22.5,22.65,21.21,22.19,246100,0
2014-09-08,22.28,22.83,22.28,22.52,120800,0
2014-09-09,22.64,22.75,22.41,22.53,64900,0
2014-09-10,22.44,22.74,22.35,22.42,75400,0
2014-09-11,22.25,22.45,22.2,22.4,38500,0
2014-09-12,22.16,22.53,21.83,22.31,112600,0
2014-09-15,22.52,22.52,22.14,22.4,76900,0
2014-09-16,22.46,22.51,21.99,22.15,205100,0
2014-09-17,22.05,22.05,21.53,21.85,136900,0
2014-09-18,21.78,21.93,21.55,21.72,242500,0
2014-09-19,21.75,21.86,21.54,21.65,534700,0
2014-09-22,21.65,21.93,21.63,21.85,88900,0
2014-09-23,21.81,22.06,21.62,21.92,88100,0
2014-09-24,21.92,22.47,21.83,22.3,51800,0
2014-09-25,22.3,22.6,22.03,22.46,107200,0
2014-09-26,22.38,23.32,22.34,23.17,132800,0
2014-09-29,23.1,23.1,22.34,22.57,136200,0
