Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,32.28,32.28,31.32,31.44,630600,0
2008-01-03,31.55,31.55,30.6,30.73,779100,0
2008-01-04,30.38,30.68,30.15,30.46,971100,0
2008-01-07,30.49,30.73,29.95,30.14,486900,0
2008-01-08,30.33,30.33,29.12,29.15,663200,0
2008-01-09,29.03,29.16,28.04,28.14,1615200,0
2008-01-10,28.01,28.79,27.87,28.46,606400,0
2008-01-11,28.29,28.66,27.5,28.49,1036600,0
2008-01-14,28.55,28.8,28.26,28.34,642200,0
2008-01-15,26.5,26.5,22.85,22.91,5129100,0
2008-01-16,22.86,24.45,22.65,23.69,2130100,0
2008-01-17,23.64,23.69,22.3,22.56,1745900,0
2008-01-18,22.62,22.96,22.15,22.6,1126000,0
2008-01-22,21.65,22.73,21.59,22.06,980900,0
2008-01-23,21.8,22.48,21.19,22.02,1782000,0
2008-01-24,22.28,23.56,21.92,23.32,1497500,0
2008-01-25,23.53,23.75,23.02,23.69,1389700,0
2008-01-28,23.43,24.08,23.1,24.08,1046700,0
2008-01-29,24.33,25.99,24.14,25.8,1672100,0
2008-01-30,25.61,25.81,25.55,25.75,2736700,0
2008-01-31,25.56,25.69,25.13,25.5,886400,0
2008-02-01,25.65,25.84,24.79,25.77,673900,0
2008-02-04,25.8,25.89,25.45,25.69,482000,0
2008-02-05,25.27,25.37,25.04,25.25,635500,0
2008-02-06,25.33,25.49,24.72,24.75,627500,0
2008-02-07,24.64,24.95,24.42,24.64,505300,0
2008-02-08,24.51,24.73,24.05,24.42,548700,0
2008-02-11,24.32,24.52,23.84,24.38,665000,0
2008-02-12,24.56,25.19,24.25,25.06,709900,0
2008-02-13,25.29,25.3,25.03,25.22,424800,0
2008-02-14,25.36,25.36,24.99,25.06,424200,0
2008-02-15,24.95,24.96,24.54,24.75,356200,0
2008-02-19,24.95,25.0,24.29,24.44,421800,0
2008-02-20,24.48,24.73,24.12,24.71,369800,0
2008-02-21,24.9,25.09,24.39,24.48,497500,0
2008-02-22,24.51,24.51,23.23,23.94,484800,0
2008-02-25,23.85,24.14,23.37,24.04,519700,0
2008-02-26,24.0,24.67,23.92,24.37,402100,0
2008-02-27,24.27,24.61,24.07,24.53,371300,0
2008-02-28,24.35,24.5,23.59,23.83,449900,0
2008-02-29,23.41,23.63,23.12,23.2,578600,0
2008-03-03,23.1,23.12,22.39,22.67,469300,0
2008-03-04,22.43,22.68,22.36,22.49,458900,0
2008-03-05,22.63,23.2,22.5,23.18,398100,0
2008-03-06,23.03,23.17,22.72,22.77,403700,0
2008-03-07,22.47,22.93,22.23,22.41,390000,0
2008-03-10,22.46,22.97,22.26,22.44,290600,0
2008-03-11,23.0,23.0,22.24,22.65,302100,0
2008-03-12,22.82,23.0,22.38,22.76,240000,0
2008-03-13,22.42,22.76,22.11,22.6,416600,0
2008-03-14,22.87,22.88,21.5,21.91,583500,0
2008-03-17,21.33,21.49,20.7,20.83,556000,0
2008-03-18,20.96,22.26,20.93,22.16,431600,0
2008-03-19,22.23,22.45,21.72,21.72,402100,0
2008-03-20,21.7,22.15,21.1,22.06,426300,0
2008-03-24,22.18,23.2,22.16,23.05,426400,0
2008-03-25,23.13,23.32,22.9,23.17,658100,0
2008-03-26,23.06,23.21,22.69,23.04,365200,0
2008-03-27,23.1,23.15,22.7,22.87,391900,0
2008-03-28,22.85,22.88,22.14,22.2,380800,0
2008-03-31,22.08,22.09,21.38,21.52,939900,0
2008-04-01,21.52,22.62,21.4,22.51,586300,0
2008-04-02,22.84,23.93,22.39,23.63,955100,0
2008-04-03,23.67,24.31,23.39,24.16,655400,0
2008-04-04,24.1,24.56,23.68,24.38,369300,0
2008-04-07,24.78,24.78,24.04,24.36,275000,0
2008-04-08,24.2,25.18,24.07,24.93,497700,0
2008-04-09,24.91,25.01,24.59,24.65,388700,0
2008-04-10,24.6,25.45,24.44,25.12,356000,0
2008-04-11,24.88,25.06,24.3,24.59,281700,0
2008-04-14,24.47,24.82,24.41,24.53,365600,0
2008-04-15,24.7,24.91,24.47,24.78,233300,0
2008-04-16,24.8,25.36,24.68,25.25,334800,0
2008-04-17,25.2,25.59,25.12,25.31,332600,0
2008-04-18,25.62,25.8,25.43,25.64,260700,0
2008-04-21,25.5,25.67,25.26,25.57,310800,0
2008-04-22,25.47,25.47,24.78,25.09,393800,0
2008-04-23,25.21,25.81,25.06,25.77,322700,0
2008-04-24,25.74,26.95,25.61,26.56,342900,0
2008-04-25,26.58,26.79,26.07,26.7,216600,0
2008-04-28,26.62,26.63,26.0,26.43,604800,0
2008-04-29,25.13,25.14,21.75,23.26,2830400,0
2008-04-30,23.48,25.1,23.13,24.77,1109800,0
2008-05-01,24.64,24.64,23.59,24.56,834300,0
2008-05-02,24.7,24.72,24.08,24.53,586900,0
2008-05-05,24.28,24.28,22.69,22.94,1006600,0
2008-05-06,22.76,23.72,22.7,23.48,682000,0
2008-05-07,23.56,23.56,22.75,22.87,487600,0
2008-05-08,22.99,23.33,22.86,23.18,429400,0
2008-05-09,22.92,23.46,22.92,23.16,312900,0
2008-05-12,23.08,23.66,22.95,23.61,470000,0
2008-05-13,23.69,24.64,23.69,24.24,404500,0
2008-05-14,24.26,24.86,24.14,24.27,529300,0
2008-05-15,24.27,24.89,24.07,24.85,149300,0
2008-05-16,24.53,25.17,23.97,25.16,225100,0
2008-05-19,24.86,25.52,24.6,24.64,409300,0
2008-05-20,24.51,25.39,24.51,25.32,361700,0
2008-05-21,25.32,25.68,25.3,25.41,449100,0
2008-05-22,25.39,25.95,25.37,25.57,285300,0
2008-05-23,25.5,25.55,25.13,25.14,251800,0
2008-05-27,25.24,25.64,24.71,25.14,850900,0
2008-05-28,25.2,25.3,24.76,24.9,478900,0
2008-05-29,24.9,25.25,24.83,24.98,550600,0
2008-05-30,24.97,25.3,24.73,25.27,400700,0
2008-06-02,25.15,25.17,24.03,24.29,458300,0
2008-06-03,24.16,24.58,23.94,24.22,563900,0
2008-06-04,24.1,24.66,23.95,24.37,311500,0
2008-06-05,24.52,24.68,23.99,24.43,661900,0
2008-06-06,24.2,24.26,23.75,23.85,333800,0
2008-06-09,23.85,23.85,22.87,23.11,486000,0
2008-06-10,22.99,23.43,22.89,23.37,465800,0
2008-06-11,23.35,23.37,22.76,22.76,644300,0
2008-06-12,22.93,23.23,22.7,22.81,279200,0
2008-06-13,23.1,23.41,22.85,23.07,380500,0
2008-06-16,22.91,23.5,22.88,23.28,322700,0
2008-06-17,23.13,23.96,23.13,23.48,453200,0
2008-06-18,23.17,23.35,22.61,23.27,484200,0
2008-06-19,23.32,23.7,22.93,23.56,357300,0
2008-06-20,22.62,23.82,22.6,22.76,428900,0
2008-06-23,22.85,22.99,22.14,22.14,215500,0
2008-06-24,22.14,22.16,21.7,21.93,284000,0
2008-06-25,22.06,22.73,21.72,22.35,287000,0
2008-06-26,21.98,22.15,20.6,20.72,1028600,0
2008-06-27,20.72,21.07,20.16,20.31,4186000,0
2008-06-30,20.2,21.07,19.82,20.77,1086600,0
2008-07-01,20.34,20.92,20.06,20.84,976900,0
2008-07-02,20.89,21.18,20.65,20.85,874000,0
2008-07-03,20.88,20.9,19.37,19.37,692100,0
