Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.18,28.75,28.16,28.61,2807200,0
2008-01-03,29.93,32.98,29.93,32.44,8328400,0
2008-01-04,31.81,32.39,31.08,31.64,3706200,0
2008-01-07,31.84,31.95,30.27,31.14,3585400,0
2008-01-08,31.32,32.28,30.9,30.98,2971200,0
2008-01-09,30.83,31.05,30.01,30.63,3572000,0
2008-01-10,31.14,31.14,29.63,30.83,3585400,0
2008-01-11,31.0,31.0,29.78,29.97,3019800,0
2008-01-14,30.16,31.22,30.16,31.1,3054000,0
2008-01-15,30.7,30.73,28.85,28.94,4898000,0
2008-01-16,28.76,28.92,27.17,27.35,4085800,0
2008-01-17,27.44,28.65,26.77,26.77,5860800,0
2008-01-18,26.83,26.93,26.0,26.69,6003600,0
2008-01-22,24.88,26.7,24.0,26.17,7932000,0
2008-01-23,25.48,26.02,22.95,25.87,8712600,0
2008-01-24,25.87,26.94,25.87,26.68,4662400,0
2008-01-25,26.93,27.89,25.99,26.33,3350200,0
2008-01-28,26.51,26.66,25.52,26.56,2883600,0
2008-01-29,26.75,26.78,25.58,26.21,3069200,0
2008-01-30,26.47,26.47,25.32,25.35,3413600,0
2008-01-31,24.75,24.75,23.66,24.08,8893400,0
2008-02-01,24.23,24.82,23.67,24.42,5131200,0
2008-02-04,24.17,24.43,23.84,24.06,3543800,0
2008-02-05,23.77,23.98,23.25,23.26,3041800,0
2008-02-06,23.5,23.93,23.17,23.27,4162000,0
2008-02-07,23.09,23.47,22.75,23.06,3690400,0
2008-02-08,23.05,24.1,22.94,24.1,4332600,0
2008-02-11,24.24,25.11,23.76,24.98,3989600,0
2008-02-12,25.15,25.62,24.73,25.12,2899600,0
2008-02-13,25.16,26.15,25.03,26.07,3320600,0
2008-02-14,26.31,26.49,25.76,25.77,2451800,0
2008-02-15,26.23,26.74,24.92,25.48,7276800,0
2008-02-19,25.5,26.64,25.5,26.25,7215000,0
2008-02-20,26.17,27.38,26.0,27.09,5072600,0
2008-02-21,27.3,27.82,26.91,27.01,5538600,0
2008-02-22,26.76,27.34,26.24,27.26,4506600,0
2008-02-25,26.51,27.6,26.33,27.42,4158600,0
2008-02-26,27.57,28.98,27.32,28.79,4924600,0
2008-02-27,28.56,29.62,28.31,29.24,6501200,0
2008-02-28,29.14,30.26,28.57,29.94,4708600,0
2008-02-29,29.57,29.6,27.96,28.33,4674400,0
2008-03-03,28.12,28.9,27.78,28.46,3203800,0
2008-03-04,28.5,28.66,27.55,28.11,4227800,0
2008-03-05,28.47,29.34,27.96,29.28,3787200,0
2008-03-06,29.11,29.5,28.55,28.64,4120400,0
2008-03-07,28.33,28.69,27.49,27.89,3466600,0
2008-03-10,27.89,27.99,26.81,26.9,3228800,0
2008-03-11,27.52,28.15,27.01,28.08,3354400,0
2008-03-12,27.85,28.48,27.48,28.01,3209400,0
2008-03-13,27.9,28.8,27.24,28.69,2182800,0
2008-03-14,29.0,29.35,27.84,29.15,4456400,0
2008-03-17,28.42,28.45,26.75,27.66,4410400,0
2008-03-18,28.36,30.23,28.36,29.94,5596400,0
2008-03-19,30.15,30.15,27.92,27.94,6409800,0
2008-03-20,27.5,27.5,24.92,26.94,5754000,0
2008-03-24,26.72,28.4,26.72,27.83,2111600,0
2008-03-25,28.0,28.38,27.28,27.94,3862600,0
2008-03-26,27.88,29.33,27.77,29.26,4214600,0
2008-03-27,28.91,29.11,28.14,28.31,3973400,0
2008-03-28,28.4,28.75,28.08,28.22,2561600,0
2008-03-31,28.22,28.83,27.84,28.44,3167600,0
2008-04-01,28.4,28.92,27.94,28.92,2661400,0
2008-04-02,29.05,30.33,28.86,29.77,3805200,0
2008-04-03,29.51,30.16,29.29,29.82,2270800,0
2008-04-04,29.89,31.75,29.88,30.85,3838600,0
2008-04-07,31.24,31.94,30.6,30.93,2491000,0
2008-04-08,30.83,31.17,30.33,31.11,1886000,0
2008-04-09,31.21,31.75,31.03,31.28,2424000,0
2008-04-10,31.23,31.48,30.83,31.42,2304800,0
2008-04-11,30.98,31.61,30.72,30.91,2347800,0
2008-04-14,31.2,31.97,30.75,31.96,3316800,0
2008-04-15,31.98,33.17,31.97,33.08,5058800,0
2008-04-16,33.27,34.14,32.7,33.99,4555600,0
2008-04-17,33.13,34.17,33.09,33.26,3342600,0
2008-04-18,33.5,35.13,33.15,35.02,3603400,0
2008-04-21,35.32,35.32,34.1,35.03,3545000,0
2008-04-22,34.97,35.29,34.22,34.56,4340000,0
2008-04-23,34.58,34.76,33.26,33.69,4072400,0
2008-04-24,33.65,33.74,32.15,33.28,4434800,0
2008-04-25,33.3,34.49,33.09,34.31,2339000,0
2008-04-28,34.31,35.17,34.25,34.38,3369000,0
2008-04-29,33.83,34.53,32.65,32.94,5668400,0
2008-04-30,33.08,34.02,32.91,33.6,3361600,0
2008-05-01,33.44,33.59,31.78,32.83,4453400,0
2008-05-02,32.79,33.62,32.79,33.4,2483200,0
2008-05-05,34.13,34.49,33.49,33.71,2307400,0
2008-05-06,33.88,34.4,33.1,34.22,3196400,0
2008-05-07,34.5,34.58,33.67,34.13,2864800,0
2008-05-08,34.33,37.29,34.14,37.13,6109600,0
2008-05-09,37.49,39.62,36.62,38.92,8559200,0
2008-05-12,38.83,38.83,37.31,37.92,4685800,0
2008-05-13,38.01,39.11,37.42,39.11,2912400,0
2008-05-14,39.47,39.47,37.95,38.0,2204200,0
2008-05-15,38.35,39.1,37.92,39.1,2384600,0
2008-05-16,39.37,40.31,38.81,39.28,3594800,0
2008-05-19,39.58,39.94,38.93,39.21,2523200,0
2008-05-20,39.19,39.34,38.37,39.01,4432400,0
2008-05-21,39.1,41.59,39.08,39.85,6699000,0
2008-05-22,38.79,39.51,37.28,37.79,5597800,0
2008-05-23,38.47,38.83,37.17,37.78,2143000,0
2008-05-27,36.68,37.5,35.99,36.6,4267200,0
2008-05-28,36.84,37.2,35.88,37.2,4828200,0
2008-05-29,37.06,37.2,35.68,35.84,4093200,0
2008-05-30,35.97,36.47,35.62,35.92,4084200,0
2008-06-02,35.72,36.85,35.69,36.15,3184200,0
2008-06-03,36.17,37.0,35.66,35.92,4026200,0
2008-06-04,35.87,37.24,35.58,36.44,4096600,0
2008-06-05,36.54,38.72,36.54,38.72,4208400,0
2008-06-06,38.65,39.49,37.6,37.6,3906600,0
2008-06-09,37.63,39.62,37.63,39.08,2470800,0
2008-06-10,38.9,39.28,37.08,37.9,2583000,0
2008-06-11,38.13,38.43,37.41,37.7,3475800,0
2008-06-12,37.82,37.82,36.99,37.17,2212200,0
2008-06-13,36.9,37.75,36.82,37.74,2718600,0
2008-06-16,38.11,38.38,37.56,38.19,2232200,0
2008-06-17,38.42,39.31,37.77,39.28,3451600,0
2008-06-18,39.58,39.58,38.33,39.38,2235800,0
2008-06-19,39.49,40.42,39.19,39.31,4332400,0
2008-06-20,39.21,39.85,38.18,38.42,3526200,0
2008-06-23,38.67,40.43,38.28,40.43,2486800,0
2008-06-24,40.56,40.66,38.94,39.04,2653400,0
2008-06-25,39.04,39.1,37.44,38.6,2505600,0
2008-06-26,39.67,39.67,37.6,38.63,3816000,0
2008-06-27,38.92,38.92,37.38,37.56,4032800,0
2008-06-30,37.57,38.67,37.57,38.47,5662800,0
2008-07-01,38.44,39.15,37.06,38.99,4487600,0
2008-07-02,39.08,40.17,37.27,37.27,5238400,0
2008-07-03,37.31,37.47,35.65,36.12,2138800,0
2008-07-07,35.71,36.77,35.01,36.12,3482800,0
2008-07-08,35.13,35.76,33.79,35.43,5285000,0
2008-07-09,35.33,36.91,35.21,35.44,3807600,0
2008-07-10,35.13,36.33,34.83,36.31,2896600,0
2008-07-11,37.17,37.24,36.02,36.81,2887600,0
2008-07-14,37.01,37.83,36.21,37.47,3381200,0
2008-07-15,36.55,37.13,34.92,35.28,4811200,0
2008-07-16,35.12,35.54,34.06,35.0,3791200,0
2008-07-17,35.06,35.87,33.0,33.8,3996400,0
2008-07-18,33.85,34.95,33.53,34.29,2581400,0
2008-07-21,34.49,35.98,33.7,35.98,2635200,0
2008-07-22,35.69,35.92,33.92,34.51,3155000,0
2008-07-23,34.17,34.76,32.72,33.17,3658400,0
2008-07-24,33.28,34.45,31.9,33.97,5773800,0
2008-07-25,35.51,35.51,33.68,34.15,5026600,0
2008-07-28,34.24,34.46,32.22,32.37,5711800,0
2008-07-29,32.28,32.28,30.67,30.96,5744200,0
2008-07-30,30.74,33.17,30.6,33.13,4106800,0
2008-07-31,32.31,32.31,30.88,30.89,4233400,0
2008-08-01,30.12,30.61,29.12,29.22,4663800,0
2008-08-04,28.9,28.92,26.79,26.98,4139000,0
2008-08-05,27.33,27.58,26.15,27.1,5922600,0
2008-08-06,26.75,27.95,26.75,27.84,4809200,0
2008-08-07,27.84,29.89,27.04,27.39,5162200,0
2008-08-08,27.11,27.19,26.27,26.49,4193000,0
2008-08-11,26.51,26.81,25.7,26.25,3734000,0
2008-08-12,26.25,26.72,25.68,25.71,3529400,0
2008-08-13,25.71,27.78,25.68,27.59,4744800,0
2008-08-14,27.32,27.44,26.68,27.06,2948000,0
2008-08-15,26.97,27.0,25.58,25.97,6171800,0
2008-08-18,25.96,26.38,25.19,25.33,3865800,0
2008-08-19,25.51,25.7,25.1,25.59,3865400,0
2008-08-20,26.0,26.59,25.67,26.59,6204000,0
2008-08-21,26.97,27.5,26.65,27.1,4070600,0
2008-08-22,27.07,27.08,26.33,26.53,2447800,0
2008-08-25,26.5,26.67,25.57,25.99,3018000,0
2008-08-26,26.34,26.65,25.84,26.58,2864400,0
2008-08-27,26.68,27.11,26.6,27.08,2867000,0
2008-08-28,27.26,27.49,26.41,27.05,3200400,0
2008-08-29,27.31,27.35,26.63,26.78,2099600,0
2008-09-02,25.72,25.83,24.51,24.55,4581800,0
