Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,21.33,21.5,20.78,21.22,79400,0
2008-01-03,21.46,21.46,20.87,20.93,95700,0
2008-01-04,20.76,21.2,20.76,20.87,93500,0
2008-01-07,20.8,21.12,20.75,20.81,100500,0
2008-01-08,20.94,20.94,20.5,20.51,147400,0
2008-01-09,20.5,20.74,19.76,20.25,140800,0
2008-01-10,20.25,20.55,19.95,20.34,148100,0
2008-01-11,20.48,20.64,20.11,20.57,145200,0
2008-01-14,20.67,20.75,20.1,20.21,169600,0
2008-01-15,20.19,20.54,20.0,20.25,111200,0
2008-01-16,20.01,20.69,20.01,20.3,114400,0
2008-01-17,20.4,20.4,20.06,20.08,162700,0
2008-01-18,20.06,20.4,19.56,20.0,136700,0
2008-01-22,19.45,20.14,19.25,19.73,168200,0
2008-01-23,19.8,20.86,19.6,20.38,231700,0
2008-01-24,20.71,20.99,20.25,20.4,175400,0
2008-01-25,20.47,20.94,20.23,20.38,147600,0
2008-01-28,20.54,20.54,20.08,20.23,163500,0
2008-01-29,20.44,20.85,20.34,20.59,141000,0
2008-01-30,20.7,21.83,20.57,21.83,132500,0
2008-01-31,21.76,22.22,21.3,21.9,148800,0
2008-02-01,21.8,22.05,21.02,22.05,106100,0
2008-02-04,22.17,22.7,21.71,22.65,103300,0
2008-02-05,22.26,22.56,21.86,22.1,96600,0
2008-02-06,21.89,22.2,21.85,21.92,65000,0
2008-02-07,21.55,22.39,21.55,22.3,111800,0
2008-02-08,22.35,22.75,22.02,22.12,78100,0
2008-02-11,21.97,22.56,21.93,22.37,73400,0
2008-02-12,22.85,23.53,22.55,23.23,122700,0
2008-02-13,23.15,23.38,22.96,23.16,87700,0
2008-02-14,23.24,23.39,22.8,22.97,90600,0
2008-02-15,23.18,23.43,22.51,23.4,104600,0
2008-02-19,23.6,24.5,23.6,23.95,154200,0
2008-02-20,23.78,24.13,23.56,23.9,75500,0
2008-02-21,23.74,24.05,23.6,23.74,66200,0
2008-02-22,23.68,23.81,23.06,23.34,75200,0
2008-02-25,23.64,23.8,23.24,23.64,60600,0
