Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,36.77,37.05,36.01,36.55,438500,0
2008-01-03,36.8,36.82,35.7,35.95,579000,0
2008-01-04,35.54,35.6,34.12,34.46,454600,0
2008-01-07,34.55,34.95,34.07,34.37,278800,0
2008-01-08,34.31,34.55,33.01,33.01,558000,0
2008-01-09,32.9,32.93,32.07,32.58,856600,0
2008-01-10,32.41,33.46,31.97,32.82,573000,0
2008-01-11,32.65,32.73,31.87,32.05,515400,0
2008-01-14,32.2,32.5,31.57,31.97,449500,0
2008-01-15,31.77,32.03,31.35,32.01,458500,0
2008-01-16,31.77,33.1,31.77,32.85,533600,0
2008-01-17,33.1,33.72,31.69,31.71,510500,0
2008-01-18,31.94,32.26,31.05,31.81,466700,0
2008-01-22,30.54,33.58,30.52,31.89,729200,0
2008-01-23,31.15,33.95,30.98,33.43,863200,0
2008-01-24,35.1,36.48,34.6,35.18,1367400,0
2008-01-25,35.29,35.96,35.06,35.45,709900,0
2008-01-28,35.17,35.38,34.56,35.33,630300,0
2008-01-29,35.6,35.73,35.06,35.44,605800,0
2008-01-30,35.44,36.13,35.07,35.45,990000,0
2008-01-31,34.99,37.8,34.91,37.57,1618700,0
2008-02-01,37.36,38.1,36.75,38.08,990700,0
2008-02-04,38.08,38.39,37.0,37.23,900900,0
2008-02-05,36.91,37.88,36.6,36.62,762600,0
2008-02-06,36.75,36.94,36.15,36.2,686400,0
2008-02-07,36.15,36.89,35.9,36.72,709500,0
2008-02-08,36.67,37.39,36.13,36.68,697000,0
2008-02-11,36.63,36.93,36.09,36.8,504600,0
2008-02-12,37.07,37.86,36.9,37.14,511100,0
2008-02-13,37.52,37.97,37.04,37.82,476000,0
2008-02-14,38.07,38.41,37.06,37.46,370100,0
2008-02-15,37.24,37.41,36.67,37.32,381600,0
2008-02-19,37.62,38.33,37.32,38.03,517900,0
2008-02-20,37.93,38.86,37.4,38.64,514100,0
2008-02-21,38.7,39.39,37.62,37.72,532600,0
2008-02-22,37.9,38.14,37.22,37.95,381300,0
2008-02-25,38.0,39.04,37.61,38.95,407600,0
2008-02-26,38.73,39.12,38.27,38.97,593300,0
2008-02-27,38.35,39.11,37.94,38.04,544900,0
2008-02-28,37.9,38.02,36.85,37.21,468400,0
2008-02-29,36.88,36.88,35.91,35.98,539500,0
2008-03-03,35.91,36.91,35.7,36.52,453500,0
2008-03-04,36.25,37.02,35.81,36.69,552600,0
2008-03-05,36.85,37.2,36.02,36.45,396100,0
2008-03-06,36.1,36.1,35.45,35.54,401600,0
2008-03-07,35.39,35.86,34.79,35.06,429700,0
2008-03-10,35.12,35.67,34.36,34.56,488700,0
2008-03-11,35.43,36.01,34.64,35.54,417000,0
2008-03-12,35.72,36.35,35.26,35.39,352300,0
2008-03-13,35.03,37.15,34.44,36.82,570800,0
2008-03-14,37.06,37.52,35.93,36.34,522700,0
2008-03-17,35.65,36.37,35.38,35.62,612200,0
2008-03-18,36.16,37.47,36.16,37.26,496400,0
2008-03-19,37.24,38.0,36.89,36.89,495100,0
2008-03-20,36.85,37.66,36.14,37.66,681600,0
2008-03-24,37.73,40.32,37.73,39.69,587900,0
2008-03-25,39.52,41.64,39.52,41.15,687400,0
2008-03-26,40.65,40.8,39.33,40.08,434000,0
2008-03-27,40.16,40.16,39.01,39.11,347800,0
2008-03-28,39.4,40.02,39.18,39.38,432200,0
2008-03-31,39.25,39.57,38.44,39.07,703900,0
2008-04-01,39.53,41.05,39.2,40.99,594400,0
2008-04-02,40.96,41.46,40.36,40.57,581300,0
2008-04-03,40.22,40.7,40.04,40.15,510500,0
2008-04-04,40.08,40.32,39.54,39.72,440200,0
2008-04-07,39.92,40.06,39.42,39.55,367100,0
2008-04-08,39.32,40.14,39.18,40.03,385100,0
2008-04-09,39.85,39.87,37.17,37.45,560600,0
2008-04-10,37.71,38.39,37.33,38.32,303200,0
2008-04-11,38.0,38.1,36.94,37.1,244000,0
2008-04-14,37.0,37.0,36.44,36.6,285700,0
2008-04-15,36.88,37.65,36.78,37.44,331700,0
2008-04-16,37.85,39.06,37.64,38.73,1023600,0
2008-04-17,38.6,38.7,37.51,37.79,468700,0
2008-04-18,38.44,39.36,38.31,39.22,299700,0
2008-04-21,39.07,40.15,39.06,39.94,861600,0
2008-04-22,39.87,39.99,38.64,38.9,422400,0
2008-04-23,38.95,39.32,38.23,38.94,569000,0
2008-04-24,40.35,42.27,40.35,41.63,1187000,0
2008-04-25,41.83,43.5,41.01,43.3,945400,0
2008-04-28,43.35,44.67,43.29,44.46,717200,0
2008-04-29,44.29,44.98,43.61,44.22,891400,0
2008-04-30,44.48,45.21,43.77,44.0,969400,0
2008-05-01,44.37,46.25,43.78,46.05,699900,0
2008-05-02,46.17,46.19,45.01,45.34,327700,0
2008-05-05,45.14,45.6,44.3,45.07,434300,0
2008-05-06,45.09,45.82,44.63,45.75,429200,0
2008-05-07,45.6,45.71,43.93,44.12,424000,0
2008-05-08,44.2,44.57,43.73,44.25,419800,0
2008-05-09,43.85,44.61,43.15,44.37,461900,0
2008-05-12,44.22,45.03,43.55,45.03,255600,0
2008-05-13,45.0,45.55,44.32,45.07,326200,0
2008-05-14,45.28,46.2,45.09,45.69,288400,0
2008-05-15,46.75,48.65,46.75,48.52,575000,0
2008-05-16,48.85,49.39,47.11,47.55,576100,0
2008-05-19,47.75,49.18,47.53,48.5,570000,0
2008-05-20,47.68,48.84,47.63,48.14,574700,0
2008-05-21,48.32,49.12,47.2,47.48,483300,0
2008-05-22,47.48,48.5,46.66,46.88,553300,0
2008-05-23,46.6,47.27,46.32,47.05,437600,0
2008-05-27,47.15,48.11,47.15,47.69,412200,0
2008-05-28,47.92,49.06,47.5,48.56,464400,0
2008-05-29,48.3,49.08,48.08,49.03,421600,0
2008-05-30,49.1,49.51,48.56,49.31,510000,0
2008-06-02,49.28,49.42,47.99,48.86,463200,0
2008-06-03,48.78,49.06,48.22,48.7,490600,0
2008-06-04,48.5,50.43,48.38,50.11,672700,0
2008-06-05,50.53,51.53,50.11,51.5,475400,0
2008-06-06,51.01,51.01,48.06,48.06,752200,0
2008-06-09,48.54,49.58,48.03,49.05,533600,0
2008-06-10,48.98,49.45,48.38,49.21,544900,0
2008-06-11,49.08,49.1,46.16,46.28,806900,0
2008-06-12,46.9,47.9,46.45,46.87,472300,0
2008-06-13,47.2,47.86,46.46,47.33,418800,0
2008-06-16,46.98,47.45,46.59,47.15,582800,0
2008-06-17,47.35,47.35,45.06,45.44,907700,0
2008-06-18,45.44,46.57,44.84,46.16,672500,0
2008-06-19,46.1,47.66,45.8,47.23,547900,0
2008-06-20,46.95,47.11,46.01,46.48,789700,0
2008-06-23,46.52,47.13,46.06,46.28,502700,0
2008-06-24,46.0,47.25,45.62,46.13,701200,0
2008-06-25,46.65,47.65,46.04,46.66,574300,0
2008-06-26,46.4,46.43,43.95,44.15,650500,0
2008-06-27,43.96,44.96,43.74,44.47,757900,0
2008-06-30,44.51,44.83,43.14,44.33,475200,0
2008-07-01,43.75,43.86,42.43,43.49,656500,0
2008-07-02,43.59,43.84,41.42,41.54,736400,0
2008-07-03,41.85,42.39,41.18,41.33,386600,0
2008-07-07,41.42,42.4,40.77,41.5,413700,0
2008-07-08,41.1,43.51,41.07,43.39,535200,0
2008-07-09,43.55,43.87,41.98,42.21,362900,0
2008-07-10,42.2,43.11,41.82,42.76,434500,0
2008-07-11,41.8,43.33,40.84,42.63,472100,0
2008-07-14,43.1,43.49,41.57,41.92,371000,0
2008-07-15,41.67,42.75,40.44,41.9,494300,0
2008-07-16,42.11,44.27,42.07,43.98,535800,0
2008-07-17,44.52,45.95,43.76,45.72,494900,0
2008-07-18,45.87,46.07,44.78,45.45,408800,0
2008-07-21,45.6,45.91,44.84,45.45,329500,0
2008-07-22,44.82,47.43,44.4,47.22,572400,0
2008-07-23,47.4,49.52,46.76,46.85,937700,0
2008-07-24,46.85,46.92,43.49,44.8,1340600,0
2008-07-25,45.65,46.37,45.25,45.88,608600,0
2008-07-28,45.39,45.55,43.68,43.77,571200,0
2008-07-29,43.79,45.71,43.73,45.71,758400,0
2008-07-30,46.01,46.3,44.96,45.5,772700,0
2008-07-31,44.79,45.93,44.55,45.47,671700,0
2008-08-01,45.84,46.66,44.56,45.5,609500,0
2008-08-04,45.41,45.5,44.55,44.74,593900,0
2008-08-05,45.31,45.9,44.97,45.85,848700,0
2008-08-06,45.67,45.8,44.24,45.41,1114800,0
2008-08-07,45.42,45.42,43.97,44.19,653600,0
2008-08-08,44.05,46.56,44.0,46.45,394500,0
2008-08-11,45.95,48.35,45.75,46.94,748500,0
2008-08-12,46.65,46.82,45.26,45.6,680400,0
2008-08-13,45.44,45.63,44.59,45.33,636400,0
2008-08-14,45.24,46.65,44.76,46.49,502400,0
2008-08-15,46.93,47.1,45.84,46.16,463300,0
2008-08-18,46.86,47.3,46.27,46.57,415900,0
2008-08-19,46.34,46.4,45.02,45.21,372000,0
2008-08-20,45.35,45.35,43.61,43.86,684000,0
2008-08-21,43.64,44.31,42.76,43.91,519800,0
2008-08-22,44.23,45.22,44.23,44.69,474900,0
2008-08-25,44.49,44.49,43.24,43.76,406900,0
2008-08-26,43.81,44.01,43.35,44.01,291400,0
2008-08-27,44.17,44.46,43.45,43.96,333800,0
2008-08-28,44.24,44.51,44.03,44.47,435100,0
2008-08-29,44.2,44.36,43.83,43.83,433300,0
2008-09-02,44.55,44.75,43.52,44.02,703400,0
2008-09-03,43.9,44.23,43.37,43.74,381700,0
2008-09-04,43.2,43.45,40.95,41.67,1003300,0
2008-09-05,41.72,42.02,40.72,41.75,601200,0
2008-09-08,43.56,43.59,42.03,42.56,603500,0
2008-09-09,42.56,42.58,40.82,40.92,515300,0
2008-09-10,41.57,41.93,40.74,41.37,519400,0
2008-09-11,40.81,41.91,39.97,41.91,463900,0
2008-09-12,41.45,42.57,41.11,42.33,501900,0
2008-09-15,40.3,42.28,40.24,40.3,659000,0
