Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,34.64,36.82,34.64,36.64,10244600,0
2008-01-03,36.57,38.55,36.55,37.89,11843200,0
2008-01-04,37.39,37.83,36.95,37.51,8260500,0
2008-01-07,37.01,38.43,36.66,37.2,7889100,0
2008-01-08,38.49,39.0,37.76,37.87,10621300,0
2008-01-09,37.51,37.72,36.67,37.15,9408700,0
2008-01-10,36.2,38.13,36.2,37.86,8564000,0
2008-01-11,37.49,38.53,37.2,38.06,7974700,0
2008-01-14,39.14,39.94,38.19,38.38,8962500,0
2008-01-15,37.98,38.51,36.39,36.6,9497700,0
2008-01-16,35.6,36.12,33.51,34.51,17032400,0
2008-01-17,34.98,35.42,33.54,33.93,12340700,0
2008-01-18,34.16,34.81,33.12,34.48,12161200,0
2008-01-22,32.21,36.05,31.86,36.03,13650000,0
2008-01-23,34.97,36.38,34.17,35.66,13022500,0
2008-01-24,37.2,38.19,36.8,38.06,10578300,0
2008-01-25,38.85,39.74,37.56,37.86,8777800,0
2008-01-28,38.35,38.49,37.51,38.38,7916000,0
2008-01-29,38.35,38.72,37.36,37.72,7954700,0
2008-01-30,37.57,39.4,37.33,38.74,8750500,0
2008-01-31,38.09,38.63,37.17,37.23,11123900,0
2008-02-01,37.91,38.37,36.51,36.75,8396400,0
2008-02-04,36.0,36.9,35.5,36.21,6689300,0
2008-02-05,35.16,35.79,34.52,34.6,8490900,0
2008-02-06,35.92,36.25,35.13,35.29,6072600,0
2008-02-07,35.13,35.5,34.58,34.93,6604800,0
2008-02-08,35.48,37.06,35.18,36.85,7390700,0
2008-02-11,36.89,37.43,36.14,37.12,5540900,0
2008-02-12,37.58,37.59,35.54,35.63,8072100,0
2008-02-13,35.64,36.44,35.22,36.37,6389200,0
2008-02-14,36.42,36.8,36.14,36.24,4507800,0
2008-02-15,36.36,37.29,36.06,36.86,7345100,0
2008-02-19,37.6,38.65,37.53,38.62,9711900,0
2008-02-20,38.37,39.11,38.01,39.11,8954800,0
2008-02-21,39.5,41.08,39.36,40.35,16490100,0
2008-02-22,40.34,40.61,39.22,40.52,9306100,0
2008-02-25,40.61,41.21,40.03,41.14,9399900,0
2008-02-26,40.68,42.7,40.68,42.27,10137000,0
2008-02-27,42.8,43.84,42.8,43.4,11184700,0
2008-02-28,43.72,44.87,43.21,44.71,9000600,0
2008-02-29,44.64,44.64,42.98,43.21,9027100,0
2008-03-03,43.77,44.38,42.92,43.75,11027000,0
2008-03-04,43.69,44.37,41.69,42.71,11609500,0
2008-03-05,43.08,44.56,43.06,44.35,10127200,0
2008-03-06,44.29,44.73,43.2,44.52,10103400,0
2008-03-07,44.23,44.59,42.21,42.77,8578600,0
2008-03-10,42.0,42.27,40.55,40.93,8367900,0
2008-03-11,41.95,43.24,41.3,43.13,9152500,0
2008-03-12,43.39,43.6,42.57,43.0,5510600,0
2008-03-13,44.14,44.95,43.94,44.85,9180100,0
2008-03-14,44.54,45.85,44.14,45.59,11379400,0
2008-03-17,45.02,46.3,43.1,44.22,11912500,0
2008-03-18,44.68,44.68,41.09,41.31,10738400,0
2008-03-19,40.89,40.89,38.54,38.71,16459900,0
2008-03-20,37.32,38.5,36.3,37.31,17590700,0
2008-03-24,37.7,38.92,37.17,37.31,9418900,0
2008-03-25,38.33,40.14,38.33,40.01,10448800,0
2008-03-26,40.32,40.89,39.88,40.64,7420600,0
2008-03-27,40.1,40.79,39.54,40.14,6244000,0
2008-03-28,39.43,39.73,38.88,39.5,6219200,0
2008-03-31,39.71,39.98,37.77,38.75,7934800,0
2008-04-01,37.24,37.65,36.66,37.46,11180000,0
2008-04-02,37.76,39.93,37.63,39.91,9694700,0
2008-04-03,39.83,40.1,39.18,39.55,7466700,0
2008-04-04,39.76,40.54,39.71,40.49,6934700,0
2008-04-07,41.09,41.51,40.3,40.52,6673900,0
2008-04-08,39.45,40.17,39.2,39.47,5321600,0
2008-04-09,39.5,40.7,39.36,40.63,5474200,0
2008-04-10,41.07,41.07,39.75,40.54,5109700,0
2008-04-11,40.08,40.4,39.14,39.31,5136700,0
2008-04-14,39.25,40.06,38.95,40.04,5238100,0
2008-04-15,40.52,41.3,40.35,41.27,6401000,0
2008-04-16,42.18,43.43,42.18,43.41,8084900,0
2008-04-17,43.3,43.3,42.17,42.27,5265400,0
2008-04-18,41.58,41.6,40.12,41.56,8961000,0
2008-04-21,41.93,41.97,40.54,41.07,6644700,0
2008-04-22,40.52,41.78,40.21,40.3,7259300,0
2008-04-23,39.1,39.27,38.28,38.44,8075700,0
2008-04-24,37.74,37.91,36.15,36.3,9859700,0
2008-04-25,36.87,37.43,36.25,36.59,6130400,0
2008-04-28,37.12,37.52,36.1,36.1,5805100,0
2008-04-29,35.28,35.74,34.31,34.47,8783800,0
2008-04-30,34.6,36.02,34.6,35.72,8794200,0
2008-05-01,34.98,35.45,33.83,35.11,10789100,0
2008-05-02,34.95,36.45,34.95,35.89,6575000,0
2008-05-05,37.45,37.45,36.07,36.68,7690400,0
2008-05-06,36.78,37.97,36.72,36.86,7988100,0
2008-05-07,36.49,38.06,36.17,37.38,8217000,0
2008-05-08,38.11,40.0,38.01,39.89,10670900,0
2008-05-09,40.26,40.5,38.59,39.47,6496100,0
2008-05-12,39.45,40.02,38.73,39.44,4311500,0
2008-05-13,38.65,39.25,38.08,39.02,5699700,0
2008-05-14,39.14,39.4,38.29,38.29,4810200,0
2008-05-15,39.34,40.6,39.02,40.31,7294400,0
2008-05-16,41.5,41.97,41.0,41.28,8316900,0
2008-05-19,41.88,41.97,41.0,41.26,4496000,0
2008-05-20,41.75,43.12,41.67,43.1,7691600,0
2008-05-21,42.9,44.35,42.78,43.01,10411800,0
2008-05-22,42.61,43.38,41.45,41.96,7748100,0
2008-05-23,42.45,43.22,41.91,42.1,5420700,0
2008-05-27,40.82,40.87,39.92,40.32,5971800,0
2008-05-28,39.93,41.03,39.5,40.83,5002700,0
2008-05-29,40.02,40.17,39.43,39.45,6493600,0
2008-05-30,39.74,40.49,39.56,40.14,4434000,0
2008-06-02,40.18,41.1,39.92,40.58,6961000,0
2008-06-03,39.93,41.18,39.42,39.5,6212500,0
2008-06-04,39.52,39.78,38.38,38.54,5415600,0
2008-06-05,38.3,39.6,38.17,39.49,6493500,0
2008-06-06,40.29,41.96,40.2,41.26,8612000,0
2008-06-09,41.13,42.24,41.05,41.74,5182200,0
2008-06-10,40.8,41.08,38.69,38.98,9300700,0
2008-06-11,39.83,40.22,39.06,39.3,5767600,0
2008-06-12,38.3,38.63,37.6,38.46,7121200,0
2008-06-13,37.96,38.95,37.33,38.46,4906800,0
2008-06-16,39.81,39.99,39.28,39.39,4488700,0
2008-06-17,39.5,40.43,39.32,40.08,4592400,0
2008-06-18,40.39,40.96,39.99,40.9,4297300,0
2008-06-19,41.5,42.13,40.21,40.37,8298900,0
2008-06-20,40.01,41.29,40.01,40.9,6174900,0
2008-06-23,39.84,42.12,39.78,41.84,7047100,0
2008-06-24,41.72,42.75,41.41,41.67,6039000,0
2008-06-25,41.76,42.13,40.07,41.62,8272300,0
2008-06-26,42.95,44.69,42.76,44.34,13999800,0
2008-06-27,45.05,46.98,45.03,46.36,12420600,0
2008-06-30,47.1,47.75,44.56,46.17,11850400,0
2008-07-01,47.65,49.1,47.16,48.16,8366500,0
2008-07-02,47.19,48.08,45.67,46.01,10057000,0
2008-07-03,45.0,45.61,43.81,45.26,6772500,0
2008-07-07,43.66,44.6,43.32,44.37,8318800,0
2008-07-08,43.73,44.22,43.01,43.86,7386000,0
2008-07-09,44.1,45.71,44.04,44.24,7102900,0
2008-07-10,45.18,46.68,45.02,45.86,9423500,0
2008-07-11,47.88,49.25,47.65,48.29,15807000,0
2008-07-14,48.51,51.06,47.93,51.06,13918200,0
2008-07-15,52.15,52.65,47.67,47.99,16804900,0
2008-07-16,47.9,48.43,45.74,47.07,11214000,0
2008-07-17,46.82,48.43,44.89,45.54,12633500,0
2008-07-18,45.52,46.5,45.25,45.6,7279600,0
2008-07-21,46.39,46.68,45.24,46.12,6787100,0
2008-07-22,46.88,46.88,43.13,43.46,10202100,0
2008-07-23,43.13,43.52,40.36,40.64,14315600,0
2008-07-24,41.34,41.34,39.62,40.62,11806100,0
2008-07-25,40.79,41.08,39.53,40.28,7826000,0
2008-07-28,40.2,42.41,40.01,40.95,8182200,0
2008-07-29,40.9,40.9,39.22,39.6,10431800,0
2008-07-30,38.67,39.09,36.68,38.99,15476200,0
2008-07-31,39.38,40.16,37.04,37.35,14355900,0
2008-08-01,37.18,38.48,36.02,36.46,11001500,0
2008-08-04,36.21,36.9,34.59,35.25,7467400,0
2008-08-05,34.7,34.85,32.43,32.55,15118900,0
2008-08-06,33.26,34.09,33.13,33.74,11914100,0
2008-08-07,34.01,34.2,32.64,33.18,8074700,0
2008-08-08,32.18,32.37,30.54,31.02,13908100,0
2008-08-11,31.1,31.45,29.09,29.91,15935900,0
2008-08-12,30.28,31.69,29.91,31.43,14666100,0
2008-08-13,31.68,33.46,31.56,33.19,15019700,0
2008-08-14,32.99,33.11,30.89,30.92,10858500,0
2008-08-15,29.94,30.2,29.26,29.56,14512000,0
2008-08-18,30.7,31.3,30.1,30.38,9620100,0
2008-08-19,29.85,32.03,29.74,31.74,13056600,0
2008-08-20,32.23,33.32,31.73,32.43,14156100,0
2008-08-21,34.71,35.52,34.52,34.88,12114500,0
2008-08-22,34.13,34.32,33.08,33.59,7132200,0
2008-08-25,33.22,34.28,32.94,33.5,6142600,0
2008-08-26,33.23,34.39,33.23,33.52,6959200,0
2008-08-27,34.32,34.7,33.68,34.27,7047700,0
2008-08-28,35.3,35.68,33.42,34.13,6716300,0
2008-08-29,34.44,34.68,33.5,33.93,4209600,0
2008-09-02,32.24,32.27,31.0,31.39,10756600,0
2008-09-03,31.16,31.85,29.62,30.05,13482600,0
2008-09-04,30.49,30.97,28.79,29.2,10715500,0
2008-09-05,30.15,30.23,28.36,29.2,11960100,0
2008-09-08,30.14,30.35,27.5,27.59,12392400,0
2008-09-09,26.93,26.93,25.2,25.2,20510700,0
2008-09-10,25.45,26.55,24.79,26.42,18470900,0
2008-09-11,26.07,26.56,24.72,25.54,17316000,0
2008-09-12,26.67,29.2,26.38,29.05,18786400,0
2008-09-15,29.3,29.63,26.78,27.14,18957500,0
2008-09-16,26.59,27.73,25.5,27.56,17859700,0
2008-09-17,27.91,31.3,27.28,30.59,28701200,0
2008-09-18,32.11,33.21,28.56,31.01,30332200,0
2008-09-19,30.49,32.18,29.11,32.18,15480000,0
2008-09-22,33.52,36.92,33.52,36.29,21623700,0
2008-09-23,36.24,36.75,34.51,35.55,21164100,0
2008-09-24,36.5,37.1,35.25,36.65,15396100,0
2008-09-25,36.42,36.69,34.26,34.52,17112600,0
2008-09-26,34.99,36.28,32.94,33.48,14671900,0
2008-09-29,33.5,34.82,31.57,33.39,18733600,0
2008-09-30,32.28,32.65,31.12,31.63,12484500,0
2008-10-01,31.83,33.85,31.44,32.2,13926500,0
2008-10-02,30.91,31.45,26.36,26.57,21044800,0
2008-10-03,26.01,28.82,26.0,26.74,17410300,0
2008-10-06,27.96,28.77,22.66,24.65,25509100,0
2008-10-07,26.55,27.25,25.43,25.91,17929300,0
2008-10-08,27.11,31.02,26.91,31.02,30307500,0
2008-10-09,29.75,30.58,29.06,29.6,14925200,0
2008-10-10,29.21,31.0,23.84,25.55,25248700,0
2008-10-13,26.6,27.06,23.75,24.7,13073200,0
2008-10-14,25.76,26.45,24.38,25.61,19289700,0
2008-10-15,25.31,26.15,23.05,23.07,13681400,0
2008-10-16,23.5,23.72,19.39,20.61,24637900,0
2008-10-17,19.46,21.25,18.56,20.09,17776300,0
2008-10-20,20.99,22.56,20.27,22.23,12539000,0
2008-10-21,20.8,21.64,19.92,19.92,11307000,0
2008-10-22,18.98,18.99,16.57,16.75,18257100,0
2008-10-23,15.91,17.9,15.1,15.39,21848000,0
2008-10-24,13.84,17.03,13.84,17.01,21069900,0
2008-10-27,16.83,17.5,15.01,15.06,16098100,0
2008-10-28,15.7,16.57,14.51,16.53,16383200,0
2008-10-29,17.36,19.32,17.07,18.98,18435400,0
2008-10-30,20.09,20.88,17.6,19.99,18670200,0
2008-10-31,19.57,19.78,18.55,18.66,12141600,0
2008-11-03,19.16,19.66,18.57,18.73,9302500,0
2008-11-04,19.91,22.31,19.9,22.18,13466100,0
2008-11-05,21.63,23.39,21.25,22.9,17253600,0
2008-11-06,23.4,24.2,20.88,21.04,19185500,0
2008-11-07,21.75,22.85,21.14,21.95,9926500,0
2008-11-10,23.36,23.85,22.28,22.98,10499400,0
2008-11-11,22.04,22.14,20.65,21.28,9332600,0
2008-11-12,20.6,21.37,19.36,19.45,13285200,0
2008-11-13,19.8,22.4,17.73,22.31,17007200,0
2008-11-14,22.85,23.72,21.43,21.66,17662000,0
2008-11-17,21.0,21.55,19.6,19.66,14982500,0
2008-11-18,19.73,20.58,19.21,19.71,13437800,0
2008-11-19,20.07,21.83,18.54,18.62,21414600,0
2008-11-20,18.63,20.3,17.05,19.03,20444300,0
2008-11-21,20.55,24.5,20.44,24.22,27412900,0
2008-11-24,25.52,27.97,25.38,25.6,24981100,0
2008-11-25,26.27,26.49,23.71,24.74,17440700,0
2008-11-26,24.69,26.99,24.2,26.79,12540000,0
2008-11-28,27.18,27.37,25.86,26.97,4481200,0
2008-12-01,25.02,25.3,23.15,23.21,17206000,0
2008-12-02,24.23,24.99,23.76,24.82,14271300,0
2008-12-03,23.7,24.48,23.02,23.27,14819000,0
2008-12-04,23.11,24.41,22.13,22.5,12452200,0
2008-12-05,22.14,22.14,19.67,21.93,15384700,0
2008-12-08,23.71,24.49,23.47,24.09,11309100,0
2008-12-09,23.45,25.5,23.41,24.53,11797600,0
2008-12-10,26.5,27.81,26.34,27.24,16718700,0
2008-12-11,28.65,29.45,26.95,27.33,19048000,0
2008-12-12,26.43,28.4,26.29,27.95,12724600,0
2008-12-15,28.77,30.61,28.52,29.34,18584900,0
2008-12-16,29.74,31.82,29.08,31.65,15650400,0
2008-12-17,32.16,33.2,30.47,30.62,16406200,0
2008-12-18,30.57,30.93,27.72,28.45,18040800,0
2008-12-19,27.55,29.03,27.53,28.66,13403600,0
2008-12-22,29.32,30.2,27.3,27.93,9950900,0
2008-12-23,28.29,29.19,27.55,28.94,9210400,0
2008-12-24,29.0,29.11,28.02,28.73,4026700,0
2008-12-26,28.84,30.8,28.07,30.41,5769300,0
2008-12-29,31.05,31.75,30.42,31.3,12107700,0
2008-12-30,31.23,31.23,30.34,30.72,8258600,0
2008-12-31,30.29,31.92,29.89,31.53,10018700,0
2009-01-02,31.14,32.23,30.8,31.23,10700600,0
2009-01-05,29.84,30.29,29.09,29.23,14585200,0
2009-01-06,29.06,30.39,28.62,29.69,14983200,0
2009-01-07,29.41,30.54,26.98,27.5,13096600,0
2009-01-08,28.71,28.92,27.71,28.36,15148700,0
2009-01-09,27.41,28.12,26.39,27.14,15281400,0
2009-01-12,25.98,26.42,24.74,24.99,14977900,0
2009-01-13,25.03,26.14,24.69,25.66,16687600,0
2009-01-14,25.13,25.72,23.9,24.31,13725200,0
2009-01-15,24.51,25.13,23.02,24.95,16713600,0
2009-01-16,26.57,26.78,25.23,26.36,18072700,0
2009-01-20,26.62,28.14,26.3,26.43,18930000,0
2009-01-21,26.44,27.17,25.41,27.12,15634400,0
2009-01-22,26.61,27.73,26.41,26.63,14744300,0
2009-01-23,27.44,29.46,27.4,29.32,20490600,0
2009-01-26,30.43,30.82,28.65,28.97,16787700,0
2009-01-27,28.73,29.32,28.35,28.81,12750900,0
2009-01-28,29.1,29.25,27.78,27.97,15810500,0
2009-01-29,27.49,29.6,27.17,29.49,18334300,0
2009-01-30,30.31,30.37,29.01,29.57,16705700,0
2009-02-02,28.71,29.47,27.88,28.44,12103800,0
2009-02-03,28.77,28.98,27.75,28.18,13335900,0
2009-02-04,28.99,29.75,28.85,29.55,12142200,0
2009-02-05,30.53,30.58,29.55,30.17,12820400,0
2009-02-06,29.51,30.72,29.46,30.56,11114500,0
2009-02-09,30.07,30.43,29.21,29.63,11914500,0
2009-02-10,30.55,30.94,28.98,29.63,15146000,0
2009-02-11,29.91,31.9,29.75,31.51,18005600,0
2009-02-12,31.54,31.93,31.05,31.85,12010700,0
2009-02-13,31.69,32.26,31.03,31.75,10629600,0
2009-02-17,32.46,32.91,31.81,31.84,16044600,0
2009-02-18,32.21,32.67,31.02,32.56,14141000,0
2009-02-19,32.06,32.69,30.86,31.02,13971400,0
2009-02-20,32.43,32.49,31.14,32.0,15570600,0
2009-02-23,31.1,31.49,30.45,30.78,12594000,0
2009-02-24,30.59,30.63,28.1,28.4,17542600,0
2009-02-25,28.05,29.8,27.82,27.89,15935900,0
2009-02-26,27.65,29.06,27.28,28.9,13728500,0
2009-02-27,29.66,29.93,28.11,28.92,15498800,0
2009-03-02,29.17,29.4,26.73,26.94,16778100,0
2009-03-03,26.59,28.72,26.17,28.16,14112200,0
2009-03-04,28.66,28.97,27.54,27.87,13956600,0
