Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,12.36,12.53,12.2,12.27,990600,0
2008-01-03,12.3,12.34,12.09,12.12,1338900,0
2008-01-04,12.08,12.1,11.52,11.57,2016300,0
2008-01-07,11.62,11.75,11.45,11.54,1480500,0
2008-01-08,11.65,11.74,11.29,11.3,1718400,0
2008-01-09,11.3,11.45,11.17,11.43,1368300,0
2008-01-10,11.32,11.74,11.24,11.6,1538100,0
2008-01-11,11.5,11.55,11.29,11.3,2176200,0
2008-01-14,11.4,11.48,11.27,11.43,919200,0
2008-01-15,11.26,11.42,11.26,11.3,2227200,0
2008-01-16,11.2,11.48,11.17,11.19,2562900,0
2008-01-17,11.22,11.38,10.77,10.79,1765200,0
2008-01-18,10.84,11.16,10.8,10.88,1915800,0
2008-01-22,10.27,10.95,10.27,10.79,1889400,0
2008-01-23,10.55,11.33,10.5,11.28,2250300,0
2008-01-24,11.38,11.44,11.05,11.31,2081100,0
2008-01-25,11.37,11.57,11.28,11.47,2006400,0
2008-01-28,11.52,11.66,11.23,11.6,2874300,0
2008-01-29,11.26,11.53,10.92,11.23,3069600,0
2008-01-30,11.15,11.52,11.03,11.17,1819800,0
2008-01-31,11.04,11.48,11.0,11.41,2226000,0
2008-02-01,11.41,11.78,11.33,11.78,1801500,0
2008-02-04,11.73,11.88,11.62,11.81,1378500,0
2008-02-05,11.62,11.75,11.5,11.64,2102400,0
2008-02-06,11.74,11.83,11.57,11.6,1556100,0
2008-02-07,11.56,11.8,11.45,11.75,1564200,0
2008-02-08,11.7,11.83,11.38,11.73,1809300,0
2008-02-11,11.68,11.84,11.53,11.82,1701000,0
2008-02-12,11.93,12.02,11.82,11.94,1500600,0
2008-02-13,11.87,12.26,11.87,12.21,1615800,0
2008-02-14,12.25,12.3,11.91,11.97,1173000,0
2008-02-15,11.97,12.05,11.77,12.03,1048500,0
2008-02-19,12.13,12.22,11.98,12.04,1202100,0
2008-02-20,12.01,12.23,11.9,12.21,1294200,0
2008-02-21,12.28,12.36,11.86,11.98,1426800,0
2008-02-22,11.99,12.0,11.7,11.94,1320900,0
2008-02-25,11.79,11.79,11.34,11.65,3807300,0
2008-02-26,11.59,12.07,11.59,12.03,2585100,0
2008-02-27,12.02,12.12,11.88,11.96,971400,0
2008-02-28,11.88,12.08,11.72,11.83,1013100,0
2008-02-29,11.69,11.77,11.49,11.57,1578900,0
2008-03-03,11.59,11.68,11.48,11.64,1591800,0
2008-03-04,11.54,11.71,11.43,11.61,1887600,0
2008-03-05,11.68,11.94,11.63,11.83,2156400,0
2008-03-06,11.75,11.85,11.55,11.55,1116300,0
2008-03-07,11.43,11.65,11.37,11.41,1515900,0
2008-03-10,11.45,11.45,11.11,11.12,1293900,0
2008-03-11,11.36,11.61,11.36,11.57,1352100,0
2008-03-12,11.62,11.84,11.6,11.66,1352400,0
2008-03-13,11.52,11.9,11.4,11.82,1482300,0
2008-03-14,11.94,11.94,11.41,11.51,1496700,0
2008-03-17,11.29,11.67,11.22,11.52,976500,0
2008-03-18,11.69,11.86,11.56,11.79,1833600,0
2008-03-19,11.83,11.97,11.64,11.64,1164300,0
2008-03-20,11.63,11.78,11.5,11.7,1239300,0
2008-03-24,11.74,12.19,11.74,12.06,1274700,0
2008-03-25,12.09,12.36,12.08,12.33,1222200,0
2008-03-26,12.25,12.25,12.08,12.19,951900,0
2008-03-27,12.21,12.25,12.07,12.1,1311000,0
2008-03-28,12.16,12.24,12.07,12.1,796500,0
2008-03-31,12.12,12.2,12.0,12.09,1545900,0
2008-04-01,12.17,12.48,12.08,12.47,1713300,0
2008-04-02,12.51,12.6,12.4,12.47,1357200,0
2008-04-03,12.43,12.6,12.38,12.59,1011600,0
2008-04-04,12.62,12.7,12.46,12.62,1061400,0
2008-04-07,12.7,12.77,12.51,12.55,1066200,0
2008-04-08,12.49,12.63,12.39,12.6,1269600,0
2008-04-09,12.61,12.7,12.49,12.51,2493900,0
2008-04-10,12.53,12.67,12.39,12.59,1206600,0
2008-04-11,12.49,12.56,12.35,12.41,1377000,0
2008-04-14,12.43,12.43,12.27,12.29,1633200,0
2008-04-15,12.31,12.47,12.26,12.44,1133100,0
2008-04-16,12.56,12.9,12.56,12.9,1057500,0
2008-04-17,12.82,12.82,12.53,12.73,919500,0
2008-04-18,12.86,13.03,12.82,13.01,924900,0
2008-04-21,12.94,13.09,12.85,13.09,1096800,0
2008-04-22,13.04,13.29,13.01,13.16,2214300,0
2008-04-23,13.13,13.17,12.81,13.03,2478900,0
2008-04-24,13.03,13.1,12.38,12.82,2053500,0
2008-04-25,12.91,13.32,12.9,13.28,1614300,0
2008-04-28,13.32,13.53,13.22,13.5,1338600,0
2008-04-29,13.21,13.66,13.2,13.41,1296900,0
2008-04-30,13.41,13.87,13.38,13.8,2543700,0
2008-05-01,13.85,14.07,13.77,13.95,1799100,0
2008-05-02,14.0,14.01,13.68,13.81,1190700,0
2008-05-05,13.67,13.67,13.17,13.38,1768200,0
2008-05-06,13.29,13.4,13.18,13.39,1400100,0
2008-05-07,13.4,13.52,13.27,13.27,888900,0
2008-05-08,13.32,13.48,13.23,13.45,631800,0
2008-05-09,13.33,13.42,13.17,13.4,708300,0
2008-05-12,13.42,13.67,13.33,13.67,996900,0
