Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,21.23,21.25,20.29,20.32,9751200,0
2008-01-03,20.42,20.83,20.28,20.37,12751000,0
2008-01-04,19.92,20.09,19.19,19.66,13965500,0
2008-01-07,19.74,20.24,19.45,20.02,9721600,0
2008-01-08,20.08,20.28,19.29,19.33,8114500,0
2008-01-09,19.42,19.42,18.52,19.35,11533700,0
2008-01-10,18.58,18.74,17.56,17.97,23112500,0
2008-01-11,17.77,17.77,17.02,17.2,12639000,0
2008-01-14,17.37,17.56,17.24,17.53,10146000,0
2008-01-15,17.29,17.46,16.93,17.02,7541900,0
2008-01-16,16.9,17.73,16.84,17.44,8052100,0
2008-01-17,17.53,18.06,16.95,17.02,12722300,0
2008-01-18,17.18,17.92,17.04,17.23,13878200,0
2008-01-22,16.36,17.94,16.36,17.68,13287900,0
2008-01-23,17.3,18.8,17.02,18.58,17059300,0
2008-01-24,18.68,18.8,17.86,18.38,16527600,0
2008-01-25,18.57,18.99,17.55,17.8,10253000,0
2008-01-28,17.79,18.45,17.64,18.42,9381400,0
2008-01-29,18.42,18.95,18.14,18.88,6554300,0
2008-01-30,18.84,18.94,18.3,18.42,9600000,0
2008-01-31,18.17,19.53,17.93,19.09,10480800,0
2008-02-01,19.1,19.47,18.95,19.34,7102500,0
2008-02-04,19.27,19.41,18.54,18.73,6722400,0
2008-02-05,18.36,18.82,18.09,18.17,8993400,0
2008-02-06,18.32,18.95,18.11,18.33,10431300,0
2008-02-07,18.27,19.85,18.27,19.65,11837200,0
2008-02-08,19.51,20.2,19.32,19.78,12320100,0
2008-02-11,19.81,19.98,19.47,19.98,9759100,0
2008-02-12,20.06,20.43,19.8,19.94,6425000,0
2008-02-13,20.05,20.33,19.75,20.06,7493400,0
2008-02-14,19.88,19.99,19.19,19.43,8421600,0
2008-02-15,19.25,19.74,19.13,19.7,8703400,0
2008-02-19,19.76,19.99,19.15,19.23,8130000,0
2008-02-20,19.26,19.64,19.21,19.55,16677700,0
2008-02-21,19.59,19.84,19.22,19.29,8387400,0
2008-02-22,19.42,19.71,19.19,19.71,6314600,0
2008-02-25,19.7,20.0,19.52,19.96,14336800,0
2008-02-26,19.87,20.41,19.87,20.27,14632700,0
2008-02-27,20.19,20.26,19.58,19.87,9505200,0
2008-02-28,19.78,19.99,19.22,19.45,8914400,0
2008-02-29,20.7,20.7,20.01,20.17,22042100,0
2008-03-03,20.18,20.6,19.78,20.48,10722800,0
2008-03-04,20.33,20.57,20.11,20.34,11573700,0
2008-03-05,20.44,21.28,20.31,20.52,11972000,0
2008-03-06,20.07,20.08,19.21,19.37,11768900,0
2008-03-07,19.18,19.74,19.02,19.58,10773900,0
2008-03-10,19.56,19.73,19.24,19.33,10629700,0
2008-03-11,19.82,20.0,19.16,19.92,10973400,0
2008-03-12,19.99,20.58,19.75,19.76,9958400,0
2008-03-13,19.45,20.32,19.44,20.23,12248700,0
2008-03-14,20.42,20.42,19.37,19.81,12109800,0
2008-03-17,19.3,19.95,19.18,19.68,12267400,0
2008-03-18,19.98,20.55,19.85,20.54,10492300,0
2008-03-19,20.74,21.15,20.42,20.57,13655400,0
2008-03-20,20.58,21.48,20.5,21.37,11054000,0
2008-03-24,20.89,21.89,20.89,21.34,10156600,0
2008-03-25,20.86,20.92,20.4,20.73,8158900,0
2008-03-26,20.48,20.85,20.41,20.6,9953800,0
2008-03-27,20.67,20.7,20.15,20.18,8419400,0
2008-03-28,19.94,19.98,19.33,19.52,9164500,0
2008-03-31,19.54,19.87,19.46,19.68,8517300,0
2008-04-01,20.07,20.5,19.76,20.37,9143500,0
2008-04-02,20.36,20.78,20.22,20.42,7455200,0
2008-04-03,20.06,20.17,19.5,19.85,12579400,0
2008-04-04,19.58,19.59,19.02,19.05,10931000,0
2008-04-07,19.15,19.47,19.01,19.19,12588000,0
2008-04-08,18.85,19.14,18.85,19.01,9588100,0
2008-04-09,18.92,19.13,18.64,18.89,11604500,0
2008-04-10,18.85,19.18,18.46,18.47,16377500,0
2008-04-11,18.21,18.25,17.87,17.95,9311600,0
2008-04-14,17.91,18.59,17.77,18.48,11870800,0
2008-04-15,18.46,19.11,18.42,18.75,9666200,0
2008-04-16,18.89,19.03,18.53,18.88,8260400,0
2008-04-17,18.85,19.16,18.71,19.07,6416900,0
2008-04-18,19.15,19.43,18.68,19.0,10900400,0
2008-04-21,18.87,18.92,18.34,18.6,9158400,0
2008-04-22,18.44,18.49,17.94,18.12,7856600,0
2008-04-23,18.15,18.88,18.06,18.53,9676400,0
2008-04-24,18.66,19.02,18.53,18.84,10194300,0
2008-04-25,18.9,19.37,18.76,19.34,7610900,0
2008-04-28,19.24,19.24,18.59,18.89,7987400,0
2008-04-29,18.85,19.25,18.85,19.16,5303100,0
2008-04-30,19.16,19.27,18.5,18.62,7552100,0
2008-05-01,18.59,19.18,18.46,19.02,7132100,0
2008-05-02,18.81,19.16,18.51,18.68,9482700,0
2008-05-05,18.53,18.6,18.16,18.27,8172600,0
2008-05-06,18.1,18.78,18.03,18.57,9077500,0
2008-05-07,18.54,18.82,18.19,18.24,9997800,0
2008-05-08,18.97,19.03,17.77,17.84,16406400,0
2008-05-09,17.81,18.01,17.55,17.94,9394800,0
2008-05-12,18.0,18.58,17.88,18.43,9681500,0
2008-05-13,18.44,18.63,18.28,18.46,9966500,0
2008-05-14,18.55,19.05,18.38,18.95,7803200,0
2008-05-15,19.03,19.26,18.76,19.18,7788900,0
2008-05-16,19.14,19.14,18.18,18.43,10334600,0
2008-05-19,18.43,18.9,18.37,18.71,7271600,0
2008-05-20,18.65,18.87,18.44,18.68,8454800,0
2008-05-21,18.76,18.9,18.01,18.07,6670500,0
2008-05-22,17.96,18.49,17.77,18.29,7250400,0
2008-05-23,18.61,18.62,17.75,17.94,9718600,0
2008-05-27,17.98,18.42,17.85,18.1,10687100,0
2008-05-28,18.11,18.41,17.93,18.21,7607100,0
2008-05-29,18.12,18.66,17.93,18.52,7764800,0
2008-05-30,18.5,18.5,18.03,18.25,7607200,0
2008-06-02,18.23,18.25,17.7,18.04,7179600,0
2008-06-03,18.07,18.41,17.76,18.0,9983400,0
2008-06-04,18.02,18.12,17.58,17.8,9269600,0
2008-06-05,17.42,18.11,17.4,17.88,16682400,0
2008-06-06,17.61,17.64,17.13,17.17,10412100,0
2008-06-09,17.37,17.39,16.83,16.99,11498300,0
2008-06-10,16.7,18.07,16.7,17.69,15059400,0
2008-06-11,17.52,17.8,17.29,17.4,11550400,0
2008-06-12,17.46,18.03,17.46,17.77,10207500,0
2008-06-13,17.86,18.0,17.54,18.0,6465000,0
2008-06-16,17.77,18.15,17.71,17.94,9596800,0
2008-06-17,18.11,18.2,17.91,18.0,6571100,0
2008-06-18,17.81,17.92,17.42,17.49,7626700,0
2008-06-19,17.46,17.98,17.32,17.87,9362400,0
2008-06-20,17.7,17.86,17.35,17.45,12476000,0
2008-06-23,17.56,17.61,16.84,16.9,11776000,0
2008-06-24,16.74,17.0,16.43,16.75,14100500,0
2008-06-25,16.79,17.4,16.79,16.89,9521900,0
2008-06-26,16.83,16.93,16.55,16.66,10968700,0
2008-06-27,16.63,16.94,16.2,16.74,16883100,0
2008-06-30,16.77,17.22,16.53,16.67,12609700,0
2008-07-01,16.45,17.19,16.35,17.07,10942800,0
2008-07-02,17.07,17.24,16.67,16.69,8424600,0
2008-07-03,16.71,16.85,16.39,16.45,4471000,0
2008-07-07,16.51,16.76,15.7,15.86,16607500,0
2008-07-08,15.98,16.85,15.86,16.75,12344900,0
2008-07-09,16.71,16.8,16.19,16.2,9520600,0
2008-07-10,16.26,16.55,15.82,15.95,12027100,0
2008-07-11,15.82,15.88,14.83,15.25,13291900,0
2008-07-14,15.47,15.77,15.3,15.37,8926000,0
2008-07-15,15.25,15.65,14.77,15.39,13689700,0
2008-07-16,15.44,16.26,15.29,16.18,7732800,0
2008-07-17,16.16,16.75,15.8,16.53,7879600,0
2008-07-18,17.1,17.1,16.35,16.6,8228000,0
2008-07-21,16.57,16.75,16.19,16.32,4336900,0
2008-07-22,16.17,16.66,15.9,16.66,5773800,0
2008-07-23,16.7,17.76,16.53,17.21,9709700,0
2008-07-24,17.1,17.24,16.35,16.44,6228900,0
2008-07-25,16.49,16.74,16.2,16.29,7045600,0
2008-07-28,16.1,16.63,15.9,16.13,9264800,0
2008-07-29,15.97,16.73,15.94,16.36,8702400,0
2008-07-30,16.48,16.88,16.05,16.45,6615900,0
2008-07-31,16.15,16.72,15.97,16.12,9332900,0
2008-08-01,16.25,16.46,15.88,16.34,7004000,0
2008-08-04,16.35,16.59,16.09,16.33,8009700,0
2008-08-05,16.56,17.21,16.37,17.11,7476500,0
2008-08-06,17.0,17.11,16.71,16.96,7246500,0
2008-08-07,16.78,17.36,16.7,16.92,10655500,0
2008-08-08,17.0,18.17,17.0,18.09,10724600,0
2008-08-11,18.09,20.7,17.82,18.72,32902500,0
2008-08-12,19.45,20.0,19.15,19.56,22160000,0
2008-08-13,19.31,19.46,18.71,18.87,15869000,0
2008-08-14,18.69,19.66,18.5,19.13,9278400,0
2008-08-15,19.14,19.72,19.12,19.4,7853400,0
2008-08-18,19.6,19.8,19.26,19.36,6780200,0
2008-08-19,19.2,19.35,18.72,19.01,8115400,0
2008-08-20,18.93,19.36,18.85,19.02,8521200,0
2008-08-21,19.03,19.09,18.68,19.01,13456300,0
2008-08-22,19.71,20.23,19.31,19.88,18271000,0
2008-08-25,19.8,19.98,19.23,19.27,10465300,0
2008-08-26,19.04,19.33,19.03,19.17,8558400,0
2008-08-27,19.26,19.27,18.93,19.12,9573800,0
2008-08-28,19.07,19.48,18.98,19.48,7741600,0
2008-08-29,19.18,19.8,19.18,19.45,7305700,0
2008-09-02,19.75,19.99,19.39,19.61,10154200,0
2008-09-03,19.69,20.01,19.46,19.97,11187800,0
2008-09-04,19.84,19.98,19.1,19.14,14000800,0
2008-09-05,18.95,19.26,18.58,19.19,9474600,0
2008-09-08,19.78,19.88,19.54,19.73,20444200,0
2008-09-09,19.79,20.08,19.34,19.35,13802200,0
2008-09-10,19.65,19.65,18.93,19.32,11953700,0
2008-09-11,19.09,19.85,19.07,19.81,13343800,0
2008-09-12,19.55,19.65,19.3,19.37,9894700,0
2008-09-15,18.69,19.84,18.69,19.12,10897400,0
2008-09-16,18.69,19.91,18.69,19.49,13493000,0
2008-09-17,19.73,19.73,18.46,18.46,15163900,0
2008-09-18,18.84,18.9,17.45,18.64,17112900,0
2008-09-19,19.45,20.8,19.01,19.08,14913200,0
2008-09-22,19.09,19.29,18.72,18.81,9690900,0
2008-09-23,18.9,19.2,18.22,18.31,7745000,0
2008-09-24,18.39,18.54,17.87,18.02,9714600,0
2008-09-25,18.22,18.53,18.05,18.25,6940300,0
2008-09-26,18.01,18.4,17.83,18.37,6100100,0
2008-09-29,18.04,18.61,17.34,17.56,11654800,0
2008-09-30,17.89,17.92,16.93,17.78,10611200,0
2008-10-01,17.56,17.74,17.36,17.64,8830900,0
2008-10-02,17.63,17.8,16.99,17.17,8793200,0
2008-10-03,17.27,17.57,16.66,16.83,11545500,0
2008-10-06,16.27,16.63,15.67,16.51,13345600,0
2008-10-07,16.71,16.73,15.45,15.5,14308600,0
2008-10-08,15.15,16.01,15.04,15.44,14884700,0
2008-10-09,15.03,15.78,13.72,13.89,16671200,0
2008-10-10,13.29,14.5,11.88,13.82,19859700,0
2008-10-13,14.67,15.37,14.0,15.2,12847500,0
2008-10-14,15.56,15.71,13.92,14.39,17583800,0
2008-10-15,14.09,14.27,12.84,12.91,11439600,0
2008-10-16,12.6,14.03,12.21,13.92,16378500,0
2008-10-17,13.2,13.91,12.46,13.42,9960700,0
2008-10-20,13.58,13.58,13.08,13.53,7307600,0
2008-10-21,13.35,13.79,13.26,13.36,6534700,0
2008-10-22,13.13,13.29,12.04,12.45,8334300,0
2008-10-23,12.46,12.69,11.14,11.83,14133400,0
2008-10-24,11.01,11.75,11.01,11.21,9583400,0
2008-10-27,11.08,11.86,11.03,11.38,8769200,0
2008-10-28,11.68,12.47,11.16,12.47,10377300,0
2008-10-29,12.47,13.26,11.94,12.41,11435600,0
2008-10-30,12.8,13.0,12.27,12.58,6690100,0
2008-10-31,12.52,13.14,12.3,12.94,10146600,0
2008-11-03,12.95,13.04,12.31,12.53,6068400,0
2008-11-04,12.83,13.06,12.28,13.03,7016700,0
2008-11-05,13.0,13.16,12.49,12.84,10475700,0
2008-11-06,12.69,13.82,12.36,12.46,15186600,0
2008-11-07,12.57,12.94,12.47,12.82,7793600,0
2008-11-10,13.34,13.5,12.43,12.63,7234400,0
2008-11-11,12.49,12.49,11.81,12.12,6991700,0
2008-11-12,11.92,11.94,10.98,11.06,8672900,0
2008-11-13,11.1,12.33,10.54,12.3,12441300,0
2008-11-14,12.17,12.32,11.5,11.55,9339700,0
2008-11-17,11.45,11.7,10.69,10.72,11029800,0
2008-11-18,10.76,11.01,10.35,10.95,11277000,0
2008-11-19,10.83,11.16,10.06,10.09,8543900,0
2008-11-20,9.76,10.64,9.41,9.51,14206900,0
2008-11-21,10.98,12.22,10.5,12.1,25113000,0
2008-11-24,12.37,12.43,11.54,12.04,15072600,0
2008-11-25,12.1,12.66,11.62,12.05,10167100,0
2008-11-26,11.43,12.96,11.4,12.88,8194200,0
2008-11-28,12.83,13.32,12.82,13.02,4261200,0
2008-12-01,13.02,13.1,12.39,12.4,11894800,0
2008-12-02,12.35,12.6,11.79,12.23,11336900,0
2008-12-03,12.22,12.95,11.94,12.87,13642100,0
2008-12-04,12.98,13.97,12.86,13.17,14885700,0
2008-12-05,13.01,14.05,12.7,14.01,11896600,0
2008-12-08,14.41,14.57,13.8,14.19,15242000,0
2008-12-09,14.03,14.55,13.23,13.38,14473100,0
2008-12-10,13.9,14.24,13.21,13.99,10685100,0
2008-12-11,13.88,13.88,12.68,12.98,12745100,0
2008-12-12,12.75,13.39,12.37,13.19,10069500,0
2008-12-15,13.25,13.35,12.7,12.85,10306200,0
2008-12-16,12.75,13.59,12.46,13.54,10527300,0
2008-12-17,13.42,14.41,13.33,14.07,9516500,0
2008-12-18,14.11,14.38,13.75,13.87,9413300,0
2008-12-19,13.97,14.17,13.46,13.57,7290200,0
2008-12-22,13.52,13.67,12.91,13.15,5642800,0
2008-12-23,13.25,13.41,12.76,12.8,4904100,0
2008-12-24,12.87,13.04,12.78,12.97,1626500,0
2008-12-26,13.2,13.26,12.88,12.97,2357800,0
2008-12-29,12.95,13.06,12.7,13.0,4307200,0
2008-12-30,13.06,13.27,12.84,13.16,3881800,0
2008-12-31,13.19,13.55,13.0,13.39,3581300,0
2009-01-02,13.71,14.11,13.42,14.07,4601400,0
2009-01-05,13.94,14.16,13.7,13.91,5926300,0
2009-01-06,13.99,14.35,13.71,14.24,10589700,0
2009-01-07,13.98,14.07,13.33,13.56,9248400,0
2009-01-08,13.47,13.48,12.55,12.92,16068200,0
