Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,3.2,3.45,3.18,3.39,6348100,0
2008-01-03,3.44,3.51,3.36,3.38,5582200,0
2008-01-04,3.4,3.42,3.3,3.4,3237700,0
2008-01-07,3.36,3.42,3.25,3.29,3535100,0
2008-01-08,3.45,3.55,3.4,3.44,5649500,0
2008-01-09,3.45,3.54,3.38,3.54,4500900,0
2008-01-10,3.49,3.87,3.45,3.83,8440900,0
2008-01-11,3.79,4.04,3.74,3.91,8705500,0
2008-01-14,4.05,4.09,3.88,3.88,6742000,0
2008-01-15,3.92,3.93,3.76,3.85,5267600,0
2008-01-16,3.75,3.93,3.63,3.9,4919800,0
2008-01-17,3.87,3.97,3.69,3.9,7281500,0
2008-01-18,4.02,4.02,3.63,3.74,13272700,0
2008-01-22,3.36,3.79,3.32,3.75,6640600,0
2008-01-23,3.7,3.76,3.43,3.75,4859800,0
2008-01-24,3.84,3.94,3.78,3.83,4474500,0
2008-01-25,3.89,3.95,3.73,3.75,3446900,0
2008-01-28,3.77,3.92,3.72,3.85,3985900,0
2008-01-29,3.88,3.96,3.87,3.92,2857300,0
2008-01-30,3.93,4.15,3.87,4.04,5777100,0
2008-01-31,3.98,4.1,3.95,4.01,4299600,0
2008-02-01,4.02,4.1,3.89,3.96,3986000,0
2008-02-04,3.88,3.92,3.8,3.84,3502400,0
2008-02-05,3.76,3.85,3.7,3.77,3408900,0
2008-02-06,3.81,3.9,3.71,3.72,4222500,0
2008-02-07,3.7,3.81,3.61,3.63,3954600,0
2008-02-08,3.65,3.83,3.63,3.74,3941100,0
2008-02-11,3.84,3.95,3.75,3.9,2970700,0
2008-02-12,3.9,3.96,3.64,3.7,4286300,0
2008-02-13,3.72,3.89,3.53,3.82,6467000,0
2008-02-14,3.82,3.94,3.76,3.76,3535700,0
2008-02-15,3.83,3.89,3.76,3.83,1764700,0
2008-02-19,3.95,4.04,3.92,3.99,3144100,0
2008-02-20,3.9,4.1,3.9,4.1,3372900,0
2008-02-21,4.15,4.2,3.97,4.0,5082100,0
2008-02-22,4.01,4.07,3.93,4.05,1925800,0
2008-02-25,4.1,4.12,4.0,4.12,2400400,0
2008-02-26,4.1,4.2,4.06,4.2,3776900,0
2008-02-27,4.21,4.21,4.02,4.03,6824800,0
2008-02-28,4.09,4.32,3.95,4.25,9626900,0
2008-02-29,4.24,4.24,4.06,4.12,5070900,0
2008-03-03,4.17,4.24,4.05,4.13,4185900,0
2008-03-04,4.12,4.2,3.88,3.93,5647300,0
2008-03-05,3.99,4.1,3.96,4.03,3762200,0
2008-03-06,4.01,4.08,3.93,4.02,2912400,0
2008-03-07,4.0,4.01,3.79,3.79,3918000,0
2008-03-10,3.77,3.78,3.64,3.66,3633800,0
2008-03-11,3.7,3.95,3.7,3.9,3590400,0
2008-03-12,3.9,4.03,3.84,3.95,4287500,0
2008-03-13,4.05,4.14,4.0,4.06,4349900,0
