Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,18.85,19.37,18.33,18.98,580300,0
2008-01-03,19.18,19.43,18.21,18.6,388300,0
2008-01-04,18.37,18.92,17.35,17.36,186500,0
2008-01-07,17.6,17.6,16.97,17.2,435300,0
2008-01-08,17.28,17.63,16.32,16.42,353300,0
2008-01-09,16.33,16.52,15.13,16.0,485200,0
2008-01-10,15.76,16.69,15.7,16.28,295200,0
2008-01-11,16.15,16.57,15.27,15.31,449200,0
2008-01-14,15.32,15.72,15.12,15.3,514400,0
2008-01-15,15.06,15.14,14.61,14.81,438000,0
2008-01-16,14.61,15.41,14.59,14.96,533500,0
2008-01-17,15.18,15.18,14.28,14.56,388300,0
2008-01-18,14.65,14.95,14.55,14.79,298700,0
2008-01-22,14.14,14.95,13.52,14.36,413800,0
2008-01-23,14.08,15.74,14.08,15.16,378000,0
2008-01-24,15.22,15.22,14.44,14.74,333800,0
2008-01-25,15.09,15.27,14.82,15.08,219000,0
2008-01-28,15.08,15.11,14.37,14.87,182300,0
2008-01-29,15.0,15.75,14.8,15.6,165200,0
2008-01-30,15.44,16.31,15.33,15.78,180500,0
2008-01-31,15.49,16.95,15.45,16.61,264200,0
2008-02-01,16.71,17.29,16.26,16.9,195500,0
2008-02-04,16.82,16.82,16.13,16.23,114400,0
2008-02-05,15.87,16.58,15.87,16.36,197200,0
2008-02-06,16.53,16.67,15.94,15.94,130300,0
2008-02-07,15.8,16.55,15.8,16.49,212800,0
2008-02-08,16.35,16.46,15.3,15.46,220100,0
2008-02-11,15.41,16.02,15.04,15.22,161400,0
2008-02-12,15.39,16.53,15.38,16.11,339400,0
2008-02-13,16.3,16.55,15.88,16.24,119600,0
2008-02-14,16.31,16.36,15.2,15.26,228500,0
2008-02-15,15.15,15.34,14.97,15.34,141800,0
2008-02-19,15.65,16.09,15.07,15.35,113200,0
2008-02-20,15.14,16.38,15.14,16.26,196600,0
2008-02-21,16.41,16.86,16.0,16.1,184700,0
