Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,22.92,23.15,22.36,22.55,30826200,0
2008-01-03,22.46,22.63,22.29,22.55,23538200,0
2008-01-04,22.16,22.34,21.14,21.29,54436900,0
2008-01-07,21.37,21.41,20.08,20.59,69337000,0
2008-01-08,20.67,20.9,19.54,19.61,94068300,0
2008-01-09,19.58,20.26,19.42,20.18,67394400,0
2008-01-10,19.99,20.87,19.99,20.59,54328800,0
2008-01-11,20.66,20.73,20.37,20.44,40140000,0
2008-01-14,21.19,21.3,20.84,20.95,41575500,0
2008-01-15,20.71,20.77,20.44,20.46,35336800,0
2008-01-16,19.89,20.53,19.82,20.14,61638300,0
2008-01-17,20.19,20.35,19.3,19.53,53745300,0
2008-01-18,19.89,20.11,19.53,19.87,55236500,0
2008-01-22,18.39,19.75,18.39,19.4,71427300,0
2008-01-23,18.89,19.63,18.16,19.61,74560800,0
2008-01-24,19.65,20.52,19.29,20.39,49071700,0
2008-01-25,20.78,20.79,19.8,19.86,46897300,0
2008-01-28,19.87,20.35,19.71,19.89,31277200,0
2008-01-29,20.0,20.0,19.46,19.7,46600900,0
2008-01-30,19.59,20.11,19.46,19.77,43454900,0
2008-01-31,19.5,20.09,19.21,19.85,48722100,0
2008-02-01,19.88,20.19,19.74,20.17,40343700,0
2008-02-04,20.1,20.3,19.92,20.01,27414900,0
2008-02-05,19.96,19.96,19.44,19.52,40007000,0
2008-02-06,19.61,19.73,19.1,19.15,41052100,0
2008-02-07,18.98,18.98,18.24,18.39,107215100,0
2008-02-08,18.5,19.16,18.42,19.02,49548000,0
2008-02-11,19.18,19.36,19.04,19.36,29752500,0
2008-02-12,19.43,19.71,19.22,19.47,43568300,0
2008-02-13,19.58,20.2,19.58,20.0,38519500,0
2008-02-14,19.78,19.81,19.43,19.65,43709200,0
2008-02-15,19.6,20.11,19.44,19.92,41743500,0
2008-02-19,20.17,20.51,19.96,19.96,70195100,0
2008-02-20,20.83,21.68,20.66,21.54,88567700,0
2008-02-21,21.55,21.73,21.14,21.27,42128000,0
2008-02-22,21.31,21.57,21.05,21.53,31144200,0
2008-02-25,21.5,21.95,21.41,21.86,37159800,0
2008-02-26,21.75,22.57,21.63,22.34,44991900,0
2008-02-27,22.25,22.48,22.09,22.23,31914400,0
2008-02-28,22.08,22.16,21.87,22.05,34746600,0
2008-02-29,21.85,22.08,21.62,21.69,31239700,0
2008-03-03,21.63,21.74,21.41,21.62,26813900,0
2008-03-04,21.48,22.03,21.34,22.0,35650100,0
2008-03-05,22.07,22.18,21.71,21.94,27464600,0
2008-03-06,21.81,22.16,21.66,21.7,35416500,0
2008-03-07,21.49,21.88,21.23,21.49,27717400,0
2008-03-10,21.46,21.53,21.17,21.21,25183100,0
2008-03-11,21.65,21.8,21.17,21.76,32002100,0
2008-03-12,21.64,21.79,21.39,21.47,26981700,0
2008-03-13,21.16,21.58,20.93,21.35,34488100,0
2008-03-14,21.5,21.5,20.48,20.85,40414400,0
2008-03-17,20.4,21.34,20.21,21.08,38639100,0
2008-03-18,21.38,21.77,21.26,21.77,33076600,0
2008-03-19,21.57,21.73,21.14,21.16,45659300,0
2008-03-20,21.19,21.5,20.98,21.12,62210400,0
2008-03-24,21.21,22.02,21.02,21.77,36454300,0
2008-03-25,21.73,22.01,21.62,21.92,23042800,0
2008-03-26,21.8,21.91,21.19,21.5,30242700,0
2008-03-27,21.4,21.5,21.09,21.18,26909100,0
2008-03-28,21.32,21.44,20.86,20.93,22426200,0
2008-03-31,20.89,21.16,20.74,20.74,49361700,0
2008-04-01,20.94,21.73,20.94,21.61,38758700,0
2008-04-02,21.59,21.8,21.25,21.45,28822400,0
2008-04-03,21.28,21.47,21.06,21.33,33455400,0
2008-04-04,21.32,21.46,20.98,21.07,27220000,0
2008-04-07,21.09,21.31,20.77,20.85,31075000,0
2008-04-08,20.69,20.98,20.52,20.92,27289800,0
2008-04-09,20.92,20.99,20.55,20.93,26160200,0
2008-04-10,20.84,21.27,20.84,21.15,23886400,0
2008-04-11,21.01,21.05,20.59,20.65,22629900,0
