Date,Open,High,Low,Close,Volume,Dividend
2014-05-23,11.55,11.89,11.33,11.5,2207400,0
2014-05-27,11.45,12.24,11.29,11.92,207300,0
2014-05-28,11.91,12.25,11.91,12.0,170500,0
2014-05-29,12.83,13.05,12.0,12.37,103700,0
2014-05-30,12.84,12.84,12.43,12.43,53500,0
2014-06-02,12.45,12.65,12.4,12.55,35800,0
2014-06-03,12.58,13.0,12.58,12.69,108100,0
2014-06-04,12.63,13.1,12.63,12.95,89500,0
2014-06-05,13.25,13.48,13.01,13.23,109900,0
2014-06-06,13.5,13.89,13.25,13.69,158500,0
2014-06-09,14.16,14.25,13.7,13.97,144900,0
2014-06-10,13.95,14.04,13.4,13.54,57600,0
2014-06-11,13.59,14.46,13.47,14.03,147600,0
2014-06-12,13.95,14.4,13.86,14.13,119600,0
2014-06-13,14.24,14.49,13.99,14.22,47000,0
2014-06-16,14.29,14.59,14.03,14.41,73700,0
2014-06-17,14.8,15.1,14.4,14.59,148900,0
2014-06-18,14.88,15.11,14.56,15.02,107700,0
2014-06-19,15.12,15.36,14.93,15.07,82600,0
2014-06-20,15.07,15.38,15.07,15.25,84500,0
2014-06-23,15.17,15.29,15.01,15.18,60000,0
2014-06-24,15.19,15.25,14.92,15.0,63400,0
2014-06-25,14.84,15.1,14.77,14.99,51200,0
2014-06-26,14.9,15.22,14.83,14.99,68900,0
2014-06-27,14.85,15.27,14.32,14.6,640900,0
2014-06-30,14.6,15.21,14.55,15.21,107700,0
2014-07-01,15.18,15.45,15.1,15.3,72000,0
2014-07-02,15.45,15.7,14.55,14.96,129500,0
2014-07-03,15.0,15.22,14.88,14.96,32400,0
2014-07-07,14.96,15.1,14.64,14.89,71500,0
2014-07-08,14.89,15.19,14.84,15.09,42000,0
2014-07-09,15.14,15.14,14.86,14.94,24100,0
2014-07-10,14.93,15.02,14.68,14.78,56600,0
2014-07-11,14.77,14.85,14.69,14.69,46100,0
2014-07-14,14.79,14.94,14.6,14.65,75600,0
2014-07-15,14.65,14.76,14.17,14.3,87200,0
2014-07-16,14.4,14.95,14.4,14.85,129500,0
2014-07-17,14.72,15.0,14.63,14.66,64800,0
2014-07-18,14.63,15.19,14.57,15.01,48900,0
2014-07-21,14.91,15.35,14.69,15.17,50200,0
2014-07-22,15.22,15.37,14.77,14.84,22600,0
2014-07-23,14.8,15.3,14.8,15.24,32700,0
2014-07-24,15.25,15.4,14.95,15.09,48800,0
2014-07-25,14.97,15.22,14.88,14.98,44800,0
2014-07-28,15.09,15.09,14.7,14.74,27000,0
2014-07-29,14.9,15.1,14.74,14.77,40600,0
2014-07-30,14.86,15.06,14.4,14.57,64600,0
2014-07-31,14.51,14.51,14.03,14.13,105500,0
2014-08-01,14.1,14.48,13.8,14.18,73800,0
