Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,39.45,39.45,38.7,38.77,1697100,0
2008-01-03,38.71,39.2,38.71,38.89,1951600,0
2008-01-04,38.64,39.08,38.5,38.55,1904500,0
2008-01-07,38.66,38.8,38.43,38.66,1527400,0
2008-01-08,38.77,38.9,37.82,37.86,1506900,0
2008-01-09,37.61,37.88,37.19,37.84,1869600,0
2008-01-10,37.64,38.21,37.51,37.92,1684100,0
2008-01-11,37.95,37.95,37.12,37.46,1377700,0
2008-01-14,37.83,37.83,37.2,37.37,1388000,0
2008-01-15,37.31,37.34,36.3,36.3,1714300,0
2008-01-16,36.21,37.4,36.2,37.1,2321500,0
2008-01-17,37.28,37.78,37.07,37.26,2752500,0
2008-01-18,37.58,37.62,36.48,36.74,2410000,0
2008-01-22,36.56,36.75,35.78,35.87,2630300,0
2008-01-23,35.89,36.51,35.1,36.39,2813000,0
2008-01-24,34.7,37.25,34.0,35.68,4426600,0
2008-01-25,35.95,36.02,33.54,34.04,5040300,0
2008-01-28,34.15,35.8,33.8,35.8,3533100,0
2008-01-29,35.7,36.91,35.45,36.68,2826900,0
2008-01-30,36.59,36.9,35.99,36.17,1950800,0
2008-01-31,35.72,36.42,35.36,36.17,2349000,0
2008-02-01,36.15,36.73,35.7,36.0,2865900,0
2008-02-04,36.0,36.27,35.54,35.6,1267300,0
2008-02-05,35.11,35.34,34.81,35.19,1727900,0
2008-02-06,35.36,35.58,35.0,35.02,1225700,0
2008-02-07,34.9,35.34,34.59,34.93,1704500,0
2008-02-08,34.68,34.79,34.18,34.42,1424900,0
2008-02-11,34.48,34.84,34.28,34.73,1458700,0
2008-02-12,35.15,36.07,34.93,36.07,2911300,0
2008-02-13,36.41,36.44,35.72,35.87,1409600,0
2008-02-14,35.95,35.95,35.61,35.63,1323000,0
2008-02-15,35.54,36.14,35.46,35.99,2082800,0
2008-02-19,36.05,37.25,36.02,37.05,3803100,0
2008-02-20,36.75,37.24,36.47,37.1,2098000,0
2008-02-21,37.15,37.15,36.58,36.62,1959500,0
2008-02-22,36.7,36.84,36.25,36.84,1256500,0
2008-02-25,36.79,38.04,36.55,37.91,3526900,0
2008-02-26,37.34,37.84,37.0,37.59,2380700,0
2008-02-27,37.44,37.7,37.09,37.28,2321000,0
2008-02-28,37.11,37.2,36.91,37.03,1233000,0
2008-02-29,36.71,37.44,36.71,37.08,2267600,0
2008-03-03,37.05,37.06,36.81,37.04,1588600,0
2008-03-04,36.8,37.11,36.79,36.94,1391000,0
2008-03-05,37.0,37.55,36.82,37.21,1803500,0
2008-03-06,36.96,36.97,35.62,35.62,2221900,0
2008-03-07,35.41,35.59,34.91,35.05,1705200,0
2008-03-10,34.76,35.63,34.76,35.29,1306200,0
2008-03-11,35.43,36.38,35.43,36.38,1804600,0
2008-03-12,36.45,36.96,36.2,36.9,2135400,0
2008-03-13,36.68,37.02,36.21,36.81,1881600,0
2008-03-14,37.0,37.22,36.03,36.46,1987200,0
2008-03-17,35.76,36.4,35.76,35.89,2360700,0
2008-03-18,36.25,36.57,35.87,36.4,1596800,0
2008-03-19,36.5,37.45,36.5,36.91,1826900,0
2008-03-20,36.96,38.06,36.8,37.98,1815900,0
2008-03-24,38.26,38.45,37.7,38.4,1383500,0
2008-03-25,38.32,38.74,38.3,38.64,1470500,0
2008-03-26,38.29,38.48,37.88,38.12,994300,0
2008-03-27,38.14,38.43,38.06,38.14,1122000,0
2008-03-28,38.35,38.67,37.7,37.79,1021300,0
2008-03-31,37.62,37.85,37.23,37.67,1879900,0
2008-04-01,37.95,39.24,37.63,39.24,1724400,0
2008-04-02,39.2,39.47,38.93,39.03,1020800,0
2008-04-03,38.81,39.09,38.6,38.95,720200,0
2008-04-04,38.94,39.17,38.83,39.03,932200,0
2008-04-07,39.24,39.35,38.97,39.14,708500,0
2008-04-08,39.11,39.16,38.72,38.93,527000,0
2008-04-09,38.93,39.33,38.46,38.5,1542800,0
2008-04-10,38.42,38.51,38.2,38.35,717600,0
2008-04-11,37.95,37.95,35.8,35.89,3122000,0
2008-04-14,35.76,36.59,35.76,36.18,1682100,0
2008-04-15,36.31,36.31,35.79,36.03,1644000,0
2008-04-16,36.26,36.26,35.87,35.99,2373800,0
2008-04-17,35.81,36.2,35.69,35.69,1429800,0
2008-04-18,36.0,36.22,35.32,35.53,1891900,0
2008-04-21,35.52,35.85,35.5,35.76,1652300,0
2008-04-22,35.68,35.81,35.25,35.41,1194300,0
2008-04-23,35.26,35.55,34.92,35.23,1703100,0
2008-04-24,35.34,35.55,34.25,34.75,2093100,0
2008-04-25,34.86,34.86,34.5,34.74,1391000,0
2008-04-28,36.23,37.29,36.08,36.35,4149800,0
2008-04-29,36.35,37.93,36.31,37.36,3721300,0
2008-04-30,37.57,37.9,37.29,37.38,1738700,0
2008-05-01,37.4,38.46,37.4,38.32,1858200,0
2008-05-02,38.6,38.76,37.94,38.17,1361500,0
2008-05-05,38.1,38.39,37.84,38.22,924000,0
2008-05-06,38.28,38.43,37.75,38.31,1075100,0
2008-05-07,38.41,38.48,37.96,38.01,1158000,0
2008-05-08,37.63,37.9,37.22,37.54,2570000,0
2008-05-09,37.32,37.35,36.71,36.99,1460900,0
2008-05-12,37.09,37.24,36.88,37.2,810900,0
2008-05-13,37.22,37.48,37.02,37.24,723400,0
2008-05-14,37.3,37.5,37.09,37.26,974800,0
2008-05-15,37.25,37.51,37.03,37.33,1215400,0
2008-05-16,37.47,37.59,37.04,37.47,962400,0
2008-05-19,37.41,37.98,37.26,37.65,980800,0
2008-05-20,37.58,37.61,37.01,37.22,769400,0
2008-05-21,37.21,37.21,36.36,36.37,943400,0
2008-05-22,36.38,36.9,36.24,36.83,757000,0
2008-05-23,36.79,36.79,36.18,36.51,1118200,0
2008-05-27,36.45,40.28,36.44,39.93,8369200,0
