Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,8.91,9.0,8.33,8.33,162400,0
2008-01-03,8.47,8.47,8.12,8.12,202100,0
2008-01-04,7.72,8.12,7.72,7.84,810700,0
2008-01-07,7.86,8.24,7.85,8.24,292100,0
2008-01-08,8.25,8.55,8.1,8.1,278300,0
2008-01-09,8.1,8.21,7.43,7.58,517500,0
2008-01-10,7.51,8.85,7.21,8.45,459100,0
2008-01-11,8.37,8.56,8.1,8.34,228900,0
2008-01-14,8.5,8.61,8.32,8.44,372600,0
2008-01-15,8.4,8.4,8.08,8.11,174000,0
2008-01-16,8.08,9.16,8.08,8.81,193200,0
2008-01-17,8.82,8.86,8.33,8.35,166000,0
2008-01-18,8.46,8.79,8.26,8.5,206500,0
2008-01-22,8.15,9.47,8.05,9.32,305900,0
2008-01-23,9.12,10.53,8.76,10.44,509400,0
2008-01-24,10.3,10.5,9.69,9.73,280300,0
2008-01-25,9.89,10.17,9.38,9.6,163800,0
2008-01-28,9.62,9.87,9.25,9.64,239400,0
2008-01-29,9.72,10.31,9.5,10.31,275900,0
2008-01-30,10.22,10.22,9.6,9.65,181300,0
2008-01-31,9.5,10.29,9.34,10.23,180600,0
2008-02-01,10.12,10.25,9.48,9.97,237800,0
2008-02-04,9.96,10.17,9.73,9.83,87200,0
2008-02-05,9.62,9.87,9.43,9.47,128600,0
2008-02-06,9.58,9.68,9.1,9.13,180100,0
2008-02-07,9.09,9.55,8.91,9.34,348000,0
2008-02-08,9.27,9.67,8.96,9.16,162300,0
2008-02-11,9.2,10.03,9.06,9.71,196700,0
2008-02-12,9.74,10.06,9.73,9.88,154400,0
2008-02-13,9.99,10.19,9.9,9.98,125000,0
2008-02-14,10.01,10.01,9.2,9.39,134300,0
2008-02-15,9.34,9.53,9.2,9.29,85600,0
2008-02-19,9.46,9.47,9.0,9.03,90300,0
2008-02-20,9.0,9.88,9.0,9.88,95300,0
2008-02-21,9.94,10.0,9.11,9.12,161400,0
2008-02-22,9.7,10.44,9.7,10.0,542500,0
2008-02-25,9.86,10.27,9.69,10.26,212000,0
2008-02-26,10.18,10.4,10.12,10.14,225100,0
2008-02-27,10.01,10.3,9.85,10.01,189200,0
2008-02-28,9.92,10.25,9.68,10.02,491400,0
2008-02-29,9.83,10.25,9.62,9.82,363300,0
2008-03-03,9.8,9.92,9.25,9.48,331500,0
2008-03-04,9.37,9.76,9.28,9.58,140600,0
2008-03-05,9.61,9.74,9.34,9.66,186100,0
2008-03-06,9.62,9.68,8.91,9.18,222300,0
2008-03-07,9.09,9.62,9.04,9.24,129300,0
2008-03-10,9.33,9.7,9.21,9.48,191700,0
2008-03-11,9.7,10.15,9.65,9.91,171600,0
2008-03-12,10.08,10.25,9.28,9.42,194600,0
2008-03-13,9.27,9.95,9.14,9.62,192100,0
2008-03-14,9.7,9.77,9.26,9.36,191100,0
2008-03-17,9.11,9.73,9.01,9.43,92500,0
2008-03-18,9.68,10.15,9.64,10.04,199100,0
2008-03-19,10.22,10.22,9.89,9.89,92700,0
2008-03-20,9.92,10.27,9.85,9.99,459600,0
2008-03-24,10.19,11.16,9.96,11.16,237000,0
2008-03-25,11.02,11.15,10.44,11.0,170300,0
2008-03-26,10.99,11.0,10.62,11.0,145200,0
2008-03-27,11.03,11.03,10.32,10.37,96100,0
2008-03-28,10.34,10.82,10.21,10.57,165100,0
2008-03-31,10.54,10.9,10.53,10.64,170500,0
2008-04-01,10.74,11.02,10.73,11.0,159700,0
2008-04-02,10.96,11.2,10.62,11.17,170000,0
2008-04-03,11.05,11.09,10.31,10.75,111100,0
2008-04-04,10.61,11.18,9.89,10.23,221600,0
2008-04-07,10.28,10.28,9.68,9.83,154600,0
2008-04-08,9.76,9.97,9.63,9.89,86500,0
2008-04-09,9.87,9.87,9.43,9.48,108300,0
2008-04-10,9.46,9.92,9.42,9.47,211200,0
2008-04-11,9.34,9.49,9.27,9.3,129000,0
2008-04-14,9.29,9.4,9.26,9.31,88400,0
