Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,48.0,48.01,46.97,47.2,673200,0
2008-01-03,47.26,47.46,46.6,46.75,817500,0
2008-01-04,46.51,46.6,45.86,46.09,772100,0
2008-01-07,46.2,46.49,45.56,46.43,978500,0
2008-01-08,46.53,46.9,45.39,45.39,684000,0
2008-01-09,45.35,45.56,44.56,45.54,766400,0
2008-01-10,45.26,45.97,44.99,45.66,914500,0
2008-01-11,45.57,46.07,45.24,45.72,776400,0
2008-01-14,46.16,46.16,45.55,45.95,565700,0
2008-01-15,45.69,45.91,44.63,44.63,874800,0
2008-01-16,44.4,44.94,44.13,44.32,906500,0
2008-01-17,44.5,44.55,43.08,43.11,1042000,0
2008-01-18,43.26,43.9,42.48,42.81,1165400,0
2008-01-22,41.01,43.46,41.01,42.97,975800,0
2008-01-23,41.9,44.31,41.61,44.23,1346500,0
2008-01-24,44.06,44.34,42.69,43.03,1480400,0
2008-01-25,43.14,43.46,42.74,42.97,1202200,0
2008-01-28,42.94,43.48,42.56,43.44,1114900,0
2008-01-29,43.73,43.96,43.19,43.5,1076700,0
2008-01-30,43.23,43.23,39.13,39.48,3346300,0
2008-01-31,38.95,43.06,38.88,42.55,3735400,0
2008-02-01,42.19,42.93,41.96,42.68,1467000,0
2008-02-04,42.64,42.85,42.45,42.57,833400,0
2008-02-05,42.18,42.69,41.98,41.98,1115300,0
2008-02-06,42.15,42.8,41.83,42.37,1209300,0
2008-02-07,42.45,42.78,41.99,42.47,982300,0
2008-02-08,42.31,42.8,41.96,42.24,700200,0
2008-02-11,42.14,42.65,41.89,42.44,650600,0
2008-02-12,42.61,43.13,42.29,42.95,887300,0
2008-02-13,42.1,43.47,42.1,43.14,675900,0
2008-02-14,43.09,43.44,42.62,42.74,611900,0
2008-02-15,42.74,42.87,42.02,42.85,485500,0
2008-02-19,43.23,43.47,42.46,42.79,710600,0
2008-02-20,42.78,43.25,42.0,43.2,789600,0
2008-02-21,43.54,43.54,42.63,42.76,669500,0
2008-02-22,43.0,43.03,42.03,42.87,596700,0
2008-02-25,43.06,43.37,42.31,43.37,569600,0
2008-02-26,43.24,43.85,42.9,43.58,661600,0
2008-02-27,43.41,44.93,43.41,44.64,939100,0
2008-02-28,44.19,44.58,43.9,44.37,829300,0
2008-02-29,43.79,44.24,42.94,43.13,1138100,0
2008-03-03,42.97,43.58,42.66,43.21,632900,0
2008-03-04,42.9,43.01,41.8,42.17,1013600,0
2008-03-05,42.32,43.13,42.3,42.99,819600,0
2008-03-06,42.86,42.87,42.06,42.14,767500,0
2008-03-07,41.88,42.33,41.28,41.49,745400,0
2008-03-10,41.31,41.35,40.47,40.65,859800,0
2008-03-11,41.74,42.35,41.19,42.35,733100,0
2008-03-12,42.28,42.81,42.06,42.22,467300,0
2008-03-13,42.11,42.85,41.59,42.55,614400,0
2008-03-14,43.03,43.06,41.4,42.08,892600,0
2008-03-17,41.7,42.45,41.2,41.87,871700,0
2008-03-18,42.09,44.2,40.86,43.16,848400,0
2008-03-19,43.64,44.07,42.13,42.13,820500,0
2008-03-20,42.33,42.6,41.54,42.45,882500,0
2008-03-24,42.57,43.62,42.46,43.05,535800,0
2008-03-25,43.46,43.47,42.79,43.26,566700,0
2008-03-26,43.07,43.4,42.8,43.0,446600,0
2008-03-27,43.2,43.73,42.49,43.1,627600,0
2008-03-28,43.55,44.13,43.37,43.64,676300,0
2008-03-31,43.87,44.06,43.44,44.05,716900,0
2008-04-01,44.64,44.87,43.83,44.84,740500,0
2008-04-02,45.07,45.56,44.92,45.16,649900,0
2008-04-03,45.0,45.57,44.8,45.29,593200,0
2008-04-04,45.34,45.76,45.05,45.5,470700,0
2008-04-07,45.62,45.81,44.88,45.01,662700,0
2008-04-08,44.84,45.38,44.53,45.25,810300,0
