Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,36.54,36.69,35.89,36.18,518600,0
2008-01-03,36.17,37.81,36.17,36.97,745900,0
2008-01-04,36.56,37.21,36.28,36.83,749400,0
2008-01-07,36.73,37.58,36.57,36.91,1085700,0
2008-01-08,36.93,37.01,36.11,36.31,559600,0
2008-01-09,36.03,37.85,36.01,37.72,714900,0
2008-01-10,37.11,37.71,36.42,37.22,897300,0
2008-01-11,36.99,38.6,36.33,37.5,1056300,0
2008-01-14,37.6,38.25,37.41,37.69,670600,0
2008-01-15,37.37,38.02,36.33,36.57,1039700,0
2008-01-16,36.6,36.6,33.12,34.36,1917700,0
2008-01-17,34.74,35.37,33.22,33.4,968200,0
2008-01-18,33.5,33.61,32.06,32.63,978900,0
2008-01-22,31.46,32.6,31.42,32.43,744500,0
2008-01-23,32.35,33.32,32.08,33.14,954400,0
2008-01-24,33.63,34.68,33.54,33.92,569300,0
2008-01-25,34.22,34.71,33.18,33.42,444200,0
2008-01-28,33.24,34.32,33.11,34.32,478600,0
2008-01-29,34.56,34.57,33.7,34.36,396600,0
2008-01-30,34.17,34.37,33.7,33.82,605700,0
2008-01-31,33.46,34.14,33.2,33.8,686500,0
2008-02-01,34.09,35.28,33.86,35.03,754700,0
2008-02-04,35.31,35.63,33.91,34.71,740900,0
2008-02-05,35.65,38.74,35.22,37.75,1692500,0
2008-02-06,38.02,38.02,36.09,36.97,1389200,0
2008-02-07,36.93,37.63,36.26,37.46,826900,0
2008-02-08,37.3,37.68,36.7,36.96,550500,0
2008-02-11,36.92,37.17,35.9,36.4,1012600,0
2008-02-12,36.66,37.3,36.66,37.05,584800,0
2008-02-13,37.18,37.36,36.63,37.02,693400,0
2008-02-14,36.82,37.3,36.58,36.95,757700,0
2008-02-15,36.9,37.3,36.48,37.21,717300,0
2008-02-19,37.23,38.59,36.99,37.2,680800,0
2008-02-20,37.1,37.3,36.21,36.66,444300,0
2008-02-21,36.9,37.65,36.13,36.31,369900,0
2008-02-22,36.5,36.53,35.43,35.93,311300,0
2008-02-25,36.05,37.13,36.02,37.13,505500,0
2008-02-26,37.15,37.77,36.87,37.54,536100,0
2008-02-27,37.31,37.84,37.26,37.45,375600,0
2008-02-28,37.6,37.85,37.07,37.31,269900,0
2008-02-29,37.31,37.33,35.67,36.71,711600,0
2008-03-03,36.64,38.03,36.64,37.99,1052700,0
2008-03-04,38.07,38.87,37.67,38.57,1237000,0
2008-03-05,38.94,40.15,38.58,39.88,973500,0
2008-03-06,39.76,39.76,37.5,37.6,521500,0
2008-03-07,37.16,38.03,37.16,37.41,384700,0
2008-03-10,37.72,37.72,36.59,36.62,513100,0
2008-03-11,37.42,37.84,36.83,37.64,845400,0
2008-03-12,37.78,39.19,37.78,38.79,1023600,0
2008-03-13,38.58,39.09,37.56,38.06,840400,0
2008-03-14,38.5,38.94,37.85,38.52,659300,0
2008-03-17,38.52,38.75,37.34,38.2,731900,0
2008-03-18,38.75,39.02,38.0,38.91,734900,0
2008-03-19,39.03,39.85,37.76,37.76,1172900,0
2008-03-20,38.12,38.21,36.79,37.75,1678900,0
2008-03-24,37.99,38.31,37.06,37.64,1262000,0
2008-03-25,37.4,38.04,37.4,37.66,1050000,0
2008-03-26,37.41,37.63,36.96,37.17,743200,0
2008-03-27,37.39,37.43,36.66,36.95,910400,0
2008-03-28,37.07,37.68,36.5,36.86,707600,0
2008-03-31,36.7,37.35,36.41,37.14,1275500,0
2008-04-01,37.27,37.53,36.5,36.97,1104100,0
2008-04-02,36.91,37.14,35.58,35.62,917800,0
2008-04-03,35.64,36.39,35.46,36.27,625800,0
2008-04-04,36.69,36.93,36.06,36.42,768800,0
2008-04-07,36.55,37.36,36.43,37.26,1056400,0
2008-04-08,37.02,37.43,36.93,37.34,843200,0
2008-04-09,37.46,37.46,36.95,37.09,616200,0
2008-04-10,37.16,37.54,36.86,37.5,691800,0
2008-04-11,37.18,37.7,37.18,37.55,819400,0
2008-04-14,37.7,39.25,37.64,38.92,1044600,0
2008-04-15,39.0,39.53,38.87,39.3,766800,0
2008-04-16,39.52,40.37,39.42,40.34,689100,0
2008-04-17,40.25,40.35,39.51,39.98,395600,0
2008-04-18,40.53,41.2,40.1,41.16,579800,0
2008-04-21,40.93,41.84,40.5,41.84,865700,0
2008-04-22,44.53,46.27,44.5,45.96,2383700,0
2008-04-23,46.1,46.83,44.64,44.95,1235100,0
2008-04-24,45.17,45.2,43.76,44.64,954700,0
2008-04-25,45.0,46.69,44.48,46.39,1221900,0
2008-04-28,46.19,47.17,46.0,46.14,902000,0
2008-04-29,45.95,45.95,44.68,44.87,917300,0
2008-04-30,45.0,46.85,44.64,46.38,1378200,0
2008-05-01,46.59,46.68,45.33,45.97,612500,0
2008-05-02,46.41,46.76,46.0,46.56,652000,0
2008-05-05,46.69,47.04,46.18,46.9,672200,0
2008-05-06,46.88,47.74,46.48,47.57,696100,0
2008-05-07,47.72,47.79,46.57,46.65,1236400,0
2008-05-08,46.97,47.1,45.72,46.65,988800,0
2008-05-09,46.42,46.65,46.07,46.6,474300,0
2008-05-12,46.75,47.26,46.25,46.7,1289800,0
2008-05-13,46.81,46.99,46.52,46.79,1261700,0
2008-05-14,46.8,47.39,46.5,46.87,702100,0
2008-05-15,46.64,46.96,46.3,46.66,472900,0
2008-05-16,46.84,47.03,46.51,47.0,326100,0
2008-05-19,47.04,47.37,46.57,46.79,327300,0
2008-05-20,46.73,47.45,46.52,47.24,393800,0
2008-05-21,47.23,47.5,46.79,47.01,364400,0
2008-05-22,45.79,46.54,45.1,46.05,898400,0
2008-05-23,46.0,46.21,45.54,46.07,453000,0
2008-05-27,46.14,46.59,45.68,46.15,369900,0
2008-05-28,46.26,47.73,46.26,47.25,682200,0
2008-05-29,47.34,47.92,47.09,47.25,347800,0
