Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,14.03,14.03,12.4,13.01,4800,0
2008-01-03,13.22,13.22,12.61,13.01,1800,0
2008-01-04,12.4,13.01,10.37,11.18,15800,0
2008-01-07,12.0,12.2,11.18,11.39,4200,0
2008-01-08,11.39,12.0,11.39,11.59,2600,0
2008-01-09,11.18,12.0,11.18,11.79,4200,0
2008-01-10,11.79,12.0,11.18,11.59,1400,0
2008-01-11,11.59,11.79,10.78,11.79,1400,0
2008-01-14,11.79,11.79,11.18,11.39,1200,0
2008-01-15,11.59,11.59,10.57,10.98,1200,0
2008-01-16,10.57,11.18,9.76,10.37,5000,0
2008-01-17,9.96,11.39,9.96,11.39,3000,0
2008-01-18,11.18,11.39,10.17,10.57,800,0
2008-01-22,10.17,10.98,10.17,10.37,2000,0
2008-01-23,10.17,10.78,10.17,10.37,1400,0
2008-01-24,10.78,11.18,10.37,10.37,1200,0
2008-01-25,11.59,11.59,10.57,10.57,800,0
2008-01-28,11.39,11.39,10.57,10.78,600,0
2008-01-29,10.78,11.18,10.57,10.78,1200,0
2008-01-30,11.39,11.39,10.57,10.98,1800,0
2008-01-31,10.78,11.59,10.78,11.18,600,0
2008-02-01,11.59,12.2,11.59,11.79,2600,0
2008-02-04,12.0,12.81,11.79,12.81,2000,0
2008-02-05,12.81,13.62,12.81,13.22,3000,0
2008-02-06,13.42,14.23,13.42,13.83,3200,0
2008-02-07,14.64,14.64,13.42,13.83,2400,0
2008-02-08,13.83,13.83,12.4,13.01,1400,0
2008-02-11,13.22,14.44,12.4,13.62,2000,0
2008-02-12,14.44,14.44,13.22,13.22,2000,0
2008-02-13,13.22,14.64,13.22,14.64,2000,0
2008-02-14,15.05,15.05,13.83,14.44,3000,0
2008-02-15,14.44,15.25,14.23,15.05,3000,0
2008-02-19,15.25,15.25,14.84,15.05,1800,0
2008-02-20,15.25,16.27,14.44,14.84,5400,0
2008-02-21,14.84,14.84,12.81,13.83,2000,0
2008-02-22,14.03,14.03,13.22,13.22,800,0
2008-02-25,13.22,13.22,12.61,13.01,1400,0
2008-02-26,12.61,13.83,12.4,12.61,1400,0
2008-02-27,13.83,13.83,11.79,11.79,3200,0
2008-02-28,11.79,13.22,11.79,13.01,3200,0
2008-02-29,12.0,12.81,12.0,12.4,200,0
2008-03-03,13.42,13.42,12.81,12.81,2600,0
2008-03-04,13.22,13.22,12.61,13.22,3600,0
2008-03-05,13.22,13.22,12.81,13.01,200,0
2008-03-06,13.22,13.62,13.22,13.22,3600,0
2008-03-07,13.42,13.62,13.22,13.42,800,0
2008-03-10,13.01,13.22,12.2,12.61,1400,0
2008-03-11,12.2,12.61,11.39,12.0,1800,0
2008-03-12,12.2,12.4,11.39,11.59,3000,0
2008-03-13,11.59,12.0,11.39,11.39,200,0
2008-03-14,11.39,12.0,10.78,10.78,1800,0
2008-03-17,10.98,11.79,10.57,10.78,800,0
2008-03-18,10.78,11.18,10.37,10.37,1800,0
2008-03-19,10.37,10.78,10.37,10.57,800,0
2008-03-20,10.37,12.0,10.37,11.18,1400,0
2008-03-24,10.57,11.59,10.57,11.39,800,0
2008-03-25,11.59,14.03,11.59,12.81,7400,0
2008-03-26,14.03,14.23,13.01,14.23,4200,0
2008-03-27,14.03,14.03,12.2,13.62,4200,0
2008-03-28,16.27,16.27,12.61,12.81,1200,0
2008-03-31,12.61,12.61,11.39,11.39,3600,0
2008-04-01,11.39,12.2,10.98,11.59,8400,0
2008-04-02,11.39,14.23,11.39,12.0,3800,0
2008-04-03,11.79,12.61,11.39,12.4,1200,0
2008-04-04,12.4,12.4,12.2,12.2,800,0
2008-04-07,12.61,12.61,12.2,12.2,1200,0
2008-04-08,12.61,12.61,11.39,11.39,3000,0
2008-04-09,11.59,12.0,11.39,11.59,800,0
2008-04-10,11.39,11.59,11.18,11.18,2400,0
2008-04-11,11.59,11.59,11.18,11.18,1400,0
2008-04-14,11.18,11.79,11.18,11.18,200,0
2008-04-15,10.98,11.79,10.78,11.18,800,0
2008-04-16,10.98,11.18,10.78,10.78,3000,0
2008-04-17,11.18,11.18,10.57,10.78,1200,0
2008-04-18,10.78,11.18,10.78,10.78,600,0
2008-04-21,11.39,11.79,10.78,11.39,200,0
2008-04-22,11.79,11.79,10.78,10.78,3000,0
2008-04-23,10.78,10.98,10.37,10.37,3800,0
2008-04-24,10.78,11.59,10.78,10.78,200,0
2008-04-25,10.57,11.39,10.57,10.98,1400,0
2008-04-28,10.98,11.59,10.98,11.39,0,0
2008-04-29,11.18,11.79,11.18,11.59,600,0
2008-04-30,11.59,12.2,11.59,11.79,1400,0
2008-05-01,11.79,12.81,11.79,12.0,1200,0
2008-05-02,12.2,12.61,12.0,12.2,800,0
2008-05-05,12.4,12.4,11.39,11.39,800,0
2008-05-06,11.79,12.0,11.39,11.59,2000,0
2008-05-07,11.18,12.0,11.18,11.59,200,0
2008-05-08,11.59,12.0,11.59,12.0,800,0
2008-05-09,11.18,12.0,11.18,11.79,800,0
2008-05-12,11.79,12.0,11.79,11.79,800,0
2008-05-13,12.0,12.2,11.59,11.59,800,0
2008-05-14,11.59,12.2,11.59,11.59,1400,0
2008-05-15,11.39,12.0,11.39,11.79,200,0
2008-05-16,10.78,11.39,10.78,10.78,4400,0
2008-05-19,11.59,11.59,10.17,10.57,1200,0
2008-05-20,10.78,10.98,10.78,10.78,200,0
2008-05-21,10.98,11.59,10.78,10.98,2000,0
2008-05-22,11.79,12.0,10.98,11.18,600,0
2008-05-23,11.18,11.79,11.18,11.59,200,0
2008-05-27,11.79,12.2,11.39,12.2,4200,0
2008-05-28,12.2,12.2,11.59,12.2,3800,0
2008-05-29,11.39,12.2,11.39,12.2,1200,0
2008-05-30,12.2,12.81,11.79,12.61,4200,0
2008-06-02,12.81,13.83,12.61,13.83,9000,0
2008-06-03,13.22,14.23,13.22,14.23,3200,0
2008-06-04,14.03,17.49,14.03,16.06,9200,0
2008-06-05,16.88,17.49,16.27,17.08,5600,0
2008-06-06,17.49,17.89,16.88,17.49,4400,0
2008-06-09,17.49,17.69,16.47,17.08,3600,0
2008-06-10,17.08,17.08,15.25,15.66,4200,0
2008-06-11,15.25,15.25,13.22,13.62,2600,0
2008-06-12,13.22,14.64,13.22,13.83,2600,0
2008-06-13,13.22,14.64,13.22,13.83,600,0
2008-06-16,14.03,14.23,13.42,14.23,200,0
2008-06-17,14.23,14.23,13.42,14.03,600,0
2008-06-18,14.23,14.23,12.61,13.01,600,0
2008-06-19,12.4,12.81,11.39,11.59,4200,0
2008-06-20,12.2,13.01,11.79,12.4,200,0
2008-06-23,12.0,12.4,12.0,12.0,800,0
2008-06-24,12.2,12.4,12.0,12.0,600,0
2008-06-25,12.0,12.2,12.0,12.2,800,0
2008-06-26,11.59,12.2,10.98,11.18,2000,0
2008-06-27,11.18,11.18,10.78,10.78,3000,0
2008-06-30,10.98,11.18,10.57,10.57,1200,0
2008-07-01,10.78,11.18,10.78,10.78,0,0
2008-07-02,10.98,10.98,9.76,9.76,7400,0
2008-07-03,9.76,9.96,9.56,9.76,600,0
2008-07-07,10.57,10.57,9.76,9.76,600,0
2008-07-08,10.17,10.57,9.76,9.96,600,0
2008-07-09,10.17,10.57,9.56,9.56,800,0
2008-07-10,9.56,10.17,9.56,9.76,200,0
2008-07-11,9.96,10.17,9.56,9.56,1400,0
2008-07-14,10.78,10.78,9.56,9.96,200,0
2008-07-15,9.76,9.96,8.95,9.15,3600,0
2008-07-16,9.35,9.76,9.35,9.35,0,0
2008-07-17,9.35,9.76,9.35,9.56,1200,0
2008-07-18,10.17,10.17,9.56,9.56,600,0
2008-07-21,9.56,10.17,9.56,9.76,600,0
2008-07-22,9.76,10.17,9.76,10.17,800,0
2008-07-23,10.17,10.57,9.76,10.57,2400,0
2008-07-24,9.76,10.78,9.76,9.76,1800,0
2008-07-25,9.76,10.98,9.76,10.37,3000,0
2008-07-28,11.18,11.18,10.37,10.57,800,0
2008-07-29,10.78,10.78,9.96,10.17,5400,0
2008-07-30,9.96,10.78,9.76,10.17,2600,0
2008-07-31,10.17,10.17,9.76,9.96,1200,0
2008-08-01,9.96,10.17,8.95,9.15,3200,0
2008-08-04,9.15,10.17,8.95,8.95,3800,0
2008-08-05,8.95,9.96,7.73,8.13,5000,0
2008-08-06,8.13,8.74,7.93,7.93,4200,0
2008-08-07,8.13,8.13,7.52,7.52,5000,0
2008-08-08,8.13,8.54,7.32,7.32,3200,0
2008-08-11,7.32,8.34,7.12,7.32,11000,0
2008-08-12,7.32,8.13,6.91,7.52,3000,0
2008-08-13,7.73,7.73,7.12,7.52,1400,0
2008-08-14,7.52,7.93,7.52,7.73,600,0
2008-08-15,7.93,8.13,7.93,8.13,200,0
2008-08-18,7.52,8.34,7.52,7.93,0,0
2008-08-19,8.34,9.15,8.13,8.34,2000,0
2008-08-20,8.54,8.95,8.34,8.34,2600,0
2008-08-21,9.56,9.56,8.13,8.13,800,0
2008-08-22,8.13,8.74,8.13,8.54,1200,0
2008-08-25,8.74,8.74,7.52,7.52,1800,0
2008-08-26,8.13,8.13,7.52,7.52,200,0
2008-08-27,8.13,8.13,7.52,7.52,200,0
2008-08-28,7.93,8.34,7.12,7.32,2600,0
2008-08-29,7.73,8.54,6.91,8.13,3600,0
2008-09-02,8.74,10.17,7.52,8.34,5400,0
2008-09-03,8.34,10.17,8.34,9.35,3600,0
2008-09-04,9.96,10.17,9.15,9.96,4800,0
2008-09-05,10.17,10.17,8.74,9.15,9000,0
2008-09-08,10.17,10.17,8.95,8.95,5600,0
2008-09-09,8.74,8.95,7.52,7.52,4200,0
2008-09-10,7.73,8.13,6.51,7.12,9000,0
2008-09-11,7.12,7.93,6.51,7.12,3200,0
2008-09-12,6.91,7.93,6.51,7.52,1400,0
2008-09-15,7.12,7.93,7.12,7.52,1200,0
2008-09-16,7.12,7.93,7.12,7.12,200,0
2008-09-17,7.93,7.93,7.12,7.52,2000,0
2008-09-18,7.12,7.73,7.12,7.12,1200,0
2008-09-19,7.93,7.93,6.1,6.1,1200,0
2008-09-22,6.1,6.51,6.1,6.1,3800,0
2008-09-23,6.3,7.12,6.1,6.1,2400,0
2008-09-24,6.1,6.1,4.27,5.49,12000,0
2008-09-25,5.49,5.69,4.68,4.88,1400,0
2008-09-26,4.88,5.69,4.88,5.08,2000,0
2008-09-29,5.9,5.9,3.05,4.88,600,0
2008-09-30,4.68,5.08,4.47,4.47,1200,0
2008-10-01,4.68,4.88,4.47,4.68,1400,0
2008-10-02,4.47,4.88,4.47,4.47,2000,0
2008-10-03,4.47,4.68,4.07,4.27,9600,0
2008-10-06,3.46,3.86,3.25,3.25,2600,0
2008-10-07,3.46,4.47,3.25,3.66,1800,0
2008-10-08,3.46,3.86,3.25,3.46,1800,0
2008-10-09,3.86,3.86,3.25,3.46,1200,0
2008-10-10,3.25,3.46,2.44,3.05,4400,0
2008-10-13,2.64,3.66,2.64,3.05,2000,0
2008-10-14,3.05,3.86,3.05,3.46,2600,0
2008-10-15,3.86,5.29,3.46,4.07,6600,0
2008-10-16,5.08,5.08,3.66,4.07,1800,0
2008-10-17,4.27,5.08,3.86,5.08,1400,0
2008-10-20,5.08,5.08,4.07,4.68,800,0
