Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,31.97,32.12,31.24,31.37,2967000,0
2008-01-03,31.66,32.47,31.46,32.23,5066000,0
2008-01-04,32.01,32.01,30.63,30.87,4390900,0
2008-01-07,31.11,31.33,30.5,30.59,3746200,0
2008-01-08,30.63,31.13,30.11,30.11,4634400,0
2008-01-09,30.21,30.57,29.59,30.57,4380200,0
2008-01-10,30.28,30.71,29.78,30.42,5027800,0
2008-01-11,30.1,30.99,30.03,30.59,4451600,0
2008-01-14,30.89,31.28,30.74,31.23,3292600,0
2008-01-15,30.91,30.99,30.2,30.38,2780400,0
2008-01-16,30.36,31.29,30.32,30.85,3836900,0
2008-01-17,30.88,31.01,29.6,29.66,4341900,0
2008-01-18,29.81,30.67,29.69,30.26,5863600,0
2008-01-22,28.74,30.97,27.13,30.5,5707500,0
2008-01-23,30.06,30.52,28.36,30.52,7831600,0
2008-01-24,31.01,31.24,30.01,31.06,4229700,0
2008-01-25,31.07,31.79,30.69,31.21,4468900,0
2008-01-28,31.19,31.31,30.34,30.78,5588100,0
2008-01-29,31.23,31.66,30.68,31.55,4216100,0
2008-01-30,31.51,32.07,31.15,31.27,3287500,0
2008-01-31,30.71,32.11,30.71,31.76,3692300,0
2008-02-01,31.76,32.3,31.5,32.23,2922900,0
2008-02-04,32.35,32.47,31.73,31.81,1823700,0
2008-02-05,31.57,31.57,30.82,30.86,2706500,0
2008-02-06,31.09,31.36,30.34,30.49,2469900,0
2008-02-07,30.55,31.77,30.46,31.28,4174000,0
2008-02-08,31.05,31.79,30.95,31.4,3012200,0
2008-02-11,31.45,32.23,31.15,32.18,4156700,0
2008-02-12,32.45,33.04,32.34,32.88,4756100,0
2008-02-13,33.08,33.3,32.63,33.04,3846900,0
2008-02-14,33.12,33.29,31.86,31.99,4015100,0
2008-02-15,31.95,32.24,31.45,32.06,3802100,0
2008-02-19,32.37,32.7,31.95,32.17,2889300,0
2008-02-20,31.95,32.47,31.76,32.34,3235500,0
2008-02-21,32.21,32.6,32.02,32.07,4470500,0
2008-02-22,32.05,32.13,31.29,31.95,3978300,0
2008-02-25,31.93,32.77,31.72,32.74,3494600,0
2008-02-26,32.52,32.72,32.16,32.56,4074600,0
2008-02-27,32.3,32.91,32.09,32.75,3454100,0
2008-02-28,32.45,32.59,32.02,32.14,2323500,0
2008-02-29,31.85,31.86,31.09,31.26,3426800,0
2008-03-03,31.25,31.61,30.88,31.36,3593100,0
2008-03-04,31.66,31.74,30.99,31.41,5956900,0
2008-03-05,31.61,32.3,31.21,31.99,5583300,0
2008-03-06,31.89,31.97,31.43,31.59,3826600,0
2008-03-07,31.39,31.99,30.72,30.88,5020400,0
2008-03-10,30.79,30.88,30.1,30.29,5399900,0
2008-03-11,30.91,31.55,30.71,31.49,5623300,0
2008-03-12,31.49,32.23,31.02,31.72,4292900,0
2008-03-13,31.24,31.5,30.46,31.37,4755700,0
2008-03-14,31.57,32.19,30.67,31.81,5696700,0
2008-03-17,29.16,30.87,28.42,29.06,15237300,0
2008-03-18,29.11,29.72,27.85,28.37,13041500,0
2008-03-19,28.45,28.69,27.06,27.06,9862900,0
2008-03-20,27.19,27.19,26.22,26.31,14613400,0
2008-03-24,26.65,26.91,26.39,26.6,13827000,0
2008-03-25,26.66,26.84,26.52,26.58,9714300,0
2008-03-26,26.55,27.13,26.55,27.11,9042400,0
2008-03-27,27.24,27.34,26.67,26.68,7408100,0
2008-03-28,26.85,26.89,26.47,26.58,5237200,0
2008-03-31,26.58,26.87,26.53,26.82,7224100,0
2008-04-01,27.17,27.87,27.09,27.82,11268300,0
2008-04-02,27.81,28.62,27.81,28.3,9371300,0
2008-04-03,28.25,28.44,28.11,28.35,5534900,0
2008-04-04,28.44,28.6,28.14,28.34,4869800,0
2008-04-07,28.49,28.75,28.2,28.29,6260200,0
2008-04-08,28.3,28.73,28.15,28.7,6359100,0
2008-04-09,28.81,28.96,27.53,27.78,7038700,0
2008-04-10,27.64,27.65,27.12,27.28,5273000,0
2008-04-11,27.08,27.08,26.74,26.8,5169500,0
2008-04-14,26.84,27.24,26.74,27.01,2726600,0
2008-04-15,27.23,27.43,26.74,26.91,4232600,0
2008-04-16,27.09,28.04,27.08,28.03,3573400,0
2008-04-17,27.41,27.73,27.22,27.64,4245500,0
2008-04-18,28.16,28.45,27.94,28.25,4626400,0
2008-04-21,28.16,28.21,27.76,28.13,3390200,0
2008-04-22,28.11,28.11,26.82,26.93,3907700,0
2008-04-23,27.1,27.36,26.68,27.03,3139700,0
2008-04-24,27.12,27.64,26.78,27.25,3081000,0
2008-04-25,27.44,27.9,27.09,27.78,2332400,0
2008-04-28,27.92,28.0,26.78,26.87,4232700,0
2008-04-29,26.9,27.04,26.63,26.93,3105200,0
2008-04-30,26.07,26.51,25.45,25.81,8362900,0
2008-05-01,25.74,26.0,25.45,25.84,4032800,0
2008-05-02,26.04,26.38,25.28,25.37,5125800,0
2008-05-05,25.37,25.61,25.08,25.34,4644500,0
2008-05-06,25.27,26.08,25.0,25.9,4433100,0
2008-05-07,25.86,26.02,25.36,25.49,3614300,0
2008-05-08,25.63,25.87,25.44,25.7,5253800,0
2008-05-09,25.45,25.92,25.32,25.46,5661500,0
