Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,20.09,20.09,19.73,19.86,254800,0
2008-01-03,19.94,20.13,19.75,20.04,277600,0
2008-01-04,20.93,22.25,20.7,21.92,1244400,0
2008-01-07,22.03,22.47,21.08,21.11,475800,0
2008-01-08,21.24,21.76,21.22,21.54,434300,0
2008-01-09,21.46,22.69,21.46,22.47,456100,0
2008-01-10,22.18,22.74,21.82,22.53,384500,0
2008-01-11,22.4,22.69,21.88,22.05,426500,0
2008-01-14,22.24,23.13,21.85,22.93,624700,0
2008-01-15,22.48,22.72,22.17,22.45,329500,0
2008-01-16,22.39,22.76,21.74,21.82,405200,0
2008-01-17,21.95,21.95,21.06,21.32,263500,0
2008-01-18,21.49,21.49,20.85,21.1,378400,0
2008-01-22,20.27,20.89,19.73,20.1,540700,0
2008-01-23,20.2,21.24,19.95,21.12,497100,0
2008-01-24,21.22,21.39,20.27,20.29,558500,0
2008-01-25,20.64,21.07,20.18,20.54,268600,0
2008-01-28,20.46,21.1,20.19,20.98,215900,0
2008-01-29,21.14,21.32,20.61,21.24,450300,0
2008-01-30,21.17,22.21,21.06,21.72,528900,0
2008-01-31,21.47,22.71,21.47,22.51,401800,0
2008-02-01,22.62,23.48,22.23,23.39,323300,0
2008-02-04,23.28,23.28,22.24,22.64,451700,0
2008-02-05,22.27,22.62,22.15,22.5,231900,0
2008-02-06,22.65,22.65,22.05,22.18,174900,0
2008-02-07,22.1,22.79,22.04,22.58,189500,0
2008-02-08,22.56,22.6,21.94,22.05,168000,0
2008-02-11,22.01,22.15,21.65,21.91,213000,0
2008-02-12,21.58,22.51,21.58,22.27,202800,0
2008-02-13,22.53,22.75,22.26,22.52,136500,0
2008-02-14,22.5,22.58,22.18,22.4,282200,0
2008-02-15,22.3,22.56,22.22,22.44,106400,0
2008-02-19,22.8,22.8,21.84,22.0,163400,0
2008-02-20,21.84,22.07,21.65,21.89,163900,0
2008-02-21,22.0,22.2,21.11,21.16,143100,0
2008-02-22,21.2,21.45,20.6,21.09,163500,0
2008-02-25,21.01,21.97,20.94,21.85,278600,0
2008-02-26,21.25,21.81,20.11,21.56,724800,0
2008-02-27,21.3,22.03,21.25,21.85,326500,0
2008-02-28,21.82,22.2,21.57,21.94,438100,0
2008-02-29,21.73,21.92,21.25,21.37,494700,0
2008-03-03,21.01,21.43,20.4,20.7,359400,0
2008-03-04,20.42,20.6,20.0,20.14,338000,0
2008-03-05,20.2,20.33,19.96,20.27,231500,0
2008-03-06,20.2,20.27,19.41,19.59,248100,0
2008-03-07,19.39,19.81,19.06,19.15,228400,0
2008-03-10,19.24,19.65,19.15,19.17,521600,0
2008-03-11,19.71,19.71,18.64,19.01,229000,0
2008-03-12,19.04,19.04,18.43,18.49,265700,0
2008-03-13,18.98,18.98,18.08,18.48,444400,0
2008-03-14,18.73,18.78,17.69,17.99,407500,0
2008-03-17,17.52,18.03,17.18,17.39,392000,0
2008-03-18,17.79,18.66,17.79,18.6,303900,0
2008-03-19,18.8,18.93,17.87,17.98,186800,0
2008-03-20,18.38,19.08,18.09,18.47,426900,0
2008-03-24,18.39,18.83,17.84,18.51,203900,0
2008-03-25,18.7,18.89,18.7,18.85,237900,0
2008-03-26,18.76,18.76,18.42,18.69,192400,0
2008-03-27,18.75,19.05,18.54,18.7,175600,0
2008-03-28,18.69,19.07,18.44,18.79,299000,0
2008-03-31,18.79,18.85,18.38,18.41,202900,0
2008-04-01,18.5,19.21,18.36,19.13,240700,0
2008-04-02,19.13,19.49,19.0,19.38,130300,0
2008-04-03,19.25,19.47,18.98,19.24,86800,0
2008-04-04,19.24,19.51,18.9,19.32,67700,0
2008-04-07,19.49,19.79,19.4,19.43,121400,0
2008-04-08,19.24,19.59,19.04,19.38,150800,0
2008-04-09,19.45,19.6,18.79,18.92,105500,0
2008-04-10,18.95,19.26,18.75,19.07,65400,0
2008-04-11,18.88,18.89,18.75,18.82,96000,0
2008-04-14,18.73,19.08,17.91,17.95,251900,0
2008-04-15,18.11,18.24,17.4,17.41,419800,0
2008-04-16,17.6,17.86,17.44,17.68,213300,0
2008-04-17,17.5,17.57,17.2,17.32,114400,0
2008-04-18,17.58,17.99,17.5,17.7,213000,0
2008-04-21,17.6,18.05,17.6,17.83,190400,0
2008-04-22,17.73,17.86,17.41,17.66,291200,0
2008-04-23,17.74,17.99,17.25,17.79,221100,0
2008-04-24,17.76,18.1,17.28,17.49,258900,0
2008-04-25,17.54,18.06,17.39,17.81,370200,0
2008-04-28,17.75,17.95,17.46,17.76,202000,0
2008-04-29,17.69,18.71,17.66,18.57,283600,0
2008-04-30,18.73,18.73,18.05,18.18,342400,0
2008-05-01,18.21,19.51,18.02,19.0,164600,0
2008-05-02,19.06,19.17,18.37,18.52,136800,0
2008-05-05,18.62,18.62,17.85,18.06,143000,0
2008-05-06,18.06,18.54,17.7,18.47,294800,0
2008-05-07,16.9,17.35,15.65,15.84,2333500,0
2008-05-08,16.02,16.25,15.49,15.66,479800,0
2008-05-09,15.7,16.79,15.55,16.75,606100,0
2008-05-12,16.81,16.91,16.31,16.51,197300,0
2008-05-13,16.52,16.97,16.22,16.86,365000,0
2008-05-14,16.81,17.05,16.65,16.75,416600,0
2008-05-15,16.79,17.13,16.62,17.11,287400,0
2008-05-16,17.21,17.3,16.87,17.22,155500,0
2008-05-19,17.22,18.17,17.0,18.05,245400,0
2008-05-20,17.93,18.34,17.5,18.32,206500,0
2008-05-21,18.44,18.68,18.25,18.33,231200,0
2008-05-22,18.38,18.79,18.25,18.54,270300,0
2008-05-23,18.38,18.5,17.99,18.31,143900,0
2008-05-27,18.29,18.62,18.11,18.22,149400,0
2008-05-28,18.34,18.42,17.97,18.4,186800,0
2008-05-29,18.31,18.75,18.17,18.71,127100,0
2008-05-30,18.76,18.97,18.42,18.75,191700,0
2008-06-02,18.65,18.74,18.21,18.6,137900,0
2008-06-03,18.71,18.72,18.13,18.38,98900,0
2008-06-04,18.38,18.74,18.15,18.44,108700,0
2008-06-05,18.45,18.79,18.29,18.79,186900,0
2008-06-06,18.64,18.64,17.92,17.97,106900,0
2008-06-09,18.16,18.16,17.57,17.85,108400,0
2008-06-10,17.65,17.9,17.24,17.84,178500,0
2008-06-11,17.76,17.85,17.3,17.5,110600,0
2008-06-12,17.66,17.8,17.36,17.45,224300,0
2008-06-13,17.67,17.82,17.5,17.8,200400,0
2008-06-16,17.48,18.08,17.45,17.87,99700,0
2008-06-17,17.95,18.68,17.95,18.48,176700,0
2008-06-18,18.5,18.56,17.93,17.96,121400,0
2008-06-19,17.96,18.35,17.46,17.52,139300,0
2008-06-20,17.28,17.74,17.24,17.48,275700,0
2008-06-23,17.67,18.08,17.15,17.22,113700,0
2008-06-24,17.15,17.27,16.8,16.84,156200,0
2008-06-25,16.84,17.12,16.31,16.73,269200,0
2008-06-26,16.65,16.88,16.49,16.75,157300,0
