Date,Open,High,Low,Close,Volume,Dividend
2018-01-16,155.0,155.31,151.56,151.76,186400,0
2018-01-17,152.55,154.94,152.32,153.77,187300,0
2018-01-18,153.46,154.1,152.13,152.57,217600,0
2018-01-19,153.0,155.4,153.0,155.17,185400,0
2018-01-22,154.5,156.07,154.2,155.85,159900,0
2018-01-23,155.54,156.54,153.78,156.14,163100,0
2018-01-24,154.51,155.62,152.25,153.59,261200,0
2018-01-25,154.32,156.7,154.32,156.38,230800,0
2018-01-26,157.2,157.69,154.66,157.4,117300,0
2018-01-29,157.4,158.82,156.68,157.22,188300,0
2018-01-30,155.44,157.21,152.57,156.62,246600,0
2018-01-31,157.74,157.93,154.87,156.35,308400,0
2018-02-01,155.26,157.47,154.47,157.41,234300,0
2018-02-02,156.76,156.76,150.09,151.67,288600,0
2018-02-05,149.92,151.23,144.88,146.06,408800,0
2018-02-06,142.91,148.78,142.32,146.54,461200,0
2018-02-07,152.0,154.14,148.48,151.49,494900,0
2018-02-08,152.58,156.33,150.59,150.71,710800,0
2018-02-09,152.77,152.77,145.18,150.22,529600,0
2018-02-12,151.71,153.74,148.96,151.97,426100,0
2018-02-13,151.26,154.47,150.54,153.99,321600,0
2018-02-14,152.91,160.11,152.52,159.66,670700,0
2018-02-15,160.48,160.69,157.57,158.45,315100,0
2018-02-16,158.06,160.34,157.35,158.23,482000,0
2018-02-20,157.35,159.84,157.35,159.44,310500,0
2018-02-21,159.62,162.66,159.12,159.2,327800,0
2018-02-22,159.58,162.88,158.51,159.1,283000,0
2018-02-23,159.61,160.33,158.94,160.0,323200,0
2018-02-26,160.16,163.44,159.8,163.27,318500,0
2018-02-27,163.66,165.41,161.32,161.47,327100,0
2018-02-28,162.5,164.41,160.54,160.61,390200,0
2018-03-01,160.41,163.53,160.29,161.92,314200,0
2018-03-02,160.03,161.24,157.86,160.81,280000,0
2018-03-05,160.0,164.74,160.0,163.91,400900,0
2018-03-06,165.0,168.75,164.76,167.59,339200,0
2018-03-07,165.42,168.67,164.17,168.02,362000,0
2018-03-08,168.77,168.84,167.05,168.83,177800,0
2018-03-09,170.0,173.23,169.75,171.68,331800,0
2018-03-12,171.29,172.49,170.35,171.37,365400,0
2018-03-13,171.59,173.91,171.24,173.03,364100,0
2018-03-14,173.77,173.94,171.8,171.85,357000,0
2018-03-15,172.6,173.72,171.26,172.65,369700,0
2018-03-16,172.99,174.56,172.76,174.07,431100,0
2018-03-19,173.76,175.19,172.2,174.76,303900,0
2018-03-20,174.76,178.04,174.76,177.3,414300,0
2018-03-21,176.82,178.75,176.24,176.67,241300,0
2018-03-22,174.81,178.43,172.63,172.84,802300,0
2018-03-23,172.3,173.0,167.39,167.81,373100,0
2018-03-26,170.05,174.53,168.51,174.36,291700,0
2018-03-27,176.31,177.46,173.56,174.31,449800,0
2018-03-28,174.49,175.77,172.18,173.44,327800,0
2018-03-29,174.68,175.19,172.73,174.64,339200,0
2018-04-02,174.39,175.4,169.26,171.24,427900,0
2018-04-03,172.03,173.4,168.64,171.19,550600,0
2018-04-04,168.6,173.66,165.68,173.18,479100,0
2018-04-05,174.58,175.0,173.05,174.18,346700,0
2018-04-06,172.48,174.58,170.62,171.34,377800,0
2018-04-09,172.15,174.95,171.59,173.0,258400,0
2018-04-10,175.72,177.43,174.5,175.0,399300,0
2018-04-11,173.46,175.95,172.83,173.56,341400,0
2018-04-12,174.65,174.84,173.26,173.5,477100,0
2018-04-13,174.05,175.02,170.82,171.81,241900,0
2018-04-16,173.11,174.08,172.24,173.12,418500,0
2018-04-17,174.56,175.36,172.68,173.86,449900,0
2018-04-18,174.8,176.02,173.15,174.86,390300,0
2018-04-19,174.55,176.63,174.14,175.97,239700,0
2018-04-20,176.27,176.99,175.22,175.47,322500,0
2018-04-23,176.14,176.5,173.19,173.74,280000,0
2018-04-24,175.08,175.47,171.76,172.94,224200,0
2018-04-25,172.51,172.82,168.35,169.05,442200,0
2018-04-26,169.46,170.56,168.28,169.18,328400,0
2018-04-27,169.35,170.2,168.22,169.06,156800,0
2018-04-30,169.57,171.96,169.03,169.51,321900,0
2018-05-01,169.31,171.93,169.03,171.78,341700,0
2018-05-02,171.8,173.19,170.85,171.08,535200,0
2018-05-03,170.48,171.71,167.79,169.79,305500,0
2018-05-04,168.93,172.53,168.93,171.67,349100,0
2018-05-07,172.31,172.61,169.09,170.41,632900,0
2018-05-08,172.97,177.02,171.44,176.43,872300,0
2018-05-09,176.9,176.9,172.74,173.03,540300,0
2018-05-10,173.51,174.76,172.21,172.42,287900,0
2018-05-11,172.32,172.96,169.85,170.77,359600,0
2018-05-14,171.29,171.47,169.06,169.37,352100,0
2018-05-15,169.08,169.63,167.13,167.83,556100,0
2018-05-16,168.45,170.34,167.46,169.42,350200,0
2018-05-17,168.81,169.97,167.57,168.81,362600,0
2018-05-18,169.03,170.4,168.13,169.72,193400,0
2018-05-21,171.02,171.86,170.17,171.63,337100,0
2018-05-22,171.7,171.7,169.5,170.16,378000,0
2018-05-23,169.23,171.17,169.1,170.95,206200,0
2018-05-24,170.44,171.35,169.94,171.16,302700,0
2018-05-25,170.89,171.38,169.55,170.07,214400,0
2018-05-29,169.0,169.11,163.36,163.41,442900,0
2018-05-30,164.43,165.47,163.55,164.39,587700,0
2018-05-31,164.81,165.3,162.52,163.76,781300,0
2018-06-01,165.15,165.15,162.04,163.22,296000,0
2018-06-04,164.2,164.98,162.84,164.95,232400,0
2018-06-05,164.78,166.82,164.51,166.78,638100,0
2018-06-06,167.05,168.27,165.62,168.15,271900,0
2018-06-07,168.49,169.5,166.21,167.91,363000,0
2018-06-08,167.9,170.93,167.14,170.77,300400,0
2018-06-11,170.86,171.43,169.65,169.98,374100,0
2018-06-12,170.55,171.16,169.97,170.95,396500,0
2018-06-13,170.81,173.66,169.61,169.89,438800,0
2018-06-14,170.36,170.78,169.41,170.5,207600,0
2018-06-15,170.1,170.1,166.88,167.45,442400,0
2018-06-18,166.47,167.41,163.98,166.78,536900,0
2018-06-19,165.94,169.09,164.88,169.04,390300,0
2018-06-20,169.28,169.94,168.47,169.48,213500,0
2018-06-21,169.54,171.58,169.14,169.88,274400,0
2018-06-22,170.91,170.91,168.63,168.83,284500,0
2018-06-25,168.68,169.4,163.88,164.15,282100,0
2018-06-26,164.23,165.66,161.97,164.87,386300,0
2018-06-27,165.38,166.95,161.98,162.06,199500,0
2018-06-28,162.12,165.02,161.49,164.71,311800,0
2018-06-29,164.83,167.0,163.14,165.99,293200,0
2018-07-02,164.65,166.77,162.54,166.65,375700,0
2018-07-03,167.18,168.15,164.1,164.1,191500,0
2018-07-05,164.42,167.37,163.58,167.2,210100,0
2018-07-06,167.68,168.97,167.56,168.64,165600,0
2018-07-09,169.64,171.19,169.11,170.93,250200,0
2018-07-10,171.68,172.14,168.28,169.67,378700,0
2018-07-11,168.06,169.3,164.02,165.35,319500,0
2018-07-12,166.3,167.78,165.3,167.57,143400,0
2018-07-13,167.66,169.45,166.41,166.97,311800,0
2018-07-16,166.83,167.19,165.9,167.0,185900,0
2018-07-17,166.27,170.49,166.27,170.07,331400,0
2018-07-18,169.68,171.41,168.69,171.16,232200,0
2018-07-19,170.99,173.3,170.43,171.51,209200,0
2018-07-20,171.26,171.97,169.08,169.3,182400,0
2018-07-23,169.62,171.1,168.0,170.53,231000,0
2018-07-24,171.08,171.5,167.14,168.44,397800,0
2018-07-25,168.45,169.47,167.12,169.19,227400,0
2018-07-26,168.92,172.49,168.08,172.23,169700,0
2018-07-27,172.98,174.42,171.71,172.35,286800,0
2018-07-30,172.74,172.97,169.4,169.65,185300,0
2018-07-31,170.39,171.65,169.91,171.01,150900,0
2018-08-01,171.49,171.94,168.7,170.21,241800,0
2018-08-02,169.07,169.26,166.5,167.33,180300,0
2018-08-03,167.49,169.27,166.31,168.45,176800,0
2018-08-06,168.41,170.59,167.87,169.41,206300,0
2018-08-07,168.41,170.96,168.41,170.42,404300,0
2018-08-08,170.54,171.22,154.78,155.32,971600,0
2018-08-09,154.27,156.35,151.87,154.89,577100,0
2018-08-10,153.2,154.59,151.31,151.38,368100,0
2018-08-13,150.73,152.1,147.16,147.73,301700,0
2018-08-14,148.59,152.26,148.42,151.97,364000,0
2018-08-15,150.77,151.5,148.25,150.46,252500,0
