Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,79.84,79.84,76.58,77.88,262300,0
2008-01-03,77.76,77.77,75.42,76.83,231000,0
2008-01-04,75.53,77.23,73.95,74.7,171400,0
2008-01-07,75.47,75.47,71.16,73.0,300900,0
2008-01-08,73.2,74.96,69.58,70.25,337700,0
2008-01-09,70.0,70.58,66.61,69.24,286800,0
2008-01-10,67.53,72.18,67.53,71.87,300400,0
2008-01-11,71.16,71.49,69.69,70.72,229500,0
2008-01-14,71.04,71.04,69.43,70.34,230400,0
2008-01-15,69.08,70.22,66.83,67.12,276700,0
2008-01-16,66.2,68.47,65.93,66.29,240900,0
2008-01-17,66.29,66.52,62.23,62.94,412800,0
2008-01-18,62.92,64.62,62.29,62.8,297900,0
2008-01-22,60.76,62.19,59.84,61.12,299700,0
2008-01-23,59.57,61.0,56.67,60.92,386600,0
2008-01-24,61.4,63.99,61.4,62.81,169100,0
2008-01-25,63.71,64.17,61.06,61.8,95300,0
2008-01-28,61.08,63.68,61.08,63.46,138300,0
2008-01-29,64.0,64.2,62.42,63.45,94700,0
2008-01-30,62.97,64.0,62.4,63.0,210400,0
2008-01-31,61.82,65.07,61.82,63.96,241800,0
2008-02-01,64.3,66.37,63.51,65.78,182500,0
2008-02-04,65.87,67.47,65.52,66.09,140800,0
2008-02-05,66.34,66.34,64.1,64.29,232800,0
2008-02-06,64.92,66.33,63.91,63.95,158300,0
2008-02-07,63.9,65.14,62.78,63.31,185700,0
2008-02-08,63.03,65.19,63.03,63.98,165100,0
2008-02-11,64.0,64.96,63.13,64.14,160800,0
2008-02-12,64.5,66.09,63.39,64.14,162400,0
2008-02-13,64.75,66.82,64.08,66.82,158800,0
2008-02-14,66.84,68.75,66.31,67.43,223800,0
2008-02-15,67.26,69.45,66.61,68.54,304900,0
2008-02-19,73.05,77.68,71.25,71.97,1018200,0
2008-02-20,72.6,75.49,71.8,74.82,631900,0
2008-02-21,75.69,75.69,70.92,71.99,376700,0
2008-02-22,71.96,73.78,70.0,73.3,385300,0
2008-02-25,73.34,75.87,71.1,75.56,235200,0
2008-02-26,72.91,78.49,72.91,76.96,659600,0
2008-02-27,77.1,78.55,76.5,77.67,283000,0
2008-02-28,76.06,78.17,76.02,77.37,238600,0
2008-02-29,76.24,76.86,72.32,73.35,289000,0
2008-03-03,73.25,75.33,73.0,74.82,226200,0
2008-03-04,73.3,76.55,73.24,75.79,247000,0
2008-03-05,75.44,77.0,74.32,75.97,242200,0
2008-03-06,75.85,77.78,75.43,75.5,183600,0
2008-03-07,74.99,76.56,73.0,73.11,233200,0
2008-03-10,73.0,73.44,70.23,70.4,247500,0
2008-03-11,71.49,73.67,71.03,73.55,197700,0
2008-03-12,73.99,74.15,72.03,73.57,249100,0
2008-03-13,72.45,75.56,72.19,75.08,250000,0
2008-03-14,75.88,75.88,71.26,71.7,263100,0
2008-03-17,70.36,71.9,69.08,70.32,179400,0
2008-03-18,72.15,73.45,71.02,73.29,230700,0
2008-03-19,73.69,74.49,68.87,68.87,274500,0
2008-03-20,68.74,69.23,66.79,68.33,511000,0
2008-03-24,68.74,71.37,67.93,69.96,319100,0
2008-03-25,69.87,71.36,69.38,70.12,261700,0
2008-03-26,70.12,70.12,69.19,69.71,192500,0
2008-03-27,70.06,70.49,69.15,69.39,185000,0
2008-03-28,69.16,70.65,69.0,69.28,122800,0
2008-03-31,68.26,70.17,68.2,69.3,257200,0
2008-04-01,68.83,70.23,67.45,70.07,153800,0
2008-04-02,69.92,69.92,67.79,68.92,179300,0
2008-04-03,68.43,70.78,68.29,69.78,132700,0
2008-04-04,69.55,72.57,69.32,71.5,185400,0
2008-04-07,72.46,73.95,71.0,71.45,159200,0
2008-04-08,71.02,72.95,70.29,71.62,116300,0
2008-04-09,71.85,72.81,70.89,71.12,93800,0
2008-04-10,71.24,71.86,70.36,70.74,129300,0
2008-04-11,70.35,71.05,67.46,68.62,157200,0
2008-04-14,68.45,68.45,66.95,67.02,112700,0
2008-04-15,67.36,67.91,66.25,67.68,113000,0
2008-04-16,68.21,69.47,67.84,69.34,238400,0
2008-04-17,68.9,69.47,68.06,69.32,91100,0
2008-04-18,70.4,70.4,69.12,69.67,133500,0
2008-04-21,69.24,69.74,68.01,69.58,96600,0
2008-04-22,68.83,69.74,68.51,69.17,180800,0
2008-04-23,69.1,69.99,67.39,68.4,191800,0
2008-04-24,68.57,68.88,66.76,67.34,223300,0
2008-04-25,67.38,68.12,66.7,67.73,149900,0
2008-04-28,68.15,69.13,67.0,68.35,225300,0
2008-04-29,68.15,69.33,67.37,68.04,229100,0
2008-04-30,68.31,69.24,66.9,68.63,327800,0
2008-05-01,68.43,68.54,67.61,68.07,250400,0
2008-05-02,68.49,69.22,67.24,67.77,307800,0
2008-05-05,67.69,69.38,67.47,69.18,200400,0
