Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,18.89,20.32,18.89,20.15,7918200,0
2008-01-03,19.98,20.93,19.98,20.81,7487600,0
2008-01-04,20.5,20.74,20.09,20.5,6131300,0
2008-01-07,20.31,20.94,20.17,20.38,6084000,0
2008-01-08,21.0,22.44,21.0,21.32,9224400,0
2008-01-09,21.31,21.66,20.7,21.64,8388300,0
2008-01-10,21.21,22.86,21.21,22.65,9251900,0
2008-01-11,22.5,23.21,22.38,23.03,9435600,0
2008-01-14,23.77,24.05,23.17,23.41,8765400,0
2008-01-15,23.4,23.53,22.01,22.33,8630000,0
2008-01-16,21.26,22.26,21.08,21.61,10200100,0
2008-01-17,21.91,22.15,20.69,20.82,7637000,0
2008-01-18,21.06,21.09,19.38,20.4,14041700,0
2008-01-22,18.81,21.65,18.74,21.6,10899400,0
2008-01-23,20.6,21.44,19.74,20.34,17117300,0
2008-01-24,21.02,22.55,21.0,22.52,19105400,0
2008-01-25,23.4,23.91,21.87,22.18,12243800,0
2008-01-28,22.5,23.04,22.0,22.54,6649000,0
2008-01-29,22.32,22.9,21.63,21.97,6269100,0
2008-01-30,21.93,22.83,21.65,22.47,7340200,0
2008-01-31,22.17,22.44,21.65,22.11,6990100,0
2008-02-01,22.49,22.64,21.65,21.96,6045700,0
2008-02-04,21.31,22.03,21.22,21.55,4933900,0
2008-02-05,20.92,21.52,20.65,20.93,6662000,0
2008-02-06,21.43,21.85,21.07,21.13,5194100,0
2008-02-07,21.09,21.35,20.75,20.9,5947000,0
2008-02-08,21.25,22.33,21.25,22.19,7765600,0
2008-02-11,22.29,22.96,21.79,22.85,6954900,0
2008-02-12,22.85,23.1,21.66,21.76,5749600,0
2008-02-13,21.49,22.53,21.31,22.42,6479900,0
2008-02-14,22.57,22.78,22.03,22.07,4889400,0
2008-02-15,22.25,22.54,21.75,22.15,5776600,0
2008-02-19,22.85,23.17,22.54,23.03,7421200,0
2008-02-20,22.95,23.66,22.8,23.63,6600400,0
2008-02-21,23.93,24.52,23.38,23.54,8080200,0
2008-02-22,23.4,23.65,22.49,23.12,7909300,0
2008-02-25,23.4,23.9,22.96,23.87,5388400,0
2008-02-26,23.89,24.52,23.68,24.41,5880600,0
2008-02-27,24.74,25.0,24.46,24.62,7323200,0
2008-02-28,24.61,25.39,24.57,25.29,5810100,0
2008-02-29,25.39,25.51,24.57,24.8,6121700,0
2008-03-03,25.38,26.2,25.35,26.2,9974300,0
2008-03-04,26.0,26.2,24.37,24.96,9076400,0
2008-03-05,25.45,26.84,25.41,26.43,8248600,0
2008-03-06,26.18,26.38,25.75,26.31,9247000,0
2008-03-07,26.31,26.36,24.85,25.11,6595600,0
2008-03-10,24.69,24.74,23.7,24.14,6107700,0
2008-03-11,24.61,25.67,24.43,25.59,5186100,0
2008-03-12,26.0,26.17,25.4,25.62,4219100,0
2008-03-13,26.26,26.63,26.22,26.39,8092000,0
2008-03-14,26.39,26.94,25.87,26.84,8063400,0
2008-03-17,26.34,27.4,25.34,25.87,9485500,0
2008-03-18,26.23,26.26,24.19,24.35,6891600,0
2008-03-19,23.8,23.84,21.77,21.98,12330500,0
2008-03-20,21.03,22.0,20.49,21.61,10321900,0
2008-03-24,21.82,22.16,21.01,21.17,6023800,0
2008-03-25,21.81,23.12,21.78,22.97,6882500,0
2008-03-26,23.57,23.57,22.75,23.22,5933000,0
2008-03-27,23.07,23.37,22.65,22.78,6002800,0
2008-03-28,22.56,22.95,22.08,22.78,3720300,0
2008-03-31,22.91,23.24,21.68,22.11,3950400,0
2008-04-01,21.18,21.5,20.73,21.47,6880200,0
2008-04-02,21.5,23.0,21.48,22.9,5163200,0
2008-04-03,22.8,23.1,22.43,22.65,4352800,0
2008-04-04,22.72,23.36,22.65,23.36,4535900,0
2008-04-07,23.78,24.08,23.19,23.39,3957500,0
2008-04-08,22.91,23.45,22.91,23.14,3517000,0
2008-04-09,23.07,23.72,23.03,23.54,3621300,0
2008-04-10,23.84,23.88,22.96,23.48,3018700,0
2008-04-11,23.45,23.58,22.57,22.75,3026900,0
2008-04-14,22.66,23.15,22.55,22.8,2978900,0
2008-04-15,23.1,23.8,23.1,23.72,4025300,0
2008-04-16,24.61,25.45,24.43,25.42,6403500,0
2008-04-17,25.17,25.37,24.51,24.91,4235900,0
2008-04-18,24.33,24.45,23.5,23.82,6023600,0
2008-04-21,24.12,24.12,22.63,22.74,5405000,0
2008-04-22,22.57,23.2,22.31,22.4,5084200,0
2008-04-23,21.67,21.67,20.87,20.94,7338900,0
2008-04-24,20.65,20.65,19.2,19.38,12272900,0
2008-04-25,19.8,19.87,19.35,19.46,7015000,0
2008-04-28,19.71,20.02,19.25,19.31,4705900,0
2008-04-29,18.85,18.93,18.09,18.16,6168300,0
