Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,37.78,38.03,36.51,36.67,683500,0
2008-01-03,36.7,36.73,35.9,36.01,627800,0
2008-01-04,35.61,35.65,33.06,33.31,1240600,0
2008-01-07,33.39,34.11,32.91,33.74,1485800,0
2008-01-08,33.91,34.18,32.57,32.6,1193500,0
2008-01-09,32.45,33.05,31.63,32.25,1262800,0
2008-01-10,32.06,33.49,31.55,33.08,1014100,0
2008-01-11,32.8,33.31,31.84,32.04,660000,0
2008-01-14,32.2,32.84,32.17,32.64,503900,0
2008-01-15,32.15,32.17,29.51,30.23,2178800,0
2008-01-16,30.05,30.49,28.86,29.61,1758700,0
2008-01-17,29.67,30.38,27.87,27.89,1045000,0
2008-01-18,28.23,28.4,27.14,27.43,1764200,0
2008-01-22,26.91,28.88,26.35,28.22,1988100,0
2008-01-23,26.32,28.29,26.0,28.15,2577200,0
2008-01-24,28.3,28.97,26.66,27.67,2052200,0
2008-01-25,27.98,31.75,27.82,29.69,1660300,0
2008-01-28,29.64,29.78,28.94,29.54,896300,0
2008-01-29,29.65,30.0,29.22,29.56,748900,0
2008-01-30,29.47,30.68,29.0,29.6,616700,0
2008-01-31,29.11,30.85,28.93,30.62,653100,0
2008-02-01,30.5,31.6,30.35,31.5,813100,0
2008-02-04,31.52,31.52,30.68,31.26,613400,0
2008-02-05,30.75,30.93,29.71,29.8,940700,0
2008-02-06,29.95,30.15,29.2,29.29,626800,0
2008-02-07,29.15,29.82,28.7,29.59,740100,0
2008-02-08,29.56,30.38,29.56,30.05,711200,0
2008-02-11,30.25,31.28,30.25,30.58,972500,0
2008-02-12,30.74,30.78,30.26,30.51,586600,0
2008-02-13,30.81,31.75,30.59,31.65,638000,0
2008-02-14,31.75,31.75,30.65,30.7,547200,0
2008-02-15,30.4,30.75,29.88,30.64,557500,0
2008-02-19,30.9,31.16,30.37,30.61,622100,0
2008-02-20,30.4,31.7,30.19,31.51,519900,0
2008-02-21,31.76,31.95,30.85,30.93,428300,0
2008-02-22,31.08,31.2,30.1,30.8,486300,0
2008-02-25,30.71,31.53,30.46,31.25,549900,0
2008-02-26,30.47,31.98,30.47,31.6,668900,0
2008-02-27,31.4,31.69,31.01,31.39,1216800,0
2008-02-28,31.28,31.4,30.75,30.96,509400,0
2008-02-29,30.56,30.86,30.2,30.37,450300,0
2008-03-03,30.37,30.89,30.09,30.84,518700,0
2008-03-04,30.8,30.8,29.53,30.0,616600,0
2008-03-05,30.15,30.5,29.69,30.45,747400,0
2008-03-06,30.25,30.26,29.47,29.51,465700,0
2008-03-07,29.25,29.41,28.41,28.97,737000,0
2008-03-10,29.07,29.07,27.69,27.86,521100,0
2008-03-11,28.4,28.99,28.21,28.96,506400,0
2008-03-12,29.11,29.48,28.76,28.89,325800,0
2008-03-13,28.59,29.43,27.85,29.27,539200,0
2008-03-14,29.28,29.32,27.45,28.3,535500,0
2008-03-17,27.78,28.23,27.33,27.6,647000,0
2008-03-18,28.02,29.47,28.02,29.25,783400,0
