Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,37.78,37.78,34.87,35.52,13400,0
2008-01-03,35.66,38.0,35.09,35.35,8000,0
2008-01-04,34.31,35.47,33.12,33.28,6200,0
2008-01-07,33.51,35.9,32.42,35.74,12700,0
2008-01-08,35.84,36.45,34.41,34.84,14100,0
2008-01-09,34.49,36.32,33.11,34.34,10000,0
2008-01-10,33.48,35.75,33.48,35.54,4100,0
2008-01-11,34.83,35.7,32.9,32.9,8800,0
2008-01-14,32.92,34.61,32.92,34.05,4500,0
2008-01-15,33.51,34.76,32.72,33.55,5300,0
2008-01-16,33.29,34.21,32.01,34.19,12400,0
2008-01-17,34.21,34.21,31.42,31.56,7100,0
2008-01-18,31.42,31.43,29.35,29.96,11600,0
2008-01-22,28.71,32.43,24.76,31.35,8300,0
2008-01-23,30.68,33.67,30.0,33.67,12900,0
2008-01-24,33.8,34.21,30.48,34.0,7100,0
2008-01-25,34.0,34.0,31.6,31.6,6400,0
2008-01-28,31.6,33.99,31.6,33.98,8000,0
2008-01-29,33.94,33.94,30.8,31.88,11800,0
2008-01-30,31.64,32.16,29.44,31.12,16800,0
2008-01-31,31.09,31.88,30.04,31.78,12600,0
2008-02-01,32.51,32.51,29.62,30.32,11100,0
2008-02-04,30.36,31.51,30.35,30.99,7800,0
2008-02-05,30.41,30.58,28.56,29.0,8900,0
2008-02-06,29.2,29.93,28.64,28.91,7000,0
2008-02-07,28.92,30.0,28.5,29.83,10400,0
2008-02-08,29.71,30.19,29.11,29.91,3600,0
2008-02-11,29.86,29.86,28.32,28.35,13500,0
2008-02-12,28.35,28.57,27.72,28.57,10800,0
2008-02-13,29.25,29.25,28.57,28.74,10300,0
2008-02-14,28.54,28.54,27.62,27.62,14400,0
2008-02-15,27.52,28.44,25.68,26.0,22200,0
2008-02-19,26.4,27.52,24.52,24.75,18000,0
2008-02-20,24.5,24.58,24.16,24.38,63800,0
2008-02-21,24.59,25.46,24.59,25.3,17400,0
2008-02-22,25.21,26.32,25.21,26.07,5400,0
2008-02-25,26.42,27.17,25.63,26.84,6200,0
2008-02-26,26.73,26.97,25.6,26.73,7900,0
2008-02-27,26.42,27.0,26.26,26.71,3400,0
2008-02-28,26.94,27.1,24.93,26.7,13400,0
2008-02-29,26.01,26.21,24.21,25.4,15700,0
2008-03-03,25.31,25.32,24.15,24.37,6300,0
2008-03-04,24.2,24.31,23.67,24.15,7900,0
2008-03-05,25.1,26.0,24.36,25.75,10100,0
2008-03-06,25.57,25.57,23.97,25.42,13000,0
2008-03-07,25.2,25.36,24.73,25.0,9000,0
2008-03-10,24.99,25.15,24.75,24.75,6000,0
2008-03-11,25.46,25.62,25.0,25.62,17100,0
2008-03-12,25.66,26.19,24.75,24.85,12300,0
2008-03-13,24.7,25.98,24.7,25.5,10000,0
2008-03-14,25.1,25.3,25.0,25.09,4900,0
2008-03-17,24.58,26.5,23.21,25.43,8500,0
2008-03-18,25.99,28.0,24.76,27.99,10000,0
2008-03-19,27.77,28.9,27.04,27.04,12400,0
2008-03-20,27.62,28.1,26.09,26.25,55300,0
2008-03-24,26.4,27.63,24.76,27.53,10300,0
2008-03-25,28.09,28.81,27.81,28.81,5600,0
2008-03-26,28.94,29.04,27.95,29.04,8900,0
2008-03-27,29.15,29.15,27.48,27.95,11500,0
2008-03-28,27.94,28.33,26.22,27.5,4500,0
2008-03-31,27.72,27.72,26.56,27.55,4100,0
2008-04-01,28.4,28.48,26.73,27.81,4100,0
2008-04-02,27.84,29.39,27.84,29.3,4600,0
2008-04-03,29.01,29.01,24.76,28.9,4400,0
2008-04-04,28.87,29.03,27.82,29.03,2000,0
2008-04-07,29.0,29.0,26.22,27.61,5100,0
2008-04-08,27.5,28.24,26.72,28.0,8300,0
2008-04-09,28.0,28.0,26.12,26.12,4300,0
2008-04-10,26.06,28.59,25.17,27.77,5000,0
2008-04-11,27.39,27.7,24.89,24.94,15100,0
2008-04-14,24.84,26.74,24.54,25.72,11100,0
2008-04-15,25.82,26.26,24.76,25.71,5500,0
2008-04-16,25.96,27.77,25.96,27.52,17700,0
2008-04-17,27.89,27.89,26.97,26.97,1600,0
2008-04-18,27.45,28.39,26.5,28.39,6100,0
2008-04-21,28.25,28.97,27.73,28.73,5900,0
2008-04-22,28.65,28.65,25.5,25.79,7800,0
2008-04-23,26.01,26.01,24.93,25.22,14000,0
2008-04-24,25.25,26.98,25.25,26.5,7200,0
2008-04-25,26.49,26.69,25.36,26.52,3000,0
2008-04-28,26.89,27.37,25.65,26.12,5200,0
2008-04-29,26.2,26.2,25.0,25.09,7400,0
2008-04-30,25.95,25.95,25.01,25.38,7900,0
2008-05-01,26.21,26.35,25.44,25.61,9100,0
2008-05-02,26.0,26.0,24.87,25.24,33300,0
2008-05-05,25.18,25.96,25.12,25.65,10600,0
2008-05-06,25.55,25.96,25.45,25.51,6600,0
2008-05-07,25.67,25.98,24.5,24.7,7400,0
2008-05-08,24.51,25.49,24.51,25.14,16000,0
2008-05-09,24.89,25.24,24.51,25.03,6500,0
2008-05-12,25.16,25.53,25.0,25.53,4800,0
2008-05-13,25.5,25.5,24.51,25.49,11800,0
2008-05-14,25.48,25.5,24.57,25.07,14200,0
2008-05-15,24.78,25.66,24.75,25.46,21900,0
2008-05-16,25.56,25.7,25.4,25.7,12700,0
2008-05-19,25.74,25.76,25.0,25.75,9700,0
2008-05-20,24.55,26.11,24.55,26.11,17200,0
2008-05-21,26.21,26.51,25.28,25.58,16400,0
2008-05-22,25.61,26.25,25.5,25.82,12900,0
2008-05-23,25.65,26.0,25.03,25.05,4200,0
2008-05-27,25.03,25.21,24.0,24.84,12200,0
2008-05-28,25.03,25.84,25.01,25.29,4700,0
2008-05-29,25.16,25.75,25.11,25.22,12400,0
2008-05-30,25.16,26.0,24.39,25.99,25700,0
2008-06-02,25.99,25.99,25.03,25.51,6400,0
2008-06-03,25.63,25.99,24.76,25.29,6000,0
2008-06-04,25.5,25.5,24.82,25.5,8600,0
2008-06-05,25.45,26.6,25.45,26.6,10400,0
2008-06-06,26.26,26.26,24.76,24.76,10000,0
2008-06-09,24.9,26.38,24.75,25.56,15200,0
2008-06-10,25.44,25.61,24.81,24.94,3600,0
2008-06-11,24.92,25.0,24.5,24.5,13600,0
2008-06-12,24.5,25.15,24.5,25.0,5800,0
2008-06-13,25.32,25.49,24.52,25.22,3300,0
2008-06-16,25.22,26.24,24.9,25.0,16700,0
2008-06-17,24.98,25.89,24.98,25.21,2200,0
