Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,41.41,42.22,39.89,40.55,968600,0
2008-01-03,40.44,40.75,39.79,39.81,801300,0
2008-01-04,40.02,40.02,38.0,38.16,946300,0
2008-01-07,38.07,39.15,37.56,38.98,940700,0
2008-01-08,39.4,39.48,36.33,36.37,894600,0
2008-01-09,36.01,36.72,35.81,36.59,515300,0
2008-01-10,36.5,36.61,35.54,35.97,811400,0
2008-01-11,35.8,36.14,34.67,34.84,673400,0
2008-01-14,34.99,36.13,34.91,35.43,452800,0
2008-01-15,34.75,35.56,34.53,34.82,477500,0
2008-01-16,34.68,35.28,34.56,35.07,833800,0
2008-01-17,35.21,35.7,32.85,33.09,747500,0
2008-01-18,33.3,34.56,33.04,33.51,664400,0
2008-01-22,32.64,34.64,26.51,33.48,588100,0
2008-01-23,32.26,35.18,31.96,34.83,682800,0
2008-01-24,35.27,36.04,34.36,34.77,640400,0
2008-01-25,35.3,36.24,34.99,35.69,596400,0
2008-01-28,35.89,35.98,34.72,35.14,521200,0
2008-01-29,35.47,36.04,35.1,35.81,676900,0
2008-01-30,36.0,36.45,35.64,35.74,509500,0
2008-01-31,35.3,37.38,35.3,37.14,577000,0
2008-02-01,37.24,37.83,36.18,36.83,643100,0
2008-02-04,36.6,36.99,35.69,36.56,588200,0
2008-02-05,36.02,36.56,35.07,35.36,436500,0
2008-02-06,39.92,39.92,36.37,37.12,1174700,0
2008-02-07,36.64,37.37,36.07,36.5,604800,0
2008-02-08,36.25,37.0,35.35,35.45,529500,0
2008-02-11,35.45,36.71,35.03,36.41,512100,0
2008-02-12,36.75,37.4,36.58,37.33,508800,0
2008-02-13,37.75,37.83,37.27,37.53,403100,0
2008-02-14,37.89,39.51,37.13,38.46,1405500,0
2008-02-15,38.23,38.4,37.54,38.25,581300,0
2008-02-19,38.5,40.06,38.06,39.36,1157500,0
2008-02-20,39.06,39.09,38.13,38.52,501700,0
2008-02-21,38.5,39.27,37.93,38.18,544200,0
2008-02-22,38.26,38.48,37.8,38.25,308800,0
2008-02-25,38.19,39.0,37.75,38.66,502700,0
2008-02-26,38.55,39.24,38.36,39.14,914400,0
2008-02-27,38.69,39.88,38.57,39.14,837200,0
2008-02-28,38.6,39.37,38.47,38.87,538300,0
2008-02-29,38.65,39.21,37.54,37.64,1185100,0
2008-03-03,37.4,37.73,35.75,36.04,1562500,0
2008-03-04,35.86,36.73,35.58,35.84,1418300,0
2008-03-05,35.81,36.29,35.36,35.65,872500,0
2008-03-06,35.45,35.86,35.0,35.52,1107500,0
2008-03-07,35.4,35.9,34.49,34.82,729000,0
2008-03-10,34.83,35.04,33.42,33.49,730500,0
2008-03-11,34.2,35.03,34.2,34.51,1209600,0
2008-03-12,34.45,35.99,34.45,35.5,1158500,0
2008-03-13,34.67,35.9,34.42,35.65,703600,0
2008-03-14,35.85,35.96,34.35,34.89,1108000,0
2008-03-17,34.46,35.0,33.77,34.58,787700,0
2008-03-18,34.8,35.86,34.8,35.77,578100,0
2008-03-19,35.68,36.48,35.33,35.33,542300,0
2008-03-20,35.86,36.21,35.0,35.38,771100,0
2008-03-24,35.45,37.04,35.39,36.43,761900,0
2008-03-25,36.24,37.75,35.99,37.67,533900,0
2008-03-26,37.42,37.59,36.46,36.89,309200,0
2008-03-27,36.0,36.4,34.26,35.65,1099900,0
2008-03-28,35.51,35.74,34.49,34.58,839200,0
2008-03-31,34.75,36.28,34.75,35.97,758200,0
2008-04-01,36.3,37.37,36.2,37.16,830400,0
2008-04-02,37.07,38.34,36.89,38.04,859500,0
2008-04-03,37.81,38.17,37.21,38.04,500500,0
2008-04-04,38.1,38.48,37.68,37.82,533900,0
2008-04-07,38.23,38.23,37.41,37.5,411900,0
2008-04-08,37.45,37.45,36.68,37.18,365200,0
2008-04-09,37.18,37.69,36.43,36.57,347300,0
2008-04-10,34.94,36.34,34.15,36.03,773100,0
2008-04-11,35.79,35.98,34.26,34.87,1115600,0
2008-04-14,34.63,34.7,34.0,34.15,532200,0
2008-04-15,34.2,34.52,33.59,33.76,564700,0
2008-04-16,33.97,35.12,33.8,34.87,724100,0
2008-04-17,34.8,34.9,34.15,34.61,468600,0
