Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,16.17,16.64,15.81,16.23,156000,0
2008-01-03,16.23,17.87,15.93,17.02,711800,0
2008-01-04,17.14,17.44,16.4,17.07,401700,0
2008-01-07,17.18,17.25,16.03,16.65,452500,0
2008-01-08,16.74,17.46,16.25,16.5,247700,0
2008-01-09,16.45,17.13,16.22,17.12,176600,0
2008-01-10,16.46,17.5,16.46,17.25,157300,0
2008-01-11,17.15,17.43,16.6,16.6,153800,0
2008-01-14,16.74,17.39,16.62,17.14,206700,0
2008-01-15,16.87,17.24,16.4,16.59,231000,0
2008-01-16,16.59,17.84,16.59,17.56,389100,0
2008-01-17,17.59,17.94,17.09,17.5,433900,0
2008-01-18,17.49,17.93,17.24,17.64,591600,0
2008-01-22,16.91,17.92,16.91,17.56,404400,0
2008-01-23,17.51,17.94,16.85,17.9,337500,0
2008-01-24,17.94,18.45,16.0,16.01,714600,0
2008-01-25,16.27,16.37,15.58,15.97,254500,0
2008-01-28,15.9,16.25,15.8,16.25,178900,0
2008-01-29,16.25,16.25,15.25,15.3,328500,0
2008-01-30,15.22,15.77,14.9,14.97,288400,0
2008-01-31,14.76,15.52,14.75,14.97,368600,0
2008-02-01,15.12,15.8,15.1,15.77,218700,0
2008-02-04,15.81,16.09,15.25,16.01,385500,0
2008-02-05,15.66,16.0,15.56,15.93,237500,0
2008-02-06,16.09,16.31,15.76,15.99,289600,0
2008-02-07,15.75,16.4,15.49,16.34,299100,0
2008-02-08,17.55,18.73,16.74,16.97,847100,0
2008-02-11,17.06,17.12,15.92,16.23,500900,0
2008-02-12,16.2,16.57,15.87,16.12,264700,0
2008-02-13,16.33,17.0,16.23,17.0,219400,0
2008-02-14,17.07,17.07,16.43,16.64,184700,0
2008-02-15,16.49,16.64,16.1,16.28,237200,0
2008-02-19,16.46,17.0,16.46,16.93,194800,0
2008-02-20,16.85,17.18,16.76,17.13,320700,0
2008-02-21,17.2,17.27,16.9,17.02,189400,0
2008-02-22,17.01,17.14,16.9,17.06,183700,0
2008-02-25,17.03,18.0,17.03,17.98,283000,0
2008-02-26,17.89,18.25,17.65,17.93,262000,0
2008-02-27,17.72,18.0,17.43,17.73,202900,0
2008-02-28,17.62,17.98,17.19,17.77,154500,0
2008-02-29,17.52,18.07,17.27,17.41,190900,0
2008-03-03,17.4,18.12,17.25,17.94,284900,0
2008-03-04,17.72,18.43,17.69,18.19,280800,0
2008-03-05,18.35,18.35,17.76,17.92,169400,0
2008-03-06,17.79,18.06,16.87,16.87,210200,0
2008-03-07,16.65,16.91,15.58,15.66,600400,0
2008-03-10,15.75,16.02,14.77,14.84,341400,0
2008-03-11,15.26,16.46,15.24,16.46,382700,0
2008-03-12,16.46,16.98,16.16,16.46,329600,0
2008-03-13,16.21,16.39,15.74,15.99,246100,0
2008-03-14,16.1,16.53,15.72,16.37,327700,0
2008-03-17,15.94,16.57,15.87,16.14,205100,0
2008-03-18,16.49,17.19,16.21,17.15,186100,0
2008-03-19,17.35,17.79,17.23,17.45,216500,0
2008-03-20,17.73,18.48,17.1,18.48,718900,0
2008-03-24,18.5,19.6,18.35,18.98,557200,0
