Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,20.28,20.43,20.06,20.14,763600,0
2008-01-03,20.15,20.29,20.0,20.02,600400,0
2008-01-04,19.95,20.12,19.78,19.98,690000,0
2008-01-07,20.03,20.6,19.95,20.38,1495400,0
2008-01-08,20.41,20.7,20.34,20.35,1406600,0
2008-01-09,20.28,20.77,20.28,20.73,1011800,0
2008-01-10,20.65,21.18,20.65,21.06,2551000,0
2008-01-11,20.93,21.06,20.73,20.8,811000,0
2008-01-14,20.99,21.08,20.53,20.58,1075800,0
2008-01-15,20.42,20.56,20.02,20.22,2004400,0
2008-01-16,20.3,20.44,19.79,19.83,2256000,0
2008-01-17,19.87,20.01,18.92,19.03,2809600,0
2008-01-18,19.07,19.14,18.33,18.41,3331400,0
2008-01-22,17.71,18.16,17.51,17.99,1967400,0
2008-01-23,17.59,18.67,17.59,18.62,1586400,0
2008-01-24,18.73,18.85,18.21,18.24,1449400,0
2008-01-25,18.36,18.36,17.8,17.83,1151800,0
2008-01-28,17.8,18.27,17.8,18.27,1157600,0
2008-01-29,18.33,18.42,18.1,18.25,1131000,0
2008-01-30,18.18,18.67,18.09,18.18,1233600,0
2008-01-31,17.94,18.52,17.8,18.45,1122600,0
2008-02-01,18.44,18.69,18.28,18.69,1264800,0
2008-02-04,18.69,19.11,18.67,19.0,882800,0
2008-02-05,18.89,18.92,18.51,18.58,1099000,0
2008-02-06,19.0,19.14,18.45,18.56,1432200,0
2008-02-07,18.58,18.66,18.32,18.48,1154000,0
2008-02-08,18.45,18.53,18.25,18.45,1091000,0
2008-02-11,18.5,18.55,18.3,18.45,1133000,0
2008-02-12,18.58,18.66,18.38,18.62,1342600,0
2008-02-13,18.74,18.81,18.08,18.27,3097400,0
2008-02-14,18.26,18.59,17.9,18.03,1988200,0
2008-02-15,18.01,18.14,17.89,18.05,2044400,0
2008-02-19,18.25,18.32,17.96,17.99,2174800,0
2008-02-20,17.93,18.03,17.73,17.97,1635600,0
2008-02-21,18.06,18.06,17.7,17.8,1392600,0
2008-02-22,17.83,18.08,17.63,18.05,1282400,0
2008-02-25,18.0,18.12,17.92,18.07,1075400,0
2008-02-26,18.03,18.36,18.03,18.35,1017000,0
2008-02-27,18.24,18.27,17.92,17.94,865600,0
2008-02-28,17.89,18.07,17.75,17.97,827200,0
2008-02-29,17.82,17.82,17.34,17.37,1258800,0
2008-03-03,17.37,17.57,17.22,17.52,1025800,0
2008-03-04,17.37,17.83,17.33,17.64,1513200,0
2008-03-05,17.65,17.65,17.4,17.57,1168600,0
2008-03-06,17.52,17.6,17.29,17.29,1335600,0
2008-03-07,17.27,17.33,17.07,17.24,974400,0
2008-03-10,17.3,17.4,17.0,17.19,1063600,0
2008-03-11,17.56,17.56,17.22,17.52,1021000,0
2008-03-12,17.61,17.78,17.43,17.43,1156000,0
2008-03-13,17.23,17.58,17.18,17.55,1038800,0
2008-03-14,17.62,17.62,17.17,17.34,1247800,0
2008-03-17,17.19,17.44,17.05,17.3,1222400,0
2008-03-18,17.55,17.64,17.31,17.55,996600,0
2008-03-19,17.66,17.9,17.3,17.3,1267200,0
2008-03-20,17.23,17.39,17.08,17.37,1558000,0
2008-03-24,17.37,17.53,17.25,17.39,912000,0
2008-03-25,17.43,17.65,17.42,17.52,701200,0
2008-03-26,17.34,17.67,17.14,17.54,638200,0
2008-03-27,17.56,17.75,17.52,17.52,943400,0
2008-03-28,17.67,17.69,17.28,17.34,574000,0
2008-03-31,17.4,17.56,17.28,17.5,1224600,0
2008-04-01,17.65,17.9,17.6,17.77,1187000,0
2008-04-02,17.87,18.2,17.8,18.11,786600,0
2008-04-03,18.06,18.19,17.92,17.93,1229800,0
2008-04-04,18.01,18.33,18.0,18.09,675400,0
2008-04-07,18.16,18.35,18.04,18.25,665600,0
2008-04-08,18.15,18.24,18.06,18.16,658200,0
2008-04-09,18.21,18.34,18.13,18.25,696600,0
2008-04-10,18.28,18.41,18.13,18.32,938600,0
2008-04-11,18.17,18.4,18.13,18.22,1101200,0
2008-04-14,18.28,18.41,18.17,18.41,1099800,0
2008-04-15,18.5,18.72,18.41,18.69,837800,0
2008-04-16,18.8,19.14,18.74,19.08,1094200,0
2008-04-17,19.04,19.15,18.92,18.99,706200,0
2008-04-18,19.23,19.23,18.92,19.01,932000,0
2008-04-21,18.93,19.02,18.76,18.94,519200,0
2008-04-22,18.82,18.86,18.55,18.61,873400,0
2008-04-23,18.66,19.05,18.66,19.0,1096400,0
2008-04-24,19.0,19.09,18.83,18.91,832400,0
2008-04-25,18.98,19.12,18.89,19.05,625000,0
2008-04-28,18.98,19.14,18.67,18.68,1039000,0
2008-04-29,18.72,18.84,18.6,18.75,933200,0
2008-04-30,19.16,19.16,18.5,18.83,1026600,0
2008-05-01,19.44,19.44,18.59,19.08,1265000,0
