Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,13.6,13.71,13.13,13.13,2117100,0
2008-01-03,13.18,13.27,13.03,13.07,1718600,0
2008-01-04,13.04,13.04,12.28,12.44,2614000,0
2008-01-07,12.76,13.05,12.47,12.75,2293900,0
2008-01-08,12.9,12.96,12.46,12.49,1796100,0
2008-01-09,12.41,12.65,12.12,12.61,1444100,0
2008-01-10,12.8,13.54,12.8,13.34,2742400,0
2008-01-11,13.26,13.31,12.94,13.12,1132800,0
2008-01-14,13.23,13.36,13.0,13.3,1049300,0
2008-01-15,13.16,13.8,13.09,13.44,1734000,0
2008-01-16,13.41,13.81,13.09,13.6,2120800,0
2008-01-17,13.83,13.98,13.11,13.16,1728200,0
2008-01-18,13.17,13.58,12.52,13.58,2532900,0
2008-01-22,13.02,14.2,12.8,13.49,2481300,0
2008-01-23,13.05,13.93,13.0,13.79,3268500,0
2008-01-24,13.8,14.48,13.37,14.25,2954100,0
2008-01-25,14.33,14.66,14.07,14.27,1463700,0
2008-01-28,14.27,14.98,14.11,14.96,1513800,0
2008-01-29,15.01,15.79,15.01,15.53,1996300,0
2008-01-30,15.53,15.56,14.43,14.48,2466200,0
2008-01-31,14.2,15.38,14.16,15.27,2967100,0
2008-02-01,15.27,15.27,14.37,14.94,2990400,0
2008-02-04,14.93,15.29,13.9,14.01,2693000,0
2008-02-05,13.75,14.35,13.35,13.41,3312100,0
2008-02-06,13.46,13.55,12.57,12.92,2788000,0
2008-02-07,12.82,13.09,12.67,13.01,1448600,0
2008-02-08,13.03,13.31,12.92,13.21,1917300,0
2008-02-11,13.25,13.3,12.97,13.13,1333000,0
2008-02-12,13.21,13.28,12.35,12.5,1876400,0
2008-02-13,12.47,12.62,12.1,12.15,2517700,0
2008-02-14,12.14,12.34,11.75,11.76,1954200,0
2008-02-15,11.69,11.8,11.57,11.7,1433700,0
2008-02-19,11.89,11.94,11.23,11.34,2743400,0
2008-02-20,11.3,11.79,11.27,11.79,2017100,0
2008-02-21,11.88,12.68,11.88,12.08,3028800,0
2008-02-22,12.08,12.17,11.42,11.71,1924600,0
2008-02-25,11.68,11.95,11.4,11.93,1932700,0
2008-02-26,11.71,12.18,11.71,12.01,1167800,0
2008-02-27,11.96,12.34,11.78,11.84,1373700,0
2008-02-28,11.7,11.73,11.18,11.25,1492300,0
2008-02-29,11.29,11.29,10.82,10.88,1898700,0
2008-03-03,10.89,11.01,10.7,10.83,1390800,0
2008-03-04,10.79,10.88,10.46,10.78,1831800,0
2008-03-05,10.86,11.16,10.76,11.1,1713100,0
2008-03-06,11.02,11.08,10.73,10.84,1995500,0
2008-03-07,10.72,10.9,10.2,10.37,2178600,0
2008-03-10,10.36,10.42,9.73,9.74,1593900,0
2008-03-11,9.93,10.07,9.31,9.64,2197300,0
2008-03-12,9.61,9.64,9.29,9.39,2878300,0
2008-03-13,9.29,9.42,9.01,9.39,2161600,0
2008-03-14,9.46,9.47,8.95,9.18,2036800,0
2008-03-17,9.17,9.25,8.73,8.94,1808500,0
2008-03-18,9.06,9.23,8.58,8.77,2608600,0
2008-03-19,8.8,8.83,8.38,8.53,2358300,0
2008-03-20,8.5,8.85,8.41,8.7,2260700,0
2008-03-24,8.76,9.23,8.62,9.17,2432700,0
2008-03-25,9.19,10.02,9.16,9.68,2638200,0
2008-03-26,9.66,9.66,9.3,9.39,1658200,0
2008-03-27,9.42,9.5,9.15,9.31,1974200,0
2008-03-28,9.34,9.39,8.93,9.01,1227200,0
2008-03-31,9.0,9.24,8.9,9.18,1853700,0
2008-04-01,9.21,9.41,9.06,9.4,2106800,0
2008-04-02,9.42,10.3,9.42,10.26,3045800,0
2008-04-03,10.21,11.05,10.05,11.01,3316500,0
2008-04-04,11.03,11.1,10.64,10.73,2558100,0
2008-04-07,10.81,11.02,10.75,10.87,2394900,0
2008-04-08,10.81,10.96,10.67,10.86,1683700,0
2008-04-09,10.91,11.01,10.33,10.33,1893900,0
2008-04-10,10.31,10.47,10.06,10.18,1614500,0
2008-04-11,10.03,10.12,9.86,9.93,1304400,0
2008-04-14,9.94,9.97,9.61,9.65,1200400,0
2008-04-15,9.61,9.7,9.33,9.42,1079500,0
2008-04-16,9.46,10.25,9.43,10.23,1507300,0
2008-04-17,10.25,10.39,10.05,10.35,1230900,0
2008-04-18,10.48,11.18,10.45,11.17,1999100,0
2008-04-21,11.09,11.09,10.76,10.97,2673800,0
2008-04-22,10.85,11.1,10.74,11.07,1833000,0
2008-04-23,11.08,11.25,10.8,10.91,3432700,0
2008-04-24,10.91,11.19,10.87,11.08,2282700,0
2008-04-25,11.14,12.16,10.99,12.13,3275800,0
2008-04-28,12.07,12.2,11.55,11.66,1520300,0
2008-04-29,11.68,11.77,11.51,11.63,1006100,0
2008-04-30,11.6,11.69,11.32,11.51,1794500,0
2008-05-01,11.66,11.83,11.39,11.7,1744900,0
2008-05-02,11.77,11.95,11.47,11.63,1724100,0
2008-05-05,11.62,11.88,11.06,11.31,2358200,0
2008-05-06,11.76,11.91,10.72,11.13,4490300,0
2008-05-07,11.27,11.68,11.06,11.41,2534700,0
2008-05-08,11.4,11.57,11.23,11.3,1356600,0
2008-05-09,11.17,11.18,10.82,10.88,1197900,0
2008-05-12,10.87,11.16,10.74,11.01,1050400,0
2008-05-13,10.99,11.04,10.81,10.96,830500,0
2008-05-14,10.96,11.2,10.85,10.99,904500,0
2008-05-15,11.13,11.67,11.12,11.63,1599600,0
2008-05-16,11.62,11.86,11.6,11.79,1291000,0
2008-05-19,11.79,12.14,11.7,11.82,1569800,0
2008-05-20,11.74,11.74,11.57,11.67,1054800,0
2008-05-21,11.67,11.88,11.56,11.71,1578500,0
2008-05-22,11.72,11.89,11.57,11.67,868000,0
2008-05-23,11.66,11.66,11.31,11.45,850000,0
2008-05-27,11.42,11.67,11.18,11.53,702200,0
2008-05-28,11.62,12.4,11.52,12.25,2152100,0
2008-05-29,12.26,12.74,12.23,12.7,1748300,0
2008-05-30,12.65,12.7,12.0,12.14,1688400,0
2008-06-02,12.15,12.15,11.57,11.63,1759200,0
2008-06-03,11.65,11.95,11.56,11.85,1468200,0
2008-06-04,11.75,12.21,11.61,12.04,1293800,0
2008-06-05,12.11,12.22,11.81,12.1,1365300,0
2008-06-06,12.04,12.08,11.41,11.46,2846000,0
2008-06-09,11.38,11.52,10.48,10.6,1976900,0
2008-06-10,10.54,10.69,10.4,10.49,1517300,0
2008-06-11,10.45,10.46,9.56,9.58,2047500,0
2008-06-12,9.54,10.08,9.51,9.77,1939600,0
2008-06-13,9.79,9.98,9.7,9.95,1385700,0
2008-06-16,9.94,10.23,9.82,10.17,989300,0
2008-06-17,10.21,10.26,9.81,9.95,1591900,0
2008-06-18,9.85,10.89,9.85,10.87,2755700,0
2008-06-19,10.86,11.09,10.45,10.62,1884800,0
2008-06-20,10.53,10.55,10.13,10.25,1286500,0
2008-06-23,10.32,10.32,9.84,9.87,1100400,0
2008-06-24,9.8,9.85,9.4,9.54,1491400,0
2008-06-25,9.61,9.93,9.49,9.74,2246900,0
2008-06-26,9.61,9.69,8.94,8.95,2449900,0
2008-06-27,8.91,8.95,8.59,8.73,8891900,0
2008-06-30,8.51,8.74,8.45,8.49,2419600,0
2008-07-01,8.42,8.71,8.26,8.63,2241000,0
2008-07-02,8.61,8.79,8.13,8.3,2577200,0
2008-07-03,8.34,8.41,7.85,8.01,1896500,0
2008-07-07,8.07,8.39,7.92,8.0,3008500,0
2008-07-08,7.95,8.3,7.9,8.21,2461500,0
2008-07-09,8.25,8.28,7.9,7.93,1843200,0
2008-07-10,7.9,8.06,7.8,7.96,2045300,0
2008-07-11,7.88,7.98,7.58,7.64,3141800,0
2008-07-14,7.77,8.24,7.77,8.04,2968100,0
2008-07-15,7.88,8.05,7.56,7.8,2424100,0
2008-07-16,7.84,8.52,7.67,8.45,2322000,0
2008-07-17,8.51,9.09,8.45,9.07,2004200,0
2008-07-18,9.12,9.48,8.83,9.04,1784000,0
2008-07-21,9.05,9.55,9.05,9.55,2123200,0
2008-07-22,9.38,10.15,9.26,10.1,1981900,0
2008-07-23,10.1,10.39,9.94,9.94,2568700,0
2008-07-24,9.93,10.24,9.1,9.16,1829500,0
2008-07-25,9.29,9.53,9.06,9.36,1438100,0
2008-07-28,9.36,9.62,8.9,8.9,1411000,0
2008-07-29,8.47,9.43,8.34,9.2,2410200,0
2008-07-30,8.92,8.95,8.04,8.36,2285600,0
2008-07-31,8.29,8.57,8.04,8.46,2155300,0
2008-08-01,8.49,9.16,8.25,8.9,2364500,0
2008-08-04,8.85,8.99,8.58,8.63,1894600,0
2008-08-05,8.81,8.97,8.55,8.82,1507900,0
2008-08-06,8.78,9.04,8.32,8.38,2763700,0
2008-08-07,8.33,8.41,8.09,8.13,1934100,0
2008-08-08,8.18,9.23,8.18,9.18,3236000,0
2008-08-11,9.06,10.12,9.06,9.78,2423300,0
