Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,46.57,47.41,45.65,46.0,145100,0
2008-01-03,46.17,46.98,45.85,46.09,178800,0
2008-01-04,45.53,45.63,44.52,44.75,161900,0
2008-01-07,44.87,46.56,44.87,45.92,189100,0
2008-01-08,46.07,47.22,44.88,44.88,314500,0
2008-01-09,44.76,46.58,44.25,46.16,169800,0
2008-01-10,45.66,47.58,45.6,46.71,209500,0
2008-01-11,46.55,47.63,46.11,46.65,185600,0
2008-01-14,46.92,48.08,46.62,47.72,127100,0
2008-01-15,47.11,48.94,46.99,48.09,237500,0
2008-01-16,47.99,50.18,47.99,49.36,424700,0
2008-01-17,49.76,50.64,48.7,48.9,274500,0
2008-01-18,48.71,49.35,46.53,46.92,362100,0
2008-01-22,44.86,48.09,44.64,47.16,308400,0
2008-01-23,45.98,48.39,45.55,48.09,443600,0
2008-01-24,48.0,50.0,48.0,49.23,399500,0
2008-01-25,50.0,50.0,48.5,48.76,168800,0
2008-01-28,48.66,50.75,47.82,50.75,214800,0
2008-01-29,50.74,50.74,48.56,49.5,170500,0
2008-01-30,49.11,49.94,48.06,48.21,183400,0
2008-01-31,47.4,49.24,46.96,48.87,337200,0
2008-02-01,49.42,49.68,47.66,49.45,289100,0
2008-02-04,49.27,49.73,48.69,48.97,261400,0
2008-02-05,47.99,48.85,47.25,47.39,157200,0
2008-02-06,47.74,48.5,46.86,46.89,150400,0
2008-02-07,46.82,48.49,46.82,48.49,206500,0
2008-02-08,48.28,49.11,46.96,47.42,176800,0
2008-02-11,47.4,48.14,46.59,46.96,111400,0
2008-02-12,46.86,48.46,46.86,48.17,196400,0
2008-02-13,48.79,49.57,48.58,49.22,161900,0
2008-02-14,49.39,49.39,47.25,47.62,105500,0
2008-02-15,47.23,48.11,46.94,47.68,146000,0
2008-02-19,48.08,48.66,47.17,47.69,104300,0
2008-02-20,47.56,47.94,46.82,47.64,128900,0
2008-02-21,48.02,48.96,46.9,46.9,108100,0
2008-02-22,47.13,47.63,46.02,47.13,109200,0
2008-02-25,47.16,47.97,46.65,47.77,105600,0
2008-02-26,47.51,48.54,47.31,48.25,264200,0
2008-02-27,47.66,48.43,46.64,47.28,170700,0
2008-02-28,46.94,47.14,45.6,46.48,159900,0
2008-02-29,45.89,46.05,44.64,44.86,135000,0
2008-03-03,44.78,45.79,44.39,45.62,237800,0
2008-03-04,45.56,46.0,44.84,45.58,160400,0
2008-03-05,45.82,45.82,44.68,45.23,109500,0
2008-03-06,44.9,45.73,44.02,44.02,113200,0
2008-03-07,43.54,44.79,43.28,44.03,103500,0
2008-03-10,44.18,44.49,43.45,43.52,234600,0
2008-03-11,44.87,46.43,44.39,46.39,301000,0
2008-03-12,46.5,47.2,45.05,45.18,251800,0
2008-03-13,45.02,47.78,44.69,46.98,175500,0
2008-03-14,47.14,47.14,45.0,45.51,163900,0
2008-03-17,44.45,46.72,44.45,45.34,158300,0
2008-03-18,46.29,48.17,46.02,48.08,245900,0
2008-03-19,48.42,49.68,47.72,47.72,311900,0
2008-03-20,48.21,49.96,47.61,48.89,689700,0
2008-03-24,49.17,49.94,48.68,49.39,257100,0
2008-03-25,49.51,49.51,48.74,49.0,199600,0
2008-03-26,48.69,49.21,48.29,48.75,173000,0
2008-03-27,48.86,49.55,48.37,48.54,165200,0
2008-03-28,48.69,49.13,48.31,48.61,171800,0
2008-03-31,48.61,49.15,47.87,48.25,245200,0
2008-04-01,48.59,50.0,48.55,50.0,225600,0
2008-04-02,50.01,50.9,49.63,50.48,130100,0
2008-04-03,50.04,51.34,50.04,50.64,205500,0
2008-04-04,51.0,51.11,49.74,50.37,136800,0
2008-04-07,50.56,50.93,49.96,50.35,140600,0
2008-04-08,49.5,50.45,49.38,49.82,126000,0
2008-04-09,50.0,50.2,49.15,49.27,82600,0
2008-04-10,49.22,50.98,49.2,50.6,111700,0
2008-04-11,49.97,50.54,49.49,49.6,140100,0
2008-04-14,49.4,50.29,49.1,49.72,114400,0
2008-04-15,49.87,50.23,49.61,49.95,94000,0
2008-04-16,50.22,51.05,49.79,50.97,189600,0
2008-04-17,50.88,50.92,50.02,50.36,113000,0
2008-04-18,51.21,51.5,50.54,50.81,105400,0
2008-04-21,50.5,50.73,50.15,50.61,81000,0
2008-04-22,50.41,50.41,48.78,49.59,151100,0
2008-04-23,49.73,50.73,49.29,50.73,85900,0
2008-04-24,50.89,51.67,49.73,51.44,156900,0
2008-04-25,51.25,51.25,48.3,48.99,186300,0
2008-04-28,48.91,50.04,48.76,49.92,317700,0
2008-04-29,49.95,49.99,48.92,49.23,100300,0
2008-04-30,49.43,50.61,49.2,49.44,260500,0
2008-05-01,49.46,51.03,49.4,50.77,96300,0
2008-05-02,51.36,52.0,49.12,49.32,182900,0
2008-05-05,48.91,49.27,48.6,48.75,110600,0
2008-05-06,48.76,49.42,48.04,49.24,148000,0
2008-05-07,49.21,49.87,47.82,47.94,85700,0
2008-05-08,48.19,49.09,47.66,49.02,116000,0
2008-05-09,48.33,48.98,48.12,48.67,77100,0
2008-05-12,48.82,49.06,47.56,47.87,281400,0
2008-05-13,48.0,48.27,46.98,47.75,229300,0
2008-05-14,47.81,47.91,47.22,47.39,117100,0
2008-05-15,47.26,47.75,46.5,47.48,165900,0
2008-05-16,47.84,48.01,46.78,47.79,304300,0
2008-05-19,47.71,48.14,47.22,47.55,176100,0
2008-05-20,46.06,47.92,46.06,47.61,174100,0
2008-05-21,47.6,48.02,46.63,46.85,151100,0
2008-05-22,46.85,47.31,46.16,46.55,258300,0
2008-05-23,46.49,46.94,46.03,46.28,95800,0
2008-05-27,46.57,47.52,46.13,47.29,110500,0
2008-05-28,47.38,47.38,46.48,46.77,108800,0
2008-05-29,46.77,48.19,46.77,47.52,252400,0
2008-05-30,47.7,47.7,46.57,47.61,174400,0
2008-06-02,47.39,47.75,45.64,46.67,155600,0
2008-06-03,46.94,47.28,45.93,46.69,157800,0
2008-06-04,46.43,47.69,46.43,47.23,96200,0
2008-06-05,47.24,48.55,46.96,48.55,164600,0
2008-06-06,47.99,48.42,46.6,46.61,189100,0
2008-06-09,46.61,47.02,45.95,46.64,130400,0
2008-06-10,46.07,47.68,46.07,47.08,136600,0
2008-06-11,46.86,47.31,45.99,45.99,112800,0
2008-06-12,46.59,47.17,46.39,46.85,177300,0
2008-06-13,47.26,47.34,46.32,47.04,234400,0
2008-06-16,47.24,47.24,46.42,46.65,219900,0
2008-06-17,46.62,46.64,46.06,46.21,126100,0
2008-06-18,45.89,46.73,45.16,45.66,133800,0
2008-06-19,45.68,47.0,45.68,46.97,123600,0
2008-06-20,46.66,46.89,45.16,46.26,285400,0
2008-06-23,46.57,46.68,45.68,46.06,100400,0
2008-06-24,45.53,47.08,44.92,45.76,154500,0
2008-06-25,45.84,47.27,45.6,46.53,174000,0
2008-06-26,45.93,48.39,45.0,45.04,268100,0
2008-06-27,45.13,46.46,45.13,45.65,360900,0
2008-06-30,45.78,46.21,45.16,45.26,163000,0
2008-07-01,44.83,45.57,43.92,45.3,206700,0
2008-07-02,45.23,45.51,43.92,43.92,151700,0
2008-07-03,43.94,44.94,43.71,44.12,67100,0
2008-07-07,44.45,45.28,43.88,44.59,186600,0
2008-07-08,44.47,46.9,44.47,46.9,226200,0
2008-07-09,46.86,46.95,44.92,45.78,158300,0
2008-07-10,45.72,46.93,45.58,46.34,131400,0
2008-07-11,45.8,47.75,44.89,47.32,228400,0
2008-07-14,47.62,48.95,47.0,47.54,250700,0
2008-07-15,47.01,47.99,46.16,47.01,232600,0
2008-07-16,47.25,48.95,46.13,48.83,280000,0
2008-07-17,48.79,49.0,47.69,49.0,189200,0
2008-07-18,48.7,50.34,48.69,49.2,241600,0
2008-07-21,49.26,49.47,48.56,49.28,127300,0
2008-07-22,49.17,51.59,49.11,51.52,277600,0
2008-07-23,51.06,51.31,49.61,50.24,179100,0
2008-07-24,50.06,50.09,49.24,49.96,186800,0
2008-07-25,50.05,50.97,49.52,49.9,144000,0
2008-07-28,49.63,50.05,48.75,49.6,165900,0
2008-07-29,49.91,51.11,49.75,50.92,160200,0
2008-07-30,50.92,51.11,49.41,50.05,165600,0
2008-07-31,49.13,50.65,49.11,49.91,113900,0
2008-08-01,49.78,50.31,48.83,49.72,83900,0
2008-08-04,49.82,50.24,48.47,49.81,214000,0
2008-08-05,50.3,50.38,49.36,50.25,196900,0
2008-08-06,49.95,50.47,49.43,50.14,201000,0
2008-08-07,49.71,50.5,49.59,50.04,188000,0
2008-08-08,50.09,52.44,50.09,52.24,212200,0
2008-08-11,52.24,54.41,51.7,54.05,183000,0
2008-08-12,53.96,54.1,52.41,52.8,198200,0
2008-08-13,52.78,53.25,51.96,52.85,173900,0
