Date,Open,High,Low,Close,Volume,Dividend
2015-07-17,15.5,16.14,15.31,15.92,4330300,0
2015-07-20,15.92,16.1,15.01,15.11,314100,0
2015-07-21,15.13,15.79,15.0,15.65,204000,0
2015-07-22,15.59,15.91,15.3,15.65,67100,0
2015-07-23,15.55,15.95,15.55,15.67,41900,0
2015-07-24,15.57,15.82,15.31,15.66,56500,0
2015-07-27,15.95,15.95,15.25,15.42,168900,0
2015-07-28,15.27,15.69,15.0,15.47,148500,0
2015-07-29,15.26,15.75,15.24,15.48,212800,0
2015-07-30,15.23,15.76,15.23,15.6,143600,0
2015-07-31,15.51,15.72,15.15,15.3,128600,0
2015-08-03,15.3,15.88,15.3,15.6,151500,0
2015-08-04,15.95,15.95,15.41,15.62,57900,0
2015-08-05,15.53,15.92,15.17,15.43,77300,0
2015-08-06,15.49,15.75,15.33,15.49,29000,0
2015-08-07,15.3,15.3,14.14,15.14,142700,0
2015-08-10,15.2,15.6,14.71,15.25,120800,0
2015-08-11,15.07,15.15,14.71,14.92,163300,0
2015-08-12,14.8,15.96,14.8,15.77,55700,0
2015-08-13,15.72,15.9,15.62,15.79,34900,0
2015-08-14,15.63,16.45,15.63,16.23,63400,0
2015-08-17,16.47,16.47,15.42,15.6,55500,0
2015-08-18,15.55,15.97,14.81,15.25,283200,0
2015-08-19,15.37,15.55,14.95,15.17,76000,0
2015-08-20,14.8,15.27,14.52,14.97,140000,0
2015-08-21,15.19,15.35,14.91,14.94,135100,0
2015-08-24,14.45,15.23,14.31,15.1,210800,0
2015-08-25,15.36,16.2,14.94,15.1,188400,0
2015-08-26,15.47,15.88,14.76,15.29,132000,0
2015-08-27,15.45,15.64,14.2,14.57,523200,0
2015-08-28,14.61,14.92,13.78,14.33,148400,0
2015-08-31,14.33,15.0,14.33,14.9,73700,0
2015-09-01,15.09,15.26,14.51,15.07,84600,0
2015-09-02,14.99,15.5,14.67,15.46,83700,0
2015-09-03,15.41,15.5,14.45,15.17,84500,0
2015-09-04,15.19,15.22,14.76,14.99,49100,0
2015-09-08,14.99,15.69,14.99,15.35,94500,0
2015-09-09,15.32,15.49,14.84,14.99,43700,0
2015-09-10,14.92,15.39,14.83,15.26,60200,0
2015-09-11,15.2,15.2,13.63,14.19,180500,0
2015-09-14,14.42,15.16,14.35,15.09,170600,0
2015-09-15,15.15,15.33,13.56,13.9,184000,0
2015-09-16,13.68,14.7,13.68,14.66,153100,0
2015-09-17,14.52,14.98,13.41,14.39,132500,0
2015-09-18,14.37,14.87,13.22,13.51,472000,0
2015-09-21,13.73,14.11,12.72,13.02,295600,0
2015-09-22,12.98,13.27,12.36,12.58,110400,0
2015-09-23,12.52,12.7,12.18,12.48,79600,0
2015-09-24,12.3,12.55,11.99,12.25,137700,0
2015-09-25,12.28,12.42,11.93,12.17,165900,0
2015-09-28,11.81,11.85,10.7,11.64,267000,0
2015-09-29,11.55,13.92,10.95,13.52,434000,0
2015-09-30,13.55,13.98,12.76,12.96,1451000,0
2015-10-01,13.05,13.5,12.46,12.72,171800,0
2015-10-02,12.61,14.09,12.46,12.77,152700,0
2015-10-05,12.91,13.36,12.68,12.69,193700,0
2015-10-06,12.7,13.56,12.51,13.42,491300,0
2015-10-07,12.6,13.53,12.6,13.3,237100,0
2015-10-08,13.21,13.69,13.02,13.52,141100,0
2015-10-09,13.6,13.6,13.15,13.31,96100,0
2015-10-12,13.45,13.89,13.11,13.18,80000,0
2015-10-13,13.15,13.68,12.9,13.46,133800,0
2015-10-14,13.33,13.67,13.21,13.5,155500,0
2015-10-15,13.57,14.0,13.27,13.97,139200,0
2015-10-16,14.04,14.18,13.49,13.73,139900,0
2015-10-19,13.47,14.17,12.72,13.77,92400,0
2015-10-20,13.77,14.6,13.39,14.51,198500,0
2015-10-21,14.63,14.63,13.97,14.49,140000,0
2015-10-22,14.51,14.64,13.95,14.1,160000,0
2015-10-23,14.18,14.79,13.73,14.66,158200,0
2015-10-26,14.63,14.71,13.58,13.66,121300,0
2015-10-27,13.63,13.9,13.08,13.16,271500,0
2015-10-28,13.16,14.77,13.16,13.84,200200,0
2015-10-29,13.83,13.97,13.33,13.57,143400,0
2015-10-30,13.63,13.66,12.91,13.17,204600,0
2015-11-02,13.17,13.31,13.02,13.25,115500,0
2015-11-03,13.29,14.06,13.28,13.84,180400,0
2015-11-04,13.95,14.17,13.62,13.96,122700,0
2015-11-05,13.93,14.02,12.95,13.7,81000,0
2015-11-06,13.97,14.75,13.81,14.4,198500,0
2015-11-09,14.4,14.75,14.09,14.5,99200,0
2015-11-10,14.5,14.69,13.77,14.63,106000,0
2015-11-11,14.69,14.69,13.6,13.81,110800,0
2015-11-12,13.76,13.95,13.21,13.55,105100,0
2015-11-13,13.49,13.87,13.26,13.77,79100,0
2015-11-16,13.8,13.97,13.19,13.57,52400,0
2015-11-17,13.51,13.77,13.12,13.64,69700,0
2015-11-18,13.73,14.5,13.12,13.78,90500,0
2015-11-19,13.7,13.89,13.14,13.23,98300,0
2015-11-20,13.3,13.81,13.13,13.69,67400,0
2015-11-23,13.72,14.15,13.67,14.11,56500,0
2015-11-24,14.11,14.24,13.74,14.15,58500,0
2015-11-25,14.15,14.51,14.0,14.28,82700,0
2015-11-27,14.26,14.4,13.07,14.11,15500,0
2015-11-30,14.09,14.63,13.96,14.35,133100,0
2015-12-01,14.02,14.69,13.96,14.51,53000,0
2015-12-02,14.44,14.66,14.08,14.37,120100,0
2015-12-03,14.37,14.37,14.12,14.19,58100,0
2015-12-04,14.14,14.14,13.79,13.98,101000,0
2015-12-07,13.84,13.85,13.66,13.78,62700,0
2015-12-08,13.57,14.04,13.53,13.86,81700,0
2015-12-09,13.85,14.17,13.74,14.08,94900,0
2015-12-10,14.06,14.15,13.9,14.1,32600,0
2015-12-11,13.89,14.18,13.86,14.03,78300,0
2015-12-14,14.19,14.29,13.34,13.88,71400,0
2015-12-15,13.99,14.28,13.54,14.26,47500,0
2015-12-16,14.28,14.82,13.5,14.74,53300,0
2015-12-17,14.7,14.82,14.25,14.62,62400,0
2015-12-18,14.74,14.74,14.02,14.3,77500,0
2015-12-21,14.29,14.43,14.09,14.13,59700,0
2015-12-22,14.04,14.25,13.84,14.08,73900,0
2015-12-23,14.18,14.36,13.72,14.17,38100,0
2015-12-24,13.84,14.43,13.23,14.15,25500,0
