Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,16.62,16.92,15.71,16.0,432600,0
2008-01-03,16.0,16.37,15.18,15.31,231500,0
2008-01-04,15.0,15.05,14.39,14.42,235200,0
2008-01-07,14.26,14.7,14.15,14.68,253200,0
2008-01-08,14.73,15.0,13.87,13.9,240200,0
2008-01-09,13.85,13.99,13.07,13.9,227500,0
2008-01-10,13.64,14.19,13.37,13.96,191500,0
2008-01-11,13.61,13.72,12.62,12.66,290900,0
2008-01-14,12.7,13.17,12.55,12.78,273500,0
2008-01-15,12.72,12.76,12.36,12.61,331400,0
2008-01-16,12.62,13.12,12.28,12.77,168300,0
2008-01-17,12.62,12.77,11.82,11.84,217500,0
2008-01-18,11.91,11.98,11.29,11.48,298900,0
2008-01-22,10.75,11.45,10.53,11.3,262300,0
2008-01-23,11.0,11.42,10.77,11.4,404900,0
2008-01-24,11.3,12.4,11.12,12.24,396400,0
2008-01-25,12.58,12.95,12.21,12.66,228700,0
2008-01-28,12.66,12.66,12.34,12.58,247500,0
2008-01-29,12.61,12.61,11.9,12.02,123300,0
2008-01-30,11.91,12.5,11.62,11.82,194900,0
2008-01-31,11.58,12.3,11.5,12.12,212500,0
2008-02-01,12.24,13.13,11.98,12.92,206400,0
2008-02-04,12.84,12.95,12.66,12.8,158700,0
2008-02-05,12.55,12.85,12.01,12.01,166100,0
2008-02-06,12.21,12.21,11.9,11.94,166300,0
2008-02-07,11.86,12.03,11.52,11.78,180800,0
2008-02-08,11.78,12.06,11.31,11.42,203400,0
2008-02-11,11.27,11.9,11.27,11.75,122200,0
2008-02-12,11.83,12.09,11.65,11.7,119800,0
2008-02-13,11.92,12.29,11.87,12.28,166800,0
2008-02-14,12.28,12.3,11.18,11.54,208600,0
2008-02-15,11.43,11.57,11.0,11.17,166100,0
2008-02-19,11.15,11.53,11.15,11.27,90500,0
2008-02-20,11.02,11.73,10.92,10.99,240700,0
2008-02-21,11.17,11.35,10.8,10.87,295000,0
2008-02-22,10.87,11.0,10.27,10.85,232600,0
2008-02-25,10.75,11.19,10.75,10.99,194700,0
2008-02-26,10.89,11.71,10.89,11.23,99700,0
2008-02-27,11.02,11.49,10.91,11.18,267300,0
2008-02-28,11.01,11.14,10.86,10.9,149900,0
2008-02-29,10.8,11.07,10.65,10.65,174100,0
2008-03-03,10.65,10.92,10.4,10.67,203100,0
2008-03-04,10.53,10.7,10.39,10.6,133300,0
2008-03-05,10.73,10.73,10.15,10.64,584300,0
2008-03-06,10.56,10.67,10.15,10.52,912900,0
2008-03-07,10.32,10.48,10.2,10.48,290000,0
2008-03-10,10.5,10.65,10.15,10.22,178400,0
2008-03-11,10.5,11.39,10.34,11.26,639500,0
2008-03-12,11.28,11.48,10.38,10.38,491300,0
2008-03-13,10.28,11.59,10.03,11.58,826900,0
2008-03-14,11.74,11.74,10.25,10.51,839900,0
2008-03-17,10.25,10.29,9.92,9.99,289300,0
2008-03-18,10.18,10.34,9.93,10.3,578800,0
2008-03-19,10.3,10.33,9.89,9.89,274600,0
2008-03-20,9.89,10.3,9.89,10.3,615000,0
2008-03-24,10.32,10.45,10.21,10.45,253300,0
2008-03-25,10.43,10.75,10.42,10.58,377100,0
2008-03-26,10.51,10.88,10.46,10.82,159400,0
2008-03-27,10.91,10.91,10.45,10.46,182000,0
2008-03-28,10.5,10.56,10.07,10.1,172300,0
2008-03-31,10.07,12.04,10.03,11.69,599700,0
2008-04-01,11.76,12.23,11.7,12.2,349900,0
2008-04-02,12.17,12.66,11.94,12.22,229900,0
2008-04-03,12.09,12.5,11.93,12.01,226300,0
2008-04-04,12.27,12.27,11.76,12.05,229800,0
2008-04-07,12.18,12.28,11.93,12.06,132900,0
2008-04-08,11.8,11.92,11.53,11.78,192900,0
2008-04-09,11.67,11.89,11.33,11.33,157900,0
2008-04-10,11.39,11.46,10.88,11.32,154300,0
2008-04-11,11.18,11.18,10.5,10.53,206600,0
2008-04-14,10.52,10.83,10.48,10.58,126100,0
2008-04-15,10.58,11.68,10.51,11.4,352500,0
2008-04-16,11.38,11.64,10.97,11.61,181300,0
2008-04-17,11.52,11.56,11.0,11.04,129000,0
2008-04-18,11.3,11.73,11.1,11.44,124400,0
2008-04-21,11.31,11.31,10.95,11.1,190500,0
2008-04-22,11.03,11.04,10.43,10.64,271600,0
2008-04-23,10.69,10.97,10.41,10.78,120800,0
2008-04-24,10.81,11.25,10.67,11.25,190300,0
2008-04-25,11.32,11.32,10.87,11.06,115000,0
2008-04-28,10.97,11.18,10.94,11.16,149500,0
2008-04-29,11.06,11.64,10.95,11.39,341300,0
2008-04-30,11.4,11.4,10.7,10.84,201200,0
2008-05-01,10.85,11.53,10.84,11.28,166200,0
2008-05-02,11.38,11.43,11.1,11.29,178600,0
2008-05-05,11.18,11.4,11.18,11.37,159400,0
2008-05-06,11.32,11.47,11.16,11.16,287100,0
2008-05-07,11.21,11.35,11.1,11.15,154200,0
2008-05-08,11.2,11.23,10.8,10.88,116200,0
2008-05-09,10.92,11.07,10.85,10.93,113300,0
2008-05-12,11.02,11.19,10.89,11.15,122800,0
2008-05-13,11.14,11.29,10.98,11.29,104200,0
2008-05-14,11.28,11.56,11.28,11.32,115600,0
2008-05-15,11.3,11.57,11.06,11.48,102700,0
2008-05-16,11.55,11.7,11.33,11.65,131100,0
2008-05-19,11.54,11.87,11.31,11.41,213600,0
2008-05-20,11.38,11.82,11.35,11.8,141100,0
2008-05-21,11.9,12.0,11.33,11.46,181000,0
2008-05-22,11.48,12.04,11.41,11.77,154300,0
2008-05-23,11.74,11.85,11.4,11.64,140400,0
2008-05-27,11.63,12.13,11.58,12.07,96200,0
2008-05-28,12.15,12.18,11.63,11.81,110500,0
2008-05-29,11.76,11.94,11.63,11.74,180100,0
2008-05-30,11.79,11.79,11.37,11.44,204400,0
2008-06-02,11.53,11.7,11.33,11.67,203400,0
2008-06-03,11.75,11.85,11.55,11.57,146500,0
2008-06-04,11.6,11.91,11.6,11.7,164000,0
2008-06-05,11.75,12.35,11.72,12.35,127900,0
2008-06-06,12.25,12.36,11.87,11.89,141400,0
