Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,122.72,124.32,113.44,114.16,155000,0
2008-01-03,114.56,115.52,107.44,108.32,165400,0
2008-01-04,107.12,107.12,99.2,101.68,199300,0
2008-01-07,102.48,114.0,100.32,106.16,180300,0
2008-01-08,106.96,108.08,99.44,99.68,153700,0
2008-01-09,100.0,112.56,99.12,112.16,259300,0
2008-01-10,111.6,118.88,109.36,113.84,230300,0
2008-01-11,112.64,112.72,102.4,102.8,188700,0
2008-01-14,103.68,105.12,94.0,97.36,233200,0
2008-01-15,49.6,53.12,45.28,49.2,2449300,0
2008-01-16,45.92,49.6,38.72,44.56,976200,0
2008-01-17,44.0,44.48,38.72,38.72,600700,0
2008-01-18,40.0,40.0,29.44,34.32,477300,0
2008-01-22,32.88,38.8,30.88,32.96,306100,0
2008-01-23,32.56,39.84,32.56,37.28,599700,0
2008-01-24,38.32,40.16,37.28,39.68,244900,0
2008-01-25,39.28,47.04,39.28,41.68,276800,0
2008-01-28,41.6,43.36,41.04,42.96,193100,0
2008-01-29,44.4,47.04,41.76,45.36,288100,0
2008-01-30,44.88,45.76,38.48,39.36,203500,0
2008-01-31,38.88,42.72,36.8,42.72,205600,0
2008-02-01,43.36,51.52,42.4,50.56,514200,0
2008-02-04,51.2,51.2,47.04,47.68,322900,0
2008-02-05,47.6,48.48,44.4,44.72,184900,0
2008-02-06,45.04,46.8,43.84,44.4,231400,0
2008-02-07,43.28,45.6,40.16,45.52,256000,0
2008-02-08,45.52,46.72,43.6,44.16,140400,0
2008-02-11,44.32,45.92,42.08,42.48,107700,0
2008-02-12,47.2,47.6,37.04,39.28,642700,0
2008-02-13,39.68,41.84,38.4,39.28,262700,0
2008-02-14,39.44,40.96,37.92,38.64,149600,0
2008-02-15,38.24,38.48,35.44,36.64,150500,0
2008-02-19,37.04,38.72,36.48,36.64,88500,0
2008-02-20,39.28,39.52,37.04,39.12,164200,0
2008-02-21,39.44,39.44,37.36,37.76,85300,0
2008-02-22,37.92,38.56,35.2,36.24,174900,0
2008-02-25,36.64,38.96,36.0,38.96,229700,0
2008-02-26,38.8,39.36,36.64,38.0,173400,0
2008-02-27,37.6,38.0,35.84,36.72,158100,0
2008-02-28,35.84,36.0,29.44,29.6,474600,0
2008-02-29,29.52,31.04,28.88,29.28,101400,0
2008-03-03,29.36,29.6,22.88,26.08,411400,0
2008-03-04,26.08,27.2,25.6,26.32,219900,0
2008-03-05,26.56,26.96,19.6,19.92,409800,0
2008-03-06,19.92,20.56,17.68,20.24,602700,0
2008-03-07,20.0,23.76,19.04,20.64,335300,0
2008-03-10,20.64,24.64,20.24,22.56,771500,0
2008-03-11,24.4,24.4,19.2,19.92,372800,0
2008-03-12,19.76,20.08,16.88,17.68,348600,0
2008-03-13,17.36,20.0,15.6,18.88,423700,0
2008-03-14,19.04,19.04,15.36,16.0,361600,0
2008-03-17,17.04,17.12,13.44,15.52,564700,0
2008-03-18,15.2,15.2,12.4,12.8,1311800,0
2008-03-19,12.72,14.0,12.48,12.56,316500,0
2008-03-20,12.72,15.84,12.72,13.68,175700,0
2008-03-24,13.92,15.36,13.92,14.24,275700,0
2008-03-25,15.2,19.52,14.48,18.64,708600,0
2008-03-26,17.92,22.24,17.68,18.4,735900,0
2008-03-27,19.36,19.36,14.96,15.92,398100,0
2008-03-28,17.12,17.12,15.6,15.92,149100,0
2008-03-31,16.0,16.0,14.16,14.88,200200,0
2008-04-01,15.2,15.6,13.04,13.36,437700,0
2008-04-02,13.68,14.0,12.72,13.44,260700,0
2008-04-03,13.6,13.6,12.08,12.32,276000,0
2008-04-04,12.48,13.44,11.68,12.96,246300,0
2008-04-07,12.16,13.2,12.16,13.04,165900,0
2008-04-08,12.88,14.88,12.8,14.56,200800,0
2008-04-09,14.8,15.84,14.24,14.48,201000,0
2008-04-10,14.64,14.64,13.36,13.36,134900,0
2008-04-11,13.68,13.68,12.24,12.72,151300,0
2008-04-14,12.72,12.72,12.0,12.0,78400,0
2008-04-15,12.08,12.56,12.0,12.24,83500,0
2008-04-16,12.48,12.64,11.6,12.16,185500,0
2008-04-17,12.16,12.56,11.76,12.56,74500,0
2008-04-18,12.32,13.04,12.16,12.56,89700,0
2008-04-21,12.56,12.8,12.4,12.48,36700,0
2008-04-22,12.8,12.8,12.0,12.0,85600,0
2008-04-23,12.24,12.56,11.84,11.84,76900,0
2008-04-24,12.0,13.04,12.0,13.04,76000,0
2008-04-25,13.04,13.04,12.4,12.8,43000,0
2008-04-28,12.96,12.96,12.0,12.4,94100,0
2008-04-29,12.64,12.64,12.0,12.16,62000,0
2008-04-30,12.24,12.56,12.16,12.4,69800,0
2008-05-01,12.56,12.56,12.0,12.0,52100,0
2008-05-02,12.24,12.72,12.08,12.64,133100,0
2008-05-05,13.2,16.32,13.2,13.6,628200,0
2008-05-06,13.84,15.52,13.84,15.44,323100,0
2008-05-07,15.6,15.84,14.08,14.08,230500,0
2008-05-08,15.12,16.8,14.56,16.24,395700,0
2008-05-09,15.2,15.92,14.32,14.72,266000,0
2008-05-12,14.64,15.04,14.16,15.04,120200,0
2008-05-13,14.8,15.04,14.16,14.16,70700,0
2008-05-14,14.4,14.4,12.08,13.04,405600,0
2008-05-15,12.88,14.0,12.64,14.0,130000,0
2008-05-16,14.64,14.64,13.84,14.08,128700,0
2008-05-19,14.0,14.24,13.2,13.68,135500,0
2008-05-20,13.84,13.84,13.2,13.6,64200,0
2008-05-21,13.28,14.24,12.72,12.88,145100,0
2008-05-22,12.8,13.44,12.72,13.28,75800,0
2008-05-23,13.68,14.08,12.56,12.64,163000,0
2008-05-27,12.4,13.12,12.32,12.8,107300,0
2008-05-28,12.8,13.04,12.4,13.04,121800,0
2008-05-29,12.8,13.2,12.64,12.8,102200,0
2008-05-30,13.2,13.2,10.88,10.88,317800,0
2008-06-02,11.76,11.84,11.12,11.28,233300,0
2008-06-03,11.44,12.08,11.28,12.08,110100,0
2008-06-04,12.16,12.48,11.84,12.08,99800,0
2008-06-05,12.32,12.8,12.16,12.8,79500,0
2008-06-06,12.56,12.8,11.76,11.76,115600,0
2008-06-09,11.92,12.4,11.52,11.52,80200,0
2008-06-10,11.68,12.08,11.6,12.0,89800,0
2008-06-11,11.92,12.16,11.28,11.28,107100,0
2008-06-12,11.36,12.08,11.12,11.52,128200,0
2008-06-13,11.52,11.6,10.4,11.12,196900,0
2008-06-16,10.96,11.2,10.48,10.8,120900,0
2008-06-17,10.64,10.8,10.08,10.24,429600,0
2008-06-18,10.08,10.48,9.44,9.44,194100,0
2008-06-19,9.6,9.92,8.48,9.2,226200,0
2008-06-20,8.56,9.28,8.24,8.24,169800,0
2008-06-23,8.72,10.08,8.4,9.84,195600,0
2008-06-24,8.96,10.4,8.08,9.04,144900,0
2008-06-25,9.04,9.28,8.56,8.56,137800,0
2008-06-26,8.24,8.64,8.0,8.08,163600,0
2008-06-27,8.8,8.8,6.72,7.36,786200,0
2008-06-30,7.44,7.68,6.96,7.2,337500,0
2008-07-01,7.6,9.12,7.12,8.96,944800,0
2008-07-02,8.88,9.12,7.6,7.84,148600,0
2008-07-03,8.64,8.72,8.0,8.0,71100,0
2008-07-07,8.08,8.64,7.92,7.92,113200,0
2008-07-08,8.08,8.56,7.92,8.48,86000,0
2008-07-09,8.48,9.12,8.16,8.72,126100,0
2008-07-10,8.88,11.12,8.64,10.24,161600,0
2008-07-11,10.24,10.56,8.96,9.12,106200,0
2008-07-14,9.28,9.76,8.4,8.96,158600,0
2008-07-15,9.6,9.6,8.56,9.44,57900,0
2008-07-16,9.6,9.6,8.64,8.96,112900,0
2008-07-17,8.8,9.92,8.8,9.44,126000,0
2008-07-18,9.92,9.92,8.88,9.12,104000,0
2008-07-21,9.6,9.68,8.88,9.12,68100,0
2008-07-22,9.36,10.24,9.12,10.0,125000,0
2008-07-23,10.4,11.28,9.52,10.64,139700,0
2008-07-24,11.04,11.36,10.0,11.04,68500,0
2008-07-25,10.16,11.04,10.16,10.48,63600,0
2008-07-28,10.96,10.96,10.16,10.16,53200,0
2008-07-29,10.96,10.96,10.4,10.56,27100,0
2008-07-30,10.56,11.92,10.24,11.92,52000,0
2008-07-31,10.96,11.52,10.72,11.04,53500,0
2008-08-01,11.52,12.32,11.2,11.76,97400,0
2008-08-04,11.76,12.0,11.44,11.6,74200,0
2008-08-05,11.6,11.84,11.28,11.44,59500,0
2008-08-06,11.36,12.0,10.96,11.52,54000,0
2008-08-07,11.52,11.6,11.12,11.2,45500,0
2008-08-08,11.36,14.16,11.28,13.52,393400,0
2008-08-11,13.92,17.28,13.2,15.2,509900,0
2008-08-12,18.08,18.08,12.56,15.28,322400,0
2008-08-13,15.2,16.16,14.0,15.04,96000,0
2008-08-14,14.88,15.44,13.84,13.84,155800,0
2008-08-15,14.16,14.88,13.68,14.16,74100,0
2008-08-18,14.48,15.28,14.16,15.12,149800,0
2008-08-19,15.52,15.6,14.4,14.8,122900,0
2008-08-20,14.48,14.8,13.92,14.08,78700,0
2008-08-21,13.84,14.32,13.52,13.6,50100,0
2008-08-22,13.6,14.0,13.44,13.68,73400,0
2008-08-25,14.0,14.0,13.44,13.92,50600,0
2008-08-26,13.52,13.84,13.44,13.52,88200,0
2008-08-27,13.84,14.0,13.44,13.44,54500,0
2008-08-28,14.0,14.0,13.52,14.0,63500,0
2008-08-29,13.68,14.24,13.6,13.6,73700,0
2008-09-02,14.48,14.48,13.68,14.16,99700,0
2008-09-03,14.4,15.36,13.68,15.12,183900,0
2008-09-04,15.36,15.76,14.72,15.52,173200,0
2008-09-05,15.2,15.2,14.24,14.72,61700,0
2008-09-08,15.6,15.6,14.48,15.52,101200,0
2008-09-09,15.2,15.6,14.64,15.12,58300,0
2008-09-10,14.8,15.36,13.6,14.0,80800,0
2008-09-11,14.16,14.16,13.2,13.28,83500,0
