Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,9.5,10.08,9.38,9.88,261500,0
2008-01-03,9.81,10.75,9.81,10.43,509600,0
2008-01-04,10.35,10.35,9.68,9.79,305700,0
2008-01-07,9.79,10.0,9.02,9.49,344800,0
2008-01-08,9.46,9.48,8.75,8.76,174700,0
2008-01-09,8.75,9.3,8.5,9.11,258500,0
2008-01-10,9.07,9.39,8.74,9.26,211200,0
2008-01-11,9.26,9.27,8.73,8.8,223500,0
2008-01-14,8.9,9.27,8.82,9.12,289200,0
2008-01-15,8.97,9.12,8.77,8.77,144400,0
2008-01-16,8.75,9.04,8.25,8.81,151100,0
2008-01-17,8.88,8.88,8.41,8.72,163000,0
2008-01-18,8.68,9.05,8.58,8.71,137500,0
2008-01-22,8.15,9.07,8.0,8.8,168800,0
2008-01-23,8.7,9.1,8.26,9.06,160700,0
2008-01-24,9.05,9.25,8.89,9.23,134400,0
2008-01-25,9.62,9.84,9.34,9.46,124700,0
2008-01-28,9.67,9.94,9.46,9.83,178500,0
2008-01-29,9.94,9.99,9.67,9.73,51500,0
2008-01-30,9.85,9.88,9.42,9.45,70300,0
2008-01-31,9.55,9.85,9.29,9.49,81100,0
2008-02-01,9.57,9.78,9.48,9.75,182600,0
2008-02-04,9.7,9.83,9.26,9.45,95500,0
2008-02-05,9.23,9.6,9.04,9.43,153800,0
2008-02-06,9.35,9.69,9.02,9.52,245700,0
2008-02-07,9.0,9.0,8.41,8.69,374600,0
2008-02-08,8.62,8.96,8.1,8.41,187800,0
2008-02-11,8.28,8.33,7.98,8.17,171100,0
2008-02-12,8.24,8.31,7.95,7.97,188900,0
2008-02-13,8.29,8.29,7.89,8.15,128900,0
2008-02-14,8.15,8.3,7.84,8.09,227600,0
2008-02-15,8.11,8.25,7.94,7.94,130300,0
2008-02-19,7.96,8.24,7.55,7.67,158700,0
2008-02-20,7.6,8.0,7.6,7.87,107800,0
2008-02-21,7.94,8.0,7.66,7.72,95900,0
2008-02-22,7.7,7.9,7.02,7.29,293700,0
2008-02-25,7.31,7.31,6.92,7.05,203700,0
2008-02-26,7.03,7.19,6.86,7.14,135400,0
2008-02-27,7.08,7.13,6.82,7.0,120200,0
2008-02-28,6.92,7.0,6.75,6.92,110800,0
2008-02-29,6.82,6.9,6.39,6.42,177400,0
2008-03-03,6.41,6.68,6.35,6.66,144900,0
2008-03-04,6.58,6.66,6.45,6.49,72800,0
2008-03-05,6.49,6.75,6.49,6.72,116200,0
2008-03-06,6.7,6.75,6.2,6.25,121500,0
2008-03-07,6.17,6.4,6.11,6.32,148600,0
2008-03-10,6.35,6.45,6.27,6.32,153000,0
2008-03-11,6.5,6.89,6.36,6.89,115800,0
2008-03-12,6.9,7.07,6.72,6.77,139300,0
2008-03-13,6.67,6.85,6.63,6.82,69800,0
2008-03-14,6.89,6.89,6.53,6.66,92300,0
2008-03-17,6.48,6.8,6.33,6.48,83400,0
2008-03-18,6.66,6.9,6.54,6.86,85300,0
2008-03-19,6.91,7.24,6.75,6.75,120300,0
2008-03-20,6.93,6.98,6.6,6.6,346900,0
2008-03-24,6.61,7.25,6.55,7.1,240600,0
2008-03-25,7.06,7.19,6.97,7.1,95900,0
2008-03-26,7.09,7.15,6.95,7.11,48200,0
2008-03-27,7.13,7.24,7.01,7.1,76100,0
2008-03-28,7.14,7.22,7.08,7.1,55000,0
2008-03-31,7.18,7.18,6.85,6.99,57200,0
2008-04-01,7.06,7.17,6.95,7.12,50700,0
2008-04-02,7.1,7.23,6.98,7.2,116700,0
2008-04-03,7.16,7.29,7.03,7.28,41900,0
2008-04-04,7.32,7.39,7.2,7.25,33700,0
2008-04-07,7.28,7.41,7.18,7.33,46800,0
2008-04-08,7.29,7.46,7.26,7.45,35200,0
2008-04-09,7.74,7.74,7.16,7.16,58500,0
2008-04-10,7.17,7.54,7.11,7.47,24900,0
2008-04-11,7.35,7.46,6.96,7.09,49500,0
2008-04-14,7.26,7.56,7.16,7.54,97500,0
2008-04-15,7.58,7.77,7.25,7.59,43500,0
2008-04-16,7.64,7.79,7.62,7.78,45000,0
2008-04-17,7.76,7.77,7.55,7.7,30100,0
2008-04-18,7.9,7.95,7.61,7.68,43800,0
2008-04-21,7.63,7.7,7.08,7.29,57500,0
2008-04-22,7.24,7.41,6.88,7.03,65100,0
2008-04-23,7.07,7.21,6.99,7.08,25200,0
2008-04-24,7.14,7.36,7.0,7.3,58400,0
2008-04-25,7.34,7.48,7.13,7.44,67300,0
2008-04-28,7.47,7.5,7.32,7.39,70400,0
2008-04-29,7.43,7.43,7.07,7.3,61000,0
2008-04-30,7.29,7.5,7.04,7.32,54300,0
2008-05-01,7.35,7.49,7.1,7.31,44900,0
2008-05-02,7.36,7.45,7.07,7.11,70700,0
2008-05-05,7.19,7.37,7.06,7.12,41000,0
2008-05-06,7.06,7.25,7.06,7.24,57800,0
