Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,39.5,40.7,38.95,39.3,99500,0
2008-01-03,40.0,40.25,38.05,38.15,96500,0
2008-01-04,38.05,38.25,36.3,36.4,61300,0
2008-01-07,37.2,43.1,37.0,40.45,261500,0
2008-01-08,40.45,41.5,40.0,40.15,90100,0
2008-01-09,40.0,40.55,37.75,38.45,92300,0
2008-01-10,38.1,40.95,38.0,39.65,90500,0
2008-01-11,39.25,40.45,38.0,38.15,61500,0
2008-01-14,38.65,40.1,38.15,39.75,51600,0
2008-01-15,38.45,39.5,37.6,38.55,95600,0
2008-01-16,38.35,40.85,38.35,39.8,87000,0
2008-01-17,40.0,41.5,37.2,37.4,151900,0
2008-01-18,37.1,37.45,35.0,36.5,119500,0
2008-01-22,35.0,37.4,33.5,36.1,85300,0
2008-01-23,35.3,36.55,31.4,36.55,133200,0
2008-01-24,36.85,37.5,35.1,36.0,72600,0
2008-01-25,36.9,37.15,36.0,36.35,56400,0
2008-01-28,36.25,37.5,36.2,36.8,69800,0
2008-01-29,36.95,39.0,36.25,37.7,55000,0
2008-01-30,37.25,38.85,37.05,38.2,74400,0
2008-01-31,37.5,39.5,36.5,39.5,156700,0
2008-02-01,40.0,40.0,37.05,39.55,73400,0
2008-02-04,39.35,39.95,37.45,39.55,122300,0
2008-02-05,38.65,39.8,36.85,37.35,89500,0
2008-02-06,38.0,38.4,36.65,37.2,73900,0
2008-02-07,37.55,38.5,36.5,37.2,84800,0
2008-02-08,37.05,37.65,36.45,37.25,64400,0
2008-02-11,37.35,38.35,36.4,36.7,60500,0
2008-02-12,36.75,37.7,36.4,36.5,67200,0
2008-02-13,36.9,37.7,36.45,37.65,52400,0
2008-02-14,37.8,39.6,36.8,38.95,86600,0
2008-02-15,38.75,38.8,36.25,36.25,59300,0
2008-02-19,37.05,37.5,36.0,36.0,43600,0
2008-02-20,36.1,37.15,34.75,36.0,67200,0
2008-02-21,35.9,36.5,34.0,35.25,77200,0
2008-02-22,35.35,35.6,32.95,33.6,93800,0
2008-02-25,33.7,35.65,33.45,35.05,80300,0
2008-02-26,35.5,36.5,34.2,35.5,98800,0
2008-02-27,34.85,35.1,34.0,34.55,55100,0
2008-02-28,34.3,35.65,34.05,35.45,96100,0
2008-02-29,34.7,35.55,34.4,35.35,122200,0
2008-03-03,35.65,35.65,32.7,32.85,80400,0
2008-03-04,33.8,36.0,32.5,34.85,180500,0
2008-03-05,35.1,35.5,31.65,32.75,111500,0
2008-03-06,32.5,32.5,27.25,28.95,287800,0
2008-03-07,28.6,29.75,26.25,27.6,363100,0
2008-03-10,25.2,25.95,21.25,24.95,335300,0
2008-03-11,25.65,26.75,24.35,25.75,175300,0
2008-03-12,25.9,27.35,25.1,25.15,126900,0
2008-03-13,25.25,26.0,24.15,25.25,79600,0
2008-03-14,26.5,26.5,23.55,25.35,116500,0
2008-03-17,24.65,25.65,23.05,23.95,88800,0
2008-03-18,24.75,25.1,23.25,25.0,95000,0
2008-03-19,25.3,26.5,24.7,24.7,136000,0
2008-03-20,30.75,30.75,25.0,25.7,204800,0
2008-03-24,25.0,30.4,25.0,30.4,147900,0
2008-03-25,30.2,30.85,29.45,29.8,64500,0
2008-03-26,29.6,30.7,28.3,30.1,65100,0
2008-03-27,30.6,31.75,29.25,31.3,89100,0
2008-03-28,31.3,32.45,28.15,28.3,80300,0
2008-03-31,29.05,30.6,28.15,29.85,33000,0
2008-04-01,30.0,32.2,29.05,31.55,87300,0
2008-04-02,31.4,31.7,31.05,31.5,121500,0
2008-04-03,30.95,31.5,29.75,30.25,48800,0
2008-04-04,30.4,31.6,30.3,30.35,18200,0
2008-04-07,31.15,31.2,29.1,29.65,53300,0
2008-04-08,29.55,29.55,28.4,29.25,29600,0
