Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,9.3,9.3,9.3,9.3,0,0
2008-01-03,9.0,9.0,9.0,9.0,100,0
2008-01-04,8.7,8.7,8.7,8.7,0,0
2008-01-07,8.7,8.7,8.7,8.7,0,0
2008-01-08,8.7,9.0,6.6,7.8,3100,0
2008-01-09,7.2,7.2,5.1,6.0,3900,0
2008-01-10,6.0,6.3,6.0,6.0,0,0
2008-01-11,6.0,6.0,6.0,6.0,100,0
2008-01-14,6.0,6.0,6.0,6.0,400,0
2008-01-15,5.7,5.7,5.4,5.4,400,0
2008-01-16,5.4,5.4,5.4,5.4,0,0
2008-01-17,6.0,6.0,5.4,5.4,600,0
2008-01-18,5.7,5.7,5.4,5.4,300,0
2008-01-22,5.4,6.0,5.4,6.0,800,0
2008-01-23,6.0,6.6,6.0,6.3,1400,0
2008-01-24,5.7,6.6,5.7,6.3,0,0
2008-01-25,6.0,6.6,5.7,6.3,600,0
2008-01-28,6.3,6.3,6.3,6.3,0,0
2008-01-29,5.7,5.7,5.7,5.7,0,0
2008-01-30,5.7,5.7,5.7,5.7,100,0
2008-01-31,5.7,5.7,5.7,5.7,0,0
2008-02-01,5.7,5.7,5.7,5.7,0,0
2008-02-04,6.6,6.6,6.3,6.6,400,0
2008-02-05,6.3,6.3,5.7,5.7,400,0
2008-02-06,5.4,5.4,5.4,5.4,500,0
2008-02-07,5.7,5.7,5.7,5.7,0,0
2008-02-08,5.7,5.7,5.7,5.7,0,0
2008-02-11,5.7,5.7,5.7,5.7,0,0
2008-02-12,5.7,6.0,5.7,6.0,400,0
2008-02-13,6.0,6.0,6.0,6.0,0,0
2008-02-14,6.0,6.0,6.0,6.0,0,0
2008-02-15,5.4,5.4,5.1,5.1,2700,0
2008-02-19,4.8,4.8,4.2,4.5,2200,0
2008-02-20,5.1,5.1,4.5,4.5,800,0
2008-02-21,4.5,4.5,4.5,4.5,100,0
2008-02-22,3.9,4.8,3.9,4.8,100,0
2008-02-25,3.9,3.9,3.6,3.6,500,0
2008-02-26,3.9,3.9,3.6,3.6,400,0
2008-02-27,3.6,3.6,3.6,3.6,100,0
2008-02-28,3.6,3.6,3.6,3.6,500,0
2008-02-29,4.5,4.5,4.5,4.5,0,0
2008-03-03,3.9,3.9,3.3,3.6,1200,0
2008-03-04,3.3,3.3,3.3,3.3,100,0
2008-03-05,3.3,3.3,3.3,3.3,100,0
2008-03-06,3.3,3.3,2.7,2.7,2600,0
2008-03-07,3.3,3.3,2.7,2.7,400,0
2008-03-10,3.3,3.3,2.4,3.3,200,0
2008-03-11,2.7,3.0,2.7,3.0,1000,0
2008-03-12,3.0,3.0,3.0,3.0,0,0
2008-03-13,3.0,3.0,3.0,3.0,600,0
2008-03-14,3.0,3.0,3.0,3.0,600,0
2008-03-17,3.0,3.0,3.0,3.0,100,0
2008-03-18,3.0,3.0,2.7,2.7,500,0
2008-03-19,2.7,3.0,2.7,2.7,2000,0
2008-03-20,2.7,2.7,2.7,2.7,0,0
2008-03-24,3.0,3.0,3.0,3.0,0,0
2008-03-25,3.0,3.6,3.0,3.6,900,0
2008-03-26,4.5,4.5,4.5,4.5,700,0
2008-03-27,4.5,4.5,4.5,4.5,200,0
2008-03-28,3.3,4.5,3.3,4.5,0,0
2008-03-31,4.5,4.5,4.5,4.5,0,0
2008-04-01,4.5,4.5,4.5,4.5,100,0
2008-04-02,4.5,4.5,3.9,3.9,400,0
2008-04-03,3.9,3.9,3.9,3.9,0,0
2008-04-04,3.9,3.9,3.9,3.9,0,0
2008-04-07,3.9,3.9,3.3,3.3,300,0
2008-04-08,3.9,3.9,3.9,3.9,700,0
2008-04-09,3.9,3.9,3.9,3.9,0,0
2008-04-10,3.9,3.9,3.9,3.9,400,0
2008-04-11,3.3,3.3,3.3,3.3,100,0
2008-04-14,3.3,3.6,3.3,3.6,300,0
2008-04-15,3.3,3.3,3.3,3.3,0,0
2008-04-16,3.3,3.3,3.3,3.3,300,0
2008-04-17,3.3,3.3,3.3,3.3,0,0
2008-04-18,3.3,3.3,3.3,3.3,400,0
2008-04-21,3.3,3.3,2.7,2.7,900,0
2008-04-22,3.3,3.3,3.3,3.3,600,0
2008-04-23,4.2,4.2,4.2,4.2,0,0
2008-04-24,2.7,2.7,2.7,2.7,0,0
2008-04-25,4.2,4.2,4.2,4.2,0,0
2008-04-28,3.0,3.0,3.0,3.0,100,0
2008-04-29,3.0,3.0,3.0,3.0,0,0
2008-04-30,3.3,3.3,3.3,3.3,300,0
2008-05-01,3.6,3.6,3.3,3.3,0,0
2008-05-02,3.0,3.0,3.0,3.0,100,0
2008-05-05,3.0,3.0,3.0,3.0,0,0
2008-05-06,3.0,3.0,3.0,3.0,800,0
2008-05-07,3.0,3.0,3.0,3.0,700,0
2008-05-08,3.0,3.0,3.0,3.0,0,0
2008-05-09,3.0,3.0,3.0,3.0,100,0
2008-05-12,3.0,3.0,3.0,3.0,0,0
2008-05-13,3.0,3.0,3.0,3.0,100,0
2008-05-14,3.0,3.0,3.0,3.0,0,0
2008-05-15,3.0,3.0,3.0,3.0,500,0
2008-05-16,3.0,3.0,3.0,3.0,0,0
2008-05-19,3.0,3.0,2.7,2.7,2200,0
2008-05-20,3.0,3.0,3.0,3.0,2100,0
2008-05-21,3.0,3.0,3.0,3.0,0,0
2008-05-22,3.0,3.0,3.0,3.0,1300,0
2008-05-23,3.0,3.0,3.0,3.0,100,0
2008-05-27,2.7,2.7,2.7,2.7,100,0
2008-05-28,3.0,3.0,3.0,3.0,0,0
2008-05-29,3.0,3.0,3.0,3.0,0,0
2008-05-30,3.0,3.0,3.0,3.0,0,0
2008-06-02,3.0,3.0,3.0,3.0,0,0
2008-06-03,3.0,3.0,3.0,3.0,0,0
2008-06-04,3.0,3.0,3.0,3.0,400,0
2008-06-05,2.4,2.4,2.4,2.4,0,0
2008-06-06,2.4,2.4,2.4,2.4,0,0
2008-06-09,3.6,3.6,3.6,3.6,0,0
2008-06-10,3.6,3.6,3.6,3.6,0,0
2008-06-11,3.6,3.6,3.6,3.6,0,0
2008-06-12,3.6,3.6,3.6,3.6,0,0
2008-06-13,3.6,3.6,3.6,3.6,0,0
2008-06-16,3.3,3.6,3.3,3.3,0,0
2008-06-17,3.6,3.6,3.6,3.6,0,0
2008-06-18,3.6,3.6,3.6,3.6,0,0
2008-06-19,3.3,3.3,3.3,3.3,100,0
2008-06-20,3.3,3.3,3.3,3.3,0,0
2008-06-23,3.3,3.3,3.3,3.3,0,0
2008-06-24,3.6,4.2,3.6,4.2,400,0
2008-06-25,4.2,4.2,4.2,4.2,0,0
2008-06-26,3.3,3.3,3.3,3.3,0,0
2008-06-27,3.3,3.3,3.3,3.3,300,0
2008-06-30,3.0,3.0,3.0,3.0,0,0
2008-07-01,3.0,3.0,3.0,3.0,0,0
2008-07-02,3.0,3.0,2.7,2.7,300,0
2008-07-03,2.7,2.7,2.7,2.7,0,0
