Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,143.95,145.25,140.9,141.75,74800,0
2008-01-03,142.15,143.75,138.75,138.75,58900,0
2008-01-04,136.95,138.7,135.25,135.65,60600,0
2008-01-07,137.55,138.5,132.9,136.1,79500,0
2008-01-08,137.35,141.1,132.35,132.5,57400,0
2008-01-09,132.0,132.25,123.75,129.2,138800,0
2008-01-10,128.15,140.3,126.5,137.2,94200,0
2008-01-11,135.35,139.1,134.2,135.85,61400,0
2008-01-14,137.0,137.1,131.0,135.25,59200,0
2008-01-15,134.05,134.7,128.6,133.2,98600,0
2008-01-16,134.9,143.5,132.95,139.55,145600,0
2008-01-17,139.2,139.5,132.5,133.35,71600,0
2008-01-18,134.15,138.5,130.1,131.15,103300,0
2008-01-22,125.9,130.5,118.15,124.55,199900,0
2008-01-23,123.7,130.85,115.3,129.35,124400,0
2008-01-24,130.1,131.25,126.8,130.4,73000,0
2008-01-25,131.2,133.0,128.65,132.0,81700,0
2008-01-28,132.8,132.8,129.6,131.4,90900,0
2008-01-29,131.7,135.05,128.65,132.4,99200,0
2008-01-30,131.45,141.65,129.85,138.1,129400,0
2008-01-31,136.1,145.4,135.1,143.55,80100,0
2008-02-01,144.25,148.75,140.2,148.2,43100,0
2008-02-04,147.55,148.55,141.4,142.9,51500,0
2008-02-05,140.4,141.1,135.0,136.2,75400,0
2008-02-06,137.5,147.8,135.2,138.85,91600,0
2008-02-07,138.05,142.65,137.55,138.9,65800,0
2008-02-08,138.35,143.1,138.35,139.8,36400,0
2008-02-11,140.25,143.8,137.2,142.0,35100,0
2008-02-12,142.95,152.9,141.95,148.9,84600,0
2008-02-13,150.65,155.1,148.7,155.1,56500,0
2008-02-14,154.95,155.8,147.55,150.25,82300,0
2008-02-15,149.55,154.85,147.65,154.75,54500,0
2008-02-19,157.05,161.75,157.05,159.15,95100,0
2008-02-20,158.35,163.4,157.0,162.85,44200,0
2008-02-21,164.35,168.25,158.0,159.6,60400,0
2008-02-22,160.0,161.9,155.65,161.4,43600,0
2008-02-25,161.6,162.95,155.8,162.5,62900,0
2008-02-26,161.25,164.85,160.75,162.25,79900,0
2008-02-27,161.0,170.65,160.8,170.65,90000,0
2008-02-28,168.45,168.8,151.75,155.1,106300,0
2008-02-29,153.95,157.25,151.7,151.7,92900,0
2008-03-03,150.25,151.55,138.55,146.2,190600,0
2008-03-04,137.7,137.9,115.7,117.7,510900,0
2008-03-05,114.05,117.25,105.4,111.4,363100,0
2008-03-06,108.8,112.25,105.45,106.05,176100,0
2008-03-07,103.75,110.1,102.9,107.5,97700,0
2008-03-10,107.65,109.55,101.7,102.0,65600,0
2008-03-11,104.95,112.15,104.95,107.4,130400,0
2008-03-12,106.3,107.55,100.75,105.9,101700,0
2008-03-13,102.55,111.95,102.55,110.6,192800,0
2008-03-14,112.1,112.5,102.8,105.7,89600,0
2008-03-17,99.95,107.6,99.95,105.0,83100,0
2008-03-18,105.5,114.9,105.5,114.5,84300,0
2008-03-19,110.55,117.65,109.45,109.45,63400,0
2008-03-20,108.3,120.6,108.3,120.1,132500,0
2008-03-24,118.85,126.8,118.85,124.85,167600,0
2008-03-25,125.0,126.1,119.25,121.1,137900,0
2008-03-26,120.85,121.9,116.45,121.6,116700,0
2008-03-27,121.55,122.65,113.3,115.9,73300,0
2008-03-28,116.7,119.55,113.05,117.55,103800,0
2008-03-31,117.95,122.5,115.75,121.0,291800,0
2008-04-01,121.25,128.25,121.25,127.25,149500,0
2008-04-02,125.25,127.35,123.05,125.3,134400,0
2008-04-03,123.8,127.0,121.35,126.3,90000,0
2008-04-04,127.45,128.3,123.95,127.3,43900,0
2008-04-07,128.4,129.35,124.45,125.3,79000,0
2008-04-08,124.0,125.8,122.05,124.95,51800,0
2008-04-09,124.65,126.65,121.35,122.55,47100,0
2008-04-10,122.7,125.45,120.45,123.9,67200,0
2008-04-11,121.75,123.7,118.6,119.85,38100,0
2008-04-14,119.95,122.6,118.35,119.3,30400,0
2008-04-15,119.85,120.1,115.9,117.0,58300,0
2008-04-16,118.45,123.6,116.75,122.0,78700,0
2008-04-17,120.95,122.0,117.0,120.05,51900,0
2008-04-18,120.1,121.2,118.7,120.0,48500,0
2008-04-21,119.3,120.55,115.0,115.25,60600,0
2008-04-22,114.95,114.95,109.15,110.9,66900,0
2008-04-23,111.4,111.4,108.25,110.15,46300,0
2008-04-24,110.5,117.5,110.0,116.8,57000,0
2008-04-25,117.5,118.35,113.65,116.15,26500,0
2008-04-28,116.2,122.8,116.0,122.65,54300,0
2008-04-29,122.2,122.9,119.8,121.3,36100,0
2008-04-30,121.9,124.4,119.75,120.7,64500,0
2008-05-01,121.0,127.2,120.65,126.25,61400,0
2008-05-02,127.5,127.7,124.15,126.95,51600,0
2008-05-05,126.95,128.45,123.7,126.7,35000,0
2008-05-06,126.25,126.25,122.05,123.35,45100,0
2008-05-07,123.6,128.35,123.3,127.55,44100,0
2008-05-08,127.8,133.5,127.05,133.0,65100,0
2008-05-09,131.25,137.3,131.0,134.75,43700,0
2008-05-12,135.0,137.75,134.65,137.4,47100,0
2008-05-13,137.55,142.45,137.55,141.5,41100,0
2008-05-14,141.45,143.75,141.2,141.95,86600,0
2008-05-15,141.75,145.95,140.15,144.2,59400,0
2008-05-16,145.25,149.55,143.55,148.4,42300,0
2008-05-19,148.0,148.4,144.0,145.0,65800,0
2008-05-20,144.4,148.3,143.65,146.4,71400,0
2008-05-21,146.55,150.75,143.45,148.35,66000,0
2008-05-22,148.5,155.0,148.5,153.45,62700,0
2008-05-23,151.55,153.2,147.15,147.6,67200,0
2008-05-27,146.95,152.6,146.35,149.7,71200,0
2008-05-28,150.0,154.8,149.9,154.1,88400,0
2008-05-29,153.85,154.95,152.25,153.55,45700,0
2008-05-30,154.5,157.05,152.55,156.2,56800,0
2008-06-02,156.25,157.75,149.7,150.75,135000,0
2008-06-03,169.9,172.5,157.5,167.0,719600,0
2008-06-04,168.7,178.2,164.8,171.65,217100,0
2008-06-05,171.0,182.5,171.0,181.3,149200,0
2008-06-06,179.75,181.15,174.25,174.55,82200,0
2008-06-09,177.1,185.1,177.0,183.55,118300,0
2008-06-10,182.7,184.95,180.35,181.6,124800,0
2008-06-11,180.8,186.75,180.8,183.5,176500,0
2008-06-12,184.1,186.1,182.5,184.35,90700,0
2008-06-13,184.4,193.15,184.4,192.1,137800,0
2008-06-16,189.9,195.5,185.0,192.5,103500,0
2008-06-17,192.0,197.0,190.4,191.4,144700,0
2008-06-18,191.0,194.7,189.5,193.75,76100,0
2008-06-19,193.75,199.05,193.3,197.35,98200,0
2008-06-20,190.4,197.45,190.4,193.2,93700,0
2008-06-23,196.0,196.5,189.65,191.65,63900,0
2008-06-24,191.85,194.5,183.6,184.85,117200,0
2008-06-25,184.0,191.05,184.0,185.05,184400,0
2008-06-26,182.95,187.75,181.3,185.35,142400,0
2008-06-27,185.6,197.0,183.45,195.75,180000,0
2008-06-30,195.55,195.7,183.35,183.65,104900,0
