Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,67.87,68.14,66.25,66.35,1889700,0
2008-01-03,66.69,67.87,66.35,66.97,1579500,0
2008-01-04,66.47,69.4,66.39,68.82,2896800,0
2008-01-07,69.27,73.75,68.89,72.03,6058500,0
2008-01-08,72.24,73.16,71.37,71.55,3184700,0
2008-01-09,71.62,71.72,70.18,71.46,3456200,0
2008-01-10,70.79,72.68,70.79,72.01,3392400,0
2008-01-11,71.28,72.64,71.05,71.26,2506500,0
2008-01-14,71.98,71.98,71.23,71.29,2097000,0
2008-01-15,71.0,71.83,70.73,71.01,3299400,0
2008-01-16,70.58,71.14,67.77,67.81,4728300,0
2008-01-17,67.51,68.02,65.29,65.32,3154900,0
2008-01-18,65.64,67.19,63.09,63.7,4710000,0
2008-01-22,61.46,62.17,57.21,60.87,5374700,0
2008-01-23,59.21,63.6,59.03,62.81,5963200,0
2008-01-24,63.01,63.22,61.24,61.5,3679600,0
2008-01-25,62.0,63.14,60.56,61.07,3780400,0
2008-01-28,60.42,62.44,60.42,62.16,3899300,0
2008-01-29,62.78,63.5,62.17,62.59,2605700,0
2008-01-30,62.44,63.99,62.44,62.63,2518500,0
2008-01-31,62.79,65.09,61.19,64.35,3262200,0
2008-02-01,64.63,65.78,64.32,65.33,2361800,0
2008-02-04,65.5,67.34,65.5,66.75,1754000,0
2008-02-05,66.58,66.58,63.76,63.91,2469000,0
2008-02-06,64.22,65.67,63.71,63.99,2497700,0
2008-02-07,63.93,64.08,62.97,63.71,2090000,0
2008-02-08,63.49,63.77,62.81,63.23,1343000,0
2008-02-11,63.08,63.68,62.69,63.51,1612600,0
2008-02-12,63.64,64.75,63.28,64.1,1696300,0
2008-02-13,64.46,65.07,64.03,64.45,1708200,0
2008-02-14,64.6,65.5,63.47,63.71,1481800,0
2008-02-15,63.51,64.76,63.25,64.69,1825800,0
2008-02-19,65.29,65.3,64.07,64.41,1413800,0
2008-02-20,63.98,64.99,63.58,64.77,1897300,0
2008-02-21,64.87,65.5,63.63,63.86,1892100,0
2008-02-22,64.04,64.73,63.46,64.58,1404900,0
2008-02-25,64.58,65.35,64.07,64.76,1383000,0
2008-02-26,64.47,65.19,64.06,64.85,2060600,0
2008-02-27,64.33,64.95,63.91,64.33,2180500,0
2008-02-28,63.86,64.28,62.54,63.13,2321300,0
2008-02-29,63.21,63.21,59.71,60.29,3807000,0
2008-03-03,60.0,61.35,59.32,61.35,3052200,0
2008-03-04,60.9,62.81,60.55,62.15,2305000,0
2008-03-05,62.43,62.8,61.27,62.17,2839000,0
2008-03-06,62.0,62.1,60.54,60.54,2228500,0
2008-03-07,60.18,60.63,59.51,60.29,2420600,0
2008-03-10,60.2,60.34,59.02,59.8,1832800,0
2008-03-11,61.01,61.3,60.18,60.88,3424200,0
2008-03-12,60.83,61.79,60.72,60.72,1874000,0
2008-03-13,60.39,61.71,60.28,61.45,2676700,0
2008-03-14,61.45,62.0,60.21,61.44,3019500,0
2008-03-17,60.1,62.51,60.1,62.13,4010700,0
2008-03-18,63.19,63.19,61.2,62.16,2852300,0
2008-03-19,62.34,63.31,60.81,60.81,2512400,0
2008-03-20,60.88,61.2,59.59,60.87,3159700,0
2008-03-24,61.85,62.86,61.23,62.41,3396300,0
2008-03-25,62.56,63.27,62.33,62.6,2346700,0
2008-03-26,62.42,63.54,62.24,62.69,1956800,0
2008-03-27,62.95,63.92,62.93,63.27,2226700,0
2008-03-28,63.75,63.95,61.81,61.96,1782400,0
2008-03-31,61.82,63.11,61.48,62.74,2172400,0
2008-04-01,62.94,64.98,62.75,64.89,2190500,0
2008-04-02,64.82,66.5,64.72,65.77,2399300,0
2008-04-03,65.39,66.14,65.29,65.78,2231200,0
2008-04-04,65.75,67.0,65.52,65.95,1357900,0
2008-04-07,66.55,66.55,65.21,65.76,1112200,0
2008-04-08,65.43,66.38,65.4,66.15,1076300,0
2008-04-09,66.2,66.69,65.64,66.0,1089500,0
2008-04-10,65.75,65.88,64.65,65.15,1523400,0
2008-04-11,64.56,65.3,64.56,64.84,1054300,0
2008-04-14,64.69,65.07,64.22,64.55,990600,0
2008-04-15,65.09,65.42,64.5,65.06,975500,0
2008-04-16,65.49,67.47,65.17,67.34,1902700,0
2008-04-17,67.26,68.14,67.01,67.3,1082200,0
2008-04-18,68.02,68.02,66.02,66.44,1915600,0
2008-04-21,65.95,66.76,65.95,66.61,1020200,0
2008-04-22,66.62,66.96,65.94,66.37,1018800,0
2008-04-23,66.76,67.76,66.57,67.71,1170000,0
2008-04-24,68.04,68.09,66.67,66.99,1305900,0
2008-04-25,66.78,67.6,66.24,66.63,1095500,0
2008-04-28,66.8,66.99,66.21,66.44,882700,0
2008-04-29,66.02,67.19,66.02,66.92,1331100,0
2008-04-30,67.05,67.66,65.38,66.29,3010300,0
2008-05-01,66.07,67.85,66.07,67.55,1256800,0
2008-05-02,67.88,68.98,67.75,68.45,1267700,0
2008-05-05,68.42,68.42,66.52,67.15,1845400,0
2008-05-06,67.16,67.33,65.88,66.69,1799900,0
2008-05-07,66.23,66.69,64.65,64.87,3129600,0
2008-05-08,64.99,65.63,64.68,65.37,1057100,0
2008-05-09,65.09,65.61,64.52,65.24,1059500,0
2008-05-12,65.18,65.93,64.76,65.7,1222300,0
2008-05-13,65.99,66.0,64.46,64.72,1309700,0
2008-05-14,64.89,65.74,64.3,64.96,1864300,0
2008-05-15,64.87,64.98,64.1,64.31,2156100,0
2008-05-16,64.5,64.67,63.75,64.37,2321900,0
2008-05-19,64.39,66.15,64.39,65.99,2594100,0
2008-05-20,65.8,66.73,65.43,65.7,2452600,0
2008-05-21,65.7,67.49,65.65,66.03,2169100,0
2008-05-22,66.25,66.91,65.75,66.56,1513900,0
2008-05-23,66.38,67.0,65.39,65.48,1276300,0
2008-05-27,65.38,66.36,65.38,65.8,1395000,0
2008-05-28,66.1,66.64,65.52,66.15,1253400,0
2008-05-29,66.07,67.84,65.92,67.4,2584500,0
2008-05-30,67.47,68.03,66.95,67.52,1792000,0
2008-06-02,67.39,67.46,65.99,66.47,1862000,0
2008-06-03,66.5,67.24,65.26,65.81,2177400,0
2008-06-04,65.41,65.84,64.8,65.39,2456600,0
2008-06-05,65.3,65.97,64.81,65.97,1568300,0
2008-06-06,65.55,65.99,63.87,64.01,2103000,0
2008-06-09,64.06,64.54,63.84,64.2,1698500,0
2008-06-10,63.63,64.71,63.51,64.56,1322400,0
2008-06-11,64.56,64.98,63.78,64.16,1985300,0
2008-06-12,64.61,65.67,64.61,65.51,2894700,0
2008-06-13,66.0,67.42,65.69,67.42,2526700,0
