Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,54.97,55.49,53.5,54.72,281000,0
2008-01-03,54.48,55.47,54.02,54.2,204000,0
2008-01-04,53.78,54.79,53.29,53.8,206100,0
2008-01-07,53.95,54.5,53.04,53.63,174600,0
2008-01-08,53.83,54.49,53.05,53.15,234300,0
2008-01-09,52.8,54.45,52.4,54.28,254700,0
2008-01-10,53.85,55.17,53.39,54.55,270900,0
2008-01-11,54.23,54.25,53.16,53.46,173400,0
2008-01-14,54.0,54.39,53.31,53.87,116800,0
2008-01-15,52.98,53.1,51.89,52.24,151300,0
2008-01-16,52.18,52.71,50.82,51.48,177100,0
2008-01-17,51.59,52.17,50.55,50.62,149300,0
2008-01-18,50.92,51.53,49.35,51.02,239600,0
2008-01-22,48.89,51.94,42.79,51.22,233900,0
2008-01-23,50.02,50.6,46.74,50.5,275700,0
2008-01-24,50.74,53.11,50.0,52.05,225900,0
2008-01-25,52.55,54.12,52.52,53.66,277700,0
2008-01-28,53.68,55.01,52.85,54.41,391300,0
2008-01-29,54.96,55.14,53.61,54.05,187200,0
2008-01-30,53.55,54.19,51.99,52.06,202300,0
2008-01-31,51.75,54.25,51.04,54.02,303000,0
2008-02-01,54.14,57.89,53.7,57.23,453700,0
2008-02-04,57.71,59.72,57.03,58.93,393400,0
2008-02-05,58.01,59.66,56.7,57.73,287300,0
2008-02-06,57.86,58.95,56.93,57.32,293000,0
2008-02-07,57.0,58.92,56.61,57.58,360200,0
2008-02-08,57.59,59.16,57.24,58.68,369000,0
2008-02-11,60.0,60.97,59.39,60.97,976600,0
2008-02-12,61.55,63.5,60.8,62.12,1936900,0
2008-02-13,62.3,62.74,61.52,61.86,518900,0
2008-02-14,62.61,62.63,61.13,61.46,421700,0
2008-02-15,61.88,62.47,59.16,62.2,391000,0
2008-02-19,62.67,63.98,62.52,63.34,496600,0
2008-02-20,62.84,65.02,62.59,65.02,408900,0
2008-02-21,65.23,65.74,64.43,64.97,500300,0
2008-02-22,65.05,65.57,63.52,64.41,245900,0
2008-02-25,64.56,67.05,64.42,66.85,434200,0
2008-02-26,66.53,68.84,66.09,67.35,559700,0
2008-02-27,67.68,69.38,67.12,68.93,368300,0
2008-02-28,69.34,69.41,67.28,68.05,238400,0
2008-02-29,68.04,68.04,66.29,66.95,235500,0
2008-03-03,68.71,72.24,68.71,71.16,803400,0
2008-03-04,71.33,71.33,67.25,68.59,467400,0
2008-03-05,69.03,71.0,68.96,70.34,246700,0
2008-03-06,70.1,70.54,68.16,68.62,312700,0
2008-03-07,68.2,69.99,67.64,68.17,184400,0
2008-03-10,68.03,68.45,65.74,65.83,222700,0
2008-03-11,65.9,69.64,65.9,69.64,344600,0
2008-03-12,69.95,72.26,69.68,70.66,425000,0
2008-03-13,69.99,72.65,68.42,72.65,318200,0
2008-03-14,72.5,73.0,69.6,71.05,232300,0
2008-03-17,69.19,72.64,69.19,71.53,282900,0
2008-03-18,73.07,75.2,72.38,74.79,429300,0
2008-03-19,76.2,76.2,70.93,70.93,343400,0
2008-03-20,71.5,72.0,69.15,71.32,452700,0
2008-03-24,71.75,73.79,71.39,72.66,270600,0
2008-03-25,73.49,76.94,73.49,75.86,481800,0
2008-03-26,76.35,76.35,73.25,75.81,350800,0
2008-03-27,75.57,76.0,74.01,74.79,256500,0
2008-03-28,76.18,76.45,73.82,74.8,263700,0
2008-03-31,75.49,76.39,74.21,75.45,281400,0
2008-04-01,76.01,79.18,75.61,78.99,304600,0
2008-04-02,79.99,79.99,76.14,77.42,325000,0
2008-04-03,77.55,81.75,77.55,80.85,406400,0
2008-04-04,81.25,81.62,79.68,80.52,195800,0
2008-04-07,81.46,83.0,80.89,81.51,270300,0
2008-04-08,81.33,82.42,80.51,82.38,243400,0
2008-04-09,83.07,83.07,81.44,81.54,351400,0
2008-04-10,81.36,83.5,80.83,82.43,167100,0
2008-04-11,81.32,82.7,81.07,81.75,175800,0
2008-04-14,82.11,83.45,81.9,82.47,161200,0
2008-04-15,82.63,83.46,81.69,83.42,189600,0
2008-04-16,83.62,87.53,83.52,87.4,361000,0
2008-04-17,87.06,87.5,85.52,86.92,226200,0
2008-04-18,88.58,90.49,88.0,89.89,271600,0
2008-04-21,91.01,93.57,88.93,92.73,352900,0
2008-04-22,92.99,93.57,88.5,88.52,482500,0
2008-04-23,89.09,89.82,85.72,88.32,300400,0
2008-04-24,84.83,84.83,70.6,71.36,1546900,0
2008-04-25,71.4,71.4,67.08,68.93,1243900,0
2008-04-28,70.42,71.47,68.63,69.17,462900,0
2008-04-29,69.12,69.12,63.05,63.93,700700,0
2008-04-30,63.9,65.99,63.9,64.93,420600,0
2008-05-01,65.0,65.38,62.75,63.78,359400,0
2008-05-02,63.39,64.67,61.54,62.66,378100,0
2008-05-05,62.65,64.28,61.52,63.69,376500,0
2008-05-06,62.22,63.96,62.08,63.53,298000,0
2008-05-07,63.38,65.28,62.7,63.15,257000,0
2008-05-08,63.62,64.0,62.5,63.76,157600,0
2008-05-09,62.86,63.92,61.82,63.88,200600,0
2008-05-12,64.0,66.36,63.35,65.86,371400,0
2008-05-13,65.44,66.39,64.0,66.29,203400,0
2008-05-14,66.5,69.42,66.18,67.73,334100,0
2008-05-15,68.13,70.29,67.25,70.01,314000,0
2008-05-16,70.38,71.31,69.31,70.4,300400,0
2008-05-19,70.4,70.4,66.47,67.63,337500,0
2008-05-20,67.33,67.79,65.95,66.91,190900,0
2008-05-21,67.41,68.07,66.17,67.27,370400,0
2008-05-22,67.27,68.88,67.27,68.5,190000,0
2008-05-23,67.91,70.33,67.14,70.27,313900,0
2008-05-27,70.27,74.31,69.73,72.92,514000,0
2008-05-28,74.46,78.19,73.68,77.85,513900,0
2008-05-29,77.54,78.3,75.79,76.72,343200,0
2008-05-30,77.1,78.55,76.8,78.27,289300,0
2008-06-02,78.7,79.14,76.01,77.78,253000,0
2008-06-03,78.69,78.99,75.28,77.46,263200,0
2008-06-04,77.45,79.25,75.92,77.69,176300,0
2008-06-05,77.98,80.8,77.53,80.8,196100,0
2008-06-06,80.45,80.58,77.0,77.39,273500,0
2008-06-09,78.97,79.14,76.05,78.45,457200,0
2008-06-10,78.0,78.7,76.13,78.61,256600,0
2008-06-11,78.09,78.6,76.49,76.86,237300,0
2008-06-12,77.66,78.0,74.25,74.45,295900,0
2008-06-13,75.0,75.29,73.36,75.29,278600,0
2008-06-16,75.5,75.91,73.86,75.34,272500,0
2008-06-17,75.05,75.35,73.28,74.52,255800,0
2008-06-18,73.48,74.71,73.27,73.48,165900,0
2008-06-19,73.58,74.12,72.42,73.0,216000,0
2008-06-20,72.49,72.78,68.09,69.12,488100,0
2008-06-23,69.01,71.22,67.83,70.87,355700,0
2008-06-24,70.11,70.96,68.17,68.2,251500,0
2008-06-25,68.25,70.24,68.16,69.95,234100,0
2008-06-26,69.0,70.0,68.3,69.1,312100,0
2008-06-27,68.87,70.11,68.0,69.49,498800,0
2008-06-30,68.0,69.76,66.01,66.23,389700,0
2008-07-01,66.23,67.29,65.06,66.77,272400,0
2008-07-02,66.58,66.8,60.78,61.04,360400,0
2008-07-03,61.03,61.03,57.51,59.88,251800,0
2008-07-07,59.37,60.73,57.56,58.52,325200,0
2008-07-08,57.92,59.53,55.93,59.53,256900,0
2008-07-09,59.57,61.2,58.66,58.84,278600,0
2008-07-10,59.08,61.27,59.0,60.3,298500,0
2008-07-11,59.66,60.28,56.85,58.91,220200,0
2008-07-14,60.0,60.85,58.62,59.13,177700,0
2008-07-15,58.34,60.56,56.83,59.39,147000,0
2008-07-16,59.7,60.82,58.75,60.61,301300,0
2008-07-17,61.48,63.99,61.2,62.93,229000,0
2008-07-18,63.0,63.33,60.64,61.72,137500,0
2008-07-21,62.1,62.91,60.23,62.79,215800,0
2008-07-22,62.27,65.37,61.77,65.17,195300,0
2008-07-23,65.34,65.49,61.82,62.65,165700,0
2008-07-24,63.22,63.49,61.38,62.39,145100,0
2008-07-25,62.85,63.95,62.06,62.47,145800,0
2008-07-28,62.88,63.48,60.89,61.16,160100,0
2008-07-29,61.56,63.47,60.8,62.88,154800,0
2008-07-30,63.88,65.38,63.79,65.26,143100,0
2008-07-31,65.43,65.43,60.6,61.76,302300,0
2008-08-01,62.55,62.55,54.0,55.3,877200,0
2008-08-04,56.68,61.29,56.68,59.3,697300,0
2008-08-05,58.94,63.06,58.5,62.89,427600,0
2008-08-06,62.76,64.62,61.97,63.58,277400,0
2008-08-07,63.69,65.45,63.29,64.53,342200,0
2008-08-08,64.01,67.22,63.76,67.16,310600,0
2008-08-11,66.68,71.39,66.17,70.24,457800,0
2008-08-12,69.95,70.28,68.22,68.83,246000,0
2008-08-13,68.15,70.28,67.86,70.16,192000,0
2008-08-14,69.9,73.24,68.48,72.24,273800,0
2008-08-15,73.35,73.41,70.04,70.24,238400,0
2008-08-18,71.01,71.06,68.15,69.4,166200,0
2008-08-19,68.91,68.91,66.77,67.38,128900,0
2008-08-20,67.55,68.12,66.21,67.13,134600,0
2008-08-21,66.7,66.7,64.44,65.34,151500,0
2008-08-22,65.01,65.48,63.47,65.21,195100,0
2008-08-25,64.95,65.48,63.89,65.13,228900,0
2008-08-26,65.42,65.42,64.06,64.97,101200,0
2008-08-27,64.97,65.51,64.57,64.8,152200,0
2008-08-28,65.66,69.94,65.34,68.27,291200,0
2008-08-29,67.68,68.39,66.5,67.94,160300,0
2008-09-02,69.9,70.12,65.73,66.47,177800,0
2008-09-03,66.48,67.14,65.0,65.7,184700,0
2008-09-04,64.86,65.37,61.51,62.7,193100,0
2008-09-05,62.42,62.54,59.08,62.1,302500,0
2008-09-08,64.03,65.04,62.16,63.16,123600,0
2008-09-09,62.33,63.0,59.27,59.35,203000,0
2008-09-10,59.21,61.07,58.79,60.52,204400,0
2008-09-11,59.95,61.74,59.29,61.61,174100,0
2008-09-12,61.71,61.71,59.94,60.72,130300,0
2008-09-15,58.8,61.13,57.94,58.14,225800,0
2008-09-16,57.31,60.99,57.31,60.15,295500,0
2008-09-17,58.75,59.33,56.07,56.23,203200,0
2008-09-18,57.4,57.9,53.28,54.8,334500,0
2008-09-19,54.26,60.02,54.26,57.89,512200,0
2008-09-22,58.61,58.8,57.16,57.94,199100,0
2008-09-23,57.77,58.21,55.43,56.75,233200,0
2008-09-24,57.62,57.62,54.21,54.68,243700,0
2008-09-25,54.54,54.85,53.81,54.46,136200,0
2008-09-26,53.0,53.34,50.94,53.24,157900,0
2008-09-29,53.08,53.09,49.44,49.84,196200,0
2008-09-30,50.2,52.9,50.0,52.56,135400,0
