Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,27.0,27.2,25.4,25.59,2403100,0
2008-01-03,26.0,26.25,25.42,25.56,1842700,0
2008-01-04,24.76,25.54,24.51,25.29,1118400,0
2008-01-07,25.53,28.73,25.06,28.07,1723900,0
2008-01-08,27.98,28.88,26.72,26.83,1004500,0
2008-01-09,26.7,27.32,25.0,25.22,1598800,0
2008-01-10,25.15,25.46,24.8,25.0,1870000,0
2008-01-11,24.8,25.0,23.6,23.76,1483800,0
2008-01-14,23.89,25.63,23.2,25.18,2088000,0
2008-01-15,25.04,25.09,24.23,24.44,1054600,0
2008-01-16,23.98,24.57,23.02,23.4,1369300,0
2008-01-17,23.4,23.75,21.73,21.9,2251700,0
2008-01-18,22.33,22.68,21.61,21.96,1045300,0
2008-01-22,20.09,22.09,19.9,21.75,815400,0
2008-01-23,21.41,23.5,21.01,22.89,1622900,0
2008-01-24,23.0,24.12,22.92,23.51,1317100,0
2008-01-25,23.82,24.59,22.88,23.45,1123100,0
2008-01-28,23.51,24.72,23.11,24.72,797100,0
2008-01-29,24.74,27.5,24.74,26.76,1157800,0
2008-01-30,26.5,27.88,26.11,27.74,693500,0
2008-01-31,27.1,29.0,26.75,28.62,1023900,0
2008-02-01,28.6,28.6,26.47,26.9,1119800,0
2008-02-04,27.09,30.62,27.0,30.58,2283800,0
2008-02-05,29.97,30.0,28.55,28.79,1958100,0
2008-02-06,28.52,28.92,27.04,27.25,736900,0
2008-02-07,27.12,28.45,26.23,27.44,1269000,0
2008-02-08,26.02,26.18,23.65,23.79,2693600,0
2008-02-11,24.18,24.87,23.04,24.26,2229100,0
2008-02-12,24.04,24.45,23.33,23.33,1052500,0
2008-02-13,23.61,25.27,23.3,25.26,1180100,0
2008-02-14,25.25,25.4,24.0,24.89,1505200,0
2008-02-15,24.58,24.58,23.01,23.11,2250100,0
2008-02-19,23.97,24.07,22.81,23.89,3342200,0
2008-02-20,18.0,18.03,16.32,16.58,11169900,0
2008-02-21,16.71,16.73,15.16,15.4,7461800,0
2008-02-22,15.55,15.95,15.4,15.63,2594100,0
2008-02-25,15.71,15.73,15.29,15.5,2049900,0
2008-02-26,15.5,15.74,15.0,15.31,3428900,0
2008-02-27,15.19,15.5,15.0,15.16,1068700,0
2008-02-28,15.19,15.2,14.82,14.94,1239400,0
2008-02-29,14.95,15.0,13.94,14.31,1776900,0
2008-03-03,14.26,14.53,13.76,13.88,1804900,0
2008-03-04,13.78,13.95,13.45,13.82,2021300,0
2008-03-05,14.0,14.26,13.8,14.1,1997500,0
2008-03-06,14.21,14.21,13.73,13.78,1937500,0
2008-03-07,13.63,13.79,12.55,12.83,2498200,0
2008-03-10,12.84,12.95,12.58,12.74,3283500,0
2008-03-11,12.94,13.13,12.81,13.01,2401400,0
