Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,16.5,16.74,16.35,16.58,380600,0
2008-01-03,16.67,16.78,16.38,16.48,334700,0
2008-01-04,16.29,16.56,16.2,16.39,268000,0
2008-01-07,16.5,16.6,16.27,16.36,347300,0
2008-01-08,16.4,16.78,16.26,16.28,397000,0
2008-01-09,16.23,16.51,15.93,16.38,340800,0
2008-01-10,16.21,16.58,16.21,16.3,286000,0
2008-01-11,16.35,16.39,15.91,15.91,168700,0
2008-01-14,16.02,16.08,15.85,15.91,190100,0
2008-01-15,15.75,15.87,15.51,15.68,187000,0
2008-01-16,15.67,16.0,15.54,15.73,246100,0
2008-01-17,15.75,15.78,15.53,15.54,178600,0
2008-01-18,15.42,15.68,14.91,15.08,436600,0
2008-01-22,14.57,15.16,14.51,14.98,400700,0
2008-01-23,14.69,15.99,14.56,15.93,479000,0
2008-01-24,15.98,16.15,15.28,15.42,295400,0
2008-01-25,15.67,15.94,15.52,15.7,257800,0
2008-01-28,15.7,16.17,15.59,16.16,237200,0
2008-01-29,16.26,16.5,16.19,16.38,230300,0
2008-01-30,16.28,16.77,16.08,16.12,220900,0
2008-01-31,15.85,16.67,15.64,16.43,234700,0
2008-02-01,16.58,16.78,16.39,16.59,183500,0
2008-02-04,16.53,16.78,16.38,16.56,259300,0
2008-02-05,16.23,17.09,16.21,17.05,377000,0
2008-02-06,17.3,17.3,16.21,16.5,291600,0
2008-02-07,16.47,16.89,16.1,16.43,287300,0
2008-02-08,16.43,16.5,16.25,16.33,215700,0
2008-02-11,16.44,16.44,16.09,16.29,200200,0
2008-02-12,16.41,16.49,16.2,16.41,276000,0
2008-02-13,16.62,16.63,16.47,16.59,437100,0
2008-02-14,16.58,16.6,16.37,16.44,298900,0
2008-02-15,16.36,16.45,16.26,16.31,355700,0
2008-02-19,16.33,16.33,15.82,16.02,486200,0
2008-02-20,15.88,16.15,15.84,15.96,306400,0
2008-02-21,16.1,16.1,15.9,16.01,726400,0
2008-02-22,16.0,16.26,15.98,16.14,1033300,0
2008-02-25,16.11,16.33,16.06,16.26,828400,0
2008-02-26,16.25,16.62,16.1,16.47,710700,0
2008-02-27,16.29,16.92,16.23,16.76,407200,0
2008-02-28,16.65,17.01,16.65,16.89,392000,0
2008-02-29,16.68,16.8,16.48,16.56,269300,0
2008-03-03,16.51,17.13,16.51,17.12,574700,0
2008-03-04,17.0,17.5,16.88,17.41,532400,0
2008-03-05,17.35,17.38,17.07,17.26,285400,0
2008-03-06,17.14,17.35,16.89,16.9,277200,0
2008-03-07,16.69,17.1,16.66,17.0,290200,0
2008-03-10,17.12,17.37,17.11,17.14,311500,0
2008-03-11,17.56,17.76,17.18,17.76,413400,0
2008-03-12,17.79,18.0,17.64,17.79,427800,0
2008-03-13,17.55,18.23,17.51,18.23,381900,0
2008-03-14,18.32,18.6,17.95,18.35,678600,0
2008-03-17,17.9,19.99,17.9,19.55,881600,0
2008-03-18,19.95,19.96,19.17,19.67,788400,0
2008-03-19,19.67,19.85,18.86,18.87,542100,0
2008-03-20,19.01,19.06,18.56,18.99,1100900,0
2008-03-24,19.03,19.36,18.65,18.79,644200,0
2008-03-25,18.87,18.9,18.69,18.73,313900,0
2008-03-26,18.57,18.83,18.42,18.81,358500,0
2008-03-27,18.9,18.91,18.41,18.46,225800,0
2008-03-28,18.46,18.46,17.83,18.0,584700,0
2008-03-31,18.06,18.17,17.84,18.02,513900,0
2008-04-01,18.01,18.44,17.9,18.39,536600,0
2008-04-02,18.36,18.44,18.03,18.25,549500,0
2008-04-03,18.09,18.27,17.96,18.16,481100,0
2008-04-04,18.21,18.93,18.08,18.73,336800,0
2008-04-07,18.79,18.94,18.55,18.63,202900,0
2008-04-08,18.54,18.78,18.43,18.47,336900,0
2008-04-09,18.53,18.53,18.19,18.26,210200,0
2008-04-10,18.22,18.75,18.09,18.66,321000,0
2008-04-11,18.51,18.61,18.17,18.23,287700,0
2008-04-14,18.19,18.62,18.19,18.37,174900,0
2008-04-15,18.48,18.64,18.24,18.45,115000,0
2008-04-16,18.59,19.0,18.59,18.99,301000,0
2008-04-17,18.88,18.94,18.55,18.6,266600,0
2008-04-18,18.8,19.12,18.69,19.04,266200,0
2008-04-21,18.91,19.06,18.77,18.98,204700,0
2008-04-22,18.93,18.97,18.1,18.4,279700,0
2008-04-23,18.44,18.66,18.22,18.56,163100,0
2008-04-24,18.56,19.0,18.24,18.87,164200,0
2008-04-25,18.99,18.99,18.4,18.5,216400,0
2008-04-28,18.44,18.5,18.08,18.2,460900,0
2008-04-29,18.27,18.34,17.86,18.13,389300,0
2008-04-30,18.22,18.27,17.83,17.93,353300,0
2008-05-01,17.8,18.19,16.94,17.88,723800,0
2008-05-02,18.0,18.08,17.67,17.91,428400,0
2008-05-05,17.97,18.17,17.78,17.79,476300,0
2008-05-06,17.72,17.74,17.29,17.4,261200,0
2008-05-07,17.39,17.57,17.11,17.15,266100,0
2008-05-08,17.21,17.26,16.84,17.01,422200,0
2008-05-09,16.82,16.99,16.72,16.84,239000,0
2008-05-12,16.93,17.23,16.89,17.14,533400,0
2008-05-13,17.18,17.2,17.0,17.17,186300,0
2008-05-14,17.13,17.34,16.94,16.98,284100,0
2008-05-15,16.92,17.02,16.81,16.83,332300,0
2008-05-16,16.85,16.97,16.5,16.78,341300,0
2008-05-19,16.74,16.84,16.5,16.6,355900,0
2008-05-20,16.47,16.73,16.47,16.7,163000,0
2008-05-21,16.71,16.94,16.35,16.49,338600,0
2008-05-22,16.52,16.93,16.51,16.88,350400,0
2008-05-23,16.73,16.85,16.54,16.6,261300,0
2008-05-27,16.6,17.24,16.6,17.22,436900,0
2008-05-28,17.27,17.27,16.98,17.17,327400,0
2008-05-29,17.15,17.54,17.06,17.39,249200,0
2008-05-30,17.38,17.58,17.04,17.14,372100,0
2008-06-02,17.15,17.18,16.35,17.08,528300,0
2008-06-03,16.91,17.04,16.59,16.98,510800,0
2008-06-04,16.95,17.61,16.79,17.27,472300,0
2008-06-05,17.28,18.12,17.28,17.73,415600,0
2008-06-06,17.6,17.6,17.04,17.04,249200,0
2008-06-09,17.02,17.11,16.63,16.77,230900,0
2008-06-10,16.62,17.01,16.5,16.86,300200,0
2008-06-11,16.82,16.89,16.5,16.51,246200,0
2008-06-12,16.66,16.81,16.46,16.5,165800,0
2008-06-13,16.63,16.82,16.37,16.57,203800,0
2008-06-16,16.54,16.57,16.34,16.52,117700,0
2008-06-17,16.46,16.57,16.24,16.26,129700,0
2008-06-18,16.24,16.29,15.86,15.99,319800,0
2008-06-19,15.99,16.01,15.78,15.86,321200,0
2008-06-20,15.69,16.02,15.39,15.66,610900,0
2008-06-23,15.69,15.89,15.52,15.59,149200,0
2008-06-24,15.55,15.67,15.42,15.47,356200,0
2008-06-25,15.44,15.77,15.44,15.75,546800,0
2008-06-26,15.55,15.63,15.41,15.42,270900,0
2008-06-27,15.42,15.56,15.06,15.2,454500,0
2008-06-30,15.15,15.36,14.91,14.92,256300,0
2008-07-01,14.82,15.12,14.72,15.1,313500,0
2008-07-02,15.06,15.13,14.52,14.6,201200,0
2008-07-03,14.61,14.82,14.51,14.64,70900,0
2008-07-07,14.73,15.0,14.59,14.93,238600,0
2008-07-08,14.98,15.3,14.95,15.25,292800,0
2008-07-09,15.22,15.42,15.03,15.32,287700,0
2008-07-10,15.33,15.58,15.16,15.34,357600,0
2008-07-11,15.17,15.66,15.09,15.45,442900,0
2008-07-14,15.54,15.57,14.93,15.19,595700,0
2008-07-15,14.97,15.3,14.69,15.06,414500,0
2008-07-16,15.15,15.65,15.06,15.34,284700,0
2008-07-17,15.33,15.99,15.04,15.81,405500,0
2008-07-18,15.81,15.97,15.51,15.8,253800,0
2008-07-21,15.89,15.93,15.75,15.87,153300,0
2008-07-22,15.9,16.43,15.8,16.42,358800,0
2008-07-23,16.43,16.84,16.37,16.45,285200,0
2008-07-24,16.35,16.57,16.22,16.39,225000,0
2008-07-25,16.5,16.89,16.5,16.75,238000,0
2008-07-28,16.66,16.73,16.3,16.7,252000,0
2008-07-29,16.79,16.83,16.58,16.7,355000,0
2008-07-30,16.86,17.27,16.74,17.21,470800,0
2008-07-31,16.5,16.59,15.11,16.16,755900,0
2008-08-01,16.22,16.5,16.07,16.21,539200,0
2008-08-04,16.22,16.63,15.91,16.46,395100,0
2008-08-05,17.06,17.06,16.44,16.7,242300,0
2008-08-06,16.7,16.81,16.45,16.71,176500,0
2008-08-07,16.5,16.75,16.12,16.54,312300,0
2008-08-08,16.61,17.3,16.54,16.97,242900,0
2008-08-11,16.94,17.11,16.86,17.03,386500,0
2008-08-12,17.09,17.31,16.95,17.13,456200,0
2008-08-13,17.15,17.58,16.62,17.37,399000,0
2008-08-14,17.22,17.81,17.22,17.52,367900,0
2008-08-15,17.59,17.77,17.41,17.56,295200,0
2008-08-18,17.83,17.83,17.32,17.44,242000,0
2008-08-19,17.38,17.46,17.1,17.31,185700,0
2008-08-20,17.35,17.47,17.03,17.17,203400,0
2008-08-21,17.11,17.11,16.69,16.82,172500,0
2008-08-22,16.82,17.15,16.7,17.03,220100,0
2008-08-25,16.99,16.99,16.62,16.81,152600,0
2008-08-26,16.82,17.04,16.69,16.95,182300,0
2008-08-27,16.88,17.0,16.67,16.86,224200,0
2008-08-28,16.86,17.04,16.72,17.0,210900,0
2008-08-29,16.87,17.0,16.4,16.75,272800,0
2008-09-02,16.97,17.19,16.78,17.05,306500,0
2008-09-03,17.0,17.04,16.71,16.79,380200,0
2008-09-04,16.71,16.88,16.57,16.67,251200,0
2008-09-05,16.55,16.67,16.44,16.54,231700,0
2008-09-08,16.92,17.06,16.65,17.06,422200,0
2008-09-09,17.0,17.27,16.74,16.74,246200,0
2008-09-10,16.61,17.18,16.61,17.0,290600,0
2008-09-11,16.83,16.99,16.66,16.96,202500,0
2008-09-12,16.87,17.05,16.65,17.0,233300,0
2008-09-15,16.77,17.1,16.64,16.64,206500,0
2008-09-16,16.38,17.26,16.26,17.26,451300,0
