Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.91,25.94,25.19,25.28,2428900,0
2008-01-03,25.16,25.51,24.6,24.69,1827500,0
2008-01-04,24.53,24.55,23.89,23.91,2159200,0
2008-01-07,24.16,24.26,23.38,23.6,2674700,0
2008-01-08,23.76,23.76,22.95,22.95,2634000,0
2008-01-09,23.01,23.2,22.57,23.18,1907600,0
2008-01-10,22.93,23.51,22.56,23.3,2907700,0
2008-01-11,22.97,23.15,22.28,22.42,2238900,0
2008-01-14,22.67,23.53,22.6,23.31,3494200,0
2008-01-15,23.07,23.26,22.71,22.74,2704700,0
2008-01-16,22.58,23.26,22.58,22.93,1925800,0
2008-01-17,22.96,23.05,22.72,22.84,2630400,0
2008-01-18,23.0,23.42,22.53,22.83,2078700,0
2008-01-22,22.08,23.81,22.08,23.5,3877900,0
2008-01-23,22.84,25.11,22.61,24.99,5295100,0
2008-01-24,24.93,25.21,24.14,24.44,3420700,0
2008-01-25,24.77,24.77,23.97,24.16,2299200,0
2008-01-28,24.35,24.89,23.97,24.89,1913600,0
2008-01-29,24.81,25.05,24.52,24.92,1639300,0
2008-01-30,25.28,25.44,24.56,24.82,3217200,0
2008-01-31,24.16,24.61,23.4,24.06,7808600,0
2008-02-01,23.51,24.04,23.45,23.92,3817200,0
2008-02-04,23.5,24.0,23.02,23.23,2484200,0
2008-02-05,22.73,23.28,22.73,22.78,2188300,0
2008-02-06,22.88,23.25,22.78,22.94,2946000,0
2008-02-07,22.89,23.4,22.82,22.98,2766200,0
2008-02-08,22.9,22.97,22.19,22.36,2315200,0
2008-02-11,22.4,22.63,22.17,22.6,1669100,0
2008-02-12,22.75,23.08,22.6,22.89,1605500,0
2008-02-13,23.18,23.4,23.0,23.32,2533200,0
2008-02-14,23.37,23.37,22.75,22.85,1451800,0
2008-02-15,22.79,22.81,22.45,22.72,1369900,0
2008-02-19,22.94,22.95,22.49,22.56,1639400,0
2008-02-20,22.4,22.87,22.4,22.83,1108400,0
2008-02-21,22.99,23.2,22.47,22.49,1346300,0
2008-02-22,22.6,22.81,22.24,22.81,2220600,0
2008-02-25,22.78,23.8,22.67,23.77,2761700,0
2008-02-26,23.7,24.08,23.63,24.05,2123800,0
2008-02-27,23.83,24.16,23.69,24.06,3295800,0
2008-02-28,23.89,24.03,23.8,23.84,2083600,0
2008-02-29,23.57,23.57,22.62,22.7,2676600,0
2008-03-03,22.71,23.25,22.43,23.21,2455500,0
2008-03-04,22.99,23.03,22.37,22.61,3262100,0
2008-03-05,22.82,22.88,22.24,22.46,3388400,0
2008-03-06,22.45,22.55,22.23,22.36,1847800,0
2008-03-07,22.34,22.55,22.14,22.35,1919300,0
2008-03-10,22.35,22.55,22.03,22.1,2187100,0
2008-03-11,22.53,22.68,21.95,22.37,2167400,0
2008-03-12,22.56,22.6,21.98,22.0,2108700,0
2008-03-13,21.74,22.79,21.58,22.61,2213500,0
2008-03-14,22.74,22.74,21.87,22.16,2177200,0
2008-03-17,21.67,22.24,21.24,22.0,2644100,0
2008-03-18,22.37,22.76,22.11,22.73,2100700,0
2008-03-19,22.82,23.27,22.7,22.7,2176900,0
2008-03-20,22.72,23.04,22.56,22.99,1816300,0
2008-03-24,23.01,23.4,22.98,23.36,1809500,0
2008-03-25,23.45,23.58,23.14,23.5,1683200,0
2008-03-26,23.44,23.44,23.21,23.31,1655900,0
2008-03-27,23.32,23.38,22.97,23.01,1593000,0
2008-03-28,23.0,23.0,22.42,22.54,1275800,0
2008-03-31,22.57,22.92,22.46,22.87,1369300,0
2008-04-01,23.08,23.63,22.52,23.61,2021100,0
2008-04-02,23.68,24.08,23.57,23.7,1628700,0
2008-04-03,23.57,23.73,23.3,23.64,1032600,0
2008-04-04,23.57,23.68,23.32,23.43,768600,0
2008-04-07,23.64,23.81,23.49,23.72,1068900,0
