Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,15.58,15.76,15.25,15.76,72400,0
2008-01-03,15.75,16.19,15.35,15.42,71000,0
2008-01-04,15.03,15.51,15.0,15.18,35200,0
2008-01-07,15.43,15.49,15.09,15.22,37100,0
2008-01-08,15.01,15.23,14.75,14.75,27000,0
2008-01-09,14.88,15.16,14.4,14.92,38400,0
2008-01-10,14.9,15.25,14.33,14.97,43700,0
2008-01-11,15.0,15.64,14.81,14.88,35300,0
2008-01-14,14.88,15.01,14.35,14.67,57500,0
2008-01-15,14.5,14.89,14.48,14.77,20500,0
2008-01-16,15.24,15.47,14.86,15.11,45800,0
2008-01-17,15.19,15.24,14.75,14.82,18200,0
2008-01-18,14.93,15.09,14.32,14.87,22300,0
2008-01-22,14.3,15.25,14.05,14.9,34700,0
2008-01-23,14.64,15.73,14.64,15.59,31800,0
2008-01-24,15.53,15.86,15.1,15.58,46600,0
2008-01-25,15.83,15.89,15.53,15.83,38000,0
2008-01-28,15.69,16.19,15.69,16.18,65600,0
2008-01-29,16.12,16.56,16.12,16.41,28400,0
2008-01-30,16.26,16.6,16.02,16.18,44800,0
2008-01-31,16.29,17.19,16.09,16.75,35300,0
2008-02-01,16.61,17.23,16.61,16.93,40000,0
2008-02-04,17.05,17.05,16.1,16.59,23400,0
2008-02-05,16.6,17.0,16.36,16.5,47300,0
2008-02-06,16.57,16.84,16.54,16.57,5200,0
2008-02-07,16.58,16.87,16.41,16.79,10100,0
2008-02-08,16.55,16.95,16.5,16.87,48700,0
2008-02-11,16.86,16.95,16.36,16.57,22500,0
2008-02-12,16.43,16.6,16.4,16.45,33000,0
2008-02-13,16.55,16.64,16.38,16.46,33600,0
2008-02-14,16.56,16.59,15.61,15.89,21800,0
2008-02-15,15.96,16.25,15.96,16.01,150400,0
2008-02-19,16.25,16.38,16.04,16.29,61000,0
2008-02-20,16.29,16.81,16.11,16.81,15900,0
2008-02-21,16.49,16.77,15.72,16.07,40200,0
2008-02-22,15.78,16.71,15.75,16.11,16400,0
2008-02-25,16.05,16.33,15.81,16.31,63000,0
2008-02-26,16.26,16.43,15.83,15.9,37600,0
2008-02-27,15.89,16.33,15.85,16.27,47300,0
2008-02-28,16.27,16.32,16.15,16.25,30500,0
2008-02-29,16.05,16.24,15.85,16.14,9500,0
2008-03-03,15.96,16.17,15.75,16.14,94600,0
2008-03-04,16.02,16.23,15.96,16.23,20700,0
2008-03-05,16.25,16.56,16.01,16.27,35000,0
2008-03-06,16.0,16.13,15.78,15.86,23500,0
2008-03-07,15.85,16.1,15.72,16.01,19000,0
2008-03-10,16.33,16.33,15.74,15.87,18900,0
2008-03-11,16.0,16.79,15.88,16.55,31800,0
2008-03-12,16.26,16.33,16.0,16.0,32900,0
