Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,14.17,14.45,13.41,13.51,4078500,0
2008-01-03,13.36,13.65,12.66,12.68,4589800,0
2008-01-04,12.51,12.65,12.15,12.22,6369200,0
2008-01-07,12.32,12.53,12.16,12.45,5326200,0
2008-01-08,12.46,12.76,12.14,12.2,5563900,0
2008-01-09,12.2,12.33,11.47,11.91,5524400,0
2008-01-10,11.84,12.6,11.79,12.43,6204300,0
2008-01-11,12.29,12.45,11.62,11.75,5003500,0
2008-01-14,11.87,11.98,11.68,11.84,3254100,0
2008-01-15,11.72,11.73,11.26,11.54,4213500,0
2008-01-16,11.43,12.1,11.43,11.87,5172800,0
2008-01-17,11.86,12.07,11.59,11.69,3321200,0
2008-01-18,11.85,12.28,11.24,11.54,7114500,0
2008-01-22,10.96,12.5,10.8,12.32,7363400,0
2008-01-23,12.06,14.08,11.73,14.0,10522000,0
2008-01-24,14.11,14.5,13.58,13.81,6697200,0
2008-01-25,13.9,14.0,12.9,13.14,3877500,0
2008-01-28,13.13,13.88,12.85,13.76,4041800,0
2008-01-29,13.87,14.28,13.28,14.26,3448000,0
2008-01-30,14.23,14.55,13.78,14.03,3871500,0
2008-01-31,13.56,15.14,13.56,14.82,3861300,0
2008-02-01,14.86,15.54,14.58,15.42,4327900,0
2008-02-04,15.54,15.54,14.03,14.38,3859200,0
2008-02-05,14.15,14.31,13.71,13.77,3657900,0
2008-02-06,13.97,14.47,13.7,13.86,2875300,0
2008-02-07,13.79,14.91,13.79,14.58,3043300,0
2008-02-08,14.47,14.8,14.01,14.14,2513900,0
2008-02-11,14.14,14.49,13.76,14.44,1775200,0
2008-02-12,14.55,14.95,14.28,14.45,2346000,0
2008-02-13,14.6,14.83,14.23,14.59,2708600,0
2008-02-14,14.63,14.68,13.95,14.07,2824400,0
2008-02-15,13.99,14.1,13.68,14.1,2569200,0
2008-02-19,14.29,14.45,13.78,13.98,2089400,0
2008-02-20,13.84,14.59,13.82,14.43,3074700,0
2008-02-21,14.46,14.78,14.0,14.02,2780400,0
2008-02-22,14.09,14.14,13.68,14.1,2261800,0
2008-02-25,14.13,14.34,13.68,14.27,3579900,0
2008-02-26,12.8,13.69,12.79,13.38,7754100,0
2008-02-27,13.3,13.3,12.34,12.47,8272400,0
2008-02-28,12.36,12.36,11.89,11.98,4559000,0
2008-02-29,11.86,11.9,11.25,11.37,5973800,0
2008-03-03,11.4,11.4,10.91,11.11,5803100,0
2008-03-04,10.96,11.57,10.8,11.44,5466400,0
2008-03-05,11.57,11.76,11.11,11.27,3275400,0
2008-03-06,11.27,11.27,10.88,11.02,5473400,0
2008-03-07,10.96,11.34,10.78,11.04,5134500,0
2008-03-10,11.05,11.25,10.81,10.87,4451500,0
2008-03-11,11.15,11.44,10.9,11.31,4242000,0
2008-03-12,11.36,11.85,11.24,11.28,4671500,0
2008-03-13,11.1,11.31,11.01,11.19,7154500,0
2008-03-14,11.19,11.29,10.8,11.04,4825200,0
2008-03-17,10.8,11.12,10.6,10.86,4161200,0
2008-03-18,11.12,11.51,10.95,11.41,3414400,0
2008-03-19,11.44,11.72,11.16,11.18,4215900,0
2008-03-20,11.21,11.96,11.11,11.85,5191900,0
2008-03-24,11.88,12.79,11.85,12.53,5601400,0
2008-03-25,12.51,12.68,12.23,12.26,2863700,0
2008-03-26,12.22,12.22,11.77,11.82,2651200,0
2008-03-27,11.97,11.97,11.52,11.54,3093100,0
2008-03-28,11.57,11.67,11.08,11.13,3186900,0
2008-03-31,11.06,11.19,10.83,11.05,4209500,0
2008-04-01,11.2,12.0,11.2,11.96,5730200,0
2008-04-02,11.88,12.2,11.69,12.02,5079900,0
2008-04-03,12.0,12.07,11.78,12.02,5220200,0
