Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,18.06,18.11,17.72,17.83,728400,0
2008-01-03,17.83,17.95,17.68,17.73,589600,0
2008-01-04,17.53,17.75,17.53,17.59,647200,0
2008-01-07,17.64,17.73,17.45,17.53,880800,0
2008-01-08,17.5,17.58,17.26,17.28,743800,0
2008-01-09,17.23,17.47,17.1,17.45,1170800,0
2008-01-10,17.4,17.88,17.4,17.74,1354000,0
2008-01-11,17.67,17.94,17.61,17.8,744400,0
2008-01-14,17.85,17.93,17.69,17.88,623000,0
2008-01-15,17.66,17.88,17.64,17.67,574400,0
2008-01-16,17.65,17.93,17.61,17.68,646200,0
2008-01-17,17.76,17.76,17.32,17.34,1426400,0
2008-01-18,17.37,17.42,16.91,17.06,1078800,0
2008-01-22,16.34,16.9,16.25,16.42,1303000,0
2008-01-23,16.25,16.49,16.01,16.39,1874200,0
2008-01-24,16.37,16.41,15.92,15.98,1429800,0
2008-01-25,16.08,16.16,15.72,15.75,1000600,0
2008-01-28,15.72,16.15,15.72,16.09,1466800,0
2008-01-29,16.17,16.26,16.03,16.23,1010200,0
2008-01-30,16.1,16.62,16.09,16.32,908000,0
2008-01-31,16.11,16.39,16.07,16.35,1468600,0
2008-02-01,16.36,16.62,16.12,16.52,1230800,0
2008-02-04,16.52,16.94,16.48,16.8,614800,0
2008-02-05,16.56,16.72,16.25,16.27,466200,0
2008-02-06,16.33,16.58,16.31,16.39,990000,0
2008-02-07,16.32,16.44,16.25,16.41,1002800,0
2008-02-08,16.4,16.51,16.31,16.44,563400,0
2008-02-11,16.4,16.46,16.22,16.44,605200,0
2008-02-12,16.5,16.61,16.38,16.57,263000,0
2008-02-13,16.65,16.74,16.42,16.49,422000,0
2008-02-14,16.45,16.61,16.23,16.27,752200,0
2008-02-15,16.17,16.35,16.17,16.34,770400,0
2008-02-19,16.47,16.56,16.27,16.34,469400,0
2008-02-20,16.27,16.61,16.2,16.61,587400,0
2008-02-21,16.72,16.8,16.49,16.56,1085600,0
2008-02-22,16.61,16.76,16.45,16.76,533000,0
2008-02-25,16.78,16.88,16.72,16.85,699600,0
