Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,47.59,47.59,46.25,46.38,2135700,0
2008-01-03,46.44,46.9,46.25,46.51,1633900,0
2008-01-04,46.04,46.25,45.34,45.5,1718900,0
2008-01-07,45.69,45.85,45.07,45.59,3229700,0
2008-01-08,45.56,46.31,44.92,45.53,3601100,0
2008-01-09,45.5,46.17,45.0,46.17,3339500,0
2008-01-10,45.91,46.17,45.14,45.83,2612800,0
2008-01-11,45.33,45.76,44.28,45.0,3767800,0
2008-01-14,45.19,45.33,44.38,44.63,2586200,0
2008-01-15,44.0,44.19,43.6,43.81,3934500,0
2008-01-16,43.83,44.52,43.68,43.9,4255200,0
2008-01-17,44.12,44.2,42.97,43.1,3381200,0
2008-01-18,43.17,44.0,42.46,42.75,3168700,0
2008-01-22,41.9,43.45,41.71,42.32,4730500,0
2008-01-23,41.17,44.2,40.86,43.4,5705900,0
2008-01-24,43.65,44.28,43.05,44.0,3123300,0
2008-01-25,44.6,45.34,43.76,43.89,3139800,0
2008-01-28,44.03,44.55,43.44,44.49,3054800,0
2008-01-29,44.67,44.95,44.4,44.8,2779300,0
2008-01-30,44.7,45.49,44.45,44.61,1997000,0
2008-01-31,43.76,45.75,43.76,45.37,3749200,0
2008-02-01,45.62,46.57,45.37,46.41,2898000,0
2008-02-04,46.39,47.29,45.92,47.01,3113200,0
2008-02-05,46.28,46.28,45.11,45.11,3733200,0
2008-02-06,45.33,45.65,45.0,45.23,3555000,0
2008-02-07,45.06,45.9,44.99,45.61,2488100,0
2008-02-08,45.42,45.77,45.1,45.58,1898000,0
2008-02-11,45.58,45.63,44.45,45.46,2112300,0
2008-02-12,47.0,47.59,45.75,47.09,5471200,0
2008-02-13,46.75,47.56,46.69,47.3,3789600,0
2008-02-14,47.63,47.96,46.26,46.4,3293300,0
2008-02-15,46.38,46.7,45.8,46.58,2040000,0
2008-02-19,47.02,47.02,46.21,46.37,1775400,0
2008-02-20,46.06,46.4,45.62,46.0,2649500,0
2008-02-21,46.4,46.4,45.49,45.6,2875700,0
2008-02-22,45.6,46.37,45.22,46.37,2800200,0
2008-02-25,46.37,46.93,45.72,46.79,2617200,0
2008-02-26,46.66,47.15,46.42,46.79,2553900,0
2008-02-27,46.55,46.6,45.89,45.89,2912600,0
2008-02-28,45.65,45.92,45.28,45.36,1876400,0
2008-02-29,44.95,45.45,44.47,44.67,2723300,0
2008-03-03,44.66,45.36,44.57,44.8,2892600,0
2008-03-04,44.47,45.26,44.08,45.14,3491900,0
2008-03-05,44.97,45.36,44.49,44.88,1727800,0
2008-03-06,44.83,44.95,44.49,44.54,1716000,0
2008-03-07,44.34,44.65,43.49,44.01,2195400,0
2008-03-10,44.24,44.27,43.2,43.29,2542100,0
2008-03-11,44.04,44.12,43.15,43.65,2852400,0
2008-03-12,43.73,44.28,43.56,43.62,3366500,0
2008-03-13,42.97,44.12,42.77,43.74,4194800,0
2008-03-14,43.92,43.94,42.32,43.15,3665000,0
2008-03-17,42.21,43.0,42.19,42.45,2736800,0
2008-03-18,42.99,43.47,42.5,43.41,3662400,0
2008-03-19,43.5,44.01,42.48,42.48,3390000,0
2008-03-20,42.79,43.33,42.5,43.26,2969500,0
2008-03-24,43.52,44.41,43.23,44.2,1652100,0
2008-03-25,44.33,45.43,44.16,44.91,2855800,0
2008-03-26,44.65,45.09,44.19,44.9,1935300,0
2008-03-27,44.64,45.03,44.19,44.21,2060400,0
2008-03-28,44.5,45.11,44.29,44.4,1678900,0
2008-03-31,44.3,44.65,43.81,44.18,2243400,0
2008-04-01,44.34,45.23,44.12,45.09,1639700,0
2008-04-02,45.42,46.38,45.19,45.61,3338900,0
2008-04-03,45.55,45.7,44.83,45.1,3480400,0
2008-04-04,45.04,45.4,44.85,45.08,1907100,0
2008-04-07,45.33,45.35,44.84,44.92,1539100,0
2008-04-08,44.69,44.76,44.33,44.44,1485700,0
