Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.22,28.68,27.7,28.05,643900,0
2008-01-03,28.13,28.13,27.29,27.56,638100,0
2008-01-04,27.25,27.79,26.64,27.39,512500,0
2008-01-07,27.57,29.0,27.48,28.46,617400,0
2008-01-08,28.57,28.93,27.59,27.61,725200,0
2008-01-09,27.55,28.09,27.23,27.75,403900,0
2008-01-10,27.52,28.27,27.18,27.91,361600,0
2008-01-11,27.65,28.09,27.6,27.84,631300,0
2008-01-14,28.03,28.8,27.85,28.58,472000,0
2008-01-15,28.23,28.54,27.91,28.23,324100,0
2008-01-16,28.21,28.93,28.17,28.74,507000,0
2008-01-17,28.89,28.9,28.03,28.27,581800,0
2008-01-18,28.37,28.37,27.32,27.67,753900,0
2008-01-22,26.62,27.77,26.62,27.38,644700,0
2008-01-23,26.87,27.67,26.31,27.53,692700,0
2008-01-24,27.68,27.96,26.51,26.51,661800,0
2008-01-25,26.76,27.07,26.25,26.43,463600,0
2008-01-28,26.42,27.15,26.26,27.09,480900,0
2008-01-29,27.17,27.29,26.63,27.07,598300,0
2008-01-30,26.95,27.53,26.61,27.15,701700,0
2008-01-31,27.01,27.79,26.79,27.55,590800,0
2008-02-01,27.67,28.17,27.43,27.59,405300,0
2008-02-04,27.48,27.95,27.15,27.59,538200,0
2008-02-05,28.17,30.57,28.17,29.52,2160100,0
2008-02-06,29.69,29.69,28.75,28.85,953500,0
2008-02-07,28.67,29.52,28.65,29.22,738600,0
2008-02-08,29.13,29.33,28.85,29.1,546600,0
2008-02-11,29.05,29.53,29.05,29.25,821500,0
2008-02-12,29.4,30.25,29.27,29.99,894100,0
2008-02-13,30.22,30.32,29.97,30.19,855900,0
2008-02-14,30.31,30.31,29.75,29.78,793500,0
2008-02-15,29.46,29.66,28.75,29.11,713200,0
2008-02-19,29.37,29.73,29.09,29.27,976900,0
2008-02-20,29.11,29.47,28.82,29.42,918300,0
2008-02-21,29.5,29.59,28.72,28.95,726100,0
2008-02-22,28.79,29.14,28.35,29.04,596700,0
2008-02-25,28.99,29.65,28.99,29.33,804300,0
2008-02-26,29.17,29.69,29.17,29.37,522000,0
