Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,8.85,9.01,8.6,8.72,199300,0
2008-01-03,8.72,8.86,8.57,8.69,127700,0
2008-01-04,8.58,8.63,8.32,8.37,154900,0
2008-01-07,8.38,8.74,8.34,8.6,196500,0
2008-01-08,8.62,8.72,8.43,8.43,222400,0
2008-01-09,8.43,8.72,8.37,8.68,246000,0
2008-01-10,8.56,9.0,8.46,8.89,273600,0
2008-01-11,8.8,8.93,8.72,8.82,161300,0
2008-01-14,8.9,8.94,8.65,8.86,122000,0
2008-01-15,8.73,8.9,8.5,8.8,197900,0
2008-01-16,8.79,9.23,8.77,9.11,459100,0
2008-01-17,9.1,9.13,8.83,8.86,238500,0
2008-01-18,8.82,8.94,8.41,8.53,244800,0
2008-01-22,8.21,8.4,8.1,8.25,241900,0
2008-01-23,8.11,8.63,8.1,8.62,220000,0
2008-01-24,8.62,8.62,8.25,8.25,202100,0
2008-01-25,8.37,8.5,8.16,8.23,152100,0
2008-01-28,8.2,8.56,8.17,8.49,121800,0
2008-01-29,8.53,8.53,8.15,8.2,231900,0
2008-01-30,8.12,8.33,8.05,8.05,107500,0
2008-01-31,8.04,8.12,7.89,7.91,372400,0
2008-02-01,7.96,8.19,7.92,8.16,588800,0
2008-02-04,8.14,8.18,7.75,7.8,595600,0
2008-02-05,7.71,7.9,7.71,7.82,186700,0
2008-02-06,7.87,7.94,7.8,7.83,129300,0
2008-02-07,7.78,7.95,7.62,7.74,146800,0
2008-02-08,7.74,7.97,7.57,7.61,308100,0
2008-02-11,7.8,7.93,7.57,7.79,189600,0
2008-02-12,7.72,7.79,7.4,7.49,382600,0
2008-02-13,7.22,7.57,7.13,7.54,675000,0
2008-02-14,7.57,7.59,7.32,7.46,262400,0
2008-02-15,7.42,7.48,7.35,7.42,191800,0
2008-02-19,7.46,7.56,7.17,7.21,149100,0
2008-02-20,7.19,7.41,7.1,7.3,181300,0
2008-02-21,7.34,7.43,6.91,6.91,328500,0
2008-02-22,6.94,7.06,6.66,6.76,427100,0
2008-02-25,6.75,7.07,6.71,7.03,246800,0
2008-02-26,7.0,7.19,6.98,7.11,175900,0
2008-02-27,7.05,7.2,7.05,7.16,186600,0
