Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,26.08,26.22,25.75,25.76,246800,0
2008-01-03,25.62,26.0,25.62,25.91,264000,0
2008-01-04,25.95,25.95,25.17,25.33,532200,0
2008-01-07,25.19,25.47,25.08,25.39,404200,0
2008-01-08,25.5,25.92,25.45,25.5,396400,0
2008-01-09,25.6,25.6,25.01,25.26,314200,0
2008-01-10,25.4,25.47,25.07,25.23,303000,0
2008-01-11,25.13,25.3,25.02,25.2,300400,0
2008-01-14,25.25,25.3,25.08,25.13,365800,0
2008-01-15,25.0,25.09,24.84,24.99,471600,0
2008-01-16,24.96,24.97,24.48,24.85,541400,0
2008-01-17,25.07,25.13,24.66,24.8,421800,0
2008-01-18,24.84,25.16,24.45,24.62,523600,0
2008-01-22,24.12,24.38,23.58,24.26,849600,0
2008-01-23,23.88,24.2,23.67,24.16,791000,0
2008-01-24,24.11,24.47,24.05,24.37,558800,0
2008-01-25,24.48,24.65,24.27,24.42,498200,0
2008-01-28,24.61,24.68,24.33,24.51,380400,0
2008-01-29,24.48,25.0,24.43,24.8,420600,0
2008-01-30,24.84,25.25,24.68,25.25,545800,0
2008-01-31,24.92,25.02,24.52,24.91,509600,0
2008-02-01,25.08,25.08,24.68,24.9,631600,0
2008-02-04,25.0,25.49,24.9,25.49,438000,0
2008-02-05,25.43,25.58,25.17,25.38,414800,0
2008-02-06,25.39,25.47,24.75,24.85,378800,0
2008-02-07,24.66,25.05,24.52,24.9,346800,0
2008-02-08,24.93,25.37,24.86,25.3,296800,0
2008-02-11,25.55,25.6,25.37,25.5,624400,0
2008-02-12,25.5,25.65,25.12,25.33,475200,0
2008-02-13,25.58,25.75,25.11,25.15,390000,0
2008-02-14,25.67,25.69,24.39,24.51,625200,0
2008-02-15,24.75,24.75,23.92,23.92,1345200,0
2008-02-19,23.93,24.64,23.47,23.53,1096800,0
2008-02-20,23.5,23.68,23.08,23.62,1526200,0
2008-02-21,23.81,23.88,23.38,23.53,757600,0
2008-02-22,23.53,23.62,23.3,23.55,603800,0
2008-02-25,23.73,23.86,23.39,23.75,1515800,0
2008-02-26,23.77,24.11,23.71,23.99,928000,0
2008-02-27,23.99,24.0,23.67,23.75,358600,0
2008-02-28,23.67,24.23,23.67,24.14,570400,0
2008-02-29,24.36,24.36,23.79,23.88,466000,0
2008-03-03,23.93,23.93,23.52,23.52,439800,0
2008-03-04,23.5,23.78,23.23,23.4,467400,0
2008-03-05,23.5,23.66,23.33,23.47,920200,0
2008-03-06,23.36,23.58,23.2,23.38,471800,0
2008-03-07,23.23,23.4,23.17,23.3,627000,0
2008-03-10,23.0,23.41,22.92,22.98,493200,0
2008-03-11,23.15,23.15,22.83,22.98,578800,0
2008-03-12,22.94,23.26,22.87,23.14,518200,0
2008-03-13,22.93,23.26,22.93,23.16,635400,0
2008-03-14,23.08,23.25,22.2,22.52,1556400,0
2008-03-17,22.38,22.71,21.99,22.12,591600,0
2008-03-18,23.0,23.08,22.14,23.0,834200,0
2008-03-19,23.0,23.27,22.23,22.33,2446200,0
2008-03-20,22.32,22.44,21.99,22.07,501800,0
2008-03-24,21.97,22.76,21.97,22.17,9737800,0
2008-03-25,22.06,23.27,22.06,23.27,1711600,0
2008-03-26,23.34,24.15,23.33,24.0,947600,0
2008-03-27,24.18,24.32,23.95,24.0,597000,0
2008-03-28,23.95,24.18,23.78,23.83,465200,0
2008-03-31,23.69,23.85,23.59,23.77,546000,0
2008-04-01,23.88,24.0,23.75,23.97,530000,0
2008-04-02,23.97,24.44,23.83,24.3,582800,0
2008-04-03,24.16,24.22,23.98,24.07,495200,0
2008-04-04,24.29,24.42,24.08,24.26,443400,0
2008-04-07,24.42,24.76,24.38,24.53,430200,0
2008-04-08,24.1,24.67,24.1,24.5,412600,0
2008-04-09,24.62,24.65,24.23,24.35,400000,0
2008-04-10,24.41,24.43,23.89,23.92,542000,0
2008-04-11,23.8,23.92,23.67,23.73,378000,0
2008-04-14,23.86,23.99,23.73,23.81,350200,0
2008-04-15,24.15,24.33,23.78,23.82,460000,0
2008-04-16,24.07,24.57,24.07,24.47,1008200,0
2008-04-17,24.45,24.62,24.33,24.56,435600,0
2008-04-18,24.88,25.1,24.63,25.02,678600,0
2008-04-21,25.03,25.48,25.03,25.2,380600,0
2008-04-22,25.04,25.42,25.04,25.1,454800,0
2008-04-23,25.09,25.24,24.94,25.02,349200,0
2008-04-24,25.15,25.19,24.41,24.51,592200,0
2008-04-25,24.81,24.81,24.38,24.48,407000,0
2008-04-28,24.66,24.87,24.45,24.55,410800,0
2008-04-29,24.86,24.86,24.45,24.52,295000,0
2008-04-30,25.34,25.34,24.15,24.15,564600,0
2008-05-01,23.62,23.7,23.14,23.39,745600,0
2008-05-02,23.49,23.72,23.38,23.56,756200,0
2008-05-05,23.44,24.53,23.44,23.76,722600,0
2008-05-06,23.82,23.82,23.57,23.69,601600,0
2008-05-07,23.19,23.6,23.17,23.5,7978000,0
2008-05-08,23.39,23.61,23.26,23.38,1442400,0
2008-05-09,23.33,23.38,23.17,23.38,944200,0
2008-05-12,23.5,23.5,23.23,23.32,873400,0
2008-05-13,23.18,23.27,23.07,23.22,752800,0
2008-05-14,23.3,23.4,23.23,23.29,774600,0
2008-05-15,23.5,23.5,23.1,23.31,1002800,0
2008-05-16,23.5,23.57,23.26,23.5,927000,0
2008-05-19,23.49,23.69,23.39,23.56,653400,0
2008-05-20,23.57,23.88,23.39,23.75,708800,0
2008-05-21,23.87,23.95,23.75,23.83,1025600,0
2008-05-22,23.78,24.05,23.35,23.4,766400,0
2008-05-23,23.41,23.51,23.25,23.44,714000,0
2008-05-27,23.43,23.6,23.06,23.21,677600,0
2008-05-28,23.22,23.4,23.02,23.34,558000,0
2008-05-29,23.29,23.93,23.12,23.81,984800,0
2008-05-30,24.16,24.55,24.08,24.43,1040000,0
2008-06-02,24.61,24.78,24.27,24.61,590200,0
2008-06-03,24.77,24.86,24.38,24.38,583200,0
2008-06-04,24.41,24.48,24.16,24.16,529200,0
2008-06-05,24.12,24.46,24.05,24.41,572200,0
2008-06-06,24.67,24.67,24.14,24.3,471600,0
2008-06-09,24.44,24.5,24.2,24.32,243800,0
2008-06-10,24.39,24.41,24.06,24.3,504400,0
2008-06-11,24.3,24.3,24.0,24.17,431600,0
2008-06-12,24.17,24.17,23.75,23.78,375800,0
2008-06-13,23.83,23.98,23.76,23.9,255400,0
2008-06-16,23.92,24.14,23.8,24.14,283600,0
2008-06-17,24.14,24.4,24.11,24.2,380200,0
2008-06-18,24.23,24.3,23.71,23.82,427600,0
2008-06-19,23.8,23.93,23.51,23.61,257200,0
2008-06-20,23.53,23.7,23.52,23.7,292600,0
2008-06-23,23.68,24.0,23.68,24.0,340000,0
2008-06-24,23.83,23.9,23.62,23.62,321000,0
2008-06-25,23.75,23.75,23.54,23.65,295200,0
2008-06-26,23.64,23.74,23.0,23.01,513200,0
2008-06-27,22.78,22.92,22.51,22.65,459400,0
2008-06-30,22.72,22.76,22.27,22.56,538000,0
2008-07-01,22.35,22.48,22.12,22.38,494400,0
2008-07-02,22.58,23.41,22.52,23.12,702000,0
2008-07-03,23.25,23.33,22.64,22.99,288400,0
2008-07-07,23.01,23.22,22.82,23.07,740200,0
2008-07-08,23.0,23.45,22.66,23.33,835200,0
2008-07-09,23.39,23.75,23.28,23.38,629600,0
2008-07-10,23.34,23.9,23.17,23.84,500000,0
2008-07-11,23.5,23.87,23.2,23.47,738400,0
2008-07-14,23.5,23.6,23.14,23.24,849000,0
2008-07-15,23.08,23.21,22.45,22.59,922000,0
2008-07-16,22.5,22.59,22.01,22.39,590600,0
2008-07-17,22.35,22.88,20.5,21.78,3078200,0
2008-07-18,22.73,23.4,21.88,22.89,1038800,0
2008-07-21,22.92,23.75,22.92,23.72,743800,0
