Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.5,17.62,17.1,17.39,534700,0
2008-01-03,17.59,17.59,16.32,16.37,554800,0
2008-01-04,16.1,16.15,15.75,15.75,668500,0
2008-01-07,16.0,16.12,15.81,15.95,1115800,0
2008-01-08,16.0,16.06,15.65,15.91,1685000,0
2008-01-09,15.89,15.89,15.3,15.73,1223500,0
2008-01-10,15.65,15.93,15.36,15.72,541800,0
2008-01-11,15.63,15.7,15.06,15.21,1043800,0
2008-01-14,15.23,15.25,14.95,14.99,1214000,0
2008-01-15,14.94,14.99,14.16,14.25,1454900,0
2008-01-16,14.08,14.79,14.08,14.55,522800,0
2008-01-17,14.66,14.66,14.29,14.52,598700,0
2008-01-18,14.84,14.87,14.0,14.14,625700,0
2008-01-22,13.72,15.28,13.57,15.15,574300,0
2008-01-23,14.68,16.75,14.68,16.58,870900,0
2008-01-24,16.78,16.93,16.23,16.51,886400,0
2008-01-25,16.77,17.1,16.36,16.56,614700,0
2008-01-28,16.69,16.89,16.27,16.84,579000,0
2008-01-29,17.26,17.4,16.94,17.19,496600,0
2008-01-30,17.43,17.43,16.99,17.06,692700,0
2008-01-31,16.59,18.33,16.59,18.19,842600,0
2008-02-01,17.99,18.67,17.99,18.54,734800,0
2008-02-04,18.71,18.71,17.19,17.53,914700,0
2008-02-05,17.55,17.89,17.2,17.32,810300,0
2008-02-06,17.52,17.52,16.87,16.95,1014100,0
2008-02-07,16.86,17.65,16.77,17.49,703900,0
2008-02-08,17.39,17.83,17.1,17.51,587800,0
2008-02-11,17.5,18.1,17.2,18.09,460200,0
2008-02-12,18.11,18.21,17.76,17.97,535700,0
2008-02-13,18.18,18.8,17.95,18.76,798400,0
2008-02-14,18.76,18.76,17.6,18.0,1985800,0
2008-02-15,17.89,18.11,17.6,17.99,771400,0
2008-02-19,19.64,19.64,17.88,18.5,1092400,0
2008-02-20,18.56,19.27,18.39,19.2,1016100,0
2008-02-21,19.33,19.33,18.44,19.15,2450400,0
2008-02-22,19.15,19.29,18.45,18.78,925700,0
2008-02-25,18.73,19.5,18.45,19.38,703300,0
2008-02-26,19.44,19.99,19.17,19.7,715000,0
2008-02-27,19.5,19.56,18.84,19.18,596500,0
2008-02-28,19.04,19.18,18.57,18.82,670700,0
2008-02-29,18.79,18.79,17.92,18.04,720500,0
2008-03-03,18.21,18.38,17.76,18.12,735600,0
2008-03-04,17.83,18.12,17.66,17.91,570000,0
2008-03-05,17.87,18.33,17.79,18.22,981800,0
2008-03-06,18.0,18.22,17.8,18.03,692300,0
2008-03-07,17.89,18.37,17.89,18.06,684100,0
2008-03-10,18.17,18.38,17.51,17.7,1108500,0
2008-03-11,17.7,18.48,17.7,18.42,785000,0
2008-03-12,18.39,18.93,18.05,18.32,479000,0
2008-03-13,18.3,18.84,17.9,18.8,689200,0
2008-03-14,18.8,18.9,18.13,18.37,457200,0
2008-03-17,17.88,18.36,17.74,18.05,933300,0
2008-03-18,18.19,18.71,18.18,18.59,699500,0
2008-03-19,18.51,19.06,18.47,18.65,883100,0
2008-03-20,18.64,19.55,18.43,19.43,675000,0
2008-03-24,19.44,20.39,19.44,20.25,578100,0
2008-03-25,20.34,20.34,19.6,19.66,349200,0
2008-03-26,19.49,20.26,19.12,20.26,949200,0
2008-03-27,20.53,20.56,19.29,19.66,860100,0
2008-03-28,19.8,19.8,19.05,19.12,582800,0
2008-03-31,19.12,19.66,19.05,19.46,816200,0
2008-04-01,19.34,19.8,18.81,19.75,1393300,0
2008-04-02,19.94,20.31,19.61,20.3,779800,0
2008-04-03,20.17,20.95,19.9,20.73,762800,0
2008-04-04,20.86,21.11,20.45,20.7,574700,0
2008-04-07,20.75,20.85,20.33,20.47,825800,0
2008-04-08,20.3,20.55,20.09,20.13,558100,0
2008-04-09,20.22,20.4,19.41,19.49,822900,0
2008-04-10,19.62,20.14,19.35,20.0,575600,0
2008-04-11,19.74,20.0,19.16,19.26,784600,0
2008-04-14,19.41,19.41,18.78,18.83,606900,0
2008-04-15,18.82,19.14,18.82,19.14,536300,0
2008-04-16,19.28,20.55,19.0,20.53,1125300,0
2008-04-17,20.17,20.63,20.17,20.37,604900,0
2008-04-18,20.73,20.92,20.56,20.75,264100,0
2008-04-21,20.54,20.69,20.29,20.48,272900,0
2008-04-22,20.45,20.5,19.92,20.21,557000,0
2008-04-23,20.04,20.24,19.76,20.04,588100,0
2008-04-24,20.02,21.11,19.98,20.73,678700,0
2008-04-25,20.95,21.3,20.42,21.2,324000,0
2008-04-28,21.17,21.8,21.01,21.28,637100,0
2008-04-29,21.56,22.51,21.37,21.94,1515600,0
2008-04-30,22.0,22.02,20.88,20.93,806700,0
2008-05-01,20.74,21.28,20.74,21.15,1275200,0
2008-05-02,21.36,21.5,20.99,21.43,1265200,0
2008-05-05,21.57,21.57,20.81,20.9,842100,0
2008-05-06,20.64,21.05,20.56,20.91,552300,0
2008-05-07,20.99,21.03,20.43,20.48,473200,0
2008-05-08,20.55,20.55,20.07,20.12,805800,0
2008-05-09,20.06,20.23,19.9,20.08,346300,0
2008-05-12,20.23,20.55,20.01,20.54,540100,0
2008-05-13,20.49,20.49,20.08,20.44,251300,0
2008-05-14,20.59,20.9,20.55,20.8,401200,0
2008-05-15,20.63,21.25,20.63,21.24,401600,0
2008-05-16,21.39,21.39,20.62,21.04,391700,0
2008-05-19,20.9,21.53,20.45,21.2,922000,0
2008-05-20,20.95,21.04,20.77,21.01,943600,0
2008-05-21,20.86,21.14,20.31,20.43,1228400,0
2008-05-22,20.35,20.54,20.17,20.45,745300,0
2008-05-23,20.5,20.64,20.04,20.58,747700,0
2008-05-27,20.58,21.03,20.41,20.88,640200,0
2008-05-28,20.91,21.15,20.67,21.09,744200,0
2008-05-29,21.01,21.12,20.65,20.9,463100,0
2008-05-30,20.82,20.97,20.53,20.89,517300,0
2008-06-02,20.97,20.97,19.89,19.9,848000,0
2008-06-03,19.94,19.94,19.5,19.69,792400,0
2008-06-04,19.73,19.73,19.16,19.4,1007000,0
