Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,12.1,12.28,11.7,11.77,198000,0
2008-01-03,11.75,12.01,11.49,11.49,214000,0
2008-01-04,11.42,11.67,11.41,11.55,257100,0
2008-01-07,11.58,11.65,11.16,11.33,295900,0
2008-01-08,11.36,11.52,10.93,10.98,353300,0
2008-01-09,10.98,11.22,10.45,10.89,269900,0
2008-01-10,10.81,11.46,10.55,11.2,218400,0
2008-01-11,11.13,11.23,10.82,11.0,161800,0
2008-01-14,11.13,11.39,11.01,11.19,219600,0
2008-01-15,11.12,11.16,10.92,11.1,139600,0
2008-01-16,11.08,11.59,10.9,11.2,325100,0
2008-01-17,11.26,11.62,11.16,11.33,138800,0
2008-01-18,11.32,11.43,10.95,10.97,417700,0
2008-01-22,11.66,13.36,10.99,13.3,1383500,0
2008-01-23,12.72,13.34,12.63,13.34,701400,0
2008-01-24,13.33,13.47,12.47,12.47,495700,0
2008-01-25,12.71,13.05,12.33,12.48,415300,0
2008-01-28,12.48,12.61,12.09,12.6,375900,0
2008-01-29,12.68,12.86,12.5,12.7,217200,0
2008-01-30,12.67,12.74,12.29,12.3,254600,0
2008-01-31,12.27,12.65,12.2,12.35,460200,0
2008-02-01,12.39,12.64,12.05,12.35,316800,0
2008-02-04,12.4,12.67,12.04,12.48,307900,0
2008-02-05,12.28,12.78,12.26,12.44,285900,0
2008-02-06,12.46,12.8,12.28,12.29,267300,0
2008-02-07,12.2,12.86,12.2,12.84,291800,0
2008-02-08,12.83,12.9,12.51,12.6,202600,0
2008-02-11,12.59,12.97,12.39,12.87,289800,0
2008-02-12,13.39,13.39,12.88,13.01,385300,0
2008-02-13,13.17,13.3,12.92,12.95,324700,0
2008-02-14,13.08,13.25,12.57,12.83,336500,0
2008-02-15,12.75,12.79,12.35,12.52,243200,0
2008-02-19,12.77,12.77,12.31,12.46,205100,0
2008-02-20,12.5,12.76,12.32,12.53,214300,0
2008-02-21,12.08,12.27,11.81,11.94,826700,0
2008-02-22,11.89,11.97,11.43,11.68,408100,0
2008-02-25,11.67,11.92,11.46,11.73,261700,0
2008-02-26,11.11,11.85,11.1,11.78,506300,0
2008-02-27,11.64,12.04,11.42,12.0,293700,0
2008-02-28,11.98,12.06,11.66,11.7,145300,0
2008-02-29,11.62,11.79,11.45,11.47,164200,0
2008-03-03,11.44,11.56,10.79,11.23,405500,0
