Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,46.23,46.6,44.88,45.11,280600,0
2008-01-03,45.17,45.24,44.64,44.77,633200,0
2008-01-04,44.88,44.88,41.78,41.95,391500,0
2008-01-07,41.81,41.95,39.99,41.36,540400,0
2008-01-08,41.63,42.46,39.25,39.27,346900,0
2008-01-09,39.1,40.86,38.46,40.1,586900,0
2008-01-10,39.5,42.65,39.26,41.81,487800,0
2008-01-11,41.56,42.85,41.0,41.36,320100,0
2008-01-14,41.72,42.15,40.7,41.66,167600,0
2008-01-15,41.0,41.28,39.78,40.1,230500,0
2008-01-16,39.92,41.14,39.9,40.48,456200,0
2008-01-17,40.48,40.63,38.68,38.78,353200,0
2008-01-18,38.98,39.89,37.44,38.8,377900,0
2008-01-22,37.01,42.4,37.01,40.43,366700,0
2008-01-23,41.35,49.4,39.73,46.32,1467500,0
2008-01-24,46.9,48.59,45.61,45.69,606700,0
2008-01-25,45.85,46.84,44.22,44.55,367200,0
2008-01-28,44.4,46.88,43.73,46.73,310300,0
2008-01-29,46.14,46.93,45.35,46.76,281000,0
2008-01-30,46.34,48.73,45.84,46.1,263200,0
2008-01-31,45.52,47.86,44.35,47.4,391800,0
2008-02-01,47.83,49.21,46.98,49.0,334000,0
2008-02-04,49.06,49.14,46.67,46.83,274100,0
2008-02-05,45.93,46.34,44.23,44.33,311100,0
2008-02-06,44.78,45.27,43.5,43.57,203600,0
2008-02-07,42.8,45.56,42.6,44.87,285400,0
2008-02-08,44.85,45.25,43.11,43.58,223500,0
2008-02-11,43.8,44.43,42.55,43.92,253100,0
2008-02-12,44.21,45.1,43.03,43.82,225000,0
2008-02-13,44.33,44.78,41.81,43.69,262100,0
2008-02-14,43.58,43.82,41.66,42.38,256500,0
2008-02-15,42.01,42.05,40.03,41.09,313300,0
2008-02-19,41.74,42.19,39.86,40.05,285600,0
2008-02-20,39.85,43.56,39.05,43.06,368700,0
2008-02-21,43.29,43.99,41.41,41.45,216600,0
2008-02-22,41.08,42.21,39.31,41.92,335700,0
2008-02-25,41.79,42.53,40.36,42.5,335400,0
2008-02-26,42.27,44.32,42.13,43.33,306000,0
2008-02-27,42.83,44.06,42.11,43.06,229400,0
2008-02-28,42.89,42.95,40.88,41.55,258300,0
2008-02-29,40.97,41.1,38.44,38.73,340600,0
2008-03-03,38.67,39.71,38.22,38.69,449300,0
2008-03-04,38.14,38.48,36.34,37.79,466100,0
2008-03-05,37.81,38.73,37.13,37.71,251100,0
2008-03-06,37.12,37.12,34.09,34.75,550900,0
2008-03-07,33.98,36.17,33.93,34.79,355900,0
2008-03-10,34.94,34.99,32.66,32.71,357700,0
2008-03-11,33.65,38.76,33.65,38.76,1100900,0
2008-03-12,39.0,39.0,36.77,37.65,587800,0
2008-03-13,37.13,38.17,35.07,37.93,487300,0
2008-03-14,38.18,38.31,34.64,36.39,598900,0
2008-03-17,35.0,36.58,33.98,36.12,573600,0
2008-03-18,37.22,40.78,37.22,40.77,622400,0
2008-03-19,40.76,41.46,38.24,38.24,368100,0
2008-03-20,39.13,42.12,37.65,41.95,885600,0
2008-03-24,42.21,45.19,41.72,42.07,832200,0
2008-03-25,41.0,41.98,38.59,38.88,628900,0
2008-03-26,38.42,38.62,37.03,37.34,351200,0
2008-03-27,37.7,37.88,35.24,35.5,333100,0
2008-03-28,35.76,35.76,33.11,33.41,505500,0
2008-03-31,33.49,34.83,33.32,33.96,287400,0
2008-04-01,34.82,37.99,34.82,37.99,418800,0
2008-04-02,37.91,37.91,36.06,36.64,403500,0
2008-04-03,35.97,38.05,35.57,37.32,350400,0
2008-04-04,37.24,37.45,36.18,36.3,286700,0
2008-04-07,36.75,37.46,35.94,37.05,242000,0
2008-04-08,37.0,37.13,36.05,36.62,235800,0
2008-04-09,36.8,37.05,34.9,35.0,263400,0
2008-04-10,35.13,35.67,34.87,35.14,259700,0
2008-04-11,34.9,35.67,34.34,34.6,271300,0
2008-04-14,34.5,34.85,34.1,34.17,223200,0
2008-04-15,34.51,34.99,33.88,34.96,353100,0
2008-04-16,34.14,37.34,33.91,37.0,817800,0
2008-04-17,36.65,36.79,34.71,35.62,397300,0
2008-04-18,36.07,37.29,35.83,36.31,322400,0
2008-04-21,35.98,35.98,34.56,35.14,202400,0
2008-04-22,34.91,35.08,33.88,34.27,245500,0
2008-04-23,34.46,35.61,34.01,34.67,294500,0
2008-04-24,34.78,37.85,34.78,37.6,279000,0
2008-04-25,37.62,38.13,36.4,37.96,258900,0
2008-04-28,37.83,38.45,37.63,37.89,273100,0
2008-04-29,37.99,38.3,37.36,38.05,162500,0
2008-04-30,38.09,38.57,37.22,37.26,229100,0
2008-05-01,37.35,39.91,37.07,39.7,292800,0
2008-05-02,39.87,39.95,37.96,38.52,306200,0
2008-05-05,38.51,39.13,38.22,38.66,203900,0
2008-05-06,38.27,39.22,37.02,38.94,147900,0
2008-05-07,39.05,39.67,37.46,37.63,254600,0
2008-05-08,37.63,38.74,37.01,38.55,240300,0
2008-05-09,38.0,40.1,37.88,39.66,251200,0
2008-05-12,39.81,41.35,39.34,41.27,208500,0
2008-05-13,41.58,41.58,40.17,40.51,177500,0
2008-05-14,40.52,41.08,39.62,40.41,207000,0
2008-05-15,40.29,41.56,40.06,41.5,146400,0
2008-05-16,41.76,42.0,39.86,40.66,211900,0
2008-05-19,40.66,40.66,39.5,39.63,191200,0
2008-05-20,39.26,39.31,38.1,38.9,290800,0
2008-05-21,38.93,39.55,37.28,37.98,207700,0
2008-05-22,37.77,38.8,37.36,38.23,184500,0
2008-05-23,38.0,38.32,37.58,38.09,133400,0
