Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.8,26.01,25.24,25.53,1253600,0
2008-01-03,25.79,25.79,25.06,25.18,1671500,0
2008-01-04,24.87,24.99,24.43,24.49,1657800,0
2008-01-07,24.59,24.85,24.45,24.78,1553500,0
2008-01-08,24.7,25.19,24.7,24.88,1580100,0
2008-01-09,24.96,25.55,24.77,25.43,1105500,0
2008-01-10,25.2,26.05,25.2,25.74,1631100,0
2008-01-11,25.44,25.56,25.27,25.35,729900,0
2008-01-14,25.47,25.83,25.28,25.79,852400,0
2008-01-15,25.52,25.77,25.48,25.52,1052900,0
2008-01-16,25.5,25.98,25.49,25.65,777400,0
2008-01-17,25.68,25.78,24.96,25.0,1230500,0
2008-01-18,24.95,24.99,24.08,24.34,1379600,0
2008-01-22,23.44,23.86,23.05,23.27,1614200,0
2008-01-23,22.35,23.07,21.88,23.0,2011000,0
2008-01-24,22.84,23.68,22.7,22.7,1478600,0
2008-01-25,26.99,27.25,24.95,26.68,3957000,0
2008-01-28,27.1,27.21,25.58,25.7,2345900,0
2008-01-29,25.64,25.68,24.36,24.86,1822100,0
2008-01-30,24.83,25.11,24.51,24.55,1105900,0
2008-01-31,24.53,25.11,24.04,24.82,2083800,0
2008-02-01,24.95,25.46,24.74,25.36,1087700,0
2008-02-04,25.29,25.85,25.27,25.69,1508200,0
2008-02-05,25.54,25.95,25.32,25.53,1240600,0
2008-02-06,25.6,26.0,25.29,25.41,1100000,0
2008-02-07,25.23,25.71,25.11,25.67,877700,0
2008-02-08,25.51,25.7,25.22,25.32,1187700,0
2008-02-11,25.23,25.72,25.15,25.66,649400,0
2008-02-12,25.75,25.81,25.11,25.52,941200,0
2008-02-13,25.71,25.88,25.23,25.83,979300,0
2008-02-14,25.73,25.99,25.25,25.38,676900,0
2008-02-15,25.21,25.45,25.15,25.4,459800,0
2008-02-19,25.58,25.75,25.39,25.44,604100,0
2008-02-20,25.44,25.61,25.05,25.61,569600,0
2008-02-21,25.6,25.66,24.84,24.98,1050400,0
2008-02-22,24.92,25.09,24.55,24.98,583500,0
2008-02-25,25.2,25.2,24.86,25.0,841200,0
2008-02-26,24.94,25.14,24.88,24.98,994700,0
2008-02-27,24.9,25.25,24.89,25.01,978100,0
2008-02-28,24.97,24.99,24.47,24.82,769300,0
2008-02-29,24.61,25.22,24.55,24.82,1046200,0
2008-03-03,24.69,24.88,24.39,24.58,602700,0
2008-03-04,24.39,24.8,24.35,24.76,740600,0
2008-03-05,24.92,25.05,24.73,25.01,1125100,0
2008-03-06,24.86,25.17,24.86,25.03,1220700,0
2008-03-07,24.91,24.91,23.92,24.01,1498100,0
2008-03-10,23.96,24.05,23.02,23.02,1422300,0
2008-03-11,23.33,23.63,23.22,23.58,1097000,0
2008-03-12,23.79,23.81,23.44,23.56,859100,0
2008-03-13,23.37,24.21,23.13,24.13,1073200,0
2008-03-14,24.11,24.36,23.18,23.35,969200,0
2008-03-17,23.29,23.36,22.86,22.96,921300,0
2008-03-18,23.37,23.39,22.83,23.36,941500,0
2008-03-19,23.6,23.64,23.18,23.18,1027600,0
2008-03-20,24.65,24.65,22.95,23.29,1228500,0
2008-03-24,23.34,23.76,23.24,23.68,908300,0
2008-03-25,23.8,23.95,23.65,23.81,650200,0
2008-03-26,24.7,24.7,23.29,24.0,1231000,0
2008-03-27,23.97,24.25,23.79,24.03,685300,0
2008-03-28,24.16,24.46,23.94,24.14,926500,0
2008-03-31,24.18,24.38,23.79,24.25,1023600,0
2008-04-01,24.36,25.06,24.25,25.06,1000600,0
2008-04-02,25.15,25.41,24.82,25.27,1105000,0
2008-04-03,25.21,25.68,25.17,25.49,1535400,0
2008-04-04,25.42,25.66,25.25,25.53,671000,0
2008-04-07,25.62,25.67,25.29,25.48,852300,0
2008-04-08,25.3,25.35,25.09,25.32,947200,0
2008-04-09,25.25,25.48,25.01,25.26,835900,0
2008-04-10,25.36,25.36,25.01,25.25,580400,0
2008-04-11,25.01,25.35,24.61,24.7,711200,0
2008-04-14,24.64,24.97,24.51,24.81,496700,0
2008-04-15,24.7,24.77,23.69,24.09,1317700,0
2008-04-16,24.24,24.66,24.01,24.65,2090800,0
2008-04-17,24.72,24.75,24.42,24.58,665100,0
2008-04-18,25.03,25.29,24.73,25.12,909500,0
2008-04-21,25.0,25.23,24.78,25.12,819500,0
2008-04-22,24.95,25.02,24.49,24.53,755700,0
2008-04-23,24.73,25.51,24.48,25.35,1368900,0
2008-04-24,25.27,25.27,24.39,25.03,1277200,0
2008-04-25,26.82,28.5,26.26,27.48,3714800,0
2008-04-28,27.55,27.55,26.9,27.01,1324500,0
2008-04-29,27.0,27.0,25.98,26.74,1698800,0
2008-04-30,26.63,27.0,26.41,26.56,1195100,0
2008-05-01,26.38,27.08,26.27,27.03,1924300,0
2008-05-02,27.37,27.49,26.72,26.79,1140300,0
2008-05-05,26.92,27.28,26.42,27.08,1288200,0
2008-05-06,26.88,27.6,26.8,27.55,1275200,0
2008-05-07,27.69,27.78,26.96,27.05,759100,0
2008-05-08,27.01,27.22,26.87,27.19,537300,0
2008-05-09,27.14,27.23,26.86,27.09,637400,0
2008-05-12,27.2,27.38,26.78,27.34,620900,0
2008-05-13,27.51,27.71,27.03,27.3,919600,0
2008-05-14,27.56,28.44,27.3,28.22,2174900,0
2008-05-15,28.26,28.42,27.95,28.26,709500,0
2008-05-16,28.21,28.35,27.86,27.95,773600,0
2008-05-19,28.07,28.74,27.81,28.46,1171900,0
2008-05-20,28.37,28.74,27.97,28.11,1163500,0
2008-05-21,28.11,28.36,27.73,27.81,965000,0
2008-05-22,27.79,28.03,27.59,27.99,694700,0
2008-05-23,28.0,28.56,27.9,28.41,1471000,0
2008-05-27,28.37,28.88,28.37,28.83,1015500,0
2008-05-28,28.85,28.96,28.04,28.31,1602300,0
2008-05-29,28.51,28.51,27.99,28.24,1344600,0
2008-05-30,28.21,28.38,27.9,28.28,913500,0
2008-06-02,28.43,28.58,28.18,28.35,786900,0
2008-06-03,28.51,28.72,28.3,28.61,1108200,0
2008-06-04,28.6,29.17,28.5,28.95,1396600,0
2008-06-05,28.94,29.24,28.72,29.15,1171900,0
2008-06-06,28.96,28.97,28.24,28.24,840900,0
2008-06-09,28.35,28.35,27.7,27.87,915800,0
2008-06-10,27.54,27.76,27.49,27.69,930500,0
2008-06-11,27.53,28.36,27.48,27.69,1712900,0
2008-06-12,27.93,28.98,27.84,28.5,1444100,0
2008-06-13,28.58,29.02,28.38,28.7,1267800,0
2008-06-16,28.6,29.05,28.4,29.03,690300,0
2008-06-17,29.23,29.45,28.91,29.0,1344600,0
2008-06-18,28.99,29.09,28.67,28.67,921700,0
2008-06-19,28.67,29.0,28.67,28.87,561500,0
2008-06-20,28.0,29.11,27.79,28.41,751800,0
2008-06-23,28.47,28.6,28.3,28.46,860500,0
2008-06-24,28.41,28.48,27.97,28.41,914000,0
2008-06-25,28.42,28.91,28.2,28.78,980300,0
2008-06-26,28.52,28.66,27.86,27.86,764600,0
2008-06-27,27.96,27.96,27.22,27.71,1108500,0
2008-06-30,27.64,28.08,27.4,27.85,767800,0
2008-07-01,27.59,27.7,27.02,27.5,1085100,0
2008-07-02,27.57,28.04,27.36,27.98,1294100,0
2008-07-03,28.0,28.17,27.81,28.08,800600,0
2008-07-07,28.19,28.39,27.81,28.11,1519700,0
2008-07-08,28.06,28.52,27.93,28.52,880500,0
2008-07-09,28.54,28.69,28.32,28.32,969700,0
2008-07-10,28.42,29.02,28.15,28.99,2313300,0
2008-07-11,28.74,28.74,28.1,28.27,2188800,0
2008-07-14,28.35,28.46,27.52,27.55,1569400,0
2008-07-15,27.38,27.58,27.03,27.33,1642000,0
2008-07-16,27.33,27.65,27.11,27.65,1103300,0
2008-07-17,27.74,27.78,27.31,27.71,1178500,0
2008-07-18,27.58,27.69,27.41,27.55,1584700,0
2008-07-21,27.61,27.83,27.45,27.66,921400,0
2008-07-22,27.58,29.12,27.48,29.11,1487000,0
2008-07-23,29.1,29.24,28.54,28.65,1800900,0
2008-07-24,28.8,29.07,28.22,28.37,1425200,0
2008-07-25,29.59,29.81,28.93,29.36,3167000,0
2008-07-28,29.5,29.67,29.1,29.21,1441400,0
2008-07-29,29.36,29.36,28.33,28.68,2021100,0
2008-07-30,28.83,29.36,28.83,29.09,1279200,0
2008-07-31,28.98,29.51,28.76,29.1,669900,0
2008-08-01,29.13,29.29,28.58,28.6,923000,0
2008-08-04,28.52,28.71,28.11,28.22,808300,0
2008-08-05,28.3,28.98,28.12,28.98,980900,0
2008-08-06,28.88,29.5,28.77,29.44,1173400,0
2008-08-07,29.03,29.3,28.93,28.97,1251500,0
2008-08-08,29.05,29.6,28.98,29.5,1223300,0
2008-08-11,29.54,29.95,29.34,29.67,1012200,0
2008-08-12,29.72,29.72,29.08,29.24,775800,0
2008-08-13,29.08,29.2,28.68,28.96,814300,0
2008-08-14,28.79,29.43,28.7,29.4,730400,0
2008-08-15,29.4,29.75,29.4,29.69,658000,0
2008-08-18,29.69,29.79,29.31,29.39,461700,0
2008-08-19,29.29,29.33,28.92,29.03,626200,0
2008-08-20,29.04,29.05,28.61,28.73,599700,0
