Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.84,25.87,25.2,25.4,394800,0
2008-01-03,25.39,25.6,24.87,24.88,303300,0
2008-01-04,24.6,24.61,23.97,24.28,318800,0
2008-01-07,24.41,25.46,24.41,24.64,481500,0
2008-01-08,24.71,24.96,22.72,22.81,853300,0
2008-01-09,22.76,23.9,22.73,23.78,608300,0
2008-01-10,23.56,25.23,23.35,24.26,536200,0
2008-01-11,24.01,24.14,22.77,23.21,456800,0
2008-01-14,23.33,23.99,23.26,23.69,347600,0
2008-01-15,22.7,22.97,20.27,20.28,1597600,0
2008-01-16,20.16,20.29,19.62,19.79,1075900,0
2008-01-17,19.84,20.27,19.12,19.25,842900,0
2008-01-18,19.03,20.62,18.13,18.85,1257000,0
2008-01-22,18.26,20.34,18.06,19.38,787000,0
2008-01-23,16.2,18.0,16.02,18.0,2667600,0
2008-01-24,17.84,18.6,17.56,18.17,965100,0
2008-01-25,19.02,19.13,17.73,17.82,670100,0
2008-01-28,17.73,20.03,17.73,19.95,1278900,0
2008-01-29,20.03,20.24,18.92,19.13,628300,0
2008-01-30,18.99,20.34,18.9,19.43,574400,0
2008-01-31,19.14,19.43,18.67,18.91,826000,0
2008-02-01,18.92,19.41,18.5,19.27,615400,0
2008-02-04,19.19,19.53,19.09,19.44,546600,0
2008-02-05,19.12,19.36,18.76,18.99,539800,0
2008-02-06,19.19,19.5,18.85,19.01,458800,0
2008-02-07,18.86,19.58,18.42,19.33,516100,0
2008-02-08,19.32,19.51,18.78,19.12,454800,0
2008-02-11,19.18,19.25,18.61,18.89,380700,0
2008-02-12,19.03,19.54,18.92,19.18,758900,0
2008-02-13,19.43,20.0,19.17,19.97,365200,0
2008-02-14,20.0,20.06,19.08,19.33,353000,0
2008-02-15,19.12,19.12,18.48,18.89,341400,0
2008-02-19,19.21,19.44,18.98,19.14,271400,0
2008-02-20,19.09,19.34,18.67,19.34,255200,0
2008-02-21,19.48,19.72,18.78,18.88,307600,0
2008-02-22,19.0,19.09,18.34,18.9,493000,0
2008-02-25,18.81,19.53,18.81,19.46,531700,0
2008-02-26,19.43,20.27,19.13,19.96,570000,0
2008-02-27,19.8,20.5,19.71,20.5,434200,0
2008-02-28,20.44,20.44,19.33,19.43,447400,0
2008-02-29,19.1,19.2,18.76,18.86,474200,0
2008-03-03,18.81,18.81,18.25,18.39,530700,0
2008-03-04,18.16,18.67,18.07,18.41,570600,0
2008-03-05,18.57,18.81,18.43,18.68,495600,0
2008-03-06,18.54,18.68,17.87,17.87,381500,0
2008-03-07,17.75,18.59,17.75,18.32,451300,0
2008-03-10,18.31,19.18,18.31,18.67,489000,0
2008-03-11,19.17,19.52,18.5,19.16,558700,0
2008-03-12,19.3,19.83,19.15,19.41,240000,0
2008-03-13,19.13,19.54,18.64,19.45,294900,0
2008-03-14,19.65,19.65,18.49,18.72,333500,0
2008-03-17,18.5,19.04,18.33,18.61,293400,0
2008-03-18,18.77,19.8,18.69,19.74,462500,0
2008-03-19,19.95,20.3,19.3,19.3,415100,0
2008-03-20,19.61,20.07,19.28,19.8,867900,0
2008-03-24,19.84,21.04,19.84,20.55,374800,0
2008-03-25,20.39,20.45,19.98,20.33,371600,0
2008-03-26,20.09,20.09,19.6,19.87,293900,0
2008-03-27,19.84,20.26,19.35,19.97,360900,0
2008-03-28,19.94,20.04,19.09,19.1,430800,0
2008-03-31,19.1,19.95,18.79,19.31,677700,0
2008-04-01,19.45,20.28,19.25,20.1,371900,0
2008-04-02,20.07,20.54,19.71,20.16,377000,0
2008-04-03,19.98,20.55,19.9,20.35,218000,0
2008-04-04,20.43,20.52,19.95,20.02,223700,0
2008-04-07,20.11,20.12,19.62,19.75,268900,0
2008-04-08,19.58,20.01,19.44,19.87,368100,0
2008-04-09,19.94,19.99,19.37,19.6,453200,0
2008-04-10,19.55,20.28,19.42,20.13,374700,0
2008-04-11,19.9,19.97,19.18,19.44,466500,0
2008-04-14,19.47,19.92,19.33,19.6,240300,0
2008-04-15,19.67,19.67,18.9,19.03,285300,0
2008-04-16,19.1,19.1,18.29,18.97,635000,0
2008-04-17,18.98,18.98,18.53,18.89,217900,0
2008-04-18,18.89,19.64,18.89,19.57,469800,0
2008-04-21,19.46,19.95,19.44,19.87,245800,0
2008-04-22,19.75,19.75,18.78,18.98,518400,0
2008-04-23,19.07,19.92,19.07,19.66,252500,0
2008-04-24,19.72,20.46,19.34,20.21,266500,0
2008-04-25,20.32,20.55,19.85,20.55,346100,0
2008-04-28,20.55,21.05,20.28,20.78,341800,0
2008-04-29,20.7,21.38,20.62,21.28,374900,0
2008-04-30,22.8,25.98,22.8,24.91,2049400,0
2008-05-01,24.94,25.2,24.64,24.84,856500,0
2008-05-02,24.75,25.12,24.11,24.17,608400,0
2008-05-05,24.06,24.86,23.8,24.55,379100,0
2008-05-06,24.39,25.0,24.01,24.77,352700,0
2008-05-07,24.85,25.23,23.99,24.01,325900,0
2008-05-08,24.01,24.52,23.66,24.26,299800,0
2008-05-09,24.0,24.81,23.81,24.5,195200,0
2008-05-12,24.61,25.15,24.32,24.8,317600,0
2008-05-13,24.86,25.23,24.52,25.18,470600,0
2008-05-14,25.15,25.18,24.4,24.5,343300,0
2008-05-15,24.36,25.0,24.25,24.87,273700,0
2008-05-16,25.14,25.14,23.99,24.44,375900,0
2008-05-19,24.44,24.55,23.94,24.17,379300,0
2008-05-20,23.88,24.13,23.54,23.67,266800,0
2008-05-21,23.76,24.13,23.24,23.49,328500,0
2008-05-22,23.6,24.42,23.57,23.81,470500,0
2008-05-23,23.58,24.04,23.51,23.94,274900,0
2008-05-27,24.12,25.0,23.98,24.94,390600,0
2008-05-28,24.96,24.97,24.02,24.3,341000,0
2008-05-29,24.29,25.0,24.25,24.74,280900,0
2008-05-30,24.71,24.71,24.25,24.29,370800,0
2008-06-02,24.28,24.29,22.7,22.98,641900,0
2008-06-03,23.08,23.08,22.48,22.77,573900,0
2008-06-04,22.73,22.99,22.43,22.69,667800,0
2008-06-05,22.64,23.0,22.48,22.75,672900,0
2008-06-06,22.53,22.86,22.35,22.42,329800,0
2008-06-09,22.4,22.51,21.93,22.25,337900,0
2008-06-10,22.16,22.91,22.07,22.75,480100,0
2008-06-11,22.81,22.93,22.49,22.49,408300,0
2008-06-12,22.43,22.99,22.22,22.33,263600,0
2008-06-13,22.68,23.4,22.5,23.4,286200,0
2008-06-16,23.36,24.05,23.2,24.04,497000,0
2008-06-17,23.84,24.26,23.18,23.84,500400,0
2008-06-18,23.75,23.75,23.09,23.22,317200,0
2008-06-19,23.29,23.95,23.12,23.9,334600,0
2008-06-20,23.72,24.21,23.2,23.76,646300,0
