Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,6.54,6.67,6.4,6.41,616600,0
2008-01-03,6.41,6.5,6.12,6.13,642700,0
2008-01-04,6.06,6.21,5.97,6.0,561100,0
2008-01-07,6.04,6.2,5.92,6.17,703000,0
2008-01-08,6.17,6.21,5.67,5.72,881100,0
2008-01-09,5.68,5.77,5.41,5.75,1116500,0
2008-01-10,5.67,6.18,5.59,6.1,970000,0
2008-01-11,6.02,6.05,5.81,5.85,468900,0
2008-01-14,5.9,6.1,5.89,6.03,427800,0
2008-01-15,5.92,5.97,5.7,5.87,417600,0
2008-01-16,5.87,6.09,5.76,5.91,595900,0
2008-01-17,5.9,5.93,5.65,5.68,369500,0
2008-01-18,5.71,5.87,5.54,5.61,611200,0
2008-01-22,5.4,6.1,5.11,5.59,668200,0
2008-01-23,5.59,6.0,5.16,5.95,943500,0
2008-01-24,5.95,6.25,5.84,6.04,860300,0
2008-01-25,6.14,6.53,5.6,6.05,697400,0
2008-01-28,6.05,6.33,5.82,6.13,611500,0
2008-01-29,6.16,6.39,6.02,6.25,517900,0
2008-01-30,6.18,6.38,6.09,6.17,636700,0
2008-01-31,6.17,6.3,6.05,6.15,848200,0
2008-02-01,6.17,6.65,6.15,6.63,1363000,0
2008-02-04,6.63,6.64,6.45,6.57,582700,0
2008-02-05,6.45,6.53,6.25,6.31,1221900,0
2008-02-06,6.37,6.5,6.06,6.21,601400,0
2008-02-07,6.44,7.11,6.4,7.04,2930100,0
2008-02-08,7.02,7.1,6.62,6.87,1573700,0
2008-02-11,6.85,7.03,6.77,6.94,1474700,0
2008-02-12,6.92,7.14,6.84,6.97,666300,0
2008-02-13,7.03,7.15,7.01,7.09,509700,0
2008-02-14,7.09,7.09,6.76,6.82,866800,0
2008-02-15,6.75,6.77,6.64,6.65,619600,0
2008-02-19,6.73,6.81,6.57,6.7,484500,0
2008-02-20,6.62,6.81,6.6,6.75,488600,0
2008-02-21,6.78,6.89,6.54,6.6,593300,0
2008-02-22,6.6,6.64,6.4,6.51,822400,0
2008-02-25,6.5,6.78,6.35,6.76,1006500,0
2008-02-26,6.71,7.06,6.71,6.91,943600,0
2008-02-27,6.84,7.01,6.8,6.91,423400,0
2008-02-28,6.84,6.88,6.64,6.72,630000,0
2008-02-29,6.65,6.65,6.5,6.5,565500,0
2008-03-03,6.51,6.79,6.37,6.7,639400,0
2008-03-04,6.62,6.78,6.58,6.64,474000,0
2008-03-05,6.69,6.88,6.65,6.82,405700,0
2008-03-06,6.77,6.84,6.62,6.67,500300,0
2008-03-07,6.59,6.77,6.58,6.65,513600,0
2008-03-10,6.66,6.71,6.33,6.35,483500,0
2008-03-11,6.54,6.54,6.26,6.52,611900,0
2008-03-12,6.53,6.61,6.25,6.25,1034600,0
2008-03-13,6.19,6.51,6.05,6.45,848400,0
2008-03-14,6.49,6.49,6.02,6.18,846100,0
2008-03-17,6.0,6.18,5.95,6.01,525200,0
2008-03-18,6.15,6.4,6.05,6.38,488800,0
2008-03-19,6.48,6.55,6.2,6.2,432200,0
2008-03-20,6.5,6.5,6.08,6.38,1220000,0
2008-03-24,6.39,6.61,6.34,6.42,413900,0
2008-03-25,6.45,6.6,6.35,6.49,533800,0
2008-03-26,6.43,6.5,6.32,6.39,653400,0
2008-03-27,6.41,6.45,6.26,6.29,320700,0
2008-03-28,6.29,6.57,6.22,6.47,773600,0
2008-03-31,6.45,6.52,6.34,6.37,446700,0
2008-04-01,6.37,6.74,6.3,6.73,516200,0
2008-04-02,6.71,6.72,6.4,6.57,419800,0
2008-04-03,6.47,6.71,6.45,6.71,470100,0
2008-04-04,6.69,6.75,6.56,6.72,555000,0
2008-04-07,6.65,6.95,6.65,6.94,978400,0
2008-04-08,6.9,7.2,6.84,7.13,1199400,0
2008-04-09,7.23,7.32,7.12,7.17,678900,0
2008-04-10,7.16,7.31,7.11,7.3,410200,0
2008-04-11,7.23,7.49,7.18,7.29,907800,0
2008-04-14,7.26,7.45,7.24,7.28,477400,0
2008-04-15,7.31,7.35,7.2,7.26,576900,0
2008-04-16,7.34,7.62,7.32,7.52,677200,0
2008-04-17,7.47,7.66,7.43,7.55,367100,0
2008-04-18,7.67,7.81,7.55,7.7,346600,0
2008-04-21,7.65,7.72,7.43,7.63,346600,0
2008-04-22,7.58,7.62,7.3,7.44,894700,0
2008-04-23,7.46,7.5,7.26,7.4,284100,0
2008-04-24,7.39,7.58,7.19,7.44,550500,0
2008-04-25,7.45,7.52,7.26,7.42,330200,0
