Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,19.76,20.02,19.64,19.8,465300,0
2008-01-03,19.94,20.03,18.66,18.76,591300,0
2008-01-04,18.6,18.78,18.34,18.5,959800,0
2008-01-07,18.57,18.62,18.31,18.5,551000,0
2008-01-08,18.5,18.65,18.37,18.5,573100,0
2008-01-09,18.5,18.58,17.83,18.32,1102400,0
2008-01-10,18.2,18.59,18.02,18.53,740900,0
2008-01-11,18.26,18.54,17.93,18.27,557200,0
2008-01-14,18.32,18.55,17.95,18.36,454200,0
2008-01-15,18.17,18.46,17.57,18.0,504300,0
2008-01-16,17.88,18.53,17.84,18.1,384100,0
2008-01-17,18.2,18.41,18.0,18.21,369100,0
2008-01-18,18.21,18.57,17.85,17.99,548100,0
2008-01-22,17.62,19.12,17.39,18.94,715000,0
2008-01-23,18.75,21.79,18.71,21.12,1105200,0
2008-01-24,21.27,21.27,20.17,20.87,736000,0
2008-01-25,21.08,21.24,20.88,21.04,652300,0
2008-01-28,21.07,22.32,20.92,21.84,929100,0
2008-01-29,21.84,22.79,21.59,22.73,1293100,0
2008-01-30,22.77,24.3,22.57,23.86,1043500,0
2008-01-31,24.14,24.96,23.9,24.64,2066100,0
2008-02-01,24.8,24.8,23.96,24.18,854600,0
2008-02-04,24.04,24.15,22.87,22.98,698600,0
2008-02-05,22.92,22.97,22.0,22.03,566800,0
2008-02-06,22.0,22.07,21.03,21.08,560200,0
2008-02-07,20.93,22.17,20.93,21.27,669100,0
2008-02-08,21.2,21.83,21.03,21.18,371400,0
2008-02-11,21.26,21.26,20.7,21.15,366000,0
2008-02-12,21.16,21.41,20.76,20.96,289800,0
2008-02-13,21.14,21.41,20.79,21.14,273900,0
2008-02-14,21.29,21.44,20.6,20.79,170700,0
2008-02-15,20.64,20.65,20.18,20.45,187100,0
2008-02-19,20.56,20.75,19.75,19.91,366100,0
2008-02-20,19.67,20.12,18.68,19.01,967500,0
2008-02-21,18.5,19.76,17.79,19.64,1565500,0
2008-02-22,19.6,19.6,18.89,19.24,773100,0
2008-02-25,19.17,19.9,19.11,19.79,563800,0
2008-02-26,19.69,21.17,19.63,20.34,731300,0
2008-02-27,19.98,20.38,19.86,20.15,448400,0
2008-02-28,20.0,20.16,19.32,19.33,432900,0
2008-02-29,19.28,19.28,18.93,19.05,495600,0
2008-03-03,19.13,19.67,18.99,19.62,499800,0
2008-03-04,19.47,20.13,19.32,19.75,479200,0
2008-03-05,19.89,20.13,19.64,19.96,273600,0
2008-03-06,20.0,20.06,19.65,20.06,537900,0
2008-03-07,19.76,20.6,19.64,20.07,460200,0
2008-03-10,20.21,20.73,19.81,19.81,509800,0
2008-03-11,20.0,20.8,19.93,20.59,451100,0
2008-03-12,20.52,20.77,20.13,20.13,173800,0
2008-03-13,19.95,20.52,19.93,20.09,473900,0
2008-03-14,20.07,20.24,19.0,19.25,437700,0
2008-03-17,18.99,19.2,18.52,18.65,1037600,0
2008-03-18,18.89,19.02,18.46,18.7,754400,0
2008-03-19,18.69,19.12,18.6,18.92,394900,0
2008-03-20,18.94,19.11,18.68,18.94,477100,0
2008-03-24,18.96,20.07,18.81,19.9,667700,0
2008-03-25,19.97,20.35,19.67,20.04,748100,0
2008-03-26,19.81,20.0,19.6,19.88,413500,0
2008-03-27,19.95,19.96,19.47,19.57,573100,0
2008-03-28,19.52,19.65,18.78,18.9,476700,0
2008-03-31,18.89,19.19,18.7,18.89,491600,0
2008-04-01,19.01,20.0,19.01,19.98,533400,0
2008-04-02,19.93,20.62,19.84,20.04,551400,0
2008-04-03,19.87,22.13,19.87,21.6,1250500,0
2008-04-04,21.51,21.84,21.41,21.62,823000,0
2008-04-07,21.66,22.02,21.33,21.53,167500,0
2008-04-08,21.49,21.64,21.23,21.55,133200,0
2008-04-09,21.62,21.85,20.53,20.69,193700,0
2008-04-10,20.37,20.46,19.81,19.92,675300,0
2008-04-11,19.8,20.49,19.75,20.32,575000,0
2008-04-14,20.28,20.28,19.52,19.93,475000,0
